! Auto-generated by Reform.

MD5	ee339dbdbb0792f67e20bd71bafe0ea5
Object 117	obj117_docking_tank_electricity
Object 118	obj118_station_monitor
Object 119	obj119_circuit
Object 120	obj120_black_box
Object 121	obj121_Bly_s_desk
Object 122	obj122_Aquadome_office
Object 123	obj123_storage_door
Object 124	obj124_office_door
Object 125	obj125_southeast_porch
Object 126	obj126_galley
Object 127	obj127_microphone
Object 128	obj128_Aquadome_sonar_equipment
Object 129	obj129_alarm_bell
Object 130	obj130_videophone
Object 131	obj131_videophone
Object 132	obj132_comm_center
Object 133	obj133_galley_door
Object 134	obj134_comm_center_door
Object 135	obj135_northeast_porch
Object 136	obj136_workshop_material
Object 137	obj137_workshop
Object 138	obj138_laboratory_door
Object 139	obj139_workshop_door
Object 140	obj140_northwest_porch
Object 141	obj141_photograph
Object 142	obj142_diary
Object 143	obj143_Horvak_s_key
Object 144	obj144_Horvak_s_locker
Object 145	obj145_furniture
Object 146	obj146_male_dorm
Object 147	obj147_furniture
Object 148	obj148_chair
Object 149	obj149_female_dorm
Object 150	obj150_blue_door
Object 151	obj151_red_door
Object 152	obj152_southwest_porch
Object 153	obj153_badge
Object 154	obj154_badge
Object 155	obj155_badge
Object 156	obj156_Aquadome_crew
Object 157	obj157_Aquadome_crew
Object 158	obj158_docking_tank_ladder
Object 159	obj159_docking_tank_entrance
Object 160	obj160_emergency_ladder
Object 161	obj161_Air_Supply_System
Object 162	obj162_docking_tank_ramp
Object 163	obj163_docking_tank
Object 164	obj164_exercise_track
Object 165	obj165_window
Object 166	obj166_Aquadome
Object 167	obj167_Doctor_Jerome_Thorpe
Object 168	obj168_Doctor_Jerome_Thorpe
Object 169	obj169_Amy_Lowell
Object 170	obj170_Amy_Lowell
Object 171	obj171_Bill_Greenup
Object 172	obj172_Bill_Greenup
Object 173	obj173_Marv_Siegel
Object 174	obj174_Marv_Siegel
Object 175	obj175_Doc_Horvak
Object 176	obj176_Doc_Horvak
Object 177	obj177_Mick_Antrim
Object 178	obj178_Mick_Antrim
Object 179	obj179_reception_area
Object 180	obj180_Commander_Bly
Object 181	obj181_Commander_Bly
Object 182	obj182_Kemp_s_office
Object 183	obj183_Sharon_Kemp
Object 184	obj184_Sharon_Kemp
Object 185	obj185_Tip
Object 186	obj186_Tip_Randall
Object 187	obj187_gash
Object 188	obj188_your_arm
Object 189	obj189_yourself
Object 190	obj190
Object 191	obj191_yourself
Object 192	obj192_storage_room
Object 193	obj193_bazooka
Object 194	obj194_Aquadome_laboratory
Object 195	obj195_dart_gun
Object 196	obj196_Sea_Cat
Object 197	obj197_Snark
Object 198	obj198_instruments
Object 199	obj199_seat
Object 200	obj200
Object 201	obj201_extensor_claw
Object 202	obj202_Frobton_Bay
Object 203	obj203_overheating
Object 204	obj204_whale
Object 205	obj205_brass_search_light
Object 206	obj206_temperature_gauge_needle
Object 207	obj207_control_circuits
Object 208	obj208_autopilot
Object 209	obj209_meter
Object 210	obj210_sea_square
Object 211	obj211_depth_control
Object 212	obj212_present_depth
Object 213	obj213_off
Object 214	obj214_slow
Object 215	obj215_medium
Object 216	obj216_fast
Object 217	obj217_throttle
Object 218	obj218_joystick
Object 219	obj219_hydrojet
Object 220	obj220_hydrojet
Object 221	obj221_reactor_starter
Object 222	obj222_reactor
Object 223	obj223_hydrophone
Object 224	obj224_sonarphone
Object 225	obj225_sonarscope_warning_light
Object 226	obj226_sonarscope
Object 227	obj227_manual
Object 228	obj228_automatic
Object 229	obj229_depth_finder_warning_light
Object 230	obj230_depth_finder
Object 231	obj231_reactor_lever
Object 232	obj232_ship
Object 233	obj233_sea_wall
Object 234	obj234_voltage_regulator
Object 235	obj235_lights
Object 236	obj236
Object 237	obj237_crawl_space
Object 238	obj238_viewport
Object 239	obj239
Object 240	obj240_engine_starter
Object 241	obj241_test_button
Object 242	obj242_access_panel
Object 243	obj243_gate_control
Object 244	obj244_tank_control
Object 245	obj245_control_panel
Object 246	obj246_entry_hatch
Object 247	obj247_SCIMITAR
Object 248	obj248_that
Object 249	obj249_SCIMITAR
Object 250	obj250_such_things

Attribute 2	attrib2			! obj200
Attribute 3	attrib3			! obj200
Attribute 4	attrib4			! obj69_work_counter obj76_workbench obj79_mechanical_supply_shelf obj82_electronic_supply_shelf obj84_chemical_supply_shelf obj88_Kemp_s_desk obj97_desk obj110_special_hook obj128_Aquadome_sonar_equipment obj145_furniture obj147_furniture obj200
Attribute 5	attrib5			! obj169_Amy_Lowell obj170_Amy_Lowell obj180_Commander_Bly obj181_Commander_Bly obj183_Sharon_Kemp obj184_Sharon_Kemp obj200
Attribute 6	attrib6			! obj93_circuit_breaker obj169_Amy_Lowell obj171_Bill_Greenup obj173_Marv_Siegel obj175_Doc_Horvak obj177_Mick_Antrim obj180_Commander_Bly obj183_Sharon_Kemp obj185_Tip obj200
Attribute 7	attrib7			! obj191_yourself obj200
Attribute 8	attrib8			! obj89_lot_of_business_papers obj195_dart_gun obj200
Attribute 9	attrib9			! obj4_underwater obj7_your_private_laboratory obj8_Doc_s_laboratory obj12_Bly_s_plan obj13_Tip_s_idea obj15_more obj24_here obj27_himself_or_herself obj28_him obj29_her obj50_Inventions_Unlimited obj53_it obj55_Sharon_s_badge obj56_Tip_s_badge obj57_your_badge obj58_Emergency_Oxygen_Gear obj64_that_thing obj88_Kemp_s_desk obj121_Bly_s_desk obj128_Aquadome_sonar_equipment obj143_Horvak_s_key obj144_Horvak_s_locker obj182_Kemp_s_office obj188_your_arm obj189_yourself obj191_yourself obj200 obj202_Frobton_Bay obj248_that
Attribute 10	attrib10		! obj54_turn obj209_meter obj210_sea_square
Attribute 11	attrib11		! obj58_Emergency_Oxygen_Gear obj74_microphone obj103_Computestor obj117_docking_tank_electricity obj127_microphone obj200 obj205_brass_search_light obj220_hydrojet obj223_hydrophone obj226_sonarscope obj230_depth_finder
Attribute 12	attrib12		! obj107_special_Fram_Bolt_Wrench obj187_gash obj196_Sea_Cat obj197_Snark obj200 obj204_whale obj232_ship
Attribute 13	attrib13		! obj106_electrolyte_relay obj112_Air_Supply_System obj195_dart_gun obj200 obj234_voltage_regulator
Attribute 14	attrib14		! obj16_evidence obj18_docking_tank_roof obj19_docking_tank_gate obj23_air obj30_open_sea obj44_explosive_charge obj50_Inventions_Unlimited obj53_it obj58_Emergency_Oxygen_Gear obj61_article obj82_electronic_supply_shelf obj91_office_door obj94_Electrical_Panel obj99_intercom obj100_lab_door obj101_east_part obj105_empty_space obj106_electrolyte_relay obj109_arrow obj111_access_door obj112_Air_Supply_System obj116_Emergency_Survival_Unit obj122_Aquadome_office obj124_office_door obj128_Aquadome_sonar_equipment obj129_alarm_bell obj156_Aquadome_crew obj157_Aquadome_crew obj160_emergency_ladder obj161_Air_Supply_System obj164_exercise_track obj166_Aquadome obj169_Amy_Lowell obj170_Amy_Lowell obj182_Kemp_s_office obj194_Aquadome_laboratory obj198_instruments obj200 obj201_extensor_claw obj208_autopilot obj213_off obj228_automatic obj240_engine_starter obj242_access_panel obj247_SCIMITAR
Attribute 15	attrib15		! obj144_Horvak_s_locker obj165_window obj200 obj238_viewport
Attribute 16	attrib16		! obj165_window obj200 obj238_viewport
Attribute 17	attrib17		! obj35_satellite obj36_cable obj37_transmitter obj55_Sharon_s_badge obj56_Tip_s_badge obj57_your_badge obj58_Emergency_Oxygen_Gear obj67_control_gear obj68_control_gear obj69_work_counter obj71_gangplank obj73_technician obj75_diagram obj76_workbench obj78_bunch_of_mechanical_supplies obj79_mechanical_supply_shelf obj81_bunch_of_electronic_supplies obj82_electronic_supply_shelf obj83_bunch_of_chemicals obj84_chemical_supply_shelf obj88_Kemp_s_desk obj89_lot_of_business_papers obj90_file_drawer obj91_office_door obj93_circuit_breaker obj94_Electrical_Panel obj97_desk obj98_Microwave_Security_Scanner obj102_receiver obj103_Computestor obj109_arrow obj110_special_hook obj111_access_door obj112_Air_Supply_System obj114_fine_grid obj116_Emergency_Survival_Unit obj117_docking_tank_electricity obj118_station_monitor obj121_Bly_s_desk obj127_microphone obj128_Aquadome_sonar_equipment obj129_alarm_bell obj131_videophone obj136_workshop_material obj143_Horvak_s_key obj144_Horvak_s_locker obj145_furniture obj147_furniture obj148_chair obj157_Aquadome_crew obj160_emergency_ladder obj165_window obj167_Doctor_Jerome_Thorpe obj181_Commander_Bly obj183_Sharon_Kemp obj184_Sharon_Kemp obj187_gash obj188_your_arm obj191_yourself obj193_bazooka obj195_dart_gun obj196_Sea_Cat obj197_Snark obj198_instruments obj199_seat obj200 obj202_Frobton_Bay obj204_whale obj205_brass_search_light obj206_temperature_gauge_needle obj207_control_circuits obj208_autopilot obj209_meter obj210_sea_square obj211_depth_control obj212_present_depth obj213_off obj214_slow obj215_medium obj216_fast obj217_throttle obj218_joystick obj219_hydrojet obj220_hydrojet obj221_reactor_starter obj222_reactor obj223_hydrophone obj224_sonarphone obj225_sonarscope_warning_light obj226_sonarscope obj227_manual obj228_automatic obj229_depth_finder_warning_light obj230_depth_finder obj231_reactor_lever obj232_ship obj233_sea_wall obj234_voltage_regulator obj238_viewport obj240_engine_starter obj243_gate_control obj244_tank_control obj247_SCIMITAR
Attribute 18	attrib18		! obj69_work_counter obj76_workbench obj79_mechanical_supply_shelf obj82_electronic_supply_shelf obj84_chemical_supply_shelf obj85_south_doorway obj88_Kemp_s_desk obj90_file_drawer obj97_desk obj123_storage_door obj128_Aquadome_sonar_equipment obj133_galley_door obj134_comm_center_door obj138_laboratory_door obj139_workshop_door obj200 obj222_reactor obj246_entry_hatch
Attribute 19	attrib19		! obj66_south_walkway obj70_west_walkway obj72_north_walkway obj77_lab_center obj80_west_part obj86_south_part obj87_limbo obj92_storage_closet obj94_Electrical_Panel obj96_corridor obj101_east_part obj104_north_part obj113_dome_center obj117_docking_tank_electricity obj118_station_monitor obj122_Aquadome_office obj125_southeast_porch obj126_galley obj128_Aquadome_sonar_equipment obj132_comm_center obj135_northeast_porch obj137_workshop obj140_northwest_porch obj146_male_dorm obj149_female_dorm obj152_southwest_porch obj159_docking_tank_entrance obj163_docking_tank obj179_reception_area obj182_Kemp_s_office obj192_storage_room obj194_Aquadome_laboratory obj200 obj223_hydrophone obj226_sonarscope obj230_depth_finder obj237_crawl_space obj249_SCIMITAR
Attribute 20	attrib20		! obj66_south_walkway obj70_west_walkway obj72_north_walkway obj77_lab_center obj80_west_part obj86_south_part obj87_limbo obj92_storage_closet obj96_corridor obj101_east_part obj104_north_part obj113_dome_center obj122_Aquadome_office obj125_southeast_porch obj126_galley obj132_comm_center obj135_northeast_porch obj137_workshop obj140_northwest_porch obj146_male_dorm obj149_female_dorm obj152_southwest_porch obj159_docking_tank_entrance obj163_docking_tank obj179_reception_area obj182_Kemp_s_office obj192_storage_room obj194_Aquadome_laboratory obj200 obj237_crawl_space obj249_SCIMITAR
Attribute 21	attrib21		! obj148_chair obj200
Attribute 22	attrib22		! obj61_article obj62_magazine obj63_Logbook obj89_lot_of_business_papers obj112_Air_Supply_System obj142_diary obj200 obj226_sonarscope
Attribute 23	attrib23		! obj58_Emergency_Oxygen_Gear obj59_Universal_Tool obj60_catalyst_capsule obj62_magazine obj63_Logbook obj74_microphone obj106_electrolyte_relay obj107_special_Fram_Bolt_Wrench obj115_hypodermic_syringe obj120_black_box obj127_microphone obj141_photograph obj142_diary obj193_bazooka obj200
Attribute 24	attrib24		! obj59_Universal_Tool obj107_special_Fram_Bolt_Wrench obj143_Horvak_s_key obj200
Attribute 25	attrib25		! obj200
Attribute 26	attrib26		! obj62_magazine obj69_work_counter obj76_workbench obj79_mechanical_supply_shelf obj82_electronic_supply_shelf obj84_chemical_supply_shelf obj88_Kemp_s_desk obj90_file_drawer obj93_circuit_breaker obj97_desk obj112_Air_Supply_System obj116_Emergency_Survival_Unit obj120_black_box obj121_Bly_s_desk obj142_diary obj144_Horvak_s_locker obj200 obj222_reactor
Attribute 27	attrib27		! obj18_docking_tank_roof obj19_docking_tank_gate obj20_steel_tank_gate obj85_south_doorway obj91_office_door obj95_storage_door obj100_lab_door obj123_storage_door obj124_office_door obj133_galley_door obj134_comm_center_door obj138_laboratory_door obj139_workshop_door obj150_blue_door obj151_red_door obj200 obj242_access_panel obj246_entry_hatch
Attribute 28	attrib28		! obj200 obj247_SCIMITAR
Attribute 29	attrib29		! obj115_hypodermic_syringe obj193_bazooka obj195_dart_gun obj200
Attribute 30	attrib30		! obj167_Doctor_Jerome_Thorpe obj168_Doctor_Jerome_Thorpe obj169_Amy_Lowell obj170_Amy_Lowell obj171_Bill_Greenup obj172_Bill_Greenup obj173_Marv_Siegel obj174_Marv_Siegel obj175_Doc_Horvak obj176_Doc_Horvak obj177_Mick_Antrim obj178_Mick_Antrim obj180_Commander_Bly obj181_Commander_Bly obj183_Sharon_Kemp obj184_Sharon_Kemp obj185_Tip obj186_Tip_Randall obj191_yourself obj200
Attribute 31	attrib31		! obj200

Property 4	prop4:routine
Property 5	prop5:string
Property 6	prop6:?
Property 7	prop7:?
Property 8	prop8:?
Property 9	prop9:routine
Property 10	prop10:?
Property 11	prop11:routine
Property 12	prop12:?
Property 13	prop13:string
Property 14	prop14:dictwords
Property 15	prop15:?
Property 16	prop16:?
Property 17	prop17:?
Property 18	prop18:string
Property 19	prop19:?
Property 20	out_to:exit
Property 21	in_to:exit
Property 22	d_to:exit
Property 23	u_to:exit
Property 24	northw_to:exit
Property 25	w_to:exit
Property 26	southw_to:exit
Property 27	s_to:exit
Property 28	se_to:exit
Property 29	e_to:exit
Property 30	ne_to:exit
Property 31	n_to:exit

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! '$ve'
Action 1	Action1		! '$db'
Action 2	Action2		! '$wh' object
				! '$wh'
Action 3	Action3		! '$go' object object
				! '$go' object
Action 4	Action4		! '$ba'
Action 5	Action5		! '$oc'
Action 6	Action6		! '$do'
Action 7	Action7		! '$sn'
Action 8	Action8		! 'adjust'/'focus'/'tune' 'into'/'inside'/'in' object
				! 'adjust'/'focus'/'tune' object
Action 9	Action9		! 'aim'/'point' object object
				! 'aim'/'point' object 'to' object
				! 'aim'/'point' object 'at' object
Action 10	Action10	! 'aim'/'point' 'at' object 'with'/'using'/'by' object
Action 11	Action11	! 'analys'/'analyz'/'check'/'test'/'troubl' 'out' object
				! 'analys'/'analyz'/'check'/'test'/'troubl' attrib31 'for' object
				! 'analys'/'analyz'/'check'/'test'/'troubl' object
Action 12	Action12	! 'analys'/'analyz'/'check'/'test'/'troubl' object 'into'/'inside'/'in' object
				! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'up'/'u//' object 'into'/'inside'/'in' object
				! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'up'/'u//' attrib31
				! 'peruse'/'read'/'skim' 'about' object 'into'/'inside'/'in' attrib22(held,carried,in_room,on_ground,take)
Action 13	Action13	! 'analys'/'analyz'/'check'/'test'/'troubl' object 'onto'/'on' object
Action 14	Action14	! 'answer'/'reply'/'respon'
Action 15	Action15	! 'answer'/'reply'/'respon' object
Action 16	Action16	! 'apply' object(held,many,have) 'to' object
				! 'drop'/'lower' object(held,many,have) 'onto'/'on' object
				! 'drop'/'lower' object(held,many,have) 'into'/'inside'/'in' object
				! 'drop'/'lower' object(held,many,have) 'down'/'d//' object
				! 'fit' object(held,many,have) 'to' object
				! 'fit' object(held,many,have) 'onto'/'on' object
				! 'hang' object(held,many,have) 'onto'/'on' object
				! 'crouch'/'hide' object(held,carried,have) 'into'/'inside'/'in' object
				! 'insert'/'instal'/'load'/'mount'/'place'/'put'/'stuff' object(held,many,have) 'into'/'inside'/'in' attrib26
				! 'insert'/'instal'/'load'/'mount'/'place'/'put'/'stuff' object(held,many,have) 'onto'/'on' object
				! 'set' object(held,many,have) 'onto'/'on' attrib31
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'over' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'into'/'inside'/'in' object
Action 17	Action17	! 'arm' object
Action 18	Action18	! 'arrest'/'captur' attrib30 'for' object
				! 'arrest'/'captur' attrib30
Action 19	Action19	! 'ask'/'consul'/'inquir'/'questi' attrib30
Action 20	Action20	! 'ask'/'consul'/'inquir'/'questi' 'about' object(held,carried,have)
				! 'detect'/'find'/'locate' 'out' object
Action 21	Action21	! 'ask'/'consul'/'inquir'/'questi' 'for' object(held,carried,have)
Action 22	Action22	! 'ask'/'consul'/'inquir'/'questi' attrib30 'about' object(held,carried,have)
Action 23	Action23	! 'ask'/'consul'/'inquir'/'questi' attrib30 'for' object(held,carried,have)
Action 24	Action24	! 'assaul'/'attack'/'fight'/'molest'/'rape'/'repel' attrib30(in_room,on_ground) 'with'/'using'/'by' attrib29(held,carried,have)
				! 'assaul'/'attack'/'fight'/'molest'/'rape'/'repel' 'off' attrib30
				! 'assaul'/'attack'/'fight'/'molest'/'rape'/'repel' attrib30
				! 'knock'/'rap' 'down'/'d//' attrib30(in_room,on_ground)
				! 'strike' attrib30(in_room,on_ground) 'with'/'using'/'by' attrib29(held,carried,in_room,on_ground,have)
Action 25	Action25	! 'brief'
Action 26	Action26	! 'bring'/'fetch' object 'to' object
				! 'bring'/'fetch' object
Action 27	Action27	! 'bring'/'fetch' object object
Action 28	Action28	! 'brush'/'clean'/'wipe' object(held,carried,in_room,on_ground) 'with'/'using'/'by' object
				! 'brush'/'clean'/'wipe' object(held,carried,in_room,on_ground)
Action 29	Action29	! '$ca' object
				! 'call'/'phone'/'signal'/'summon' 'to' object
Action 30	Action30	! 'call'/'phone'/'signal'/'summon' 'up'/'u//' object
				! 'call'/'phone'/'signal'/'summon' 'for' object
				! 'call'/'phone'/'signal'/'summon' object 'onto'/'on' object
				! 'call'/'phone'/'signal'/'summon' object  object
				! 'call'/'phone'/'signal'/'summon' object
Action 31	Action31	! 'board'/'climb' 'into'/'inside'/'in' attrib28(in_room,on_ground)
				! 'board'/'climb' object(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' 'into'/'inside'/'in' attrib28(in_room,on_ground)
Action 32	Action32	! 'board'/'climb' 'down'/'d//' object(in_room,on_ground)
				! 'dive'/'submer'  object
				! 'dive'/'submer' object
				! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'down'/'d//' object(in_room,on_ground)
Action 33	Action33	! 'board'/'climb' 'onto'/'on' attrib28(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' 'onto'/'on' attrib28(in_room,on_ground)
Action 34	Action34	! 'board'/'climb' 'thru'/'throug' attrib27
				! 'enter' object
				! 'crouch'/'hide' 'onto'/'on' object
				! 'crouch'/'hide' 'into'/'inside'/'in' object
				! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'thru'/'throug' object
				! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'into'/'inside'/'in' object
				! 'crawl' 'thru'/'throug' object
				! 'crawl' 'into'/'inside'/'in' object
Action 35	Action35	! 'board'/'climb' 'up'/'u//' object(in_room,on_ground)
				! 'rise'  object
				! 'rise' object
				! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'up'/'u//' object(in_room,on_ground)
Action 36	Action36	! 'close'/'replac'/'reset' attrib27(held,carried,in_room,on_ground) 'with'/'using'/'by' object
				! 'close'/'replac'/'reset' attrib27(held,carried,in_room,on_ground)
