! Auto-generated by Reform.

MD5	253b02c8012710577085b9fd3a155cb7
Object 141	obj141_crossbow
Object 142	obj142_bats
Object 143	obj143_Rising_Path
Object 144	obj144_path_down
Object 145	obj145_rising_path
Object 146	obj146_Wumpus
Object 147	obj147__StandardCompass_
Object 148	obj148__CaveCompass_
Object 149	obj149_roof
Object 150	obj150_floor
Object 151	obj151_stone_wall

Attribute 0	bled_in			! obj71_Bottom_of_Pit
Attribute 1	animate			! obj10__self_object_ obj17__self_object_ obj139_Wumpus
Attribute 3	clothing		! obj32_thighband obj38_lamplens obj39_cloth_strips
Attribute 4	concealed		! obj6_compass obj10__self_object_ obj17__self_object_
Attribute 5	container		! obj26_crossbow obj32_thighband
Attribute 14	on			! obj38_lamplens
Attribute 15	open			! obj26_crossbow obj32_thighband
Attribute 17	proper			! obj10__self_object_ obj11__Inform_Parser_ obj12__Inform_Library_ obj17__self_object_
Attribute 18	scenery			! CompassDirection obj7_outside obj8_inside Objexit BodyPart obj18_leg obj19_wrist obj20_arm obj21_hands obj22_body obj23_bloody_wound CrossbowPart obj27_leaf_laths obj28_bowstring obj29_cocking_lever obj30_stock obj31_mechanism obj41_narrow_crawl obj42_side_chamber obj43_low_passage obj44_chimney obj45_beast obj46_bats obj48_crawl_back obj49_pit obj50_crawl_ahead obj51_smear_of_blood obj53_crawl_back obj54_pit obj55_ledge obj57_pit_above obj58_pit_below LedgePassage obj60_left_side_passage obj61_right_side_passage obj62_stone_blades obj64_claw obj66_pit_below obj67_rope obj68_ledge obj69_claw obj70_stone_blades obj72_narrow_crawl obj73_shaft_above obj75_rags obj76_rotten_flesh obj77_water obj78_stone_blades obj79_mud TunnelExitBack TunnelExitFore obj86__tun1_back_ obj87__tun1_fore_ obj89__tun2_back_ obj90__tun2_fore_ obj92__tun3_back_ obj93__tun3_fore_ obj96__tun4_back_ obj97__tun4_fore_ obj100__tun5_back_ obj101__tun5_fore_ obj102__tun5_water_ obj104__tun6_back_ obj105__tun6_fore_ MazeExit obj109__BUG_ obj110__BUG_ obj111__BUG_ obj112_formations obj113_pool obj114_mud obj115_sand obj116_small_stones obj118_smell obj120_slope_beside_you obj121_slope_above obj122_slope_below obj123_narrow_crevice obj124_unseen_light obj127_canyon_slope obj128_crawl_behind obj129_canyon_to_either_side obj130_ahead obj131_crevice obj132_rushing_water obj133_roof obj135_bats obj137_way_back obj138_path_up obj140_puddle_of_blood obj141_crossbow obj142_bats obj144_path_down obj145_rising_path obj149_roof obj150_floor obj151_stone_wall
Attribute 20	static			! obj63_rope obj74_corpse obj80_bats TunnelWater obj94__tun3_water_ obj98__tun4_water_ obj102__tun5_water_ obj117_bats obj125_beast obj134_pool_of_blood obj139_Wumpus obj146_Wumpus
Attribute 24	transparent		! obj10__self_object_ obj17__self_object_ obj74_corpse
Attribute 31	pluralname		! obj21_hands obj27_leaf_laths obj39_cloth_strips obj46_bats obj62_stone_blades obj70_stone_blades obj75_rags obj78_stone_blades obj80_bats obj112_formations obj116_small_stones obj117_bats obj135_bats obj142_bats

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:string
Property 6	life:dictword
Property 19	door_to:?
Property 21	door_dir:?
Property 22	invent:string
Property 23	plural:string
Property 24	add_to_scope:things
Property 27	react_after:string
Property 29	orders:?
Property 30	initial:?
Property 35	description:?
Property 36	describe:string
Property 37	article:string
Property 39	found_in:string
Property 41	number:?
Property 42	time_out:dictword
Property 43	daemon:?
Property 44	each_turn:string
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:thing
Property 49	articles:strings
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	before_go:thing
Property 77	ambient_sound:thing
Property 78	ambient_smell:thing
Property 79	when_shot:?
Property 80	when_unbandage:thing
Property 81	light_level:?
Property 82	spot:?
Property 83	maze_pos:?
Property 84	dircode:?
Property 85	formcode:?
Property 86	modcode:?
Property 87	long_name:thing
Property 88	phase:?
Property 89	cocked:?
Property 90	seen_once:?
Property 91	brightness:?
Property 92	broken:?
Property 93	turns_here:?
Property 94	touched_once:?
Property 95	swinging:?
Property 96	destination:?
Property 97	test_word:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Score		! 'score'
Action 11	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 12	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 13	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 14	Drop		! 'let' 'go' 'of' multiheld
				! 'let' 'go' multiheld
				! 'let' multiheld 'go'
				! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 15	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 16	PutOn		! 'bandage' noun 'with' noun
				! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 17	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 18	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 19	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 20	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 21	Enter		! 'climb'/'scale' 'in'/'into' noun
				! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 22	GetOff		! 'get' 'off' noun
Action 23	Exit		! 'exit'/'out'/'outside'
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 24	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 26	LMode1		! 'brief'/'normal'
Action 27	LMode2		! 'long'/'verbose'
Action 28	LMode3		! 'short'/'superbrie'
Action 29	Look		! 'l//'/'look'
Action 30	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' routine70872
				! 'l//'/'look' 'at' noun
Action 31	LookUnder	! 'l//'/'look' 'under' noun
Action 32	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 33	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 34	Lock		! 'lock' noun 'with' held
Action 35	SwitchOn	! 'light' noun
				! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 36	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 37	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 38	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 39	Disrobe		! 'unstrap' held
				! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 40	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 41	Eat		! 'eat' held
Action 42	Yes		! 'y//'/'yes'
Action 43	No		! 'no'
Action 44	Burn		! 'burn' noun
Action 45	Pray		! 'pray'
Action 46	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 47	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 49	Think		! 'think'
Action 50	Smell		! 'breathe'/'inhale'
				! 'breathe'/'inhale' noun
				! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 51	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 52	Taste		! 'taste' noun
Action 53	Touch		! 'tap' noun
				! 'feel'/'fondle'/'grope'/'touch' noun
Action 54	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 55	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 56	Jump		! 'hop'/'jump'/'skip'
Action 57	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
				! 'hop'/'jump'/'skip' noun
Action 58	Tie		! 'strap' noun 'to'/'on'/'onto'/'around' noun
				! 'fix' noun 'to'/'onto'/'around' noun
				! 'attach'/'fasten'/'tie' noun 'to'/'onto'/'around' noun
Action 59	Drink		! 'drink'/'sip'/'swallow' noun
Action 60	Fill		! 'fill' noun
Action 61	Sorry		! 'sorry'
Action 62	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 63	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 64	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 65	Swim		! 'dive'/'swim'
Action 66	Swing		! 'swing' noun
				! 'swing' 'on'/'from' noun
Action 67	Blow		! 'blow' held
Action 68	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 69	Set		! 'adjust'/'set' noun
Action 70	SetTo		! 'adjust'/'set' noun 'to' special
Action 71	WaveHands	! 'wave'
Action 72	Wave		! 'wave' noun
Action 73	Pull		! 'drag'/'pull' noun
Action 74	Push		! 'move' noun
				! 'clear'/'press'/'push'/'shift' noun
Action 75	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 76	PushDir		! 'move' noun noun
				! 'clear'/'press'/'push'/'shift' noun noun
Action 77	Squeeze		! 'squash'/'squeeze' noun
Action 78	ThrowAt		! 'discard'/'drop'/'throw' held routine70872
				! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 79	Tell		! 'tell' creature 'about' topic
Action 80	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 81	Ask		! 'ask' creature 'about' topic
Action 82	Buy		! 'buy'/'purchase' noun
Action 83	Sing		! 'sing'
Action 84	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over'/'on'/'onto' noun
Action 85	Wait		! 'rest'
				! 'wait'/'z//'
Action 86	Sleep		! 'nap'/'sleep'
Action 87	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
Action 88	AskFor		! 'ask' creature 'for' noun
Action 91	Transfer	! 'move' noun 'to' noun
				! 'clear'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 92	CaveGo		! 'move' noun=routine70860
				! 'move' routine70936
				! 'leave' noun=routine70860
				! 'leave' routine70936
				! 'go'/'run'/'walk' noun=routine70860
				! 'go'/'run'/'walk' routine70936
Action 93	TurnAround	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'around'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' routine70936
Action 94	Repair		! 'fix' noun
				! 'repair' noun
Action 95	Cock		! 'cock' noun
Action 96	Uncock		! 'uncock' noun
Action 97	Reload		! 'load'/'reload' noun 'with' noun
				! 'load'/'reload' noun 'in'/'into' noun
Action 98	Untie		! 'detach'/'unfasten'/'untie' noun
				! 'detach'/'unfasten'/'untie' noun 'from' noun
Action 99	VagueShoot	! 'shoot' 'at' noun
				! 'shoot' 'to' noun=routine70860
				! 'shoot' noun
				! 'fire' 'at' noun
				! 'fire' 'to' noun=routine70860
				! 'fire' noun=routine70860
Action 100	JumpInto	! 'hop'/'jump'/'skip' 'in'/'into' noun
Action 101	AutoCaveGo	! ',autocav'
Action 102	NotThisGame	! 'embrace'/'hug'/'kiss' noun
Action 103	VagueSwing	! 'swing'
Action 104	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 105	VagueReload	! 'load'/'reload' noun
Action 106	ShootAt		! 'shoot' noun 'at' noun
				! 'shoot' noun 'with' noun
				! 'fire' noun 'at' noun
				! 'fire' noun 'to' noun=routine70860
Action 107	Version		! 'version'
Action 108	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 109	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 110	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 111	About		! 'about'/'info'

Word	,autocav	,autocav
Word	backwards	backwards
Word	bloodstai	bloodstai
Word	bowstring	bowstring
Word	buttresse	buttresse
Word	everythin	everythin
Word	flowstone	flowstone
Word	formation	formation
Word	fullscore	fullscore
Word	inventory	inventory
Word	kolt-pin	kolt-pin
Word	laminated	laminated
Word	leaf-lat	leaf-lat
Word	leaflaths	leaflaths
Word	limestone	limestone
Word	mechanism	mechanism
Word	seventeen	seventeen
Word	something	something
Word	stalactit	stalactit
Word	stalagmit	stalagmit
Word	striation	striation
Word	superbrie	superbrie
Word	thighband	thighband
Word	transcrip	transcrip
Word	travertin	travertin
Word	wumpus's	wumpus's

Routine 0x493c	routine18748:?
Routine 0x4944	routine18756:?
Routine 0x4950	routine18768:?
Routine 0x4954	routine18772:?
Routine 0x4978	routine18808:?
Routine 0x4a18	routine18968:?
Routine 0x4bf0	routine19440:?
Routine 0x4c28	routine19496:?
Routine 0x4c64	routine19556:?
Routine 0x4c94	routine19604:?
Routine 0x4cc4	routine19652:?
Routine 0x4cd8	routine19672:?
Routine 0x4d0c	routine19724:?
Routine 0x4d48	routine19784:?
Routine 0x6a70	routine27248:?
! References: obj10__self_object_.short_name
Routine 0x6a7c	routine27260:?
Routine 0x6a88	routine27272:?
Routine 0x6a94	routine27284:?
Routine 0x6ab4	routine27316:?
Routine 0x6b40	routine27456:?
! References: obj11__Inform_Parser_.parse_input
Routine 0x6b54	routine27476:?
Routine 0x6b5c	routine27484:?
Routine 0x6b6c	routine27500:?
Routine 0x6d44	routine27972:?
Routine 0x752c	routine29996:?
Routine 0x7560	routine30048:?
Routine 0x757c	routine30076:?
Routine 0x76c0	routine30400:?
Routine 0x76d8	routine30424:?
Routine 0x7728	routine30504:?
Routine 0x7ae0	routine31456:?
Routine 0x7fa4	routine32676:?
Routine 0x8260	routine33376:?
Routine 0x833c	routine33596:?
Routine 0x84ac	routine33964:?
Routine 0x84f4	routine34036:?
Routine 0x85e8	routine34280:?
Routine 0x8660	routine34400:?
Routine 0x86b0	routine34480:?
Routine 0x86e4	routine34532:?
Routine 0x8734	routine34612:?
Routine 0x875c	routine34652:?
Routine 0x8778	routine34680:?
Routine 0x87a8	routine34728:?
Routine 0x8844	routine34884:?
Routine 0x8858	routine34904:?
Routine 0x8874	routine34932:?
Routine 0x88f4	routine35060:?
Routine 0x8924	routine35108:?
Routine 0x8a0c	routine35340:?
Routine 0x8a30	routine35376:?
Routine 0x8a7c	routine35452:?
Routine 0x8ba0	routine35744:?
Routine 0x8bf8	routine35832:?
Routine 0x8c24	routine35876:?
Routine 0x8c54	routine35924:?
Routine 0x8c9c	routine35996:?
Routine 0x8ce8	routine36072:?
Routine 0x8d00	routine36096:?
Routine 0x8d18	routine36120:?
Routine 0x8d24	routine36132:?
Routine 0x8e20	routine36384:?
Routine 0x8e28	routine36392:?
Routine 0x8e70	routine36464:?
Routine 0x8e84	routine36484:?
Routine 0x8e98	routine36504:?
Routine 0x8eb4	routine36532:?
Routine 0x8f14	PronounsSub:?
Routine 0x8fc0	routine36800:?
Routine 0x8ff4	routine36852:?
Routine 0x9024	routine36900:?
Routine 0x902c	routine36908:?
Routine 0x9058	routine36952:?
! References: obj12__Inform_Library_.play
Routine 0x90c0	routine37056:?
! References: obj12__Inform_Library_.end_turn_sequence
Routine 0x93fc	routine37884:?
! References: obj12__Inform_Library_.begin_action
Routine 0x94b4	routine38068:?
Routine 0x94e8	routine38120:?
Routine 0x94f4	routine38132:?
Routine 0x959c	routine38300:?
Routine 0x95bc	routine38332:?
Routine 0x95e8	routine38376:?
Routine 0x9630	routine38448:?
Routine 0x966c	routine38508:?
Routine 0x96b4	routine38580:?
Routine 0x96f0	routine38640:?
Routine 0x96fc	routine38652:?
Routine 0x9720	routine38688:?
Routine 0x9780	routine38784:?
Routine 0x97a0	routine38816:?
Routine 0x97c4	routine38852:?
Routine 0x97d4	routine38868:?
Routine 0x9830	routine38960:?
Routine 0x9868	routine39016:?
Routine 0x98b8	routine39096:?
Routine 0x98e0	routine39136:?
Routine 0x98fc	routine39164:?
Routine 0x9910	routine39184:?
Routine 0x992c	routine39212:?
Routine 0x995c	routine39260:?
Routine 0x99f8	routine39416:?
Routine 0x9a6c	routine39532:?
Routine 0x9af0	routine39664:?
Routine 0x9b88	routine39816:?
Routine 0x9bc8	routine39880:?
Routine 0x9bec	routine39916:?
Routine 0x9c10	routine39952:?
Routine 0x9c24	routine39972:?
Routine 0x9c2c	routine39980:?
Routine 0x9c5c	routine40028:?
Routine 0x9c78	routine40056:?
Routine 0x9ca8	routine40104:?
Routine 0x9e7c	routine40572:?
Routine 0x9f00	VersionSub:?
Routine 0x9f88	routine40840:?
Routine 0x9fb4	routine40884:?
Routine 0x9ff8	routine40952:?
Routine 0xa018	routine40984:?
Routine 0xa06c	routine41068:?
Routine 0xa0bc	routine41148:?
Routine 0xa128	routine41256:?
Routine 0xa140	routine41280:?
Routine 0xa168	routine41320:?
Routine 0xa7a8	routine42920:?
Routine 0xa804	routine43012:?
Routine 0xaab8	routine43704:?
Routine 0xab60	routine43872:?
Routine 0xad50	routine44368:?
Routine 0xadd4	routine44500:?
Routine 0xae10	routine44560:?
Routine 0xae20	routine44576:?
