! Auto-generated by Reform.

MD5	96d314997e5d3a5a793c83845977d44d
Object 151	obj151_sparrowhawk
Object 152	obj152_grass
Object 153	obj153_sea
Object 154	obj154_exits
Object 155	obj155_sky
Object 156	obj156_Abandoned_Inn
Object 157	obj157_sign
Object 158	obj158_inn
Object 159	obj159_roof
Object 160	obj160_door
Object 161	obj161_walls
Object 162	obj162_grass
Object 163	obj163_garden
Object 164	obj164_exits
Object 165	obj165_sky
Object 166	obj166_Damp_Tunnel
Object 167	obj167_tunnel
Object 168	obj168_ground
Object 169	obj169_walls
Object 170	obj170_smells
Object 171	obj171_exits
Object 172	obj172_Rock_Chamber
Object 173	obj173_fissure
Object 174	obj174_chamber
Object 175	obj175_fireflies
Object 176	obj176_floor
Object 177	obj177_stalactites
Object 178	obj178_exits
Object 179	obj179_Dragon_s_Lair
Object 180	obj180_huge_dragon
Object 181	obj181_pile_of_bones
Object 182	obj182_green_glass_bottle
Object 183	obj183_scroll_of_parchment
Object 184	obj184_chamber
Object 185	obj185_cobwebs
Object 186	obj186_exits
Object 187	obj187_Inside_the_Lighthouse_Ruins
Object 188	obj188_mouldy_old_boot
Object 189	obj189_small_screwdriver
Object 190	obj190_passage
Object 191	obj191_floor
Object 192	obj192_walls
Object 193	obj193_roof
Object 194	obj194_exits
Object 195	obj195_Secret_Passageway
Object 196	obj196_floor
Object 197	obj197_cobwebs
Object 198	obj198_passageway
Object 199	obj199_exits
Object 200	obj200_Inside_the_Inn
Object 201	obj201_magnificently_carved_chair
Object 202	obj202_carvings
Object 203	obj203_goblin
Object 204	obj204_carvings
Object 205	obj205_sofa
Object 206	obj206_cushions
Object 207	obj207_dark_wooden_table
Object 208	obj208_chairs
Object 209	obj209_pictures
Object 210	obj210_swords
Object 211	obj211_crossbow
Object 212	obj212_floor
Object 213	obj213_dust
Object 214	obj214_walls
Object 215	obj215_ceiling
Object 216	obj216_steps
Object 217	obj217_exits
Object 218	obj218_Inn_Cellar
Object 219	obj219_ancient_silver_coin
Object 220	obj220_barrels
Object 221	obj221_pewter_mug
Object 222	obj222_tunnel
Object 223	obj223_sounds
Object 224	obj224_floor
Object 225	obj225_marks
Object 226	obj226_walls
Object 227	obj227_roof
Object 228	obj228_exits
Object 229	obj229_Castle_Hallway
Object 230	obj230_stairs
Object 231	obj231_hall
Object 232	obj232_floor
Object 233	obj233_walls
Object 234	obj234_roof
Object 235	obj235_exits
Object 236	obj236_Inside_a_Cottage
Object 237	obj237_wooden_table
Object 238	obj238_nail_behind_the_door
Object 239	obj239_large_iron_key
Object 240	obj240_bunch_of_bananas
Object 241	obj241_door
Object 242	obj242_tablecloth
Object 243	obj243_chair
Object 244	obj244_curtains
Object 245	obj245_pictures
Object 246	obj246_pots
Object 247	obj247_cloths
Object 248	obj248_warming_pan
Object 249	obj249_fire
Object 250	obj250_floor
Object 251	obj251_walls
Object 252	obj252_roof
Object 253	obj253_windows
Object 254	obj254_exits
Object 255	obj255_Top_of_a_Tower
Object 256	obj256_monkey
Object 257	obj257_booklet
Object 258	obj258_sword
Object 259	obj259_hang_glider
Object 260	obj260_banana_skins
Object 261	obj261_view
Object 262	obj262_tower
Object 263	obj263_floor
Object 264	obj264_sky
Object 265	obj265_stairs
Object 266	obj266_exits
Object 267	obj267_Dragon_s_Treasure_Store
Object 268	obj268_Flames

Attribute 0	animate			! obj20__self_object_ npc obj79_huge_Troll_with_a_club obj117_little_man obj180_huge_dragon obj256_monkey
Attribute 2	clothing		! obj61_parachute
Attribute 3	concealed		! obj6_compass obj20__self_object_
Attribute 4	container		! obj32_lost_bag obj33_temp_bag obj52_bicycle_basket obj96_brown_hessian_sack
Attribute 5	door			! obj35_castle_door obj71_lighthouse obj72_lighthouse obj125_cave obj130_cottage obj132_door obj158_inn obj160_door obj222_tunnel obj230_stairs
Attribute 6	edible			! obj240_bunch_of_bananas
Attribute 7	enterable		! obj201_magnificently_carved_chair obj205_sofa obj243_chair
Attribute 9	light			! room obj34_Forbidding_Castle obj42_Castle_Forge obj50_Wasteland_by_a_Castle obj60_Pebbled_Beach obj68_Beside_a_Ruined_Lighthouse obj77_North_End_of_a_Road obj87_South_End_of_a_Road obj93_Lake_in_the_Forest obj106_Tree_Stump obj116_Swampy_Ground obj124_Cave_Entrance obj129_Cottage obj138_Forest_Pathway obj148_Rocky_Mountains obj156_Abandoned_Inn obj187_Inside_the_Lighthouse_Ruins obj200_Inside_the_Inn obj218_Inn_Cellar obj229_Castle_Hallway obj236_Inside_a_Cottage obj255_Top_of_a_Tower obj267_Dragon_s_Treasure_Store obj268_Flames
Attribute 10	lockable		! obj35_castle_door obj38_castle
Attribute 11	locked			! obj35_castle_door
Attribute 14	open			! obj52_bicycle_basket
Attribute 15	openable		! obj35_castle_door obj96_brown_hessian_sack
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside fixed prop far obj35_castle_door obj37_walls obj38_castle obj39_scrub obj40_exits obj41_sky obj44_walls obj45_castle obj46_forge obj47_scrub obj48_exits obj49_sky obj52_bicycle_basket obj53_grass obj54_castle obj55_wasteland obj56_gulls obj57_exits obj58_sky obj59_water obj62_water obj63_ground obj64_lighthouse obj65_gulls obj66_exits obj67_sky obj69_water obj70_ground obj71_lighthouse obj72_lighthouse obj73_beach obj74_gulls obj75_exits obj76_sky obj83_trees obj84_road obj85_exits obj86_sky obj89_trees obj90_road obj91_exits obj92_sky obj94_water obj98_trees obj99_road obj100_fish obj101_dragonflies obj102_sea obj103_grass obj104_exits obj105_sky obj109_trees obj110_lake obj111_butterflies obj112_birds obj113_grass obj114_exits obj115_sky obj120_water obj121_grass obj122_exits obj123_sky obj125_cave obj126_grass obj127_exits obj128_sky obj130_cottage obj131_roof obj132_door obj133_walls obj134_grass obj135_garden obj136_exits obj137_sky obj141_water obj142_trees obj143_ferns obj144_birds obj145_grass obj146_exits obj147_sky obj149_woodland obj150_building obj151_sparrowhawk obj152_grass obj153_sea obj154_exits obj155_sky obj157_sign obj158_inn obj159_roof obj160_door obj161_walls obj162_grass obj163_garden obj164_exits obj165_sky obj167_tunnel obj168_ground obj169_walls obj170_smells obj171_exits obj173_fissure obj174_chamber obj175_fireflies obj176_floor obj177_stalactites obj178_exits obj184_chamber obj185_cobwebs obj186_exits obj190_passage obj191_floor obj192_walls obj193_roof obj194_exits obj196_floor obj197_cobwebs obj198_passageway obj199_exits obj202_carvings obj203_goblin obj204_carvings obj205_sofa obj206_cushions obj207_dark_wooden_table obj208_chairs obj209_pictures obj210_swords obj211_crossbow obj212_floor obj213_dust obj214_walls obj215_ceiling obj216_steps obj217_exits obj222_tunnel obj223_sounds obj224_floor obj225_marks obj226_walls obj227_roof obj228_exits obj230_stairs obj231_hall obj232_floor obj233_walls obj234_roof obj235_exits obj240_bunch_of_bananas obj241_door obj242_tablecloth obj243_chair obj244_curtains obj245_pictures obj246_pots obj247_cloths obj248_warming_pan obj249_fire obj250_floor obj251_walls obj252_roof obj253_windows obj254_exits obj258_sword obj261_view obj262_tower obj263_floor obj264_sky obj265_stairs obj266_exits
Attribute 19	static			! fixed set prop far obj35_castle_door obj37_walls obj38_castle obj39_scrub obj40_exits obj41_sky obj44_walls obj45_castle obj46_forge obj47_scrub obj48_exits obj49_sky obj52_bicycle_basket obj53_grass obj54_castle obj55_wasteland obj56_gulls obj57_exits obj58_sky obj59_water obj62_water obj63_ground obj64_lighthouse obj65_gulls obj66_exits obj67_sky obj69_water obj70_ground obj71_lighthouse obj72_lighthouse obj73_beach obj74_gulls obj75_exits obj76_sky obj78_wooden_signpost obj83_trees obj84_road obj85_exits obj86_sky obj88_signpost obj89_trees obj90_road obj91_exits obj92_sky obj95_long_reeds obj98_trees obj99_road obj100_fish obj101_dragonflies obj102_sea obj103_grass obj104_exits obj105_sky obj107_hollow_tree_stump obj109_trees obj110_lake obj111_butterflies obj112_birds obj113_grass obj114_exits obj115_sky obj120_water obj121_grass obj122_exits obj123_sky obj125_cave obj126_grass obj127_exits obj128_sky obj130_cottage obj131_roof obj132_door obj133_walls obj134_grass obj135_garden obj136_exits obj137_sky obj139_empty_stone_bird_bath obj142_trees obj143_ferns obj144_birds obj145_grass obj146_exits obj147_sky obj149_woodland obj150_building obj151_sparrowhawk obj152_grass obj153_sea obj154_exits obj155_sky obj157_sign obj158_inn obj159_roof obj160_door obj161_walls obj162_grass obj163_garden obj164_exits obj165_sky obj167_tunnel obj168_ground obj169_walls obj170_smells obj171_exits obj173_fissure obj174_chamber obj175_fireflies obj176_floor obj177_stalactites obj178_exits obj184_chamber obj185_cobwebs obj186_exits obj190_passage obj191_floor obj192_walls obj193_roof obj194_exits obj196_floor obj197_cobwebs obj198_passageway obj199_exits obj202_carvings obj203_goblin obj204_carvings obj205_sofa obj206_cushions obj207_dark_wooden_table obj208_chairs obj209_pictures obj210_swords obj211_crossbow obj212_floor obj213_dust obj214_walls obj215_ceiling obj216_steps obj217_exits obj220_barrels obj222_tunnel obj223_sounds obj224_floor obj225_marks obj226_walls obj227_roof obj228_exits obj230_stairs obj231_hall obj232_floor obj233_walls obj234_roof obj235_exits obj237_wooden_table obj238_nail_behind_the_door obj241_door obj242_tablecloth obj243_chair obj244_curtains obj245_pictures obj246_pots obj247_cloths obj248_warming_pan obj249_fire obj250_floor obj251_walls obj252_roof obj253_windows obj254_exits obj261_view obj262_tower obj263_floor obj264_sky obj265_stairs obj266_exits
Attribute 20	supporter		! obj201_magnificently_carved_chair obj205_sofa obj238_nail_behind_the_door obj243_chair
Attribute 23	transparent		! obj20__self_object_ obj32_lost_bag obj33_temp_bag obj52_bicycle_basket
Attribute 29	neuter			! obj180_huge_dragon
Attribute 30	pluralname		! obj95_long_reeds obj207_dark_wooden_table obj208_chairs obj220_barrels obj245_pictures obj246_pots obj260_banana_skins

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:dictword
Property 6	life:string
Property 7	n_to:?
Property 8	s_to:thing
Property 9	e_to:thing
Property 10	w_to:thing
Property 15	u_to:thing
Property 16	d_to:thing
Property 17	in_to:thing
Property 18	out_to:thing
Property 19	door_to:?
Property 20	with_key:?
Property 21	door_dir:?
Property 22	invent:string
Property 29	orders:?
Property 30	initial:thing
Property 31	when_open:string
Property 32	when_closed:string
Property 35	description:?
Property 36	describe:dictword
Property 37	article:string
Property 38	cant_go:string
Property 39	found_in:?
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:string
Property 43	daemon:string
Property 44	each_turn:dictword
Property 45	capacity:?
Property 46	short_name:?
Property 48	parse_name:?
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	given:?
Property 77	ride:?
Property 78	Wake:?
Property 79	greeted:?
Property 80	chasing:?
Property 81	Attack:?
Property 82	follow:?
Property 83	killed:?
Property 84	wild:?
Property 85	asked:?
Property 86	toot:?
Property 87	found:?
Property 88	played:?
Property 89	examined:?
Property 90	opened:?
Property 91	full:?
Property 92	lit:?
Property 93	up_to:?
Property 94	spoken:?
Property 95	timer:?
Property 96	woken:?
Property 97	untrance:?
Property 98	murder:?
Property 99	exam:?
Property 100	smash:?
Property 101	down_to:string
Property 102	tipped:?
Property 103	broken:?
Property 104	blocked:?
Property 105	taken:?
Property 106	stairs:?
Property 107	bribe:?
Property 108	seen:?
Property 109	Touch:?
Property 110	made:?
Property 111	madewhere:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop' multiheld
				!  multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'throw' multiexcept 'on'/'onto' noun
				! 'discard'/'drop' multiexcept 'on'/'onto' noun
				!  multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'throw' multiexcept 'in'/'into' noun
				! 'discard'/'drop' multiexcept 'in'/'into'/'down' noun
				!  multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'spend' noun
				! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'run' noun
				! 'run' 'into'/'in'/'inside'/'through' noun
				! 'go'/'walk' noun
				! 'go'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave'/'yes' 'into'/'in'/'inside'/'through' noun
				!  noun
				!  'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave'/'yes' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'go'/'walk'
				! 
Action 27	Go		! 'run' noun=routine71804
				! 'go'/'walk' noun=routine71804
				! 'leave'/'yes' noun=routine71804
				!  noun=routine71804
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
Action 32	Examine		! 'exam' noun
				! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'no'/'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun 'with' held
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 39	Open		! 'no'/'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 
				! 'y//'
Action 45	No		! 
				! 
Action 46	Burn		! 'ignite' noun
				! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 56	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 58	Jump		! 'fly'
				! 'fly' 'glider'
				! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'tie' noun
				! 'attach'/'fasten'/'tie' noun 'to' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 66	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull' noun
Action 76	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'throw' held 'at'/'against'/'on'/'onto' noun
				! 'discard'/'drop' held 'at'/'against'/'on'/'onto' noun
				!  held 'at'/'against'/'on'/'onto' noun
