! Auto-generated by Reform.

MD5	646a63307f77dcdcd011f330277ae262
Object 131	obj131_PunchCard_77
Object 132	obj132_PunchCard_78
Object 133	obj133_PunchCard_79
Object 134	obj134_PunchCard_80
Object 135	obj135_PunchCard_81
Object 136	obj136_PunchCard_82
Object 137	obj137_PunchCard_83
Object 138	obj138_PunchCard_84
Object 139	obj139_PunchCard_85
Object 140	obj140_PunchCard_86
Object 141	obj141_PunchCard_87
Object 142	obj142_PunchCard_88
Object 143	obj143_PunchCard_89
Object 144	obj144_PunchCard_90
Object 145	obj145_PunchCard_91
Object 146	obj146_PunchCard_92
Object 147	obj147_PunchCard_93
Object 148	obj148_PunchCard_94
Object 149	obj149_PunchCard_95
Object 150	obj150_PunchCard_96
Object 151	obj151_PunchCard_97
Object 152	obj152_PunchCard_98
Object 153	obj153_PunchCard_99
Object 154	obj154_PunchCard_100
Object 155	obj155_PunchCard_101
Object 156	obj156_Front_Of_The_Office
Object 157	obj157_The_Main_Carpark
Object 158	obj158_The_Delivery_Bay_Gateway
Object 159	obj159_Main_Entrance
Object 160	obj160_East_Of_Office
Object 161	obj161_West_Of_Office
Object 162	obj162_Corner_Of_the_Carpark
Object 163	obj163_Some_Bushes
Object 164	obj164_Maintanence_Stairwell__Top_
Object 165	obj165_Maintanence_Stairwell__Bottom_
Object 166	obj166_Generator_Room
Object 167	obj167_Damp_Corner
Object 168	obj168_Storage_Shed_Door
Object 169	obj169_Abandoned_Well
Object 170	obj170_Bottom_Of_The_Well
Object 171	obj171_Car
Object 172	obj172_Bike_Shed
Object 173	obj173_Delivery_Bay
Object 174	obj174_Storage_Shed
Object 175	obj175_Storeroom
Object 176	obj176_Long_Corridor__West_End
Object 177	obj177_Long_Corridor__Middle
Object 178	obj178_Long_Corridor__Middle
Object 179	obj179_Long_Corridor__Middle
Object 180	obj180_Long_Corridor__East_End
Object 181	obj181_Entrance_Lobby
Object 182	obj182_Garden__South_Side_
Object 183	obj183_Garden__North_Side_
Object 184	obj184_Up_The_Paper_Tree
Object 185	obj185_Garden__East_Side_
Object 186	obj186_Meeting_Area
Object 187	obj187_Security_Control_Room
Object 188	obj188_Garden_Shed
Object 189	obj189_Copier_Room
Object 190	obj190_Stationary_Cupboard
Object 191	obj191_Top_Of_The_Shelves
Object 192	obj192_Office
Object 193	obj193_Office
Object 194	obj194_Office
Object 195	obj195_Stairwell__Ground_Floor_
Object 196	obj196_Vault_Door
Object 197	obj197_North_South_Corridoor
Object 198	obj198_Kitchen
Object 199	obj199_Cloakroom
Object 200	obj200_Stairwell__First_Floor_
Object 201	obj201_Landing
Object 202	obj202_Project_Space
Object 203	obj203_Crawl_Space
Object 204	obj204_Hallway
Object 205	obj205_Corner_Office
Object 206	obj206_Waiting_Room
Object 207	obj207_Printing_Room
Object 208	obj208_Board_Room
Object 209	obj209_Card_Room
Object 210	obj210_Chocolate_Room
Object 211	obj211_Office
Object 212	obj212_Office
Object 213	obj213_Office
Object 214	obj214_Bathroom
Object 215	obj215_Gangway
Object 216	obj216_Janitors_Cupboard
Object 217	obj217_Stairwell__Second_Floor_
Object 218	obj218_Second_Floor_Lobby
Object 219	obj219_South_West_Corner
Object 220	obj220_Stock_Room
Object 221	obj221_Waste_Disposal
Object 222	obj222_Games_Room
Object 223	obj223_Balcony
Object 224	obj224_Meeting_Room
Object 225	obj225_Ante_Room
Object 226	obj226_Maintainance_Bay
Object 227	obj227_Eric_Control_Centre
Object 228	obj228_Server_Room_A
Object 229	obj229_Server_Room_B
Object 230	obj230_Airlock
Object 231	obj231_Robot_Chamber
Object 232	obj232_Store_Room
Object 233	obj233_Stairwell__Roof_
Object 234	obj234_Roof__West_
Object 235	obj235_Roof__North_
Object 236	obj236_Roof__East_
Object 237	obj237_Roof__South_
Object 238	obj238_The_Base_Of_Wintermute_s_Tower
Object 239	obj239_Tower_Door
Object 240	obj240_Tower_Lobby
Object 241	obj241_Tower_Control_Room
Object 242	obj242_Ladder
Object 243	obj243_Iron_Door
Object 244	obj244_Control_Panel
Object 245	obj245_Button
Object 246	obj246_Fuse
Object 247	obj247_Diesel_Generator
Object 248	obj248_Car
Object 249	obj249_Gun
Object 250	obj250_Long_Ladder
Object 251	obj251_Top_Of_Ladder
Object 252	obj252_Plant_Pots
Object 253	obj253_Coil_of_wire
Object 254	obj254_Dragon_Statue
Object 255	obj255_Long_Key
Object 256	obj256_Security_Cupboard
Object 257	obj257_Clingfilm_Patch
Object 258	obj258_Knife
Object 259	obj259_Blunt_Knife
Object 260	obj260_Coffee_Cup
Object 261	obj261_Fountain
Object 262	obj262_Water
Object 263	obj263_Pen
Object 264	obj264_Copy_Machine
Object 265	obj265_Copy_Machine_Lid
Object 266	obj266_Copy_Machine_Lights
Object 267	obj267_Paper_Tray
Object 268	obj268_Sheet_of_Paper
Object 269	obj269_Vault_Keypad
Object 270	obj270_Vault_Door
Object 271	obj271_White_Board
Object 272	obj272_Board_Marker
Object 273	obj273_Toner_Cartridge
Object 274	obj274_Printer
Object 275	obj275_Cartridge_Slot
Object 276	obj276_Paper_Tray
Object 277	obj277_Printer_Light
Object 278	obj278_Printer_Button
Object 279	obj279_Sheet_of_Paper__Printed_
Object 280	ChocolateBar
Object 281	obj281_ChocolateBar_1
Object 282	obj282_ChocolateBar_2
Object 283	obj283_ChocolateBar_3
Object 284	obj284_ChocolateBar_4
Object 285	obj285_ChocolateBar_5
Object 286	obj286_ChocolateBar_6
Object 287	obj287_ChocolateBar_7
Object 288	obj288_ChocolateBar_8
Object 289	obj289_ChocolateBar_9
Object 290	obj290_ChocolateBar_10
Object 291	obj291_ChocolateBar_11
Object 292	obj292_ChocolateBar_12
Object 293	obj293_ChocolateBar_13
Object 294	obj294_ChocolateBar_14
Object 295	obj295_ChocolateBar_15
Object 296	obj296_ChocolateBar_16
Object 297	obj297_ChocolateBar_17
Object 298	obj298_ChocolateBar_18
Object 299	obj299_ChocolateBar_19
Object 300	obj300_ChocolateBar_20
Object 301	obj301_ChocolateBar_21
Object 302	obj302_ChocolateBar_22
Object 303	obj303_ChocolateBar_23
Object 304	obj304_ChocolateBar_24
Object 305	obj305_ChocolateBar_25
Object 306	obj306_ChocolateBar_26
Object 307	obj307_ChocolateBar_27
Object 308	obj308_ChocolateBar_28
Object 309	obj309_ChocolateBar_29
Object 310	obj310_ChocolateBar_30
Object 311	obj311_ChocolateBar_31
Object 312	obj312_ChocolateBar_32
Object 313	obj313_ChocolateBar_33
Object 314	obj314_ChocolateBar_34
Object 315	obj315_ChocolateBar_35
Object 316	obj316_ChocolateBar_36
Object 317	obj317_ChocolateBar_37
Object 318	obj318_ChocolateBar_38
Object 319	obj319_ChocolateBar_39
Object 320	obj320_ChocolateBar_40
Object 321	obj321_ChocolateBar_41
Object 322	obj322_ChocolateBar_42
Object 323	obj323_ChocolateBar_43
Object 324	obj324_ChocolateBar_44
Object 325	obj325_ChocolateBar_45
Object 326	obj326_ChocolateBar_46
Object 327	obj327_ChocolateBar_47
Object 328	obj328_ChocolateBar_48
Object 329	obj329_ChocolateBar_49
Object 330	obj330_ChocolateBar_50
Object 331	obj331_ChocolateBar_51
Object 332	obj332_Waste_Disposal_Machine
Object 333	obj333_Airlock_Outer_Door
Object 334	obj334_Airlock_Inner_Door
Object 335	obj335_Security_Pass_Slot
Object 336	obj336_Security_Pass
Object 337	obj337_Wooden_Table
Object 338	obj338_Bunch_of_Keys
Object 339	obj339_Roof_Drain
Object 340	obj340_Leaky_Pipe
Object 341	obj341_Large_Duct
Object 342	obj342_Card_Punching_Machine
Object 343	obj343_Card_Dispenser
Object 344	obj344_Card_Dispenser_Button
Object 345	obj345_Giant_Robot
Object 346	obj346_Robot_s_Plaque
Object 347	obj347_Well
Object 348	obj348_Murky_Water
Object 349	obj349_Bushes
Object 350	obj350_Small_Yellow_Label
Object 351	obj351_Security_Gate
Object 352	obj352_Car
Object 353	obj353_Metal_Grill
Object 354	obj354_Dust
Object 355	obj355_Footprints
Object 356	obj356_Wild_Plants
Object 357	obj357_Office_Building
Object 358	obj358_Boxes
Object 359	obj359_Clingfilm
Object 360	obj360_Paper_Tree
Object 361	obj361_Flowers
Object 362	obj362_Trees
Object 363	obj363_Shelves
Object 364	obj364_Desk
Object 365	obj365_Chair
Object 366	obj366_Computer
Object 367	obj367_Stairs
Object 368	obj368_Kitchen_Cupboards
Object 369	obj369_Kitchen_Counter
Object 370	obj370_Water_Cooler
Object 371	obj371_Receptionist_s_Desk
Object 372	obj372_Main_Door
Object 373	obj373_Paper_Tree_Leaves
Object 374	obj374_Carpark
Object 375	obj375_Glass_Wall
Object 376	obj376_Garden_Window
Object 377	obj377_Chairs
Object 378	obj378_Boardroom_Table
Object 379	obj379_Chairs
Object 380	obj380_Plasma_Screen
Object 381	obj381_Cubicles
Object 382	obj382_The_City
Object 383	obj383_Boxes
Object 384	obj384_Arcade_Game
Object 385	obj385_Pool_Table
Object 386	obj386_Meeting_Room_Table
Object 387	obj387_Meeting_Room_Chairs
Object 388	obj388_Eric_Monitoring_Console
Object 389	obj389_Operator_Chairs
Object 390	obj390_Rack_mount_Servers
Object 391	obj391_Wintermute_s_Tower
Object 392	obj392_Scattered_Papers

Attribute 0	animate			! obj20__self_object_ obj345_Giant_Robot
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj265_Copy_Machine_Lid obj266_Copy_Machine_Lights obj267_Paper_Tray obj271_White_Board obj275_Cartridge_Slot obj276_Paper_Tray obj277_Printer_Light obj278_Printer_Button obj340_Leaky_Pipe obj346_Robot_s_Plaque obj374_Carpark obj375_Glass_Wall obj376_Garden_Window
Attribute 4	container		! LiquidContainer obj247_Diesel_Generator obj248_Car obj256_Security_Cupboard obj260_Coffee_Cup obj261_Fountain obj267_Paper_Tray obj332_Waste_Disposal_Machine obj335_Security_Pass_Slot obj339_Roof_Drain obj343_Card_Dispenser
Attribute 7	enterable		! obj248_Car obj347_Well
Attribute 9	light			! Room obj27_Null_Room obj156_Front_Of_The_Office obj157_The_Main_Carpark obj158_The_Delivery_Bay_Gateway obj159_Main_Entrance obj160_East_Of_Office obj161_West_Of_Office obj162_Corner_Of_the_Carpark obj163_Some_Bushes obj164_Maintanence_Stairwell__Top_ obj165_Maintanence_Stairwell__Bottom_ obj166_Generator_Room obj167_Damp_Corner obj168_Storage_Shed_Door obj169_Abandoned_Well obj170_Bottom_Of_The_Well obj171_Car obj172_Bike_Shed obj173_Delivery_Bay obj174_Storage_Shed obj175_Storeroom obj176_Long_Corridor__West_End obj177_Long_Corridor__Middle obj178_Long_Corridor__Middle obj179_Long_Corridor__Middle obj180_Long_Corridor__East_End obj181_Entrance_Lobby obj182_Garden__South_Side_ obj183_Garden__North_Side_ obj184_Up_The_Paper_Tree obj185_Garden__East_Side_ obj186_Meeting_Area obj187_Security_Control_Room obj188_Garden_Shed obj189_Copier_Room obj190_Stationary_Cupboard obj191_Top_Of_The_Shelves obj192_Office obj193_Office obj194_Office obj195_Stairwell__Ground_Floor_ obj196_Vault_Door obj197_North_South_Corridoor obj198_Kitchen obj199_Cloakroom obj200_Stairwell__First_Floor_ obj201_Landing obj202_Project_Space obj203_Crawl_Space obj204_Hallway obj205_Corner_Office obj206_Waiting_Room obj207_Printing_Room obj208_Board_Room obj209_Card_Room obj210_Chocolate_Room obj211_Office obj212_Office obj213_Office obj214_Bathroom obj215_Gangway obj216_Janitors_Cupboard obj217_Stairwell__Second_Floor_ obj218_Second_Floor_Lobby obj219_South_West_Corner obj220_Stock_Room obj221_Waste_Disposal obj222_Games_Room obj223_Balcony obj224_Meeting_Room obj225_Ante_Room obj226_Maintainance_Bay obj227_Eric_Control_Centre obj228_Server_Room_A obj229_Server_Room_B obj230_Airlock obj231_Robot_Chamber obj232_Store_Room obj233_Stairwell__Roof_ obj234_Roof__West_ obj235_Roof__North_ obj236_Roof__East_ obj237_Roof__South_ obj238_The_Base_Of_Wintermute_s_Tower obj239_Tower_Door obj240_Tower_Lobby obj241_Tower_Control_Room
Attribute 10	lockable		! obj243_Iron_Door obj256_Security_Cupboard obj270_Vault_Door obj334_Airlock_Inner_Door obj368_Kitchen_Cupboards obj372_Main_Door obj381_Cubicles
Attribute 11	locked			! obj243_Iron_Door obj256_Security_Cupboard obj270_Vault_Door obj334_Airlock_Inner_Door obj368_Kitchen_Cupboards obj372_Main_Door obj381_Cubicles
Attribute 14	open			! LiquidContainer obj247_Diesel_Generator obj260_Coffee_Cup obj332_Waste_Disposal_Machine obj335_Security_Pass_Slot obj339_Roof_Drain obj343_Card_Dispenser obj345_Giant_Robot obj352_Car
Attribute 15	openable		! obj243_Iron_Door obj248_Car obj256_Security_Cupboard obj267_Paper_Tray obj270_Vault_Door obj275_Cartridge_Slot obj276_Paper_Tray obj332_Waste_Disposal_Machine obj333_Airlock_Outer_Door obj334_Airlock_Inner_Door obj352_Car obj368_Kitchen_Cupboards obj372_Main_Door obj381_Cubicles
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj391_Wintermute_s_Tower
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside Scenic obj242_Ladder obj243_Iron_Door obj244_Control_Panel obj245_Button obj251_Top_Of_Ladder obj261_Fountain obj264_Copy_Machine obj265_Copy_Machine_Lid obj266_Copy_Machine_Lights obj267_Paper_Tray obj269_Vault_Keypad obj270_Vault_Door obj271_White_Board obj274_Printer obj275_Cartridge_Slot obj276_Paper_Tray obj277_Printer_Light obj278_Printer_Button obj333_Airlock_Outer_Door obj334_Airlock_Inner_Door obj335_Security_Pass_Slot obj339_Roof_Drain obj340_Leaky_Pipe obj341_Large_Duct obj342_Card_Punching_Machine obj344_Card_Dispenser_Button obj345_Giant_Robot obj346_Robot_s_Plaque obj347_Well obj348_Murky_Water obj349_Bushes obj350_Small_Yellow_Label obj351_Security_Gate obj352_Car obj353_Metal_Grill obj354_Dust obj355_Footprints obj356_Wild_Plants obj357_Office_Building obj358_Boxes obj359_Clingfilm obj360_Paper_Tree obj361_Flowers obj362_Trees obj363_Shelves obj364_Desk obj365_Chair obj366_Computer obj367_Stairs obj368_Kitchen_Cupboards obj369_Kitchen_Counter obj370_Water_Cooler obj371_Receptionist_s_Desk obj372_Main_Door obj373_Paper_Tree_Leaves obj374_Carpark obj375_Glass_Wall obj376_Garden_Window obj377_Chairs obj378_Boardroom_Table obj379_Chairs obj380_Plasma_Screen obj381_Cubicles obj382_The_City obj383_Boxes obj384_Arcade_Game obj385_Pool_Table obj386_Meeting_Room_Table obj387_Meeting_Room_Chairs obj388_Eric_Monitoring_Console obj389_Operator_Chairs obj390_Rack_mount_Servers obj391_Wintermute_s_Tower obj392_Scattered_Papers
Attribute 18	scored			! Room obj27_Null_Room obj156_Front_Of_The_Office obj157_The_Main_Carpark obj158_The_Delivery_Bay_Gateway obj159_Main_Entrance obj160_East_Of_Office obj161_West_Of_Office obj162_Corner_Of_the_Carpark obj163_Some_Bushes obj164_Maintanence_Stairwell__Top_ obj165_Maintanence_Stairwell__Bottom_ obj166_Generator_Room obj167_Damp_Corner obj168_Storage_Shed_Door obj169_Abandoned_Well obj170_Bottom_Of_The_Well obj171_Car obj172_Bike_Shed obj173_Delivery_Bay obj174_Storage_Shed obj175_Storeroom obj176_Long_Corridor__West_End obj177_Long_Corridor__Middle obj178_Long_Corridor__Middle obj179_Long_Corridor__Middle obj180_Long_Corridor__East_End obj181_Entrance_Lobby obj182_Garden__South_Side_ obj183_Garden__North_Side_ obj184_Up_The_Paper_Tree obj185_Garden__East_Side_ obj186_Meeting_Area obj187_Security_Control_Room obj188_Garden_Shed obj189_Copier_Room obj190_Stationary_Cupboard obj191_Top_Of_The_Shelves obj192_Office obj193_Office obj194_Office obj195_Stairwell__Ground_Floor_ obj196_Vault_Door obj197_North_South_Corridoor obj198_Kitchen obj199_Cloakroom obj200_Stairwell__First_Floor_ obj201_Landing obj202_Project_Space obj203_Crawl_Space obj204_Hallway obj205_Corner_Office obj206_Waiting_Room obj207_Printing_Room obj208_Board_Room obj209_Card_Room obj210_Chocolate_Room obj211_Office obj212_Office obj213_Office obj214_Bathroom obj215_Gangway obj216_Janitors_Cupboard obj217_Stairwell__Second_Floor_ obj218_Second_Floor_Lobby obj219_South_West_Corner obj220_Stock_Room obj221_Waste_Disposal obj222_Games_Room obj223_Balcony obj224_Meeting_Room obj225_Ante_Room obj226_Maintainance_Bay obj227_Eric_Control_Centre obj228_Server_Room_A obj229_Server_Room_B obj230_Airlock obj231_Robot_Chamber obj232_Store_Room obj233_Stairwell__Roof_ obj234_Roof__West_ obj235_Roof__North_ obj236_Roof__East_ obj237_Roof__South_ obj238_The_Base_Of_Wintermute_s_Tower obj239_Tower_Door obj240_Tower_Lobby obj241_Tower_Control_Room
Attribute 19	static			! obj242_Ladder obj243_Iron_Door obj247_Diesel_Generator obj248_Car obj256_Security_Cupboard obj261_Fountain obj264_Copy_Machine obj265_Copy_Machine_Lid obj266_Copy_Machine_Lights obj267_Paper_Tray obj269_Vault_Keypad obj270_Vault_Door obj271_White_Board obj275_Cartridge_Slot obj276_Paper_Tray obj277_Printer_Light obj278_Printer_Button obj332_Waste_Disposal_Machine obj333_Airlock_Outer_Door obj334_Airlock_Inner_Door obj335_Security_Pass_Slot obj337_Wooden_Table obj339_Roof_Drain obj340_Leaky_Pipe obj341_Large_Duct obj342_Card_Punching_Machine obj343_Card_Dispenser obj344_Card_Dispenser_Button obj345_Giant_Robot obj346_Robot_s_Plaque obj347_Well obj348_Murky_Water obj350_Small_Yellow_Label obj351_Security_Gate obj352_Car obj353_Metal_Grill obj354_Dust obj355_Footprints obj356_Wild_Plants obj357_Office_Building obj358_Boxes obj359_Clingfilm obj360_Paper_Tree obj361_Flowers obj362_Trees obj363_Shelves obj370_Water_Cooler obj373_Paper_Tree_Leaves obj374_Carpark obj375_Glass_Wall obj376_Garden_Window obj377_Chairs obj378_Boardroom_Table obj379_Chairs obj380_Plasma_Screen obj381_Cubicles obj382_The_City obj383_Boxes obj384_Arcade_Game obj385_Pool_Table obj386_Meeting_Room_Table obj387_Meeting_Room_Chairs obj388_Eric_Monitoring_Console obj389_Operator_Chairs obj390_Rack_mount_Servers obj391_Wintermute_s_Tower obj392_Scattered_Papers
Attribute 20	supporter		! obj271_White_Board obj337_Wooden_Table obj340_Leaky_Pipe
Attribute 23	transparent		! obj20__self_object_ LiquidContainer obj260_Coffee_Cup obj261_Fountain obj339_Roof_Drain
Attribute 30	pluralname		! obj252_Plant_Pots obj358_Boxes obj361_Flowers obj362_Trees obj368_Kitchen_Cupboards obj377_Chairs obj379_Chairs obj381_Cubicles obj383_Boxes obj387_Meeting_Room_Chairs obj389_Operator_Chairs

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:string
Property 6	life:dictword
Property 7	n_to:thing
Property 8	s_to:thing
Property 9	e_to:thing
Property 10	w_to:thing
Property 11	ne_to:?
Property 12	se_to:thing
Property 13	nw_to:thing
Property 14	sw_to:thing
Property 15	u_to:thing
Property 16	d_to:thing
Property 17	in_to:thing
Property 18	out_to:thing
Property 20	with_key:?
Property 21	door_dir:?
Property 23	plural:string
Property 29	orders:?
Property 30	initial:?
Property 35	description:thing
Property 36	describe:string
Property 37	article:string
Property 38	cant_go:string
Property 39	found_in:?
Property 41	number:?
Property 42	time_out:dictword
Property 44	each_turn:string
Property 45	capacity:?
Property 46	short_name:?
Property 48	parse_name:thing
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	kill:string
Property 77	do_pour:string
Property 78	text_written_on:?
Property 79	text_length:?
Property 80	print_code:string
Property 81	test:string
Property 82	opened:?
Property 83	get_object:string
Property 84	codestate:?
Property 85	ButtonPress:string
Property 86	the_naming_word:?
Property 87	dispense:string
Property 88	inital:string
Property 89	prefix:string
Property 90	play_count:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
