! Auto-generated by Reform.

MD5	ec55791be814db3663ad1aec0d6b7690
Object 136	obj136_blue_button
Object 137	obj137_red_button
Object 138	obj138_green_button
Object 139	obj139_yellow_button
Object 140	obj140_display_screen
Object 141	obj141_glass_bubble
Object 142	obj142_Small_Room
Object 143	obj143_long_rope
Object 144	obj144_Corridor
Object 145	obj145_glass_bubble
Object 146	obj146_large_metal_door
Object 147	obj147_metal_table
Object 148	obj148_Corridor
Object 149	obj149_Corridor
Object 150	obj150_sensor
Object 151	obj151_hole
Object 152	obj152_Corridor
Object 153	obj153_Cybermen
Object 154	obj154_footsteps
Object 155	obj155_Cybermen
Object 156	obj156_Cybermen
Object 157	obj157_Corridor
Object 158	obj158_sliding_door
Object 159	obj159_Strange_Chamber
Object 160	obj160_glass_bubble
Object 161	obj161_thin_slot
Object 162	obj162_Corridor
Object 163	obj163_Corridor
Object 164	obj164_Corridor
Object 165	obj165_sensor
Object 166	obj166_hole
Object 167	obj167_Corridor
Object 168	obj168_sliding_door
Object 169	obj169_Flight_Deck
Object 170	obj170_control_panel
Object 171	obj171_controls
Object 172	obj172_viewscreen
Object 173	obj173_metal_chair
Object 174	obj174_black_access_card
Object 175	obj175_small_lever
Object 176	obj176_glass_bubble
Object 177	obj177_thin_slot
Object 178	obj178_Corridor
Object 179	obj179_Prison_Cell
Object 180	obj180_round_plastic_device
Object 181	obj181_tiny_button
Object 182	obj182_seamless_steel_door
Object 183	obj183_glass_bubble
Object 184	obj184_thin_slot
Object 185	obj185_white_access_card
Object 186	obj186_door
Object 187	obj187_Survellance_Room
Object 188	obj188_door
Object 189	obj189_left_screen
Object 190	obj190_right_screen
Object 191	obj191_left_button
Object 192	obj192_right_button
Object 193	rubbish_unit
Object 194	obj194_disposal_unit
Object 195	obj195_pipe
Object 196	obj196_under_the_pipe
Object 197	obj197_hole
Object 198	obj198_wall
Object 199	obj199_battery_powered_torch
Object 200	obj200_Maintenance_Shaft
Object 201	metal_hatch
Object 202	obj202_metal_hatch
Object 203	obj203_ladder
Object 204	obj204_Maintenance_Shaft
Object 205	obj205_metal_hatch
Object 206	obj206_Maintenance_Shaft
Object 207	obj207_Maintenance_Shaft
Object 208	obj208_small_metal_box
Object 209	obj209_wires
Object 210	alarm_wire
Object 211	obj211_red_wire
Object 212	obj212_blue_wire
Object 213	obj213_green_wire
Object 214	obj214_yellow_wire
Object 215	obj215_Maintenance_Shaft
Object 216	obj216_metal_hatch
Object 217	obj217_Maintenance_Shaft
Object 218	obj218_metal_hatch
Object 219	obj219_Maintenance_Shaft
Object 220	obj220_Maintenance_Shaft
Object 221	obj221_Maintenance_Shaft
Object 222	obj222_metal_hatch
Object 223	obj223_round_metal_door
Object 224	obj224_metal_wheel
Object 225	obj225_button
Object 226	obj226_glass_bubble
Object 227	obj227_large_lever
Object 228	obj228_bay_doors
Object 229	obj229_Gallifrey
Object 230	obj230_Timelord
Object 231	obj231_smouldering_heap_of_metal
Object 232	obj232_disposal_unit
Object 233	obj233_pipe
Object 234	obj234_disposal_unit
Object 235	obj235_pipe
Object 236	floor_plate
Object 237	obj237_floor_plate
Object 238	obj238_hinge
Object 239	obj239_melted_floor_plate
Object 240	obj240_melted_catch
Object 241	obj241_melted_hinge
Object 242	obj242_silver_body_parts
Object 243	catch
Object 244	obj244_catch
Object 245	obj245_floor_plate
Object 246	obj246_floor_plate
Object 247	obj247_catch
Object 248	obj248_small_withered_branch
Object 249	obj249_large_withered_branch
Object 250	obj250_electronic_landmine
Object 251	obj251_glass_bulb
Object 252	obj252_black_button
Object 253	obj253_firework
Object 254	obj254_match
Object 255	obj255_glass_bubble
Object 256	obj256_small_metal_box
Object 257	obj257_wires
Object 258	alarm_wire2
Object 259	obj259_red_wire
Object 260	obj260_blue_wire
Object 261	obj261_green_wire
Object 262	obj262_yellow_wire
Object 263	obj263_dias
Object 264	obj264_cylindrical_tank
Object 265	obj265_sickly_green_fluid
Object 266	obj266_Brain_of_Morbius
Object 267	obj267_respirator
Object 268	obj268_intake_vent
Object 269	obj269_grill
Object 270	obj270_thick_cable
Object 271	obj271_gold_powder
Object 272	obj272_white_powder
Object 273	obj273_Cyberman
Object 274	obj274__

Attribute 0	attrib0			! obj20_yourself obj58_K9 obj60_K9 obj129_Ohica obj230_Timelord
Attribute 1	attrib1			! obj28_floppy_felt_hat obj29_tweed_jacket obj30_incredibly_long_scarf
Attribute 2	attrib2			! obj6_compass obj20_yourself obj53_brown_card obj59_small_panel obj80_hatch obj89_withered_branch obj94_brain_case obj154_footsteps obj155_Cybermen obj156_Cybermen obj170_control_panel obj175_small_lever obj180_round_plastic_device obj196_under_the_pipe obj203_ladder obj209_wires obj218_metal_hatch floor_plate obj237_floor_plate obj245_floor_plate obj251_glass_bulb obj252_black_button obj257_wires obj263_dias obj265_sickly_green_fluid
Attribute 3	attrib3			! obj37_tiny_drawer obj38_fluid_link obj49_cupboard obj50_small_cloth_pouch obj52_toolkit obj59_small_panel obj80_hatch obj123_golden_chalice obj196_under_the_pipe obj208_small_metal_box obj256_small_metal_box obj264_cylindrical_tank obj265_sickly_green_fluid obj269_grill
Attribute 4	attrib4			! obj35_main_doors obj51_door obj98_stone_steps obj107_passageway obj111_temple_doors obj113_wooden_door obj118_Temple_doors obj128_tapestry obj146_large_metal_door obj158_sliding_door obj168_sliding_door obj182_seamless_steel_door obj186_door obj188_door metal_hatch obj202_metal_hatch obj205_metal_hatch obj216_metal_hatch obj218_metal_hatch obj222_metal_hatch obj223_round_metal_door
Attribute 5	attrib5			! obj67_lake_water
Attribute 6	attrib6			! obj61_TARDIS obj67_lake_water obj147_metal_table
Attribute 7	attrib7			! obj129_Ohica
Attribute 9	attrib9			! obj34_Console_Room obj44_Corridor obj45_Corridor obj46_Storage_Room obj47_Workshop obj62_Rocky_Clearing obj63_Mountain_Trail obj64_Rocky_Trail obj65_Rocky_Trail obj66_Lakeside obj68_Ledge obj70_Plain obj77_On_Top_of_the_Saucer obj82_Mountain_Trail obj83_Mountain_Trail obj84_Mountain_Trail obj85_Mountain_Trail obj86_Mountain_Trail obj90_Narrow_Cleft obj91_Bottom_of_Cliff obj95_Ruins obj99_Stoney_Trail obj100_Stoney_Trail obj101_Above_Clearing obj108_Dark_Passage obj109_Dark_Passage obj110_Before_Temple obj112_Temple_of_the_Sisterhood_of_Karn obj115_Temple_of_the_Sisterhood_of_Karn obj117_Antechamber obj130_Docking_Bay obj131_Storage_Room obj132_Reactor_Room obj142_Small_Room obj144_Corridor obj148_Corridor obj149_Corridor obj152_Corridor obj157_Corridor obj159_Strange_Chamber obj162_Corridor obj163_Corridor obj164_Corridor obj167_Corridor obj169_Flight_Deck obj178_Corridor obj179_Prison_Cell obj189_left_screen obj190_right_screen obj229_Gallifrey
Attribute 10	attrib10		! obj61_TARDIS obj146_large_metal_door obj208_small_metal_box obj256_small_metal_box
Attribute 11	attrib11		! obj146_large_metal_door obj208_small_metal_box obj256_small_metal_box
Attribute 13	attrib13		! obj135_switch obj145_glass_bubble obj255_glass_bubble
Attribute 14	attrib14		! obj38_fluid_link obj59_small_panel obj61_TARDIS obj98_stone_steps obj107_passageway obj123_golden_chalice obj186_door rubbish_unit obj194_disposal_unit obj196_under_the_pipe obj232_disposal_unit obj234_disposal_unit obj265_sickly_green_fluid obj267_respirator obj268_intake_vent
Attribute 15	attrib15		! obj37_tiny_drawer obj38_fluid_link obj49_cupboard obj50_small_cloth_pouch obj51_door obj52_toolkit obj59_small_panel obj61_TARDIS obj80_hatch obj81_battery obj111_temple_doors obj113_wooden_door obj116_wooden_door obj119_metal_shield obj128_tapestry obj146_large_metal_door obj158_sliding_door obj168_sliding_door obj182_seamless_steel_door obj188_door metal_hatch obj202_metal_hatch obj205_metal_hatch obj208_small_metal_box obj216_metal_hatch obj218_metal_hatch obj222_metal_hatch obj256_small_metal_box obj264_cylindrical_tank
Attribute 16	attrib16		! obj20_yourself obj58_K9 obj60_K9 obj92_Morbius__body obj129_Ohica obj196_under_the_pipe
Attribute 17	attrib17		! obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_southeast_wall obj13_northwest_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj31_long_rope obj35_main_doors obj36_TARDIS_console obj37_tiny_drawer obj39_time_rotor obj40_slot obj41_scanner obj42_red_lever obj43_green_button obj49_cupboard obj51_door obj67_lake_water obj71_incredibly_long_scarf obj72_ledge obj74_thrusters obj76_flying_saucer obj78_flying_saucer obj79_incredibly_long_scarf obj88_branches obj93_cliff obj96_rubble obj106_tiny_space obj111_temple_doors obj113_wooden_door obj114_tapestry obj116_wooden_door obj118_Temple_doors obj119_metal_shield obj122_ledge obj123_golden_chalice obj126_metal_shield obj127_golden_chalice obj128_tapestry obj129_Ohica obj133_anti_matter_reactor obj134_control_bank obj135_switch obj145_glass_bubble obj154_footsteps obj155_Cybermen obj156_Cybermen obj160_glass_bubble obj161_thin_slot obj171_controls obj172_viewscreen obj173_metal_chair obj176_glass_bubble obj177_thin_slot obj183_glass_bubble obj184_thin_slot obj188_door obj189_left_screen obj190_right_screen obj191_left_button obj192_right_button obj197_hole obj198_wall obj203_ladder obj223_round_metal_door obj224_metal_wheel obj225_button obj226_glass_bubble obj227_large_lever obj228_bay_doors obj233_pipe obj235_pipe obj238_hinge obj239_melted_floor_plate obj240_melted_catch obj241_melted_hinge catch obj244_catch obj246_floor_plate obj247_catch obj255_glass_bubble obj267_respirator obj270_thick_cable obj273_Cyberman
Attribute 19	attrib19		! reactor_button obj48_workbench obj61_TARDIS obj69_signpost obj73_flying_saucer obj75_scorch_marks obj80_hatch obj87_withered_tree obj92_Morbius__body obj94_brain_case obj98_stone_steps obj102_huge_boulder obj103_huge_boulder obj107_passageway obj113_wooden_door obj120_Flame_of_Life obj136_blue_button obj137_red_button obj138_green_button obj139_yellow_button obj140_display_screen obj141_glass_bubble obj146_large_metal_door obj150_sensor obj151_hole obj153_Cybermen obj158_sliding_door obj160_glass_bubble obj161_thin_slot obj165_sensor obj166_hole obj168_sliding_door obj170_control_panel obj175_small_lever obj176_glass_bubble obj177_thin_slot obj180_round_plastic_device obj182_seamless_steel_door obj183_glass_bubble obj184_thin_slot obj186_door rubbish_unit obj194_disposal_unit obj195_pipe metal_hatch obj202_metal_hatch obj205_metal_hatch obj208_small_metal_box obj216_metal_hatch obj218_metal_hatch obj222_metal_hatch obj231_smouldering_heap_of_metal obj232_disposal_unit obj234_disposal_unit floor_plate obj237_floor_plate obj242_silver_body_parts obj245_floor_plate obj255_glass_bubble obj256_small_metal_box obj263_dias obj264_cylindrical_tank obj267_respirator obj268_intake_vent obj269_grill obj271_gold_powder obj272_white_powder
Attribute 20	attrib20		! obj48_workbench obj122_ledge obj147_metal_table obj173_metal_chair obj231_smouldering_heap_of_metal obj263_dias
Attribute 21	attrib21		! obj199_battery_powered_torch
Attribute 22	attrib22		! obj266_Brain_of_Morbius
Attribute 23	attrib23		! obj20_yourself obj36_TARDIS_console obj58_K9 obj60_K9 obj134_control_bank obj170_control_panel obj180_round_plastic_device obj223_round_metal_door floor_plate obj237_floor_plate obj239_melted_floor_plate obj245_floor_plate obj250_electronic_landmine obj264_cylindrical_tank obj267_respirator
Attribute 26	attrib26		! obj28_floppy_felt_hat obj29_tweed_jacket obj30_incredibly_long_scarf
Attribute 27	attrib27		! obj53_brown_card obj54_silver_card obj55_gold_card
Attribute 28	attrib28		! obj34_Console_Room obj44_Corridor obj45_Corridor obj46_Storage_Room obj47_Workshop
Attribute 30	attrib30		! obj34_Console_Room obj44_Corridor obj45_Corridor obj46_Storage_Room obj47_Workshop obj62_Rocky_Clearing obj66_Lakeside obj70_Plain obj96_rubble obj130_Docking_Bay obj131_Storage_Room obj132_Reactor_Room obj142_Small_Room obj144_Corridor obj148_Corridor obj149_Corridor obj152_Corridor obj157_Corridor obj159_Strange_Chamber obj162_Corridor obj163_Corridor obj164_Corridor obj167_Corridor obj169_Flight_Deck obj178_Corridor obj179_Prison_Cell obj187_Survellance_Room obj200_Maintenance_Shaft obj204_Maintenance_Shaft obj206_Maintenance_Shaft obj207_Maintenance_Shaft obj215_Maintenance_Shaft obj217_Maintenance_Shaft obj219_Maintenance_Shaft obj220_Maintenance_Shaft obj221_Maintenance_Shaft obj229_Gallifrey
Attribute 31	attrib31		! obj67_lake_water
Attribute 32	attrib32		! obj38_fluid_link obj67_lake_water obj81_battery obj123_golden_chalice rubbish_unit obj194_disposal_unit obj232_disposal_unit obj234_disposal_unit obj264_cylindrical_tank obj265_sickly_green_fluid obj267_respirator obj268_intake_vent obj269_grill
Attribute 35	attrib35		! table_top obj48_workbench obj122_ledge obj147_metal_table obj173_metal_chair obj263_dias
Attribute 36	attrib36		! obj97_scalpel
Attribute 37	attrib37		! obj209_wires alarm_wire obj211_red_wire obj212_blue_wire obj213_green_wire obj214_yellow_wire obj257_wires alarm_wire2 obj259_red_wire obj260_blue_wire obj261_green_wire obj262_yellow_wire obj270_thick_cable
Attribute 42	attrib42		! obj58_K9 obj60_K9 obj69_signpost
Attribute 43	attrib43		! obj200_Maintenance_Shaft obj204_Maintenance_Shaft obj206_Maintenance_Shaft obj207_Maintenance_Shaft obj215_Maintenance_Shaft obj217_Maintenance_Shaft obj219_Maintenance_Shaft obj220_Maintenance_Shaft obj221_Maintenance_Shaft
Attribute 44	attrib44		! obj108_Dark_Passage obj109_Dark_Passage obj112_Temple_of_the_Sisterhood_of_Karn obj115_Temple_of_the_Sisterhood_of_Karn obj117_Antechamber
Attribute 45	attrib45		! obj62_Rocky_Clearing obj63_Mountain_Trail obj64_Rocky_Trail obj65_Rocky_Trail obj66_Lakeside obj68_Ledge obj70_Plain obj77_On_Top_of_the_Saucer obj82_Mountain_Trail obj83_Mountain_Trail obj84_Mountain_Trail obj85_Mountain_Trail obj86_Mountain_Trail obj90_Narrow_Cleft obj91_Bottom_of_Cliff obj95_Ruins obj99_Stoney_Trail obj100_Stoney_Trail obj101_Above_Clearing obj108_Dark_Passage obj109_Dark_Passage obj110_Before_Temple obj112_Temple_of_the_Sisterhood_of_Karn obj115_Temple_of_the_Sisterhood_of_Karn obj117_Antechamber
Attribute 46	attrib46		! obj130_Docking_Bay obj131_Storage_Room obj132_Reactor_Room obj142_Small_Room obj144_Corridor obj148_Corridor obj149_Corridor obj152_Corridor obj157_Corridor obj159_Strange_Chamber obj162_Corridor obj163_Corridor obj164_Corridor obj167_Corridor obj169_Flight_Deck obj178_Corridor obj179_Prison_Cell obj187_Survellance_Room obj200_Maintenance_Shaft obj204_Maintenance_Shaft obj206_Maintenance_Shaft obj207_Maintenance_Shaft obj215_Maintenance_Shaft obj217_Maintenance_Shaft obj219_Maintenance_Shaft obj220_Maintenance_Shaft obj221_Maintenance_Shaft

Property 1	"name":dictwords
Property 2	prop2:?
Property 4	"before":?
Property 5	"after":?
Property 6	"life":?
Property 7	"n_to/door_to":?
Property 8	"s_to/when_closed/when_off":?
Property 9	"e_to/with_key":?
Property 10	"w_to/door_dir":?
Property 11	"ne_to/react_before":?
Property 12	"se_to/add_to_scope":?
Property 13	"nw_to/react_after":?
Property 14	"sw_to/list_together":?
Property 15	"u_to/invent":?
Property 16	"d_to/plural":?
Property 18	"out_to/orders":?
Property 19	"initial/when_open/when_on":?
Property 20	"description":?
Property 21	"describe":dictword
Property 22	"article":?
Property 23	"cant_go":?
Property 24	"found_in":?
Property 25	"time_left":?
Property 26	"number":?
Property 27	"time_out/daemon":?
Property 28	"each_turn":?
Property 29	"capacity":?
Property 30	"short_name":?
Property 31	"parse_name":?
Property 72	"volume":?
Property 73	"size":?
Property 74	"carrying":?
Property 75	"dangle":?
Property 76	"length":?
Property 77	"dir_to_K9":?
Property 78	"dir_back":?
Property 79	"current_location":?
Property 80	"i":?
Property 81	"tiedname":?
Property 82	"descrip":?
Property 83	"gunpower":?
Property 84	"j":?
Property 85	"liftoff":?
Property 86	"opposite":?
Property 87	"colour":?
Property 88	"x":?
Property 89	"charge":?
Property 90	"uproom":?
Property 91	"downroom":?
Property 92	"descripton":?
Property 93	"wire_number":?
Property 94	"catchto":?
Property 95	"distance":?
Property 96	"nextroom":?
Property 97	"strikedby":?
Property 98	"wirescut":?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'go'/'leave'/'run'/'walk' noun=routine53308
Action 1	Action1		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'carry'/'get'/'hold'/'take' multi
Action 2	Action2		! 'answer'/'say'/'shout'/'speak' routine53316 'to' creature
Action 3	Action3		! 'ask' creature 'about' routine53316
Action 4	Action4		! 'ask' creature 'for' noun
Action 5	Action5		! 'tell' creature 'about' routine53316
Action 6	Action6		! 'remove' multiinside 'from' noun
				! 'carry'/'get'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'get'/'hold'/'take' multiinside 'off' noun
Action 7	Action7		! 'l//'/'look'
				! 'l//'/'look'
Action 8	Action8		! 'feed'/'give'/'offer'/'pay' creature held
Action 9	Action9		! 'display'/'present'/'show' creature held
Action 10	Action10	! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 11	Action11	! 'display'/'present'/'show' held 'to' creature
Action 12	Action12	! 'die'/'q//'/'quit'
Action 13	Action13	! 'restart'
Action 14	Action14	! 'restore'
Action 15	Action15	! 'save'
Action 16	Action16	! 'verify'
Action 17	Action17	! 'script'
				! 'script' 'on'
Action 18	Action18	! 'noscript'/'unscript'
				! 'script' 'off'
Action 19	Action19	! 'notify' 'on'
Action 20	Action20	! 'notify' 'off'
Action 21	Action21	! 'places'
Action 22	Action22	! 'objects'
Action 23	Action23	! 'score'
Action 24	Action24	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 25	Action25	! 'i//'/'inv'/'inventory'
				! 'carry'/'get'/'hold'/'take' 'inventory'
Action 26	Action26	! 'i//'/'inv'/'inventory' 'tall'
Action 27	Action27	! 'discard'/'drop'/'throw' multiexcept 'in' noun
				! 'discard'/'drop'/'throw' multiexcept 'into' noun
				! 'discard'/'drop'/'throw' multiexcept 'down' noun
				! 'insert' multiexcept 'in' noun
				! 'insert' multiexcept 'into' noun
				! 'put' multiexcept 'in' noun
				! 'put' multiexcept 'inside' noun
				! 'put' multiexcept 'into' noun
Action 28	Action28	! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 29	Action29	! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'get'/'hold'/'take' 'off' attrib26
Action 30	Action30	! 'discard'/'drop'/'throw' multiexcept 'on' noun
				! 'discard'/'drop'/'throw' multiexcept 'onto' noun
				! 'put' multiexcept 'on' noun
				! 'put' multiexcept 'onto' noun
