! Auto-generated by Reform.

MD5	bf75b9651cff0e2d04302f19c443588e
Object 117	obj117_darkness
Object 118	obj118_mural
Object 119	obj119_court_ladies
Object 120	obj120_court_lords
Object 121	obj121_garden
Object 122	obj122_poems
Object 123	obj123_silk_cushions
Object 124	obj124_embroidery
Object 125	obj125_bronze_gong
Object 126	obj126_rim
Object 127	obj127_Court_of_Lanterns
Object 128	obj128_light
Object 129	obj129_folding_screens
Object 130	obj130_cats
Object 131	obj131_flowers
Object 132	obj132_butterflies
Object 133	obj133_paper_lanterns
Object 134	obj134_stones
Object 135	obj135_tapestries
Object 136	obj136_Sun
Object 137	obj137_sky
Object 138	obj138_world
Object 139	obj139_symbols
Object 140	obj140_woven_dragon
Object 141	obj141_woven_phoenix
Object 142	obj142_passage
Object 143	obj143_Skeletal_Banquet
Object 144	obj144_stairs
Object 145	obj145_light
Object 146	obj146_table
Object 147	obj147_motifs
Object 148	obj148_constellations
Object 149	obj149_glassware
Object 150	obj150_stoneware
Object 151	obj151_banquet_of_bones
Object 152	obj152_ivory_chopsticks
Object 153	obj153_ivory_dragon
Object 154	obj154_ivory_phoenix
Object 155	obj155_Hall_of_Hawks
Object 156	obj156_passageway
Object 157	obj157_light
Object 158	obj158_painted_hawks
Object 159	obj159_raptors__eyes
Object 160	obj160_Passage_of_Storms
Object 161	obj161_moonlit_tower
Object 162	obj162_Moon
Object 163	obj163_storm_clouds
Object 164	obj164_stars
Object 165	obj165_red_kite
Object 166	obj166_Hall_of_Doors
Object 167	obj167_passageway
Object 168	obj168_light
Object 169	obj169_stones
Object 170	obj170_reflections
Object 171	obj171_door
Object 172	obj172_The_unroom
Object 173	obj173_comb_s_teeth
Object 174	obj174_unliving_flowers
Object 175	obj175_unliving_flowers
Object 176	obj176_unliving_flowers
Object 177	obj177_unliving_trees
Object 178	obj178_unliving_trees
Object 179	obj179_unliving_trees
Object 180	obj180_folded_maple_leaf
Object 181	obj181_sheet_of_red_paper
Object 182	obj182_tasseled_fan
Object 183	obj183_blue_tassel
Object 184	obj184_kitestring
Object 185	obj185_red_paper_kite
Object 186	obj186_clay_ocarina
Object 187	obj187_Heavenly_Horse
Object 188	obj188_Imperial_Chrysanthemum
Object 189	obj189_painted_chrysanthemum
Object 190	obj190_brothers
Object 191	obj191_shadows
Object 192	obj192_insubstantial_lantern
Object 193	obj193_armor_and_silks
Object 194	obj194_Some_Final_Words
Object 195	obj195_Amusing_Things_to_Try
Object 196	obj196_For_the_Copyright_Conscious_Sonnet_Reciter
Object 197	obj197_Notes_on_Development_and_Setting__Long_
Object 198	obj198_A_Last_Apology

Attribute 0	animate			! obj20__self_object_
Attribute 2	clothing		! obj193_armor_and_silks
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj99_bronze_hilted_dagger
Attribute 5	door			! obj171_door
Attribute 7	enterable		! obj88_stairs obj123_silk_cushions obj144_stairs
Attribute 9	light			! Room obj82_Moonlit_Chamber obj91_Shadow_Armory obj102_Undying_Garden obj115_Silent_Symphony obj127_Court_of_Lanterns obj143_Skeletal_Banquet obj155_Hall_of_Hawks obj160_Passage_of_Storms obj166_Hall_of_Doors obj172_The_unroom obj192_insubstantial_lantern
Attribute 15	openable		! obj171_door
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj136_Sun
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside Tapestry Screen Intangible Shadow obj83_easter_egg obj84_moonlight obj85_darkness obj86_sky obj87_stones obj88_stairs obj89_bas_relief obj92_light obj93_stones obj94_shapes obj95_maple_leaf obj96_kite obj97_comb obj98_shadow_weapons obj100_tasseled_pommel obj101_white_tassel obj103_light obj104_darkness obj106_garden obj107_unliving_flowers obj108_unliving_trees obj109_jade_compass obj110_glass_needle obj111_hawk obj112_feather obj113_swallow obj114_crane obj116_light obj117_darkness obj118_mural obj119_court_ladies obj120_court_lords obj121_garden obj122_poems obj123_silk_cushions obj124_embroidery obj125_bronze_gong obj126_rim obj128_light obj129_folding_screens obj130_cats obj131_flowers obj132_butterflies obj133_paper_lanterns obj134_stones obj135_tapestries obj136_Sun obj137_sky obj138_world obj139_symbols obj140_woven_dragon obj141_woven_phoenix obj142_passage obj144_stairs obj145_light obj146_table obj147_motifs obj148_constellations obj149_glassware obj150_stoneware obj156_passageway obj157_light obj158_painted_hawks obj159_raptors__eyes obj161_moonlit_tower obj162_Moon obj163_storm_clouds obj164_stars obj165_red_kite obj167_passageway obj168_light obj169_stones obj170_reflections obj171_door obj174_unliving_flowers obj175_unliving_flowers obj176_unliving_flowers obj177_unliving_trees obj178_unliving_trees obj179_unliving_trees obj183_blue_tassel obj187_Heavenly_Horse obj188_Imperial_Chrysanthemum obj189_painted_chrysanthemum obj190_brothers obj191_shadows
Attribute 19	static			! Furniture obj88_stairs obj109_jade_compass obj129_folding_screens obj144_stairs obj146_table obj151_banquet_of_bones obj153_ivory_dragon obj154_ivory_phoenix
Attribute 20	supporter		! Furniture obj88_stairs obj109_jade_compass obj123_silk_cushions obj129_folding_screens obj144_stairs obj146_table obj177_unliving_trees
Attribute 23	transparent		! obj20__self_object_
Attribute 30	pluralname		! obj87_stones obj88_stairs obj93_stones obj94_shapes obj98_shadow_weapons obj107_unliving_flowers obj108_unliving_trees obj119_court_ladies obj120_court_lords obj122_poems obj123_silk_cushions obj129_folding_screens obj130_cats obj131_flowers obj132_butterflies obj133_paper_lanterns obj134_stones obj135_tapestries obj139_symbols obj144_stairs obj152_ivory_chopsticks obj158_painted_hawks obj159_raptors__eyes obj163_storm_clouds obj169_stones obj173_comb_s_teeth obj174_unliving_flowers obj175_unliving_flowers obj176_unliving_flowers obj177_unliving_trees obj178_unliving_trees obj179_unliving_trees obj190_brothers obj191_shadows obj193_armor_and_silks

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:dictword
Property 6	life:dictword
Property 7	n_to:?
Property 8	s_to:thing
Property 9	e_to:?
Property 10	w_to:?
Property 11	ne_to:string
Property 14	sw_to:?
Property 15	u_to:thing
Property 16	d_to:thing
Property 19	door_to:?
Property 21	door_dir:?
Property 22	invent:string
Property 24	add_to_scope:?
Property 29	orders:?
Property 30	initial:?
Property 35	description:?
Property 36	describe:dictword
Property 37	article:string
Property 38	cant_go:string
Property 39	found_in:?
Property 41	number:?
Property 42	time_out:dictword
Property 43	daemon:string
Property 44	each_turn:dictword
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:?
Property 51	pname:dictwords
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	emblazon:string
Property 77	select:?
Property 78	seen:?
Property 79	shapes_seen:?
Property 80	comb_broken:?
Property 81	season:dictword
Property 82	fan_shown:?
Property 83	leaf_shown:?
Property 84	song_sung:?
Property 85	ocarina_found:?
Property 86	orchestra_played:?
Property 87	lantern_found:?
Property 88	stair_tried:?
Property 89	sky_seen:?
Property 90	arranged:?
Property 91	sign:dictword
Property 92	unmasked:?
Property 93	masked:?
Property 94	tried_south:?
Property 95	tassel_taken:?
Property 96	strung:?
Property 97	flown:?
Property 98	first_seen:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine65996
				! 'go'/'run'/'walk' noun=routine65996
Action 28	LMode1		! 'brief'
Action 29	LMode2		! 'normal'
				! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
Action 32	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun 'with' held
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 39	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 'y//'/'yes'
Action 45	No		! 'no'
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'breathe'
				! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 56	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 66	Attack		! 'tear' noun
				! 'bash' noun
				! 'strike' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 71	Set		! 'change' noun
				! 'spin' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
				! 'adjust'/'set' noun
Action 72	SetTo		! 'change' noun 'to' topic
				! 'spin' noun 'to' topic
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'to' topic
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'to' topic
				! 'adjust'/'set' noun 'to' topic
				! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull' noun
Action 76	Push		! 'arrange' noun
				! 'arrange' noun 'as' topic
				! 'arrange' noun 'to' topic
				! 'clear'/'move'/'press'/'push'/'shift' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 93	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 94	CutWith		! 'chop'/'cut'/'prune'/'slice' noun 'with' held
Action 95	LookUp		! 'l//'/'look' 'up'
Action 96	Xyzzy		! 'xyzzy'
Action 97	Play		! 'play' noun
				! 'blow' noun
				! 'blow' 'into' noun
Action 98	Bathe		! 'bathe'
Action 99	Recite		! 'recite' topic
Action 100	TakeWith	! 'arrange' noun 'with' held
				! 'get' noun 'with' held
				! 'carry'/'hold'/'take' noun 'with' held
Action 101	Fly		! 'fly'
				! 'fly' noun
Action 102	Fold		! 'fold' noun
Action 103	Unfold		! 'unfold' noun
Action 104	UnTie		! 'unknot'/'untie' noun
Action 105	Version		! 'version'
Action 106	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 107	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 108	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 109	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 110	TakeApart	! 'carry'/'hold'/'take' 'apart' noun
Action 111	About		! 'about'/'help'
Action 112	Hint		! 'hint'
Action 113	Comb		! 'comb' topic
Action 114	MyScore		! 'full'/'fullscore'
				! 'score'

Word	alabaster	alabaster
Word	arrangeme	arrangeme
Word	auspiciou	auspiciou
Word	bas-reli	bas-reli
Word	brightnes	brightnes
Word	bronze-h	bronze-h
Word	butterfli	butterfli
Word	butterfly	butterfly
Word	calligrap	calligrap
Word	character	character
Word	chopstick	chopstick
Word	chrysanth	chrysanth
Word	chyrsanth	chyrsanth
Word	constella	constella
Word	embroider	embroider
Word	evergreen	evergreen
Word	everythin	everythin
Word	expressio	expressio
Word	forsythia	forsythia
Word	fullscore	fullscore
Word	glassware	glassware
Word	hairpiece	hairpiece
Word	honeysuck	honeysuck
Word	illuminat	illuminat
Word	inscripti	inscripti
Word	insubstan	insubstan
Word	inventory	inventory
Word	kitestrin	kitestrin
Word	lightning	lightning
Word	magnolias	magnolias
Word	moonlight	moonlight
Word	northeast	northeast
Word	northwest	northwest
Word	partition	partition
Word	passagewa	passagewa
Word	percussio	percussio
Word	porcelain	porcelain
Word	reflectin	reflectin
Word	reflectio	reflectio
Word	seventeen	seventeen
Word	silhouett	silhouett
Word	skeletons	skeletons
Word	southeast	southeast
Word	southwest	southwest
Word	staircase	staircase
Word	stitchery	stitchery
Word	stoneware	stoneware
Word	superbrie	superbrie
Word	sycamores	sycamores
Word	tapestrie	tapestrie
Word	transcrip	transcrip
Word	vegetatio	vegetatio
Word	wall-han	wall-han

Routine 0x53d0	routine21456:?
Routine 0x53d8	routine21464:?
Routine 0x53e4	routine21476:?
Routine 0x53e8	routine21480:?
Routine 0x540c	routine21516:?
Routine 0x54ac	routine21676:?
Routine 0x5684	routine22148:?
Routine 0x56bc	routine22204:?
Routine 0x56f8	routine22264:?
Routine 0x5728	routine22312:?
Routine 0x5758	routine22360:?
Routine 0x576c	routine22380:?
Routine 0x57a0	routine22432:?
Routine 0x57dc	routine22492:?
Routine 0x7528	routine29992:?
! References: obj20__self_object_.short_name
Routine 0x7534	routine30004:?
Routine 0x7540	routine30016:?
Routine 0x754c	routine30028:?
Routine 0x756c	routine30060:?
Routine 0x75f8	routine30200:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x760c	routine30220:?
Routine 0x7614	routine30228:?
Routine 0x7624	routine30244:?
Routine 0x77fc	routine30716:?
Routine 0x7fe8	routine32744:?
Routine 0x801c	routine32796:?
Routine 0x8038	routine32824:?
Routine 0x8180	routine33152:?
Routine 0x8198	routine33176:?
Routine 0x81e8	routine33256:?
Routine 0x820c	routine33292:?
