! Auto-generated by Reform.

MD5	b732a93a6244ddd92a9b9a3e3a46c687
Object 129	obj129_rope
Object 130	obj130_Frigid_River
Object 131	obj131_river
Object 132	obj132_rainbow
Object 133	obj133_Dome_Room
Object 134	obj134_wooden_railing
Object 135	obj135_prayer
Object 136	obj136_End_of_Rainbow
Object 137	obj137_pot_of_gold
Object 138	obj138_Loud_Room
Object 139	obj139_platinum_bar
Object 140	obj140_Dam_Base
Object 141	obj141_pile_of_plastic
Object 142	obj142_punctured_boat
Object 143	obj143_Clearing
Object 144	obj144_pile_of_leaves
Object 145	obj145_pile_of_bodies
Object 146	obj146_small_piece_of_vitreous_slag
Object 147	obj147_pair_of_candles
Object 148	obj148_Gallery
Object 149	obj149_painting
Object 150	obj150_Mirror_Room
Object 151	obj151_mirror
Object 152	obj152_Mirror_Room
Object 153	obj153_mirror
Object 154	obj154_Dam_Lobby
Object 155	obj155_matchbook
Object 156	obj156_magic_boat
Object 157	obj157_Machine_Room
Object 158	obj158_machine
Object 159	obj159_leak
Object 160	obj160_small_mailbox
Object 161	obj161_leaflet
Object 162	obj162_red_buoy
Object 163	obj163_large_emerald
Object 164	obj164_brass_lantern
Object 165	obj165_leather_bag_of_coins
Object 166	obj166_burned_out_lantern
Object 167	obj167_Maze
Object 168	obj168_skeleton
Object 169	obj169_nasty_knife
Object 170	obj170_jade_figurine
Object 171	obj171_huge_diamond
Object 172	obj172_Reservoir_North
Object 173	obj173_hand_held_air_pump
Object 174	obj174_grating
Object 175	obj175_Egyptian_Room
Object 176	obj176_crack
Object 177	obj177_stone_barrow
Object 178	obj178_Stone_Barrow
Object 179	obj179_stone_door
Object 180	obj180_West_of_House
Object 181	obj181_door
Object 182	obj182_boarded_window
Object 183	obj183_trap_door
Object 184	obj184_dam
Object 185	obj185_Cyclops_Room
Object 186	obj186_cyclops
Object 187	obj187_Atlantis_Room
Object 188	obj188_crystal_trident
Object 189	obj189_clove_of_garlic
Object 190	obj190_Treasure_Room
Object 191	obj191_chalice
Object 192	obj192_carpet
Object 193	obj193_Living_Room
Object 194	obj194_trophy_case
Object 195	obj195_blue_button
Object 196	obj196_red_button
Object 197	obj197_brown_button
Object 198	obj198_yellow_button
Object 199	obj199_Maintenance_Room
Object 200	obj200_group_of_tool_chests
Object 201	obj201_Attic
Object 202	obj202_table
Object 203	obj203_Kitchen
Object 204	obj204_kitchen_table
Object 205	obj205_chute
Object 206	obj206_Timber_Room
Object 207	obj207_broken_timber
Object 208	obj208_gold_coffin
Object 209	obj209_sceptre
Object 210	obj210_broken_lantern
Object 211	obj211_black_book
Object 212	obj212_Altar
Object 213	obj213_altar
Object 214	obj214_green_bubble
Object 215	obj215_Dam
Object 216	obj216_bolt
Object 217	obj217_troll
Object 218	obj218_bloody_axe
Object 219	obj219_red_hot_brass_bell
Object 220	obj220_Temple
Object 221	obj221_brass_bell
Object 222	obj222_Bat_Room
Object 223	obj223_bat
Object 224	obj224_brown_sack
Object 225	obj225_lunch
Object 226	obj226_Shaft_Room
Object 227	obj227_basket
Object 228	obj228_Drafty_Room
Object 229	obj229_basket
Object 230	obj230_Land_of_the_Dead
Object 231	obj231_crystal_skull
Object 232	obj232_Entrance_to_Hades
Object 233	obj233_number_of_ghosts
Object 234	obj234_chimney
Object 235	obj235_kitchen_window
Object 236	obj236_glass_bottle
Object 237	obj237_quantity_of_water
Object 238	obj238_water
Object 239	obj239_Forest
Object 240	obj240_mountain_range
Object 241	obj241_tree
Object 242	obj242_forest
Object 243	obj243_white_house
Object 244	obj244_songbird
Object 245	obj245_granite_wall
Object 246	obj246_surrounding_wall
Object 247	obj247
Object 248	obj248_set_of_teeth
Object 249	obj249
Object 250	obj250_board

Attribute 0	attrib0			! obj247
Attribute 1	attrib1			! obj247
Attribute 2	attrib2			! obj247
Attribute 3	attrib3			! obj12_random_object obj247
Attribute 4	attrib4			! obj31_Frigid_River obj34_Frigid_River obj35_Frigid_River obj36_Frigid_River obj48_Stream obj100_Reservoir obj130_Frigid_River
Attribute 5	attrib5			! obj52_Maze obj53_Maze obj54_Maze obj55_Dead_End obj56_Maze obj58_Maze obj59_Maze obj60_Maze obj61_Dead_End obj62_Maze obj63_Maze obj64_Maze obj65_Dead_End obj66_Dead_End obj67_Maze obj68_Maze obj69_Maze obj70_Maze obj167_Maze
Attribute 6	attrib6			! obj15_Slide_Room obj16_Coal_Mine obj17_Coal_Mine obj18_Coal_Mine obj19_Coal_Mine obj20_Ladder_Bottom obj21_Ladder_Top obj22_Smelly_Room obj23_Squeaky_Room obj24_Mine_Entrance obj25_Canyon_View obj26_Rocky_Ledge obj27_Canyon_Bottom obj28_On_the_Rainbow obj29_Aragain_Falls obj30_Shore obj32_White_Cliffs_Beach obj33_White_Cliffs_Beach obj37_Chasm obj38_North_South_Passage obj39_Damp_Cave obj40_Deep_Canyon obj41_East_West_Passage obj42_Twisting_Passage obj43_Winding_Passage obj44_Narrow_Passage obj45_Cold_Passage obj46_Cave obj47_Cave obj49_Stream_View obj50_Reservoir_South obj51_Strange_Passage obj52_Maze obj53_Maze obj54_Maze obj55_Dead_End obj56_Maze obj57_Grating_Room obj58_Maze obj59_Maze obj60_Maze obj61_Dead_End obj62_Maze obj63_Maze obj64_Maze obj65_Dead_End obj66_Dead_End obj67_Maze obj68_Maze obj69_Maze obj70_Maze obj71_East_of_Chasm obj72_Cellar obj74_Clearing obj75_Forest_Path obj76_Forest obj77_Forest obj78_Forest obj79_Behind_House obj80_South_of_House obj81_North_of_House obj88_Up_a_Tree obj94_Studio obj96_Engravings_Cave obj102_The_Troll_Room obj105_Torch_Room obj107_Round_Room obj118_Dead_End obj120_Sandy_Beach obj124_Gas_Room obj126_Sandy_Cave obj133_Dome_Room obj136_End_of_Rainbow obj138_Loud_Room obj140_Dam_Base obj143_Clearing obj148_Gallery obj150_Mirror_Room obj152_Mirror_Room obj154_Dam_Lobby obj157_Machine_Room obj167_Maze obj172_Reservoir_North obj175_Egyptian_Room obj178_Stone_Barrow obj180_West_of_House obj185_Cyclops_Room obj187_Atlantis_Room obj190_Treasure_Room obj193_Living_Room obj199_Maintenance_Room obj201_Attic obj203_Kitchen obj206_Timber_Room obj212_Altar obj215_Dam obj220_Temple obj222_Bat_Room obj226_Shaft_Room obj228_Drafty_Room obj230_Land_of_the_Dead obj232_Entrance_to_Hades obj239_Forest obj247
Attribute 7	attrib7			! obj4_cretin obj101_trunk_of_jewels obj109_ancient_map obj114_thief obj116_beautiful_jeweled_scarab obj137_pot_of_gold obj159_leak obj174_grating obj183_trap_door obj247
Attribute 8	attrib8			! obj84_golden_clockwork_canary obj87_jewel_encrusted_egg obj89_bird_s_nest obj156_magic_boat obj194_trophy_case obj208_gold_coffin obj247
Attribute 9	attrib9			! obj4_cretin obj25_Canyon_View obj26_Rocky_Ledge obj27_Canyon_Bottom obj28_On_the_Rainbow obj29_Aragain_Falls obj30_Shore obj31_Frigid_River obj32_White_Cliffs_Beach obj33_White_Cliffs_Beach obj34_Frigid_River obj35_Frigid_River obj36_Frigid_River obj74_Clearing obj75_Forest_Path obj76_Forest obj77_Forest obj78_Forest obj79_Behind_House obj80_South_of_House obj81_North_of_House obj88_Up_a_Tree obj97_wall_with_engravings obj120_Sandy_Beach obj124_Gas_Room obj129_rope obj130_Frigid_River obj135_prayer obj139_platinum_bar obj140_Dam_Base obj143_Clearing obj178_Stone_Barrow obj180_West_of_House obj193_Living_Room obj200_group_of_tool_chests obj201_Attic obj203_Kitchen obj206_Timber_Room obj208_gold_coffin obj212_Altar obj220_Temple obj222_Bat_Room obj228_Drafty_Room obj239_Forest
Attribute 10	attrib10		! obj106_pedestal obj202_table obj204_kitchen_table obj213_altar obj247
Attribute 11	attrib11		! obj86_broken_jewel_encrusted_egg obj89_bird_s_nest obj106_pedestal obj114_thief obj156_magic_boat obj200_group_of_tool_chests obj202_table obj204_kitchen_table obj213_altar obj217_troll obj227_basket obj247
Attribute 12	attrib12		! obj111_wooden_door obj194_trophy_case obj227_basket obj236_glass_bottle obj247
Attribute 13	attrib13		! obj110_sword obj113_stiletto obj114_thief obj115_large_bag obj128_rusty_knife obj129_rope obj144_pile_of_leaves obj145_pile_of_bodies obj146_small_piece_of_vitreous_slag obj151_mirror obj153_mirror obj158_machine obj160_small_mailbox obj168_skeleton obj169_nasty_knife obj184_dam obj186_cyclops obj191_chalice obj192_carpet obj194_trophy_case obj200_group_of_tool_chests obj214_green_bubble obj216_bolt obj217_troll obj218_bloody_axe obj219_red_hot_brass_bell obj223_bat obj227_basket obj229_basket obj237_quantity_of_water obj247
Attribute 14	attrib14		! obj1_pair_of_hands obj3_way obj4_cretin obj6_blast_of_air obj9_sailor obj10_blessings obj12_random_object obj73_stairs obj90_control_panel obj92_white_cliffs obj93_cliff obj106_pedestal obj111_wooden_door obj112_switch obj113_stiletto obj115_large_bag obj117_wooden_ladder obj127_sand obj131_river obj132_rainbow obj134_wooden_railing obj135_prayer obj145_pile_of_bodies obj151_mirror obj153_mirror obj158_machine obj159_leak obj168_skeleton obj174_grating obj176_crack obj177_stone_barrow obj179_stone_door obj181_door obj182_boarded_window obj183_trap_door obj184_dam obj186_cyclops obj192_carpet obj194_trophy_case obj195_blue_button obj196_red_button obj197_brown_button obj198_yellow_button obj202_table obj204_kitchen_table obj213_altar obj214_green_bubble obj216_bolt obj218_bloody_axe obj233_number_of_ghosts obj234_chimney obj235_kitchen_window obj240_mountain_range obj241_tree obj242_forest obj243_white_house obj244_songbird obj248_set_of_teeth obj250_board
Attribute 15	attrib15		! obj112_switch obj211_black_book obj216_bolt
Attribute 16	attrib16		! obj95_ZORK_owner_s_manual obj97_wall_with_engravings obj99_tube obj103_tour_guidebook obj108_tan_label obj109_ancient_map obj111_wooden_door obj135_prayer obj155_matchbook obj161_leaflet obj211_black_book
Attribute 17	attrib17		! obj83_broken_clockwork_canary obj84_golden_clockwork_canary obj85_beautiful_brass_bauble obj86_broken_jewel_encrusted_egg obj87_jewel_encrusted_egg obj89_bird_s_nest obj91_wrench obj95_ZORK_owner_s_manual obj98_viscous_material obj99_tube obj101_trunk_of_jewels obj103_tour_guidebook obj104_torch obj108_tan_label obj109_ancient_map obj110_sword obj113_stiletto obj116_beautiful_jeweled_scarab obj119_small_pile_of_coal obj121_shovel obj122_skeleton_key obj123_screwdriver obj125_sapphire_encrusted_bracelet obj128_rusty_knife obj129_rope obj137_pot_of_gold obj139_platinum_bar obj141_pile_of_plastic obj142_punctured_boat obj144_pile_of_leaves obj146_small_piece_of_vitreous_slag obj147_pair_of_candles obj149_painting obj155_matchbook obj156_magic_boat obj161_leaflet obj162_red_buoy obj163_large_emerald obj164_brass_lantern obj165_leather_bag_of_coins obj166_burned_out_lantern obj169_nasty_knife obj170_jade_figurine obj171_huge_diamond obj173_hand_held_air_pump obj188_crystal_trident obj189_clove_of_garlic obj191_chalice obj207_broken_timber obj208_gold_coffin obj209_sceptre obj210_broken_lantern obj211_black_book obj218_bloody_axe obj221_brass_bell obj224_brown_sack obj225_lunch obj231_crystal_skull obj236_glass_bottle obj237_quantity_of_water
Attribute 18	attrib18		! obj247
Attribute 19	attrib19		! obj86_broken_jewel_encrusted_egg obj87_jewel_encrusted_egg obj89_bird_s_nest obj99_tube obj106_pedestal obj114_thief obj158_machine obj160_small_mailbox obj162_red_buoy obj191_chalice obj194_trophy_case obj200_group_of_tool_chests obj202_table obj204_kitchen_table obj208_gold_coffin obj211_black_book obj213_altar obj224_brown_sack obj227_basket obj236_glass_bottle
Attribute 20	attrib20		! obj25_Canyon_View obj26_Rocky_Ledge obj27_Canyon_Bottom obj28_On_the_Rainbow obj29_Aragain_Falls obj30_Shore obj31_Frigid_River obj36_Frigid_River obj74_Clearing obj75_Forest_Path obj76_Forest obj77_Forest obj78_Forest obj79_Behind_House obj80_South_of_House obj81_North_of_House obj88_Up_a_Tree obj104_torch obj136_End_of_Rainbow obj140_Dam_Base obj143_Clearing obj147_pair_of_candles obj148_Gallery obj152_Mirror_Room obj154_Dam_Lobby obj178_Stone_Barrow obj180_West_of_House obj193_Living_Room obj203_Kitchen obj212_Altar obj215_Dam obj220_Temple obj230_Land_of_the_Dead obj232_Entrance_to_Hades obj239_Forest obj247
Attribute 21	attrib21		! obj189_clove_of_garlic obj225_lunch
Attribute 22	attrib22		! obj237_quantity_of_water obj238_water
Attribute 23	attrib23		! obj111_wooden_door obj174_grating obj179_stone_door obj181_door obj183_trap_door obj235_kitchen_window
Attribute 24	attrib24		! obj73_stairs obj92_white_cliffs obj93_cliff obj117_wooden_ladder obj132_rainbow obj205_chute obj234_chimney obj240_mountain_range obj241_tree
Attribute 25	attrib25		! obj104_torch obj147_pair_of_candles
Attribute 26	attrib26		! obj89_bird_s_nest obj103_tour_guidebook obj108_tan_label obj119_small_pile_of_coal obj141_pile_of_plastic obj142_punctured_boat obj144_pile_of_leaves obj149_painting obj156_magic_boat obj161_leaflet obj211_black_book obj224_brown_sack
Attribute 27	attrib27		! obj156_magic_boat
Attribute 28	attrib28		! obj1_pair_of_hands obj14_number obj91_wrench obj98_viscous_material obj121_shovel obj122_skeleton_key obj123_screwdriver obj128_rusty_knife obj173_hand_held_air_pump
Attribute 29	attrib29		! obj110_sword obj113_stiletto obj128_rusty_knife obj169_nasty_knife obj209_sceptre obj218_bloody_axe
Attribute 30	attrib30		! obj4_cretin obj5_you obj114_thief obj186_cyclops obj217_troll obj223_bat obj233_number_of_ghosts
Attribute 31	attrib31		! obj104_torch obj147_pair_of_candles obj164_brass_lantern

Property 2	prop2:?
Property 3	prop3:?
Property 4	prop4:?
Property 5	prop5:?
Property 6	prop6:?
Property 7	prop7:?
Property 8	prop8:string
Property 9	prop9:?
Property 10	prop10:?
Property 11	prop11:string
Property 12	prop12:?
Property 13	prop13:?
Property 14	prop14:?
Property 15	prop15:?
Property 16	prop16:?
Property 17	prop17:?
Property 18	prop18:dictwords
Property 19	land_to:exit
Property 20	out_to:exit
Property 21	in_to:exit
Property 22	d_to:exit
Property 23	u_to:exit
Property 24	southw_to:exit
Property 25	se_to:exit
Property 26	northw_to:exit
Property 27	ne_to:exit
Property 28	s_to:exit
Property 29	w_to:exit
Property 30	e_to:exit
Property 31	n_to:exit

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'verbos'
Action 1	Action1		! 'brief'
Action 2	Action2		! 'super'/'superb'
Action 3	Action3		! 'diagno'
Action 4	Action4		! 'i//'/'invent'
Action 5	Action5		! 'q//'/'quit'
Action 6	Action6		! 'restar'
Action 7	Action7		! 'restor'
Action 8	Action8		! 'save'
Action 9	Action9		! 'score'
Action 10	Action10	! 'script'
Action 11	Action11	! 'unscri'
Action 12	Action12	! 'versio'
Action 13	Action13	! '$ve'
Action 14	Action14	! 'activa' attrib31(held,carried,in_room,on_ground)
				! 'light' attrib31(held,carried,in_room,on_ground,take,have)
				! 'flip'/'set'/'shut'/'turn' 'onto'/'on' object 'with'/'using'/'thru'/'throug' object(have)
				! 'flip'/'set'/'shut'/'turn' 'onto'/'on' attrib31(held,carried,in_room,on_ground)
Action 15	Action15	! 'again'/'g//'
Action 16	Action16	! 'answer'/'reply'
Action 17	Action17	! 'answer'/'reply' object
Action 18	Action18	! 'apply' object 'to' object
				! 'drop'/'releas' object(held,many,have) 'into'/'inside'/'in' object
				! 'drop'/'releas' object(held,many,have) 'down'/'d//' object
				! 'move' object(held,many,have) 'into'/'inside'/'in' object
				! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'into'/'inside'/'in' object
				! 'squeez' object 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'into'/'inside'/'in' object
Action 19	Action19	! 'attack'/'fight'/'hit'/'hurt'/'injure' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
				! 'dispat'/'kill'/'murder'/'slay' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
				! 'stab' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
				! 'knock'/'rap' 'down'/'d//' attrib30(in_room,on_ground)
				! 'strike' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,in_room,on_ground,have)
Action 20	Action20	! 'back'
Action 21	Action21	! 'blast'
				! 'blow' 'up'/'u//' object
Action 22	Action22	! 'blow' 'out' object
				! 'douse'/'exting' attrib20(held,carried,in_room,on_ground,take,have)
				! 'hide'/'insert'/'place'/'put'/'stuff' 'out' attrib20(held,carried,in_room,on_ground,take,have)
				! 'flip'/'set'/'shut'/'turn' 'off' attrib20(held,carried,in_room,on_ground,take,have)
Action 23	Action23	! 'blow' 'up'/'u//' object 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground)
				! 'inflat' object 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground)
Action 24	Action24	! 'blow' 'into'/'inside'/'in' object
Action 25	Action25	! 'board' attrib27(in_room,on_ground)
				! 'climb'/'sit' 'into'/'inside'/'in' attrib27(in_room,on_ground)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' 'into'/'inside'/'in' attrib27(in_room,on_ground)
Action 26	Action26	! 'brush'/'clean' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object
				! 'brush'/'clean' object(held,carried,in_room,on_ground)
Action 27	Action27	! 'bug'
Action 28	Action28	! 'burn'/'ignite'/'incine' 'down'/'d//' attrib26(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib25(held,carried,in_room,on_ground,have)
				! 'burn'/'ignite'/'incine' attrib26(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib25(held,carried,in_room,on_ground,have)
				! 'light' attrib31(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib25(held,carried,take,have)
Action 29	Action29	! 'barf'/'chomp'/'lose'
Action 30	Action30	! 'climb'/'sit' 'up'/'u//' attrib24(in_room,on_ground)
				! 'climb'/'sit'
				! 'go'/'procee'/'run'/'step'/'walk' 'up'/'u//' attrib24(in_room,on_ground)
Action 31	Action31	! 'climb'/'sit' 'down'/'d//' attrib24(in_room,on_ground)
				! 'climb'/'sit'
				! 'go'/'procee'/'run'/'step'/'walk' 'down'/'d//' attrib24(in_room,on_ground)
Action 32	Action32	! 'climb'/'sit' attrib24(in_room,on_ground)
Action 33	Action33	! 'climb'/'sit' 'onto'/'on' attrib27(in_room,on_ground)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' 'onto'/'on' attrib27(in_room,on_ground)
Action 34	Action34	! 'climb'/'sit' 'with'/'using'/'thru'/'throug' object
				! 'enter' object
				! 'go'/'procee'/'run'/'step'/'walk' 'onto'/'on' object
				! 'go'/'procee'/'run'/'step'/'walk' 'with'/'using'/'thru'/'throug' object
				! 'go'/'procee'/'run'/'step'/'walk' 'into'/'inside'/'in' object
Action 35	Action35	! 'close' attrib23(held,carried,in_room,on_ground)
