! Auto-generated by Reform.

MD5	53bf7a60017e06998cc1542cf35f76fa
Object 127	obj127_Philosopher_s_Stone
Object 128	obj128_spotless_scroll
Object 129	obj129_transmute_pure_chemical_elements
Object 130	obj130_Top_Branches
Object 131	obj131_ledge
Object 132	obj132_tree_house
Object 133	obj133_triangular_cavity
Object 134	obj134_bow
Object 135	Arrow_Class
Object 136	obj136_arrow
Object 137	obj137_Treehouse
Object 138	obj138_golden_fir_cone
Object 139	obj139_arrow
Object 140	obj140_arrow
Object 141	obj141_Branches_Near_the_Cave_Floor
Object 142	obj142_Cave_Floor
Object 143	obj143_stream
Object 144	obj144_Furrow_and_Workings
Object 145	obj145_drum
Object 146	obj146_sludge_of_sediment
Object 147	obj147_ore
Object 148	obj148_Enclosed_Stream
Object 149	obj149_Shattered_Temple_Rampart
Object 150	obj150_masonry_and_rubble
Object 151	obj151_black__memorial_scroll
Object 152	obj152_view_the_past
Object 153	obj153_crudely_arched_doorway
Object 154	obj154_Upward_Burrow
Object 155	obj155_Egg_Chamber
Object 156	obj156_corpse_of_the_creature
Object 157	obj157_glistening_egg
Object 158	obj158_North_Edge_of_Pool
Object 159	obj159_water_lily
Object 160	obj160_arrow
Object 161	obj161_Lily_Pod
Object 162	obj162_embryonic_hornet
Object 163	obj163_stubby_wings
Object 164	obj164_stinger
Object 165	obj165_lily_membrane
Object 166	obj166_Stony_Shallows
Object 167	obj167_burnished_lantern
Object 168	obj168_dead_leaves
Object 169	obj169_broad_green_leaf
Object 170	obj170_torn_up_broad_green_leaf
Object 171	obj171_dull_green_paste
Object 172	obj172_Other_Half_Cave
Object 173	obj173_stores
Object 174	obj174_stub_of_a_stock_keeper_s_note
Object 175	obj175_secret_door
Object 176	WheelNode
Object 177	obj177_Wheel_Cave__South_
Object 178	obj178_Wheel_Cave__East_
Object 179	obj179_white_scroll_in_pristine_condition
Object 180	obj180_nation_shall_speak_peace_unto_nation
Object 181	obj181_Wheel_Cave__West_
Object 182	obj182_funnel_chimney
Object 183	obj183_metallic_meteor
Object 184	obj184_chalk_formation
Object 185	obj185_green_light_beam
Object 186	obj186_Wheel_Cave__North_
Object 187	obj187_wooden_rack
Object 188	vellum_class
Object 189	obj189__189_
Object 190	obj190__190_
Object 191	obj191__191_
Object 192	obj192__192_
Object 193	obj193__193_
Object 194	obj194__194_
Object 195	obj195__195_
Object 196	obj196_Clotspinner_s_Workshop
Object 197	obj197_Anvil
Object 198	obj198_calibrated_swivel_mounting
Object 199	obj199_Clotspinner
Object 200	obj200_fragments_of_prism
Object 201	written_scroll
Object 202	obj202__hom_scroll_
Object 203	obj203_assist_even_old_or_wizened_savant
Object 204	obj204__driller_scroll_
Object 205	obj205_make_small_bore_tunnel_through_light_stone
Object 206	obj206_tunnel_upward
Object 207	dud_spell
Object 208	obj208__dud1_
Object 209	obj209_fold_pastry_dough_83_times
Object 210	obj210__dud2_
Object 211	obj211_pursue_squirrel_with_spectral_hounds
Object 212	obj212__dud3_
Object 213	obj213_paint_large_picket_fence_orange
Object 214	obj214__dud4_
Object 215	obj215_rotate_entire_universe_by_one_degree
Object 216	obj216__dud5_
Object 217	obj217_reduce_herbs_in_over_spiced_stew
Object 218	obj218__dud6_
Object 219	obj219_turn_blackberries_into_pebbles
Object 220	obj220__dud7_
Object 221	obj221_award_internationally_recognised_points_for_trick_dives
Object 222	obj222_Woodland_Cave
Object 223	obj223_Forest_Glade
Object 224	obj224_Lady_Amilia
Object 225	obj225_wolfhound
Object 226	obj226_Into_the_Woods
Object 227	obj227_Under_the_Culvert
Object 228	obj228_brook
Object 229	obj229_Watling_Street__Again
Object 230	obj230_agents_of_the_Duchy

Attribute 0	animate			! obj20__self_object_ obj30_troop_of_soldiers obj31_elephant obj37_Lady_Amilia obj99_oil_snake obj121_Adventurer obj162_embryonic_hornet obj199_Clotspinner obj224_Lady_Amilia obj225_wolfhound obj230_agents_of_the_Duchy
Attribute 1	absent			! obj175_secret_door
Attribute 2	clothing		! obj26_fedora_hat obj38_Amilia_s_hat
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj30_troop_of_soldiers obj31_elephant obj33_trunk ears_class obj35_right_ear obj36_left_ear obj37_Lady_Amilia obj50_noises_of_the_night obj54_beautiful_painting obj55_tapestry_design obj58_window obj65_black_iron_stove obj133_triangular_cavity obj146_sludge_of_sediment obj165_lily_membrane
Attribute 4	container		! obj32_cushioned_basket obj65_black_iron_stove obj67_small_wickerwork_hamper obj73_trophy_case obj76_Ambassador_s_trunk spell_book_class obj87_parchment_book obj96_bubbling_pool obj123_coffer obj145_drum
Attribute 5	door			! obj61_front_door obj79_original_chimney obj100_improvised_ladder obj132_tree_house obj153_crudely_arched_doorway obj175_secret_door
Attribute 6	edible			! Food_Class obj64_joint_of_cured_ham obj68_apple obj69_hunk_of_cheese obj70_clove_of_garlic obj97_banana obj169_broad_green_leaf obj170_torn_up_broad_green_leaf obj171_dull_green_paste
Attribute 7	enterable		! obj52_four_poster_bed
Attribute 8	general			! obj162_embryonic_hornet obj224_Lady_Amilia
Attribute 9	light			! obj28_Watling_Street obj41_Customs_Post obj43_Watling_Street obj51_Customs_House_Bedroom obj56_Upstairs_Landing obj59_green_glow obj60_Kitchen obj72_Living_Room obj96_bubbling_pool obj120_Pale_Corridor obj122_Antechamber obj126_Chamber_of_the_Philosopher_s_Stone obj161_Lily_Pod obj166_Stony_Shallows WheelNode obj177_Wheel_Cave__South_ obj178_Wheel_Cave__East_ obj181_Wheel_Cave__West_ obj186_Wheel_Cave__North_ obj196_Clotspinner_s_Workshop obj222_Woodland_Cave obj223_Forest_Glade obj226_Into_the_Woods obj227_Under_the_Culvert obj229_Watling_Street__Again
Attribute 10	lockable		! obj61_front_door
Attribute 11	locked			! obj61_front_door
Attribute 14	open			! obj32_cushioned_basket obj79_original_chimney spell_book_class obj87_parchment_book obj96_bubbling_pool obj100_improvised_ladder obj132_tree_house obj145_drum obj153_crudely_arched_doorway
Attribute 15	openable		! obj57_rich_brocade_curtains obj61_front_door obj65_black_iron_stove obj67_small_wickerwork_hamper obj73_trophy_case obj76_Ambassador_s_trunk obj123_coffer obj175_secret_door
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_6_3_ obj37_Lady_Amilia obj38_Amilia_s_hat obj39_The_Guide_For_Travellers_To_The_Lower_Northlands_and_Surrounding_Provinces obj49_Watling_Street obj199_Clotspinner
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj42_pennant_flag obj44_culvert_bridge obj47_mossy_wall obj48_hunting_woods obj49_Watling_Street obj50_noises_of_the_night obj55_tapestry_design obj58_window obj59_green_glow obj61_front_door obj62_kitchen_table obj63_ceiling_hook obj73_trophy_case obj75_oriental_rug obj90_chimney obj95_autumn_leaves obj103_cave_floor obj112_slide_passage obj114_chimney_crack obj119_quartz_window obj131_ledge obj133_triangular_cavity obj150_masonry_and_rubble obj173_stores obj185_green_light_beam obj228_brook
Attribute 18	scored			! Treasure_Class obj53_jade_figurine obj56_Upstairs_Landing obj71_jewelled_scarab obj89_Cellars obj93_platinum_egg obj109_silver_ingot obj137_Treehouse obj138_golden_fir_cone obj222_Woodland_Cave
Attribute 19	static			! obj29_stately_procession_of_elephants obj32_cushioned_basket obj33_trunk ears_class obj35_right_ear obj36_left_ear obj52_four_poster_bed obj57_rich_brocade_curtains obj79_original_chimney obj92_lintel_stone obj96_bubbling_pool obj102_inverted_cedar obj106_ring obj115_garbage_heap obj117_masoned_wall obj127_Philosopher_s_Stone obj132_tree_house obj143_stream obj153_crudely_arched_doorway obj159_water_lily obj175_secret_door obj182_funnel_chimney obj183_metallic_meteor obj184_chalk_formation obj187_wooden_rack obj197_Anvil obj198_calibrated_swivel_mounting obj206_tunnel_upward
Attribute 20	supporter		! obj52_four_poster_bed obj62_kitchen_table obj127_Philosopher_s_Stone obj187_wooden_rack obj197_Anvil obj198_calibrated_swivel_mounting
Attribute 21	switchable		! obj74_brass_lantern obj167_burnished_lantern
Attribute 22	talkable		! obj45_glimpse_of_a_bird obj46_Bird_of_Paradise
Attribute 23	transparent		! obj20__self_object_ obj31_elephant obj32_cushioned_basket obj37_Lady_Amilia obj162_embryonic_hornet
Attribute 28	female			! obj37_Lady_Amilia obj224_Lady_Amilia
Attribute 30	pluralname		! obj77_formal_credentials
Attribute 31	is_treasure		! Treasure_Class obj53_jade_figurine obj71_jewelled_scarab obj93_platinum_egg obj109_silver_ingot obj138_golden_fir_cone
Attribute 32	is_arrow		! Arrow_Class obj136_arrow obj139_arrow obj140_arrow obj160_arrow
Attribute 33	is_spell		! spell_class obj84_cause_inanimate_object_to_radiate_light obj85_unfasten_object obj86_summon_small_plague_of_insects obj129_transmute_pure_chemical_elements obj152_view_the_past obj180_nation_shall_speak_peace_unto_nation obj203_assist_even_old_or_wizened_savant obj205_make_small_bore_tunnel_through_light_stone dud_spell obj209_fold_pastry_dough_83_times obj211_pursue_squirrel_with_spectral_hounds obj213_paint_large_picket_fence_orange obj215_rotate_entire_universe_by_one_degree obj217_reduce_herbs_in_over_spiced_stew obj219_turn_blackberries_into_pebbles obj221_award_internationally_recognised_points_for_trick_dives
Attribute 35	is_scroll		! scroll_class obj128_spotless_scroll obj151_black__memorial_scroll obj179_white_scroll_in_pristine_condition vellum_class obj189__189_ obj190__190_ obj191__191_ obj192__192_ obj193__193_ obj194__194_ obj195__195_ written_scroll obj202__hom_scroll_ obj204__driller_scroll_ obj208__dud1_ obj210__dud2_ obj212__dud3_ obj214__dud4_ obj216__dud5_ obj218__dud6_ obj220__dud7_
Attribute 36	is_spell_book		! spell_book_class obj87_parchment_book

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:?
Property 6	life:?
Property 7	n_to:thing
Property 8	s_to:thing
Property 9	e_to:thing
Property 10	w_to:thing
Property 11	ne_to:thing
Property 12	se_to:thing
Property 13	nw_to:thing
Property 14	sw_to:thing
Property 15	u_to:?
Property 16	d_to:thing
Property 17	in_to:thing
Property 18	out_to:thing
Property 19	door_to:?
Property 20	with_key:dictword
Property 21	door_dir:thing
Property 22	invent:string
Property 23	plural:string
Property 25	list_together:string
Property 26	react_before:?
Property 27	react_after:string
Property 29	orders:?
Property 30	initial:?
Property 31	when_open:string
Property 35	description:?
Property 36	describe:?
Property 37	article:string
Property 38	cant_go:string
Property 39	found_in:things
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:string
Property 43	daemon:string
Property 44	each_turn:?
Property 45	capacity:?
Property 46	short_name:?
Property 48	parse_name:?
Property 50	historic_view:string
Property 51	telescope_view:string
Property 52	magic:thing
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	time_here:?
Property 77	time_since_poisoned:?
Property 78	ever_been_used:?
Property 79	cooperative:?
Property 80	time_prowling:?
Property 81	rqm:thing

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'
				! 'script' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'get'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'carry'/'get'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'carry'/'get'/'hold'/'take' multiinside 'from'/'off' noun
Action 18	PutOn		! 'hang'/'lean'/'prop'/'suspend' held 'on'/'from'/'against' noun
				! 'hang'/'lean'/'prop'/'suspend' 'up' held 'on'/'from'/'against' noun
				! 'hang'/'lean'/'prop'/'suspend' held 'up' 'on'/'from'/'against' noun
				! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'dip'/'insert' held 'up' noun
				! 'put' multiexcept 'on'/'onto' noun
				! 'put' held 'up' noun
Action 19	Insert		! 'bind' noun 'in' noun
				! 'bind' noun 'into' noun
				! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'dip'/'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 20	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 21	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 22	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 23	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 24	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'carry'/'get'/'hold'/'take' 'in'/'into'/'on'/'onto' noun
Action 25	GetOff		! 'carry'/'get'/'hold'/'take' 'off' noun
Action 26	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'carry'/'get'/'hold'/'take' 'out'/'off'/'up'
Action 27	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 28	Go		! 'leave' noun=routine128412
				! 'go'/'run'/'walk' noun=routine128412
Action 29	LMode1		! 'brief'/'normal'
Action 30	LMode2		! 'long'/'verbose'
Action 31	LMode3		! 'short'/'superbrie'
Action 32	Look		! 'l//'/'look'
Action 33	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' scope=routine76340
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 34	LookUnder	! 'l//'/'look' 'under' noun
Action 35	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 36	Unlock		! 'unlock' noun 'with' held
				! 'draw'/'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 37	Lock		! 'lock' noun 'with' held
Action 38	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'swivel'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'swivel'/'turn'/'twist'/'unscrew' 'on' noun
Action 39	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'swivel'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'swivel'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 40	Open		! 'draw'/'open'/'uncover'/'undo'/'unwrap' noun
Action 41	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up'
Action 42	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'get'/'hold'/'take' 'off' worn
Action 43	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 44	Eat		! 'eat' held
Action 45	Yes		! 'y//'/'yes'
Action 46	No		! 'no'
Action 47	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 48	Pray		! 'pray'
Action 49	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 50	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 51	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 52	Think		! 'think'
Action 53	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 54	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 55	Taste		! 'taste' noun
Action 56	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 57	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 58	Cut		! 'chop'/'cut'/'prune'/'slice'/'tear' noun
Action 59	Jump		! 'hop'/'jump'/'skip'
				! 'hop'/'jump'/'skip' 'over'
				! 'hop'/'jump'/'skip' 'across'
Action 60	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
				! 'hop'/'jump'/'skip' 'to' noun
				! 'hop'/'jump'/'skip' 'over' 'to' noun
				! 'hop'/'jump'/'skip' 'across' 'to' noun
				! 'hop'/'jump'/'skip' 'onto' noun
Action 61	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 62	Drink		! 'drink'/'sip'/'swallow' noun
Action 63	Fill		! 'fill' noun
Action 64	Sorry		! 'sorry'
Action 65	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 66	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 67	Attack		! 'attack'/'break'/'crack'/'destroy'/'drum'/'fight'/'hit'/'kick'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 68	Swim		! 'dive'/'swim'
Action 69	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 70	Blow		! 'blow' held
Action 71	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 72	Set		! 'adjust'/'set' noun
Action 73	SetTo		! 'adjust'/'set' noun 'to' special
Action 74	WaveHands	! 'shake'/'wave'
Action 75	Wave		! 'shake'/'wave' noun
Action 76	Pull		! 'drag'/'pull' noun
Action 77	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 78	Turn		! 'rotate'/'screw'/'swivel'/'turn'/'twist'/'unscrew' noun
Action 79	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 80	Squeeze		! 'squash'/'squeeze' noun
Action 81	ThrowAt		! 'pour'/'tip' noun 'over' noun
				! 'pour'/'tip' noun 'on' noun
				! 'pour'/'tip' noun 'onto' noun
				! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
