! Auto-generated by Reform.

MD5	ffda9ee2d428fa2fa8e75a1914ff6959
Object 110	obj110_Royal_Hall
Object 111	obj111_rock_structure
Object 112	obj112_Crystal_Grotto
Object 113	obj113_Tight_Squeeze
Object 114	obj114_voices
Object 115	obj115_hole
Object 116	obj116_old_man
Object 117	obj117_wooden_bar
Object 118	obj118_white_panel
Object 119	obj119_yellow_panel
Object 120	obj120_sundial
Object 121	obj121_short_pole
Object 122	obj122_red_panel
Object 123	obj123_red_button
Object 124	obj124_red_beam_of_light
Object 125	obj125_pine_panel
Object 126	obj126_mahogany_panel
Object 127	obj127_long_pole
Object 128	obj128_large_button
Object 129	obj129_compass_arrow
Object 130	obj130_black_panel
Object 131	obj131_T_bar
Object 132	obj132_runes
Object 133	obj133_Treasury_of_Zork
Object 134	obj134_cell_door
Object 135	obj135_Prison_Cell
Object 136	obj136_cell_door
Object 137	obj137_Prison_Cell
Object 138	obj138_Prison_Cell
Object 139	obj139_Parapet
Object 140	obj140_flaming_pit
Object 141	obj141_parapet
Object 142	obj142_cell_door
Object 143	obj143_North_Corridor
Object 144	obj144_Dungeon_Entrance
Object 145	obj145_wooden_door
Object 146	obj146_bronze_door
Object 147	obj147_South_Corridor
Object 148	obj148_West_Corridor
Object 149	obj149_East_Corridor
Object 150	obj150_channel
Object 151	obj151_moss_and_lichen
Object 152	obj152_Damp_Passage
Object 153	obj153_Dead_End
Object 154	obj154_Engravings_Room
Object 155	obj155_Beam_Room
Object 156	obj156_secret_door
Object 157	obj157_Button_Room
Object 158	obj158_Inside_Mirror
Object 159	obj159_Narrow_Room
Object 160	obj160_Narrow_Room
Object 161	obj161_Narrow_Room
Object 162	obj162_Narrow_Room
Object 163	obj163_Narrow_Room
Object 164	obj164_Narrow_Room
Object 165	obj165_Narrow_Room
Object 166	obj166_Narrow_Room
Object 167	obj167_Narrow_Room
Object 168	obj168_Narrow_Room
Object 169	obj169_Hallway
Object 170	obj170_Hallway
Object 171	obj171_Hallway
Object 172	obj172_Hallway
Object 173	obj173_wooden_wall
Object 174	obj174_Hallway
Object 175	obj175_stone_channel
Object 176	obj176_panel
Object 177	obj177_mirror
Object 178	obj178_Narrow_Corridor
Object 179	obj179_dungeon_master
Object 180	obj180_dungeon_master
Object 181	obj181_compass_rose
Object 182	obj182_Guardians_of_Zork
Object 183	obj183_direction
Object 184	obj184_number
Object 185	obj185_very_ancient_book
Object 186	obj186_small_slot
Object 187	obj187_warning_note
Object 188	obj188_southern_wall
Object 189	obj189_northern_wall
Object 190	obj190_western_wall
Object 191	obj191_eastern_wall
Object 192	obj192_ladder
Object 193	obj193_Room_in_a_Puzzle
Object 194	obj194_steel_door
Object 195	obj195_Side_Room
Object 196	obj196_great_rock
Object 197	obj197_sword
Object 198	obj198_lamp
Object 199	obj199_broken_brass_lantern
Object 200	obj200_you
Object 201	obj201_Royal_Puzzle_Entrance
Object 202	obj202_cretin
Object 203	obj203_water
Object 204	obj204_northern_wall
Object 205	obj205_western_wall
Object 206	obj206_southern_wall
Object 207	obj207_eastern_wall
Object 208	obj208_pair_of_hands
Object 209	obj209_lurking_grue
Object 210	obj210_ground
Object 211	obj211_tunnel
Object 212	obj212_way
Object 213	obj213_chasm
Object 214	obj214_dust_and_debris
Object 215	obj215_rubble
Object 216	obj216_stairs
Object 217	obj217_blessings
Object 218	obj218_random_object
Object 219	obj219_pseudo
Object 220	obj220
Object 221	obj221
Object 222	obj222

Attribute 4	attrib4			! obj39_golden_amulet obj65_cloak obj66_hood obj82_golden_ring
Attribute 5	attrib5			! obj34_piece_of_waybread
Attribute 6	attrib6			! obj41_torch
Attribute 7	attrib7			! obj1_Flathead_Ocean obj87_seat obj91_gold_machine
Attribute 8	attrib8			! obj86_dial obj120_sundial
Attribute 9	attrib9			! obj103_wooden_door obj104_stone_door obj106_cleft obj107_iron_door obj142_cell_door obj145_wooden_door obj146_bronze_door obj156_secret_door
Attribute 10	attrib10		! obj3_vial obj27_man obj29_chest obj67_hooded_figure obj81_steel_cage obj84_pedestal obj87_seat obj91_gold_machine obj103_wooden_door obj104_stone_door obj107_iron_door obj124_red_beam_of_light obj142_cell_door obj145_wooden_door obj146_bronze_door obj156_secret_door obj196_great_rock
Attribute 11	attrib11		! obj27_man obj57_man obj67_hooded_figure obj116_old_man obj177_mirror obj179_dungeon_master obj180_dungeon_master
Attribute 12	attrib12		! obj27_man obj67_hooded_figure obj81_steel_cage obj84_pedestal obj87_seat obj91_gold_machine obj103_wooden_door obj106_cleft obj124_red_beam_of_light obj186_small_slot obj196_great_rock
Attribute 13	attrib13		! obj187_warning_note
Attribute 14	attrib14		! obj6_indicator obj17_Frobozz_Magic_Grue_Repellent obj79_bronze_plaque obj80_plaque obj109_Royal_Seal_of_Dimwit_Flathead obj132_runes obj185_very_ancient_book obj187_warning_note
Attribute 15	attrib15		! obj9_Water_Slide obj10_High_Arch obj11_Aqueduct obj12_Key_Room obj15_Southern_Shore obj16_Sacrificial_Altar obj41_torch obj43_Scenic_Vista obj45_Western_Shore obj46_Underwater obj48_On_the_Lake obj50_Aqueduct_View obj52_Lake_Shore obj55_Cliff_Ledge obj58_Cliff obj60_Cliff_Base obj64_Endless_Stair obj68_Flathead_Ocean obj92_Museum_Entrance obj93_Jewel_Room obj95_Technology_Museum obj96_Technology_Museum obj97_Jewel_Room obj98_Museum_Entrance obj99_Side_Room obj100_Royal_Puzzle_Entrance obj101_Technology_Museum obj102_Jewel_Room obj105_Museum_Entrance obj112_Crystal_Grotto obj133_Treasury_of_Zork obj135_Prison_Cell obj137_Prison_Cell obj138_Prison_Cell obj139_Parapet obj143_North_Corridor obj144_Dungeon_Entrance obj147_South_Corridor obj148_West_Corridor obj149_East_Corridor obj155_Beam_Room obj157_Button_Room obj158_Inside_Mirror obj159_Narrow_Room obj160_Narrow_Room obj161_Narrow_Room obj162_Narrow_Room obj163_Narrow_Room obj164_Narrow_Room obj165_Narrow_Room obj166_Narrow_Room obj167_Narrow_Room obj168_Narrow_Room obj169_Hallway obj170_Hallway obj171_Hallway obj172_Hallway obj174_Hallway obj178_Narrow_Corridor obj193_Room_in_a_Puzzle obj195_Side_Room obj201_Royal_Puzzle_Entrance
Attribute 16	attrib16		! obj9_Water_Slide obj10_High_Arch obj11_Aqueduct obj12_Key_Room obj13_Dark_Place obj14_Dark_Place obj15_Southern_Shore obj16_Sacrificial_Altar obj18_Room_8 obj19_Machine_Room obj20_Drafty_Room obj21_Dead_End obj22_Ladder_Bottom obj24_Ladder_Top obj25_Timber_Room obj43_Scenic_Vista obj45_Western_Shore obj46_Underwater obj48_On_the_Lake obj50_Aqueduct_View obj52_Lake_Shore obj53_Foggy_Room obj55_Cliff_Ledge obj58_Cliff obj60_Cliff_Base obj61_Hairpin_Loop obj62_Barren_Area obj63_Junction obj64_Endless_Stair obj68_Flathead_Ocean obj69_Land_of_Shadow obj70_Land_of_Shadow obj71_Land_of_Shadow obj72_Land_of_Shadow obj73_Land_of_Shadow obj74_Land_of_Shadow obj76_Land_of_Shadow obj77_Land_of_Shadow obj78_Creepy_Crawl obj92_Museum_Entrance obj93_Jewel_Room obj95_Technology_Museum obj96_Technology_Museum obj97_Jewel_Room obj98_Museum_Entrance obj99_Side_Room obj100_Royal_Puzzle_Entrance obj101_Technology_Museum obj102_Jewel_Room obj105_Museum_Entrance obj108_Great_Door obj110_Royal_Hall obj112_Crystal_Grotto obj113_Tight_Squeeze obj133_Treasury_of_Zork obj135_Prison_Cell obj137_Prison_Cell obj138_Prison_Cell obj139_Parapet obj143_North_Corridor obj144_Dungeon_Entrance obj147_South_Corridor obj148_West_Corridor obj149_East_Corridor obj152_Damp_Passage obj153_Dead_End obj154_Engravings_Room obj155_Beam_Room obj157_Button_Room obj158_Inside_Mirror obj159_Narrow_Room obj160_Narrow_Room obj161_Narrow_Room obj162_Narrow_Room obj163_Narrow_Room obj164_Narrow_Room obj165_Narrow_Room obj166_Narrow_Room obj167_Narrow_Room obj168_Narrow_Room obj169_Hallway obj170_Hallway obj171_Hallway obj172_Hallway obj174_Hallway obj178_Narrow_Corridor obj193_Room_in_a_Puzzle obj195_Side_Room obj201_Royal_Puzzle_Entrance
Attribute 17	attrib17		! obj33_rope obj35_shiny_object obj65_cloak obj66_hood obj197_sword
Attribute 18	attrib18		! obj197_sword
Attribute 19	attrib19		! obj41_torch obj198_lamp
Attribute 20	attrib20		! obj3_vial obj7_strange_key obj17_Frobozz_Magic_Grue_Repellent obj26_broken_timber obj28_pile_of_assorted_valuables obj29_chest obj30_broken_staff obj31_wooden_staff obj34_piece_of_waybread obj37_lamp obj39_golden_amulet obj40_burned_out_torch obj41_torch obj65_cloak obj66_hood obj82_golden_ring obj83_jewelled_knife obj85_sceptre obj185_very_ancient_book obj187_warning_note obj197_sword obj198_lamp obj199_broken_brass_lantern
Attribute 21	attrib21		! obj27_man obj67_hooded_figure obj116_old_man obj179_dungeon_master obj182_Guardians_of_Zork obj200_you obj202_cretin
Attribute 22	attrib22		! obj203_water
Attribute 23	attrib23		! obj183_direction obj184_number obj208_pair_of_hands
Attribute 24	attrib24		! obj23_wooden_ladder obj216_stairs
Attribute 25	attrib25		! obj1_Flathead_Ocean obj4_sailor obj5_Viking_Ship obj6_indicator obj8_manhole_cover obj23_wooden_ladder obj28_pile_of_assorted_valuables obj32_tree obj33_rope obj35_shiny_object obj36_plants_and_algae obj38_sand obj39_golden_amulet obj42_viewing_table obj44_reeds obj47_fish obj59_ledge obj65_cloak obj66_hood obj75_stone_wall obj79_bronze_plaque obj80_plaque obj81_steel_cage obj82_golden_ring obj83_jewelled_knife obj84_pedestal obj85_sceptre obj86_dial obj87_seat obj88_button obj109_Royal_Seal_of_Dimwit_Flathead obj111_rock_structure obj114_voices obj115_hole obj117_wooden_bar obj118_white_panel obj119_yellow_panel obj120_sundial obj121_short_pole obj122_red_panel obj123_red_button obj124_red_beam_of_light obj125_pine_panel obj126_mahogany_panel obj127_long_pole obj128_large_button obj129_compass_arrow obj130_black_panel obj131_T_bar obj132_runes obj134_cell_door obj136_cell_door obj140_flaming_pit obj141_parapet obj145_wooden_door obj186_small_slot obj188_southern_wall obj189_northern_wall obj190_western_wall obj191_eastern_wall obj194_steel_door obj202_cretin obj204_northern_wall obj205_western_wall obj206_southern_wall obj207_eastern_wall obj208_pair_of_hands obj211_tunnel obj212_way obj213_chasm obj214_dust_and_debris obj215_rubble obj216_stairs obj217_blessings obj218_random_object
Attribute 26	attrib26		! obj81_steel_cage obj84_pedestal obj87_seat obj222
Attribute 27	attrib27		! obj222
Attribute 28	attrib28		! obj5_Viking_Ship obj106_cleft obj146_bronze_door obj156_secret_door obj202_cretin obj222
Attribute 29	attrib29		! obj222
Attribute 30	attrib30		! obj67_hooded_figure obj222
Attribute 31	attrib31		! obj222

Property 3	enter_to:exit
Property 4	prop4:string
Property 5	prop5:?
Property 6	prop6:string
Property 7	prop7:?
Property 8	prop8:?
Property 9	prop9:string
Property 10	prop10:?
Property 11	prop11:?
Property 12	prop12:?
Property 13	prop13:?
Property 14	prop14:?
Property 15	prop15:?
Property 16	prop16:?
Property 17	prop17:dictwords
Property 20	out_to:exit
Property 22	d_to:exit
Property 23	u_to:exit
Property 24	southw_to:exit
Property 25	se_to:exit
Property 26	northw_to:exit
Property 27	ne_to:exit
Property 28	s_to:exit
Property 29	w_to:exit
Property 30	e_to:exit
Property 31	n_to:exit

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'brief'
Action 1	Action1		! 'super'/'superb'
Action 2	Action2		! 'diagno'
Action 3	Action3		! 'i//'/'invent'
Action 4	Action4		! 'q//'/'quit'
Action 5	Action5		! 'restar'
Action 6	Action6		! 'restor'
Action 7	Action7		! 'save'
Action 8	Action8		! 'score'
Action 9	Action9		! '$ve'
Action 10	Action10	! 'versio'
Action 11	Action11	! 'verbos'
Action 12	Action12	! 'again'/'g//'
Action 13	Action13	! 'answer'/'reply'
Action 14	Action14	! 'answer'/'reply' object
Action 15	Action15	! 'apply' object 'to' object
				! 'drop'/'releas' object(held,many,have) 'onto'/'on' object
				! 'drop'/'releas' object(held,many,have) 'into'/'inside'/'in' object
				! 'drop'/'releas' object(held,many,have) 'down'/'d//' object
				! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'into'/'inside'/'in' object
				! 'squeez' object 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'into'/'inside'/'in' object
Action 16	Action16	! 'attack'/'fight'/'hit'/'hurt'/'injure' attrib21(in_room,on_ground) 'with'/'using'/'throug' attrib18(held,carried,have)
				! 'knock'/'rap' 'down'/'d//' attrib11(in_room,on_ground)
				! 'strike' attrib11(in_room,on_ground)
				! 'strike' attrib11(in_room,on_ground) 'with'/'using'/'throug' attrib18(held,carried,in_room,on_ground,have)
Action 17	Action17	! 'back'
Action 18	Action18	! 'blast'
				! 'blow' 'up'/'u//' object
Action 19	Action19	! 'board' attrib7(in_room,on_ground)
				! 'climb'/'sit' 'into'/'inside'/'in' attrib7(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'into'/'inside'/'in' attrib7(in_room,on_ground)
Action 20	Action20	! 'bug'
Action 21	Action21	! 'burn'/'ignite'/'incine' 'down'/'d//' attrib13(held,carried,in_room,on_ground) 'with'/'using'/'throug' attrib6(held,carried,in_room,on_ground,have)
				! 'burn'/'ignite'/'incine' attrib13(held,carried,in_room,on_ground) 'with'/'using'/'throug' attrib6(held,carried,in_room,on_ground,have)
				! 'light' attrib19(held,carried,in_room,on_ground) 'with'/'using'/'throug' attrib6(held,carried,have)
Action 22	Action22	! 'barf'/'chomp'/'lose'
Action 23	Action23	! 'climb'/'sit' 'up'/'u//' attrib24(in_room,on_ground)
				! 'go'/'procee'/'run'/'step'/'walk' 'up'/'u//' attrib24(in_room,on_ground)
Action 24	Action24	! 'climb'/'sit' 'down'/'d//' attrib24(in_room,on_ground)
				! 'go'/'procee'/'run'/'step'/'walk' 'down'/'d//' attrib24(in_room,on_ground)
Action 25	Action25	! 'climb'/'sit' attrib24(in_room,on_ground)
Action 26	Action26	! 'climb'/'sit' 'onto'/'on' attrib7(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'onto'/'on' attrib7(in_room,on_ground)
Action 27	Action27	! 'close' attrib9(held,carried,in_room,on_ground)
Action 28	Action28	! 'count' object
Action 29	Action29	! 'cross'/'ford' object
Action 30	Action30	! 'cut'/'pierce'/'slice' object 'with'/'using'/'throug' attrib18(held,carried)
Action 31	Action31	! 'curse'/'damn' attrib21
				! 'curse'/'damn'
Action 32	Action32	! 'deflat' object
Action 33	Action33	! 'dig' 'into'/'inside'/'in' object(in_room,on_ground) 'with'/'using'/'throug' attrib23(held,carried,have)
				! 'dig' object(in_room,on_ground) 'with'/'using'/'throug' attrib23(held,carried,have)
				! 'dig' 'into'/'inside'/'in' object
Action 34	Action34	! 'disemb' attrib7(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'out' attrib7(on_ground)
Action 35	Action35	! 'drink'/'imbibe'/'swallo' attrib22(held,carried,in_room,on_ground)
Action 36	Action36	! 'drink'/'imbibe'/'swallo' 'from' object(held,carried)
Action 37	Action37	! 'drop'/'releas' object(held,many,have)
				! 'leave' object
				! 'pour'/'spill' object(held,carried) 'from' object
				! 'pour'/'spill' object(held,carried) 'into'/'inside'/'in' object
				! 'pour'/'spill' object(held,carried)
				! 'hide'/'insert'/'place'/'put'/'stuff' 'down'/'d//' object(held,many)
Action 38	Action38	! 'lean' 'onto'/'on' object(held,have)
Action 39	Action39	! 'consum'/'eat'/'taste' attrib5(held,carried,in_room,on_ground,many)
Action 40	Action40	! 'enter'
Action 41	Action41	! 'enter' object
				! 'go'/'procee'/'run'/'step'/'walk' 'with'/'using'/'throug' object
				! 'go'/'procee'/'run'/'step'/'walk' 'onto'/'on' object
				! 'go'/'procee'/'run'/'step'/'walk' 'into'/'inside'/'in' object
Action 42	Action42	! 'exit' object
				! 'exit'
Action 43	Action43	! 'descri'/'examin'/'what'/'whats' object
				! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,many)
Action 44	Action44	! 'descri'/'examin'/'what'/'whats' 'onto'/'on' object(held,carried,in_room,on_ground,many)
				! 'descri'/'examin'/'what'/'whats' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare'  object
				! 'gaze'/'l//'/'look'/'stare' 'with'/'using'/'throug' object
Action 45	Action45	! 'banish'/'begone'/'cast'/'drive'/'exorci' 'away' attrib21
				! 'banish'/'begone'/'cast'/'drive'/'exorci' 'out' attrib21
				! 'banish'/'begone'/'cast'/'drive'/'exorci' object
Action 46	Action46	! 'douse'/'exting' attrib19(held,carried,in_room,on_ground,take,many,have)
				! 'blow' 'out' object
				! 'flip'/'set'/'shut'/'turn' 'off' attrib19(held,carried,in_room,on_ground,take,have)
Action 47	Action47	! 'fill' attrib10(held,carried,in_room,on_ground)
				! 'fill' attrib10(held,carried,in_room,on_ground) 'with'/'using'/'throug' object
Action 48	Action48	! 'find'/'see'/'seek'/'where' object
				! 'gaze'/'l//'/'look'/'stare' 'for' object
				! 'search' 'for' object
Action 49	Action49	! 'chase'/'come'/'follow'/'pursue' object
				! 'chase'/'come'/'follow'/'pursue'
Action 50	Action50	! 'donate'/'feed'/'give'/'hand'/'offer' object(held,many,have) 'to' attrib11(on_ground)
Action 51	Action51	! 'donate'/'feed'/'give'/'hand'/'offer' attrib11(on_ground) object(held,many,have)
Action 52	Action52	! 'hello'/'hi' object
				! 'hello'/'hi'
Action 53	Action53	! 'blow' 'up'/'u//' object 'with'/'using'/'throug' attrib23(held,carried,in_room,on_ground)
				! 'inflat' object 'with'/'using'/'throug' attrib23(held,carried,in_room,on_ground)
Action 54	Action54	! 'dive'/'jump'/'leap' 'off' object
				! 'dive'/'jump'/'leap' 'from' object
				! 'dive'/'jump'/'leap' 'into'/'inside'/'in' object
				! 'dive'/'jump'/'leap' 'across' object
				! 'dive'/'jump'/'leap' 'over' object
				! 'dive'/'jump'/'leap'
				! 'go'/'procee'/'run'/'step'/'walk' 'over' object
Action 55	Action55	! 'bite'/'kick'/'taunt' object
Action 56	Action56	! 'dispat'/'kill'/'murder'/'slay'/'stab' attrib21(in_room,on_ground) 'with'/'using'/'throug' attrib18(held,carried,have)
Action 57	Action57	! 'kiss' attrib21(in_room,on_ground)
Action 58	Action58	! 'knock'/'rap' 'onto'/'on' object
				! 'knock'/'rap' 'at' object
Action 59	Action59	! 'launch' attrib7
Action 60	Action60	! 'leave'
Action 61	Action61	! 'light' attrib19(held,carried,in_room,on_ground,have)
				! 'strike' object(held,carried,in_room,on_ground)
				! 'flip'/'set'/'shut'/'turn' 'onto'/'on' attrib19(held,carried,in_room,on_ground,take,have)
Action 62	Action62	! 'listen' 'for' object
				! 'listen' 'to' object
Action 63	Action63	! 'lock' object(in_room,on_ground) 'with'/'using'/'throug' attrib23(held,carried,in_room,on_ground,take)
Action 64	Action64	! 'gaze'/'l//'/'look'/'stare' 'around' attrib29
				! 'gaze'/'l//'/'look'/'stare'
Action 65	Action65	! 'gaze'/'l//'/'look'/'stare' 'undern'/'under'/'beneat'/'below' object
