! Auto-generated by Reform.

MD5	1ea91a064941a3f612b20833f0a47df7
Object 80	obj80_blue_punch_card
Object 81	obj81_blue_wax_statuette
Object 82	obj82_hole
Object 83	obj83_Ladies__Room
Object 84	obj84_catcher_s_mask
Object 85	obj85_Garden__North
Object 86	obj86_Beach
Object 87	obj87_Aunt_Hildegarde_s_house
Object 88	obj88_Bomb_Shelter
Object 89	obj89_In_the_Chimney
Object 90	obj90_hole
Object 91	obj91_Northwest_Junction
Object 92	obj92_brass_handles
Object 93	obj93_Garden__West
Object 94	obj94_ladder
Object 95	obj95_Game_Room
Object 96	obj96_pipe
Object 97	obj97_Northeast_Junction
Object 98	obj98_monument
Object 99	obj99_Middle_of_Beach_Stairs
Object 100	obj100_reset_button
Object 101	obj101_computer
Object 102	obj102_Crawl_Space__South
Object 103	obj103_sofa
Object 104	obj104_pair_of_metal_hooks
Object 105	obj105_closet_door
Object 106	obj106_Hedge_Maze
Object 107	obj107_niche
Object 108	obj108_violet_punch_card
Object 109	obj109_matchbox
Object 110	obj110_stairs
Object 111	obj111_yellowed_piece_of_paper
Object 112	obj112_bazooka
Object 113	obj113_heavy_wooden_plank
Object 114	obj114_crawl_space_door
Object 115	obj115_oak_door
Object 116	obj116_Upstairs_Hall__West
Object 117	obj117_Cliff
Object 118	obj118_fire_hydrant
Object 119	obj119_East_End_of_Roof
Object 120	obj120_Foyer
Object 121	obj121_flashlight
Object 122	obj122_fireplace
Object 123	obj123_Surface_of_Pool
Object 124	obj124_Aunt_Hildegarde
Object 125	obj125_Big_Diamond_Ring
Object 126	obj126_bed
Object 127	obj127_sand
Object 128	obj128_shovel
Object 129	obj129_hole
Object 130	obj130_room
Object 131	obj131_slide_projector
Object 132	obj132
Object 133	obj133_lens_cap
Object 134	obj134
Object 135	obj135_set_of_coat_pegs
Object 136	obj136_small_compartment
Object 137	obj137_him
Object 138	obj138_closet_door
Object 139	obj139_green_button
Object 140	obj140_Uncle_Buddy_s_toupee
Object 141	obj141_Hedge_Maze
Object 142	obj142_red_punch_card
Object 143	obj143_whip_cream_gun
Object 144	obj144_Mama_Maggio_s_cheese_grater
Object 145	obj145_Surface_of_Grotto_Pool
Object 146	obj146_window
Object 147	obj147_plaque
Object 148	obj148_hole
Object 149	obj149_water
Object 150	obj150_buzz_saw
Object 151	obj151_Master_Bedroom
Object 152	obj152_note
Object 153	obj153_hatch
Object 154	obj154_Southeast_Junction
Object 155	obj155_them
Object 156	obj156_closet_door
Object 157	obj157_Atomic_Chihuahua
Object 158	obj158_Entrance_to_Hedge_Maze
Object 159	obj159_boomerang_mail_bag
Object 160	obj160_closet_door
Object 161	obj161_Cousin_Herman
Object 162	obj162_stairs
Object 163	obj163_seat
Object 164	obj164_Closet
Object 165	obj165_your_feet
Object 166	obj166_thin_piece_of_paper
Object 167	obj167_Men_s_Room
Object 168	obj168_Persian_rug
Object 169	obj169_green_match
Object 170	obj170_cannon
Object 171	obj171_red_candle_wax
Object 172	obj172_display_lights
Object 173	obj173_panel
Object 174	obj174_white_button
Object 175	obj175_water
Object 176	obj176_Attic
Object 177	obj177_ground
Object 178	obj178_viewing_screen
Object 179	obj179_Garden__South
Object 180	obj180_that
Object 181	obj181_red_wax_statuette
Object 182	obj182_Front_Porch
Object 183	obj183_gap
Object 184	obj184_number
Object 185	obj185_pair_of_skis
Object 186	obj186_Guest_Room
Object 187	obj187_dusty_pillar
Object 188	obj188_film_projector
Object 189	obj189_Crawl_Space__North
Object 190	obj190_ceiling
Object 191	obj191_mantle
Object 192	obj192_telephone
Object 193	obj193_film_projector_lens
Object 194	obj194
Object 195	obj195_slide_projector_lens
Object 196	obj196_cloth_sack
Object 197	obj197_Underwater_Passage
Object 198	obj198_red_button
Object 199	obj199_Small_Passage
Object 200	obj200_wall_safe
Object 201	obj201_Underwater
Object 202	obj202_Bottom_Landing
Object 203	obj203
Object 204	obj204_pile_of_cannon_balls
Object 205	obj205_fuse
Object 206	obj206_Bedroom
Object 207	obj207_strip_of_film
Object 208	obj208_niche
Object 209	obj209_Tunnel
Object 210	obj210_blue_button
Object 211	obj211_elvish_sword_of_great_antiquity
Object 212	obj212_hopper
Object 213	obj213_brick
Object 214	obj214_Cannon_Emplacement
Object 215	obj215_dusty_trunk
Object 216	obj216_giant_nail_clippers
Object 217	obj217_piano
Object 218	obj218_Fireplace
Object 219	obj219_image
Object 220	obj220_Buck_Palace_endorsed__regulation_mailbox
Object 221	obj221_slide
Object 222	obj222_safe
Object 223	obj223_doorbell
Object 224	obj224_Buck_Palace_s_large_rubber_stamp
Object 225	obj225_Top_of_Closet
Object 226	obj226_Hallway
Object 227	obj227_Upstairs_Hall__Middle
Object 228	obj228_Grotto__Underwater
Object 229	obj229_Short_Hall
Object 230	obj230_letter_from_Aunt_Hildegarde
Object 231	obj231_orange_punch_card
Object 232	obj232_small__smoldering_fire
Object 233	obj233_Screening_Room
Object 234	obj234_Grotto
Object 235	obj235_white_candle_wax
Object 236	obj236_Aunt_Hildegarde_s_garden
Object 237	obj237_pseudo
Object 238	obj238_statue_of_Buck_Palace__the_fighting_letter_carrier
Object 239	obj239_Upstairs_Bathroom

Attribute 0	attrib0			! obj57_Jack_Valenti_bath_mat
Attribute 1	attrib1			! obj9_white_wax_statuette obj19_red_match obj65_rope obj66_photo_of_Uncle_Buddy obj81_blue_wax_statuette obj109_matchbox obj111_yellowed_piece_of_paper obj152_note obj166_thin_piece_of_paper obj169_green_match obj181_red_wax_statuette obj205_fuse obj230_letter_from_Aunt_Hildegarde
Attribute 2	attrib2			! obj68 obj101_computer obj121_flashlight obj131_slide_projector obj188_film_projector
Attribute 3	attrib3			! obj8_left_end_of_the_plank obj9_white_wax_statuette obj14_small_pond obj19_red_match obj60_rusty_bucket obj67_right_end_of_the_plank obj68 obj81_blue_wax_statuette obj90_hole obj107_niche obj109_matchbox obj126_bed obj131_slide_projector obj136_small_compartment obj148_hole obj169_green_match obj170_cannon obj181_red_wax_statuette obj183_gap obj188_film_projector obj191_mantle obj196_cloth_sack obj200_wall_safe obj204_pile_of_cannon_balls obj208_niche obj212_hopper obj215_dusty_trunk obj217_piano obj220_Buck_Palace_endorsed__regulation_mailbox obj222_safe obj232_small__smoldering_fire
Attribute 4	attrib4			! obj62_business_card obj68 obj111_yellowed_piece_of_paper obj147_plaque obj152_note obj166_thin_piece_of_paper obj230_letter_from_Aunt_Hildegarde
Attribute 5	attrib5			! obj10_Inlet obj37_Ledge obj43_Underwater_Passage obj68 obj78_Middle_of_Beach_Stairs obj86_Beach obj88_Bomb_Shelter obj99_Middle_of_Beach_Stairs obj106_Hedge_Maze obj123_Surface_of_Pool obj141_Hedge_Maze obj145_Surface_of_Grotto_Pool obj197_Underwater_Passage obj201_Underwater obj202_Bottom_Landing obj209_Tunnel obj228_Grotto__Underwater obj234_Grotto
Attribute 6	attrib6			! obj68 obj103_sofa obj126_bed
Attribute 7	attrib7			! obj2_South_Junction obj29_Southwest_Junction obj45_West_End_of_Roof obj58_Patio obj68 obj72_Garden__East obj77_Top_Landing obj85_Garden__North obj91_Northwest_Junction obj93_Garden__West obj97_Northeast_Junction obj117_Cliff obj119_East_End_of_Roof obj154_Southeast_Junction obj158_Entrance_to_Hedge_Maze obj179_Garden__South obj182_Front_Porch obj214_Cannon_Emplacement
Attribute 8	attrib8			! obj8_left_end_of_the_plank obj67_right_end_of_the_plank obj68 obj103_sofa
Attribute 9	attrib9			! obj68 obj232_small__smoldering_fire
Attribute 10	attrib10		! obj24_patio_door obj68 obj105_closet_door obj114_crawl_space_door obj115_oak_door obj138_closet_door obj153_hatch obj156_closet_door obj160_closet_door obj173_panel
Attribute 11	attrib11		! obj68
Attribute 12	attrib12		! obj4_your_hand obj68
Attribute 13	attrib13		! obj68
Attribute 14	attrib14		! obj68
Attribute 15	attrib15		! obj24_patio_door obj68 obj88_Bomb_Shelter obj95_Game_Room obj115_oak_door obj120_Foyer obj173_panel obj176_Attic obj200_wall_safe obj222_safe obj226_Hallway
Attribute 16	attrib16		! obj1_sawhorse obj8_left_end_of_the_plank obj11_newel_in_the_shape_of_Roger_Corman_s_head obj12_scale_model_of_downtown_Tokyo obj13_window obj14_small_pond obj18_blue_candle_wax obj24_patio_door obj25_black_button obj30_cannon_ball obj31_lights obj32_hedge_maze obj35_sawed_off_peg obj40_third_coat_peg obj41_second_coat_peg obj42_brick_chimney obj46_first_coat_peg obj47_square_pillar obj50_yourself obj51_chute obj55_hole obj57_Jack_Valenti_bath_mat obj59_long__greasy_chain obj64_portrait_of_Aunt_Hildegarde_and_Uncle_Buddy obj65_rope obj67_right_end_of_the_plank obj68 obj70_it obj71_wall obj74_wax_coating obj76_wax_coating obj82_hole obj90_hole obj92_brass_handles obj96_pipe obj98_monument obj100_reset_button obj101_computer obj104_pair_of_metal_hooks obj105_closet_door obj107_niche obj110_stairs obj112_bazooka obj113_heavy_wooden_plank obj114_crawl_space_door obj115_oak_door obj122_fireplace obj124_Aunt_Hildegarde obj125_Big_Diamond_Ring obj127_sand obj129_hole obj132 obj133_lens_cap obj135_set_of_coat_pegs obj136_small_compartment obj138_closet_door obj139_green_button obj146_window obj147_plaque obj150_buzz_saw obj153_hatch obj156_closet_door obj157_Atomic_Chihuahua obj160_closet_door obj161_Cousin_Herman obj162_stairs obj168_Persian_rug obj170_cannon obj171_red_candle_wax obj172_display_lights obj173_panel obj174_white_button obj177_ground obj178_viewing_screen obj187_dusty_pillar obj190_ceiling obj191_mantle obj192_telephone obj193_film_projector_lens obj195_slide_projector_lens obj196_cloth_sack obj198_red_button obj200_wall_safe obj203 obj204_pile_of_cannon_balls obj205_fuse obj208_niche obj210_blue_button obj212_hopper obj213_brick obj215_dusty_trunk obj217_piano obj219_image obj220_Buck_Palace_endorsed__regulation_mailbox obj222_safe obj223_doorbell obj235_white_candle_wax
Attribute 17	attrib17		! obj3_copy_of_the_film__A_Corpse_Line_ obj7_parking_meter obj9_white_wax_statuette obj16_big_stick obj19_red_match obj21_indigo_punch_card obj22_pair_of_red_wax_feet obj26_stuffed_penguin obj27_salivating_hedge_shears obj30_cannon_ball obj44_green_punch_card obj47_square_pillar obj49_missing_peg obj54_pair_of_white_wax_feet obj57_Jack_Valenti_bath_mat obj60_rusty_bucket obj61_automatic_stake_driver obj62_business_card obj63_yellow_punch_card obj66_photo_of_Uncle_Buddy obj68 obj73_pair_of_blue_wax_feet obj75_hairy_club obj80_blue_punch_card obj81_blue_wax_statuette obj84_catcher_s_mask obj94_ladder obj108_violet_punch_card obj109_matchbox obj111_yellowed_piece_of_paper obj118_fire_hydrant obj121_flashlight obj125_Big_Diamond_Ring obj128_shovel obj133_lens_cap obj134 obj140_Uncle_Buddy_s_toupee obj142_red_punch_card obj143_whip_cream_gun obj144_Mama_Maggio_s_cheese_grater obj152_note obj159_boomerang_mail_bag obj163_seat obj166_thin_piece_of_paper obj169_green_match obj181_red_wax_statuette obj185_pair_of_skis obj187_dusty_pillar obj196_cloth_sack obj207_strip_of_film obj211_elvish_sword_of_great_antiquity obj213_brick obj216_giant_nail_clippers obj221_slide obj224_Buck_Palace_s_large_rubber_stamp obj230_letter_from_Aunt_Hildegarde obj231_orange_punch_card
Attribute 18	attrib18		! obj20_yourself obj50_yourself obj68 obj124_Aunt_Hildegarde obj161_Cousin_Herman
Attribute 19	attrib19		! obj2_South_Junction obj5_Parlor obj10_Inlet obj15_Prop_Vault obj17_Shaft_Bottom obj23_In_the_Chimney obj28_Kitchen obj29_Southwest_Junction obj33_Dining_Room obj34_Cellar obj36_Work_Room obj37_Ledge obj43_Underwater_Passage obj45_West_End_of_Roof obj48_In_the_Chimney obj56_Upstairs_Hall__East obj58_Patio obj68 obj69_Projection_Booth obj72_Garden__East obj77_Top_Landing obj78_Middle_of_Beach_Stairs obj79_Living_Room obj83_Ladies__Room obj85_Garden__North obj86_Beach obj88_Bomb_Shelter obj89_In_the_Chimney obj91_Northwest_Junction obj93_Garden__West obj95_Game_Room obj97_Northeast_Junction obj99_Middle_of_Beach_Stairs obj102_Crawl_Space__South obj106_Hedge_Maze obj116_Upstairs_Hall__West obj117_Cliff obj119_East_End_of_Roof obj120_Foyer obj123_Surface_of_Pool obj141_Hedge_Maze obj145_Surface_of_Grotto_Pool obj151_Master_Bedroom obj154_Southeast_Junction obj158_Entrance_to_Hedge_Maze obj164_Closet obj167_Men_s_Room obj176_Attic obj179_Garden__South obj182_Front_Porch obj186_Guest_Room obj189_Crawl_Space__North obj197_Underwater_Passage obj199_Small_Passage obj201_Underwater obj202_Bottom_Landing obj206_Bedroom obj209_Tunnel obj214_Cannon_Emplacement obj218_Fireplace obj225_Top_of_Closet obj226_Hallway obj227_Upstairs_Hall__Middle obj228_Grotto__Underwater obj229_Short_Hall obj233_Screening_Room obj234_Grotto obj239_Upstairs_Bathroom
Attribute 20	attrib20		! obj2_South_Junction obj10_Inlet obj15_Prop_Vault obj29_Southwest_Junction obj36_Work_Room obj43_Underwater_Passage obj45_West_End_of_Roof obj58_Patio obj68 obj72_Garden__East obj77_Top_Landing obj78_Middle_of_Beach_Stairs obj85_Garden__North obj86_Beach obj91_Northwest_Junction obj93_Garden__West obj97_Northeast_Junction obj99_Middle_of_Beach_Stairs obj106_Hedge_Maze obj117_Cliff obj119_East_End_of_Roof obj141_Hedge_Maze obj145_Surface_of_Grotto_Pool obj154_Southeast_Junction obj158_Entrance_to_Hedge_Maze obj179_Garden__South obj182_Front_Porch obj197_Underwater_Passage obj201_Underwater obj202_Bottom_Landing obj214_Cannon_Emplacement obj228_Grotto__Underwater obj234_Grotto
Attribute 21	attrib21		! obj21_indigo_punch_card obj61_automatic_stake_driver obj68 obj70_it obj211_elvish_sword_of_great_antiquity obj231_orange_punch_card
Attribute 22	attrib22		! obj68 obj84_catcher_s_mask obj125_Big_Diamond_Ring obj140_Uncle_Buddy_s_toupee obj185_pair_of_skis
Attribute 23	attrib23		! obj68 obj221_slide
Attribute 24	attrib24		! obj8_left_end_of_the_plank obj9_white_wax_statuette obj14_small_pond obj19_red_match obj60_rusty_bucket obj67_right_end_of_the_plank obj68 obj81_blue_wax_statuette obj90_hole obj107_niche obj109_matchbox obj126_bed obj131_slide_projector obj136_small_compartment obj148_hole obj169_green_match obj170_cannon obj181_red_wax_statuette obj188_film_projector obj191_mantle obj196_cloth_sack obj200_wall_safe obj204_pile_of_cannon_balls obj208_niche obj212_hopper obj215_dusty_trunk obj217_piano obj220_Buck_Palace_endorsed__regulation_mailbox obj222_safe obj232_small__smoldering_fire
Attribute 25	attrib25		! obj8_left_end_of_the_plank obj9_white_wax_statuette obj14_small_pond obj19_red_match obj60_rusty_bucket obj67_right_end_of_the_plank obj68 obj81_blue_wax_statuette obj90_hole obj103_sofa obj107_niche obj126_bed obj131_slide_projector obj148_hole obj169_green_match obj170_cannon obj181_red_wax_statuette obj183_gap obj188_film_projector obj191_mantle obj204_pile_of_cannon_balls obj208_niche obj212_hopper obj232_small__smoldering_fire
Attribute 26	attrib26		! obj47_square_pillar obj59_long__greasy_chain obj65_rope obj68 obj92_brass_handles obj103_sofa obj113_heavy_wooden_plank obj125_Big_Diamond_Ring obj126_bed obj133_lens_cap obj163_seat obj168_Persian_rug obj170_cannon obj187_dusty_pillar obj196_cloth_sack obj222_safe
Attribute 27	attrib27		! obj9_white_wax_statuette obj68 obj81_blue_wax_statuette obj126_bed obj181_red_wax_statuette obj191_mantle obj204_pile_of_cannon_balls
Attribute 28	attrib28		! obj4_your_hand obj20_yourself obj36_Work_Room obj68 obj70_it obj71_wall obj177_ground obj190_ceiling
Attribute 29	attrib29		! obj21_indigo_punch_card obj44_green_punch_card obj50_yourself obj55_hole obj68 obj142_red_punch_card obj200_wall_safe
Attribute 30	attrib30		! obj4_your_hand obj20_yourself obj27_salivating_hedge_shears obj50_yourself obj53_her obj68 obj70_it obj87_Aunt_Hildegarde_s_house obj124_Aunt_Hildegarde obj127_sand obj137_him obj140_Uncle_Buddy_s_toupee obj144_Mama_Maggio_s_cheese_grater obj149_water obj155_them obj161_Cousin_Herman obj165_your_feet obj175_water obj180_that obj216_giant_nail_clippers obj224_Buck_Palace_s_large_rubber_stamp
Attribute 31	attrib31		! obj2_South_Junction obj47_square_pillar obj68 obj77_Top_Landing obj89_In_the_Chimney obj97_Northeast_Junction obj116_Upstairs_Hall__West obj125_Big_Diamond_Ring obj158_Entrance_to_Hedge_Maze obj187_dusty_pillar

Property 1	prop1:?
Property 2	prop2:string
Property 3	prop3:?
Property 4	prop4:string
Property 5	prop5:?
Property 6	prop6:?
Property 7	prop7:?
Property 8	prop8:?
Property 9	prop9:?
Property 10	prop10:?
Property 11	prop11:?
Property 12	prop12:string
Property 13	prop13:string
Property 14	prop14:?
Property 15	prop15:?
Property 16	prop16:?
Property 17	prop17:dictwords
Property 18	prop18:?
Property 19	out_to:exit
Property 20	in_to:exit
Property 21	d_to:exit
Property 22	u_to:exit
Property 23	northw_to:exit
Property 24	w_to:exit
Property 25	southw_to:exit
Property 26	s_to:exit
Property 27	se_to:exit
Property 28	e_to:exit
Property 29	ne_to:exit
Property 30	n_to:exit
Property 31	prop31:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'verbos'
Action 1	Action1		! 'brief'
Action 2	Action2		! 'super'/'superb'
Action 3	Action3		! 'diagno'
Action 4	Action4		! 'i//'/'invent'
Action 5	Action5		! 'q//'/'quit'
Action 6	Action6		! 'restar'
Action 7	Action7		! 'restor'
Action 8	Action8		! 'save'
Action 9	Action9		! 'aid'/'help' object
				! 'save' object
Action 10	Action10	! 'score'
Action 11	Action11	! 'script'
Action 12	Action12	! 't//'/'time'
Action 13	Action13	! 'unscri'
Action 14	Action14	! 'versio'
Action 15	Action15	! '$ve' object
				! '$ve'
Action 16	Action16	! '#rand' object
Action 17	Action17	! '#comm'
Action 18	Action18	! '#reco'
Action 19	Action19	! '#unre'
Action 20	Action20	! '$de'
Action 21	Action21	! '$on'
Action 22	Action22	! '$of'
Action 23	Action23	! '$tr'
Action 24	Action24	! '$mo'
Action 25	Action25	! '$he'
Action 26	Action26	! '$hn'
Action 27	Action27	! '$ca'
Action 28	Action28	! 'tten'
Action 29	Action29	! 'answer'/'reply'/'respon' 'toward'/'to' attrib18
				! 'answer'/'reply'/'respon' attrib18
Action 30	Action30	! 'ask'/'interr'/'query'/'questi'/'quiz' attrib18
Action 31	Action31	! 'ask'/'interr'/'query'/'questi'/'quiz' attrib18 'about' object
Action 32	Action32	! 'ask'/'interr'/'query'/'questi'/'quiz' attrib18 'for' object
Action 33	Action33	! 'climb'/'scale' 'up'/'u//' attrib19(in_room,on_ground)
				! 'climb'/'scale' object(in_room,on_ground)
				! 'go' 'up'/'u//' attrib19(in_room,on_ground)
				! 'ascend' attrib19(in_room,on_ground)
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'up'/'u//' attrib19(in_room,on_ground)
Action 34	Action34	! 'go' 'behind' object
				! 'go' 'around'/'along' attrib19
				! 'back'
				! 'ski'
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'behind' object
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'around'/'along' attrib19
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk'
Action 35	Action35	! 'bite' object
Action 36	Action36	! 'blow' 'thru'/'throug' object
				! 'blow' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'blow' object
Action 37	Action37	! 'blind'/'jab'/'poke' attrib18(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'blow' 'up'/'u//' object
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' 'thru'/'throug' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' 'thru'/'throug' object(in_room,on_ground)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
