! Auto-generated by Reform.

MD5	80ea198bca425b6d819c74bfa854236e
Attribute 2	clothing		! obj33_snorkel obj40_raincoat obj94_parka obj131_pair_of_diamond_wings
Attribute 3	concealed		! obj6_compass obj20__self_object_
Attribute 4	container		! obj40_raincoat obj129_diamond_cage obj130_crystal_shaped_space
Attribute 6	edible			! obj98_worm obj114_rice obj118_fish obj137_sushi
Attribute 9	light			! AboveGround obj28_Large_Clearing obj34_Small_Path obj36_Fork_in_Path obj37_End_of_Path obj39_End_of_Path obj41_Canyon_Entrance obj47_Canyon_Path obj51_Small_Clearing obj55_Endless_Beach obj61_Ocean obj63_Island_Coast obj66_Sandy_Beach obj70_torch
Attribute 11	locked			! obj129_diamond_cage
Attribute 14	open			! obj130_crystal_shaped_space
Attribute 15	openable		! obj40_raincoat obj129_diamond_cage
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside Prop obj29_large_clearing obj30_dense_forest obj31_path obj35_rocky_territory obj42_path obj43_forest obj44_canyon obj45_beach obj46_river obj48_boulders obj49_passages obj50_passage obj52_clearing obj53_small_passages obj56_white_sand obj57_ocean obj58_island obj59_horizon obj60_dunes obj62_shore obj64_coast obj65_rock obj67_earth obj70_torch obj71_walls obj72_room obj73_secret_passageway obj75_cavern obj76_corridors obj79_pipe_organ obj80_pipes obj82_passageway obj83_vapors obj84_wall_of_ice obj85_fragments obj87_rubble obj88_slippery_tunnel obj90_rubble obj93_store obj96_damp_cave obj97_moist_ground obj100_lake obj101_intersection obj109_corridor obj110_cool_draft obj112_odor obj115_song obj117_slush_filled_hole obj122_tall_chamber obj123_columns obj124_door obj127_jewels obj128_wall obj129_diamond_cage obj130_crystal_shaped_space obj133_ledge obj134_abyss obj135_fog obj136_faint_light
Attribute 19	static			! obj32_tree obj70_torch obj79_pipe_organ obj87_rubble obj90_rubble
Attribute 20	supporter		! obj105_fishing_rod
Attribute 21	switchable		! obj68_lamp
Attribute 23	transparent		! obj20__self_object_
Attribute 27	male			! obj103_old_man obj125_samurai
Attribute 30	pluralname		! obj114_rice obj137_sushi

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:dictword
Property 6	life:string
Property 7	n_to:?
Property 8	s_to:?
Property 9	e_to:?
Property 10	w_to:?
Property 11	ne_to:?
Property 12	se_to:?
Property 13	nw_to:?
Property 14	sw_to:?
Property 16	d_to:string
Property 17	in_to:string
Property 21	door_dir:?
Property 29	orders:?
Property 30	initial:thing
Property 35	description:?
Property 36	describe:dictword
Property 37	article:string
Property 39	found_in:?
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:string
Property 43	daemon:?
Property 44	each_turn:string
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:?
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	damage_death:?
Property 77	lit_turns:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Score		! 'score'
Action 11	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 12	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 13	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 14	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 15	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 16	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 17	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 18	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 19	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 20	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 21	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 22	GetOff		! 'get' 'off' noun
Action 23	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 24	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 25	Go		! 'leave' noun=routine76416
				! 'go'/'run'/'walk' noun=routine76416
Action 26	LMode1		! 'brief'/'normal'
Action 27	LMode2		! 'long'/'verbose'
Action 28	LMode3		! 'short'/'superbrie'
Action 29	Look		! 'l//'/'look'
Action 30	Examine		! 'ex' noun
				! 'read' noun
				!  noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 31	LookUnder	! 'l//'/'look' 'under' noun
Action 32	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 33	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 34	Lock		! 'lock' noun 'with' held
Action 35	SwitchOn	! 'light' switchable
				! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 36	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 37	Open		! 'lift' noun
				! 'open'/'uncover'/'undo'/'unwrap' noun
Action 38	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 39	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 40	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 41	Eat		! 'eat' held
Action 42	Yes		! 'y//'/'yes'
Action 43	No		! 'no'
Action 44	Burn		! 'light' noun
				! 'light' noun 'with' held
				! 'burn' noun
				! 'burn' noun 'with' held
Action 45	Pray		! 'pray'
Action 46	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 47	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 48	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 49	Think		! 'think'
Action 50	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 51	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 52	Taste		! 'taste' noun
Action 53	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 54	Dig		! 'use' 'shovel'
				! 'dig' noun
				! 'dig' noun 'with' held
Action 55	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 56	Jump		! 'play'
				! 'hop'/'jump'/'skip'
Action 57	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 58	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 59	Drink		! 'drink'/'sip'/'swallow' noun
Action 60	Fill		! 'fill' noun
Action 61	Sorry		! 'sorry'
Action 62	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 63	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 64	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 65	Swim		! 'dive'/'swim'
Action 66	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 67	Blow		! 'blow' held
Action 68	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 69	Set		! 'adjust'/'set' noun
Action 70	SetTo		! 'adjust'/'set' noun 'to' special
Action 71	WaveHands	! 'wave'
Action 72	Wave		! 'wave' noun
Action 73	Pull		! 'pull' noun
				! 'pull' 'on' noun
				! 'drag' noun
Action 74	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 75	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 76	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 77	Squeeze		! 'squash'/'squeeze' noun
Action 78	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 79	Tell		! 'tell' creature 'about' topic
Action 80	Answer		! 'talk' 'to' noun
				! 'speak' topic 'to' creature
				! 'speak' 'to' noun
				! 'answer'/'say'/'shout' topic 'to' creature
Action 81	Ask		! 'ask' creature 'about' topic
Action 82	Buy		! 'buy'/'purchase' noun
Action 83	Sing		! 'sing'
Action 84	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 85	Wait		! 'wait'/'z//'
Action 86	Sleep		! 'nap'/'sleep'
Action 87	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'read' noun
				!  'about' topic 'in' noun
				!  topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 88	AskFor		! 'ask' creature 'for' noun
Action 91	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 92	Diagnose	! 'diag'/'diagnose'
Action 93	Fish		! 'use' 'rod'
				! 'bait'
				! 'bait' noun
				! 'fish'
Action 94	Fly		! 'fly'
Action 95	Version		! 'version'
Action 96	TraceOn		! 'trace'
				! 'trace' 'on'
Action 97	TraceLevel	! 'trace' number
Action 98	TraceOff	! 'trace' 'off'
Action 99	ActionsOn	! 'actions'
				! 'actions' 'on'
Action 100	ActionsOff	! 'actions' 'off'
Action 101	RoutinesOn	! 'messages'/'routines'
				! 'messages'/'routines' 'on'
Action 102	RoutinesOff	! 'messages'/'routines' 'off'
Action 103	TimersOn	! 'daemons'/'timers'
				! 'daemons'/'timers' 'on'
Action 104	TimersOff	! 'daemons'/'timers' 'off'
Action 105	ChangesOn	! 'changes'
				! 'changes' 'on'
Action 106	ChangesOff	! 'changes' 'off'
Action 107	CommandsOn	! 'recording'
				! 'recording' 'on'
Action 108	CommandsOff	! 'recording' 'off'
Action 109	CommandsRead	! 'replay'
Action 110	Predictable	! 'random'
Action 111	XPurloin	! 'purloin' multi
Action 112	XAbstract	! 'abstract' noun 'to' noun
Action 113	XTree		! 'tree'
				! 'tree' noun
Action 114	Goto		! 'goto' number
Action 115	Gonear		! 'gonear' noun
Action 116	Scope		! 'scope'
				! 'scope' noun
Action 117	Showverb	! 'showverb' special
Action 118	Showobj		! 'showobj'
				! 'showobj' multi
Action 119	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 120	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 121	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 122	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 123	MakeSushi	! 'make' 'sushi'
Action 124	Make		! 'make' topic
Action 125	Play		! 'play' 'with' noun
				! 'play' noun
Action 126	Scream		! 'yell'
				! 'scream'
Action 127	Help		! 'hint'
				! 'help'
Action 128	Footnote	! 'footnote'
				! 'footnote' topic
Action 129	Use		! 'use' noun
Action 130	Geomancer	! 'geomancer'
Action 131	GeomancerRules	! 'geomancer' 'is' 'cool'/'great'/'awesome'
Action 132	GeomancerBed	! 'geomancer' 'is' 'great'/'awesome' 'in' 'bed'
Action 133	GeomancerSucks	! 'geomancer' topic
Action 134	POP		! 'popcpr'
				! 'pop'
				! 'cprpop'
				! 'cpr'
Action 135	Batman		! 'who' 'are' 'you'
				! 'what' 'are' 'you'
Action 136	Grue		! 'what' 'is' 'a//' 'grue'
Action 137	GoodQuestion	! 'what' topic
Action 138	PlayTheGame	! 'you' topic
				! 'who' 'am' 'i//'

Word	corridors	corridors
Word	everythin	everythin
Word	fragments	fragments
Word	fullscore	fullscore
Word	geomancer	geomancer
Word	intersect	intersect
Word	inventory	inventory
Word	meanderin	meanderin
Word	northeast	northeast
Word	northwest	northwest
Word	passagewa	passagewa
Word	recording	recording
Word	seventeen	seventeen
Word	shimmerin	shimmerin
Word	southeast	southeast
Word	southwest	southwest
Word	superbrie	superbrie
Word	territory	territory
Word	transcrip	transcrip

Routine 0x3b60	routine15200:?
Routine 0x3b68	routine15208:?
Routine 0x3b74	routine15220:?
Routine 0x3b78	routine15224:?
Routine 0x3ba0	routine15264:?
Routine 0x3c40	routine15424:?
Routine 0x3e18	routine15896:?
Routine 0x3e50	routine15952:?
Routine 0x3e8c	routine16012:?
Routine 0x3f08	routine16136:?
Routine 0x3f84	routine16260:?
Routine 0x3fac	routine16300:?
Routine 0x402c	routine16428:?
Routine 0x40b4	routine16564:?
Routine 0x6068	routine24680:?
! References: obj20__self_object_.short_name
Routine 0x6074	routine24692:?
Routine 0x6080	routine24704:?
Routine 0x608c	routine24716:?
Routine 0x60b0	routine24752:?
Routine 0x61c4	routine25028:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x61dc	routine25052:?
Routine 0x61e4	routine25060:?
Routine 0x61f4	routine25076:?
Routine 0x647c	routine25724:?
Routine 0x7298	routine29336:?
Routine 0x7370	routine29552:?
Routine 0x738c	routine29580:?
Routine 0x7560	routine30048:?
Routine 0x759c	routine30108:?
Routine 0x7668	routine30312:?
Routine 0x768c	routine30348:?
Routine 0x7dd8	routine32216:?
Routine 0x8918	routine35096:?
Routine 0x9094	routine37012:?
Routine 0x9334	routine37684:?
Routine 0x9720	routine38688:?
Routine 0x9828	routine38952:?
Routine 0x988c	routine39052:?
Routine 0x9a8c	routine39564:?
Routine 0x9b24	routine39716:?
Routine 0x9bc0	routine39872:?
Routine 0x9c4c	routine40012:?
Routine 0x9d1c	routine40220:?
Routine 0x9d98	routine40344:?
Routine 0x9de0	routine40416:?
Routine 0x9e50	routine40528:?
Routine 0xa038	routine41016:?
Routine 0xa098	routine41112:?
Routine 0xa0b4	routine41140:?
Routine 0xa238	routine41528:?
Routine 0xa2a4	routine41636:?
Routine 0xa3f8	routine41976:?
Routine 0xa41c	routine42012:?
Routine 0xa4dc	routine42204:?
Routine 0xa6a4	routine42660:?
Routine 0xa700	routine42752:?
Routine 0xa730	routine42800:?
Routine 0xa7b4	routine42932:?
Routine 0xa82c	routine43052:?
Routine 0xa890	routine43152:?
Routine 0xa8c0	routine43200:?
Routine 0xa8f8	routine43256:?
Routine 0xa928	routine43304:?
Routine 0xaa5c	routine43612:?
Routine 0xaa74	routine43636:?
Routine 0xab1c	routine43804:?
Routine 0xab34	routine43828:?
Routine 0xab4c	routine43852:?
Routine 0xab70	routine43888:?
Routine 0xabe0	PronounsSub:?
Routine 0xacfc	routine44284:?
Routine 0xad80	routine44416:?
Routine 0xae00	routine44544:?
Routine 0xae08	routine44552:?
Routine 0xae34	routine44596:?
! References: obj22__Inform_Library_.play
Routine 0xaf10	routine44816:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xb540	routine46400:?
! References: obj22__Inform_Library_.begin_action
Routine 0xb6c8	routine46792:?
Routine 0xb704	routine46852:?
Routine 0xb710	routine46864:?
Routine 0xb7cc	routine47052:?
Routine 0xb7ec	routine47084:?
Routine 0xb854	routine47188:?
Routine 0xb89c	routine47260:?
Routine 0xb8d8	routine47320:?
Routine 0xb920	routine47392:?
Routine 0xb95c	routine47452:?
Routine 0xb978	routine47480:?
Routine 0xb99c	routine47516:?
Routine 0xba00	routine47616:?
Routine 0xba20	routine47648:?
Routine 0xba44	routine47684:?
Routine 0xba54	routine47700:?
Routine 0xbb10	routine47888:?
Routine 0xbb90	routine48016:?
Routine 0xbc28	routine48168:?
Routine 0xbc80	routine48256:?
Routine 0xbc9c	routine48284:?
Routine 0xbcb0	routine48304:?
Routine 0xbccc	routine48332:?
Routine 0xbd30	routine48432:?
Routine 0xbe84	routine48772:?
Routine 0xbf10	routine48912:?
Routine 0xc068	routine49256:?
Routine 0xc198	routine49560:?
Routine 0xc220	routine49696:?
Routine 0xc268	routine49768:?
Routine 0xc2b0	routine49840:?
Routine 0xc344	routine49988:?
Routine 0xc474	routine50292:?
Routine 0xc510	ShowverbSub:?
Routine 0xc5dc	ShowobjSub:?
Routine 0xc84c	routine51276:?
Routine 0xc8fc	routine51452:?
Routine 0xca10	routine51728:?
Routine 0xcae4	routine51940:?
Routine 0xcb34	routine52020:?
Routine 0xcb6c	routine52076:?
Routine 0xcba4	routine52132:?
Routine 0xcbb8	routine52152:?
Routine 0xcbc0	routine52160:?
Routine 0xcc40	routine52288:?
Routine 0xcc68	routine52328:?
Routine 0xcc98	routine52376:?
Routine 0xce2c	routine52780:?
Routine 0xcec8	routine52936:?
! References: obj94_parka.name
Routine 0xd034	routine53300:?
! References: obj31_path.name
Routine 0xd0e8	routine53480:?
Routine 0xd154	routine53588:?
Routine 0xd278	routine53880:?
Routine 0xd360	routine54112:?
Routine 0xd500	routine54528:?
Routine 0xd518	routine54552:?
Routine 0xd5b4	routine54708:?
Routine 0xe074	routine57460:?
Routine 0xe0ec	routine57580:?
Routine 0xe6b0	routine59056:?
