! Auto-generated by Reform.

MD5	808039c4e9554bdd15d7793539b3bd97
Object 129	obj129_Ski_Resort
Object 130	obj130_Governor_s_House__Waiting_Room
Object 131	obj131_couch
Object 132	obj132_travel_brochure
Object 133	obj133_coin
Object 134	obj134_desk
Object 135	obj135_ledger
Object 136	obj136_alarm_clock
Object 137	obj137_knob
Object 138	obj138_hands
Object 139	obj139_bells
Object 140	obj140_Governor_s_Office
Object 141	obj141_desk
Object 142	obj142_door
Object 143	obj143_Subway_Entrance
Object 144	obj144_ski_instructor
Object 145	obj145_receptionist
Object 146	obj146_governor
Object 147	obj147_pencil
Object 148	obj148_coin
Object 149	obj149_whistle
Object 150	obj150_plastic_wrapper
Object 151	obj151_toy_volcano
Object 152	obj152_instruction_notice
Object 153	obj153_waxy_scroll
Object 154	obj154_create_waxy_build_up_on_wood
Object 155	obj155_sugar_coated_scroll
Object 156	obj156_triplicate_object
Object 157	obj157_coin
Object 158	obj158_coin
Object 159	obj159_Aragain_North
Object 160	obj160_Aragain_Entrance
Object 161	obj161_line
Object 162	obj162_large_sign
Object 163	obj163_huge_entrance_gate
Object 164	obj164_Courtyard
Object 165	obj165_topiary
Object 166	obj166_Royal_Museum
Object 167	obj167_North_Exhibit_Room
Object 168	obj168_glass_wall
Object 169	obj169_priceless_painting
Object 170	obj170_coin
Object 171	obj171_plaque
Object 172	obj172_South_Exhibit_Room
Object 173	obj173_platform
Object 174	obj174_flower_vase
Object 175	obj175_Warm_Room
Object 176	obj176_large_sign
Object 177	obj177_On_Giant_White_Cube
Object 178	obj178_On_Giant_White_Cube
Object 179	obj179_On_Giant_White_Cube
Object 180	obj180_On_Giant_White_Cube
Object 181	obj181_On_Giant_White_Cube
Object 182	obj182_On_Giant_White_Cube
Object 183	obj183_On_Giant_White_Cube
Object 184	obj184_On_Giant_White_Cube
Object 185	obj185_On_Giant_White_Cube
Object 186	obj186_western_niche
Object 187	obj187_southern_niche
Object 188	obj188_eastern_niche
Object 189	obj189_southern_niche
Object 190	obj190_western_niche
Object 191	obj191_eastern_niche
Object 192	obj192_southern_niche
Object 193	obj193_northern_niche
Object 194	obj194_western_niche
Object 195	obj195_southern_niche
Object 196	obj196_northern_niche
Object 197	obj197_eastern_niche
Object 198	obj198_western_niche
Object 199	obj199_southern_niche
Object 200	obj200_eastern_niche
Object 201	obj201_northern_niche
Object 202	obj202_southern_niche
Object 203	obj203_northern_niche
Object 204	obj204_western_niche
Object 205	obj205_northern_niche
Object 206	obj206_western_niche
Object 207	obj207_eastern_niche
Object 208	obj208_northern_niche
Object 209	obj209_eastern_niche
Object 210	obj210_ebony_beam
Object 211	obj211_ebony_beam
Object 212	obj212_ebony_beam
Object 213	obj213_ebony_beam
Object 214	obj214_pine_beam
Object 215	obj215_pine_beam
Object 216	obj216_pine_beam
Object 217	obj217_pine_beam
Object 218	obj218_pine_beam
Object 219	obj219_pine_beam
Object 220	obj220_pine_beam
Object 221	obj221_pine_beam
Object 222	obj222_pine_beam
Object 223	obj223_pine_beam
Object 224	obj224_balsa_beam
Object 225	obj225_balsa_beam
Object 226	obj226_balsa_beam
Object 227	obj227_balsa_beam
Object 228	obj228_balsa_beam
Object 229	obj229_balsa_beam
Object 230	obj230_balsa_beam
Object 231	obj231_balsa_beam
Object 232	obj232_balsa_beam
Object 233	obj233_balsa_beam
Object 234	obj234_On_Giant_White_Cube
Object 235	obj235_On_Giant_White_Cube
Object 236	obj236_On_Giant_White_Cube
Object 237	obj237_On_Giant_White_Cube
Object 238	obj238_On_Giant_White_Cube
Object 239	obj239_On_Giant_White_Cube
Object 240	obj240_On_Giant_White_Cube
Object 241	obj241_On_Giant_White_Cube
Object 242	obj242_On_Giant_White_Cube
Object 243	obj243_southern_niche
Object 244	obj244_western_niche
Object 245	obj245_eastern_niche
Object 246	obj246_southern_niche
Object 247	obj247_western_niche
Object 248	obj248_eastern_niche
Object 249	obj249_southern_niche
Object 250	obj250_northern_niche
Object 251	obj251_western_niche
Object 252	obj252_southern_niche
Object 253	obj253_northern_niche
Object 254	obj254_eastern_niche
Object 255	obj255_western_niche
Object 256	obj256_southern_niche
Object 257	obj257_eastern_niche
Object 258	obj258_northern_niche
Object 259	obj259_southern_niche
Object 260	obj260_northern_niche
Object 261	obj261_western_niche
Object 262	obj262_northern_niche
Object 263	obj263_western_niche
Object 264	obj264_eastern_niche
Object 265	obj265_northern_niche
Object 266	obj266_eastern_niche
Object 267	obj267_ebony_beam
Object 268	obj268_ebony_beam
Object 269	obj269_pine_beam
Object 270	obj270_pine_beam
Object 271	obj271_pine_beam
Object 272	obj272_pine_beam
Object 273	obj273_pine_beam
Object 274	obj274_pine_beam
Object 275	obj275_pine_beam
Object 276	obj276_pine_beam
Object 277	obj277_balsa_beam
Object 278	obj278_balsa_beam
Object 279	obj279_balsa_beam
Object 280	obj280_balsa_beam
Object 281	obj281_balsa_beam
Object 282	obj282_balsa_beam
Object 283	obj283_balsa_beam
Object 284	obj284_balsa_beam
Object 285	obj285_balsa_beam
Object 286	obj286_balsa_beam
Object 287	obj287_balsa_beam
Object 288	obj288_balsa_beam
Object 289	obj289_balsa_beam
Object 290	obj290_balsa_beam
Object 291	obj291_On_Giant_White_Cube
Object 292	obj292_On_Giant_White_Cube
Object 293	obj293_On_Giant_White_Cube
Object 294	obj294_On_Giant_White_Cube
Object 295	obj295_On_Giant_White_Cube
Object 296	obj296_On_Giant_White_Cube
Object 297	obj297_On_Giant_White_Cube
Object 298	obj298_On_Giant_White_Cube
Object 299	obj299_On_Giant_White_Cube
Object 300	obj300_southern_niche
Object 301	obj301_western_niche
Object 302	obj302_eastern_niche
Object 303	obj303_southern_niche
Object 304	obj304_western_niche
Object 305	obj305_eastern_niche
Object 306	obj306_southern_niche
Object 307	obj307_northern_niche
Object 308	obj308_western_niche
Object 309	obj309_southern_niche
Object 310	obj310_northern_niche
Object 311	obj311_eastern_niche
Object 312	obj312_western_niche
Object 313	obj313_southern_niche
Object 314	obj314_eastern_niche
Object 315	obj315_northern_niche
Object 316	obj316_southern_niche
Object 317	obj317_northern_niche
Object 318	obj318_western_niche
Object 319	obj319_northern_niche
Object 320	obj320_western_niche
Object 321	obj321_eastern_niche
Object 322	obj322_northern_niche
Object 323	obj323_eastern_niche
Object 324	obj324_pine_beam
Object 325	obj325_pine_beam
Object 326	obj326_balsa_beam
Object 327	obj327_balsa_beam
Object 328	obj328_balsa_beam
Object 329	obj329_balsa_beam
Object 330	obj330_balsa_beam
Object 331	obj331_balsa_beam
Object 332	obj332_balsa_beam
Object 333	obj333_balsa_beam
Object 334	obj334_balsa_beam
Object 335	obj335_balsa_beam
Object 336	obj336_balsa_beam
Object 337	obj337_balsa_beam
Object 338	obj338_balsa_beam
Object 339	obj339_balsa_beam
Object 340	obj340_balsa_beam
Object 341	obj341_balsa_beam
Object 342	obj342_balsa_beam
Object 343	obj343_balsa_beam
Object 344	obj344_balsa_beam
Object 345	obj345_balsa_beam
Object 346	obj346_balsa_beam
Object 347	obj347_balsa_beam
Object 348	obj348_large_round_hole
Object 349	obj349_smoke_rod_piece
Object 350	obj350_fire_spirit
Object 351	obj351_On_wood_beam
Object 352	obj352_On_wood_beam
Object 353	obj353_On_wood_beam
Object 354	obj354_On_wood_beam
Object 355	obj355_On_wood_beam
Object 356	obj356_On_wood_beam
Object 357	obj357_wood_beam
Object 358	obj358_Palace_Entrance_Hall
Object 359	obj359_Audience_Hall
Object 360	obj360_people
Object 361	obj361_throne
Object 362	obj362_Royal_Bedroom
Object 363	obj363_shiny_key
Object 364	obj364_cabinet
Object 365	obj365_warped_parchment
Object 366	obj366_Palace_Dungeons
Object 367	obj367_prison_cell
Object 368	obj368_Tough_looking_Palace_guard
Object 369	obj369_magistrate
Object 370	obj370_young_child
Object 371	obj371_crumpled_scroll
Object 372	obj372_detect_forgery
Object 373	obj373_red_hat
Object 374	obj374_brown_sphere
Object 375	obj375_strange_door
Object 376	obj376_Entrance_to_Greater_Anthar
Object 377	obj377_Anthar_West
Object 378	obj378_Anthar_East
Object 379	obj379_Swank_Waterfront
Object 380	obj380_viewing_telescope
Object 381	obj381_Conservatory_Entrance
Object 382	obj382_Desert_Garden
Object 383	obj383_Flower_Garden
Object 384	obj384_flowers
Object 385	obj385_Gardener_s_Storehouse
Object 386	obj386_toolshed
Object 387	obj387_cap
Object 388	obj388_hedge_clipper
Object 389	obj389_rubber_gloves
Object 390	obj390_cracked_parchment
Object 391	obj391_Decorative_Plants_Garden
Object 392	obj392_Forest_Garden
Object 393	obj393_plants
Object 394	obj394_Jungle_Garden
Object 395	obj395_plants
Object 396	obj396_small_waterfall
Object 397	obj397_Nursery
Object 398	obj398_small_flower_pot
Object 399	obj399_Fountain
Object 400	obj400_fountain
Object 401	obj401_pair_of_glasses
Object 402	obj402_coin
Object 403	obj403_small_key
Object 404	obj404_Delbin_s_Pub
Object 405	obj405_barbarians
Object 406	obj406_headdress
Object 407	obj407_bar
Object 408	obj408_glass_of_ale
Object 409	obj409_dirty_rag
Object 410	obj410_Entrance_to_Flathead_Stadium
Object 411	obj411_Entrance_to_Flathead_Stadium
Object 412	obj412_stadium_sign
Object 413	obj413_stadium_statue
Object 414	obj414_square_hole
Object 415	obj415_In_Flathead_Stadium__upper_seats
Object 416	obj416_In_Flathead_Stadium__lower_seats
Object 417	obj417_Near_Locker_Room
Object 418	obj418_Locker_Room
Object 419	obj419_Flathead_Field
Object 420	obj420_Christmas_tree_monster
Object 421	obj421_Dornberry_bush
Object 422	obj422_bunch_of_dornberries
Object 423	obj423_plaque
Object 424	obj424_burly_man
Object 425	obj425_tough_looking_coach
Object 426	obj426_referee
Object 427	obj427_dangerous_looking_wood_golem
Object 428	obj428_fierce_looking_stone_golem
Object 429	obj429_deadly_looking_iron_golem
Object 430	obj430_Morgan_the_Ranger
Object 431	obj431_Frobar
Object 432	obj432_thief
Object 433	obj433_dark_cloak
Object 434	obj434_Delbin
Object 435	obj435_musty_scroll
Object 436	obj436_make_boat_sea_worthy
Object 437	obj437_pale_scroll
Object 438	obj438_call_lightning_from_storm
Object 439	obj439_glossy_scroll
Object 440	obj440_allow_creature_to_resist_gravity
Object 441	obj441_trophy
Object 442	obj442_bag
Object 443	obj443_coin
Object 444	obj444_coin
Object 445	obj445_coin
Object 446	obj446_coin
Object 447	obj447_coin
Object 448	obj448_coin
Object 449	obj449_coin
Object 450	obj450_coin
Object 451	obj451_coin
Object 452	obj452_coin
Object 453	obj453_Southern_Fublio_Valley
Object 454	obj454_Abandoned_Bank
Object 455	obj455_interest_vault
Object 456	obj456_overhead_vault
Object 457	obj457_basis_vault
Object 458	obj458_loans_vault
Object 459	obj459_bank_memo
Object 460	obj460_coin
Object 461	obj461_coin
Object 462	obj462_coin
Object 463	obj463_coin
Object 464	obj464_coin
Object 465	obj465_coin
Object 466	obj466_coin
Object 467	obj467_coin
Object 468	obj468_coin
Object 469	obj469_coin
Object 470	obj470_coin
Object 471	obj471_coin
Object 472	obj472_coin
Object 473	obj473_coin
Object 474	obj474_coin
Object 475	obj475_coin
Object 476	obj476_coin
Object 477	obj477_coin
Object 478	obj478_coin
Object 479	obj479_coin
Object 480	obj480_Farm
Object 481	obj481_farmhouse
Object 482	obj482_Oyster_Farm
Object 483	obj483_oyster_beds
Object 484	obj484_Dark_Damp_Cave
Object 485	obj485_Grassland_Beach
Object 486	obj486_small_sailboat
Object 487	obj487_On_Fublio_Bay
Object 488	obj488_Lost_at_Sea
Object 489	obj489_On_Peninsula
Object 490	obj490_Bottom_of_Lighthouse
Object 491	obj491_water
Object 492	obj492_Near_Submerged_Lighthouse
Object 493	obj493_Volcanic_Island
Object 494	obj494_South_Part_of_Island
Object 495	obj495_old_shipwreck
Object 496	obj496_Lighthouse__upper_level
Object 497	obj497_farmer
Object 498	obj498_water_spirit
Object 499	obj499_mad_hermit
Object 500	obj500_spotted_scroll
Object 501	obj501_turn_iron_to_rust
Object 502	obj502_fur_sack
Object 503	obj503_wet_parchment
Object 504	obj504_gray_rod_piece
Object 505	obj505_silver_sphere
Object 506	obj506_Downtown_New_Borphee
Object 507	obj507_Business_District
Object 508	obj508_City_Streets
Object 509	obj509_arch
Object 510	obj510_Inside_Skyscraper
Object 511	obj511_sign
Object 512	obj512_Inside_Elevator
Object 513	obj513_sign
Object 514	obj514_Suburbs
Object 515	obj515_Outskirts
Object 516	obj516_Forest
Object 517	obj517_Over_River
Object 518	obj518_coin
Object 519	obj519_river
Object 520	obj520_Forest_Trail
Object 521	obj521_Ravine_Pass
Object 522	obj522_group_of_soldiers
Object 523	obj523_wicker_cage
Object 524	obj524_lever
Object 525	obj525_red_flag
Object 526	obj526_red_flag
Object 527	obj527_blue_flag
Object 528	obj528_blue_flag
Object 529	obj529_speckled_windcat
Object 530	obj530_spotted_windcat
Object 531	obj531_Forest_Clearing
Object 532	obj532_bloody_battle
Object 533	obj533_Forest_Brambles
Object 534	obj534_In_front_of_cave
Object 535	obj535_North_South_Tunnel
Object 536	obj536_Tunnel_Intersection
Object 537	obj537_Twisting_Tunnel
Object 538	obj538_Damp_Cave
Object 539	obj539_Sloping_Tunnel
Object 540	obj540_Windy_Tunnel
Object 541	obj541_Bare_Cavern
Object 542	obj542_torn_parchment
Object 543	obj543_Ancient_Hallway
Object 544	obj544_End_of_Hallway
Object 545	obj545_Domed_Chamber
Object 546	obj546_depression
Object 547	obj547_Secret_Trophy_Room
Object 548	obj548_North_Trophy_Room
Object 549	obj549_East_Trophy_Room
Object 550	obj550_South_Trophy_Room
Object 551	obj551_West_Trophy_Room
Object 552	obj552_lettering
Object 553	obj553_circular_depression
Object 554	obj554_circular_depression
Object 555	obj555_circular_depression
Object 556	obj556_circular_depression
Object 557	obj557_GUE_Entrance
Object 558	obj558_archway
Object 559	obj559_South_Quad
Object 560	obj560_Center_of_Quad
Object 561	obj561_statue
Object 562	obj562_North_Quad
Object 563	obj563_Gymnasium
Object 564	obj564_equipment
Object 565	obj565_flat_key
Object 566	obj566_Humanities_Building
Object 567	obj567_history_book
Object 568	obj568_Cafeteria
Object 569	obj569_mess
Object 570	obj570_sugar_cube
Object 571	obj571_Library
Object 572	obj572_wrinkled_magazine
Object 573	obj573_Dorms
Object 574	obj574_northern_door
Object 575	obj575_southern_door
Object 576	obj576_dirty_ID_card
Object 577	obj577_clean_ID_card
Object 578	obj578_Dorm_room
Object 579	obj579_door
Object 580	obj580_textbook
Object 581	obj581_Enchanter_Hall__top_
Object 582	obj582_Enchanter_Hall__bottom_
Object 583	obj583_switch
Object 584	obj584_large_desk
Object 585	obj585_notebook
Object 586	obj586_term_paper
Object 587	obj587_Science_Center
Object 588	obj588_Engineering_Labs
Object 589	obj589_research_paper
Object 590	obj590_Office
Object 591	obj591_desk
Object 592	obj592_lab_journal
Object 593	obj593_lab_door
Object 594	obj594_set_of_dials
Object 595	obj595_left_dial
Object 596	obj596_center_dial
Object 597	obj597_right_dial
Object 598	obj598_green_button
Object 599	obj599_Strange_Lab
Object 600	obj600_librarian
Object 601	obj601_large_kobold
Object 602	obj602_air_spirit
Object 603	obj603_flour_coated_scroll
Object 604	obj604_fold_dough_83_times
Object 605	obj605_pen_marked_scroll
Object 606	obj606_heal_wounds
Object 607	obj607_white_rod_piece
Object 608	obj608_green_sphere
Object 609	obj609_Mizniaport
Object 610	obj610_Miznia_Suburbs
Object 611	obj611_Swank_Boutique
Object 612	obj612_small_sign
Object 613	obj613_City_Limits
Object 614	obj614_coin
Object 615	obj615_Edge_of_Jungle
Object 616	obj616_Deep_Jungle
Object 617	obj617_Swamp
Object 618	obj618_grasses
Object 619	obj619_Jungle_Clearing
Object 620	obj620_natives
Object 621	obj621_Hidden_Ruins
Object 622	obj622_Pyramid_Entrance
Object 623	obj623_Statue_Room
Object 624	obj624_large_statue
Object 625	obj625_Strange_Chamber
Object 626	obj626_stone_rollers
Object 627	obj627_Bare_Chamber
Object 628	obj628_Small_Chamber
Object 629	obj629_Small_Chamber
Object 630	obj630_Small_Chamber
Object 631	obj631_hole
Object 632	obj632_opening
Object 633	obj633_Bare_Chamber
Object 634	obj634_Small_Chamber
Object 635	obj635_Small_Chamber
Object 636	obj636_Small_Chamber
Object 637	obj637_engravings
Object 638	obj638_Small_Chamber
Object 639	obj639_hole
Object 640	obj640_opening
Object 641	obj641_pool
Object 642	obj642_Collapsed_Chamber
Object 643	obj643_Low_Chamber
Object 644	obj644_opening
Object 645	obj645_stuffed_toy
Object 646	obj646_In_Front_of_Swank_House
Object 647	obj647_mailbox
Object 648	obj648_copy_of__Enchanter_Monthly_
Object 649	obj649_jungle_shaman
Object 650	obj650_jungle_map
Object 651	obj651_earth_spirit
Object 652	obj652_white_scroll
Object 653	obj653_send_object_to_higher_plane
Object 654	obj654_muddy_scroll
Object 655	obj655_grow_plant
Object 656	obj656_black_rod_piece
Object 657	obj657_Gurth_City_Streets
Object 658	obj658_umbrella
Object 659	obj659_North_District
Object 660	obj660_Forest_Edge
Object 661	obj661_storm
Object 662	obj662_angry_treant
Object 663	obj663_log_cabin
Object 664	obj664_Market_District
Object 665	obj665_coin
Object 666	obj666_South_District
Object 667	obj667_Front_of_House
Object 668	obj668_Front_of_House
Object 669	obj669_dusty_brick
Object 670	obj670_Construction_Site
Object 671	obj671_thick_brick
Object 672	obj672_portion_of_wall
Object 673	obj673_Entrance_Room
Object 674	obj674_Basement
Object 675	obj675_dusty_metal_box
Object 676	obj676_thin_wire
Object 677	obj677_foundation
Object 678	obj678_Kitchen
Object 679	obj679_GUE_Automatic_oven
Object 680	obj680_oven_dial
Object 681	obj681_oven_button
Object 682	obj682_Pantry
Object 683	obj683_baking_pan
Object 684	obj684_sticker
Object 685	obj685_lump_of_dough
Object 686	obj686_cake
Object 687	obj687_frightening_zombie
Object 688	obj688_gray_scroll
Object 689	obj689_turn_granite_to_pasta
Object 690	obj690_red_sphere
Object 691	obj691_Frostham_GUS_Station
Object 692	obj692_Aragain_GUS_Station
Object 693	obj693_Fublio_Valley_GUS_Station
Object 694	obj694_Greater_Anthar_GUS_Station
Object 695	obj695_Gurth_City_GUS_Station
Object 696	obj696_New_Borphee_GUS_Station
Object 697	obj697_Miznia_GUS_Station
Object 698	obj698_Frostham_Train_Platform
Object 699	obj699_platform_gate
Object 700	obj700_metal_slot
Object 701	obj701_platform_gate
Object 702	obj702_metal_slot
Object 703	obj703_platform_gate
Object 704	obj704_metal_slot
Object 705	obj705_platform_gate
Object 706	obj706_metal_slot
Object 707	obj707_platform_gate
Object 708	obj708_metal_slot
Object 709	obj709_platform_gate
Object 710	obj710_metal_slot
Object 711	obj711_platform_gate
Object 712	obj712_metal_slot
Object 713	obj713_train_tracks
Object 714	obj714_Aragain_Train_Platform
Object 715	obj715_Aragain_Train_Platform__lower_
Object 716	obj716_Fublio_Valley_Train_Platform
Object 717	obj717_Gurth_City_Train_Platform__lower_
Object 718	obj718_Greater_Anthar_Train_Platform
Object 719	obj719_New_Borphee_Train_Platform
Object 720	obj720_Miznia_Train_Platform
Object 721	obj721_Gurth_City_Train_Platform
Object 722	obj722_Subway_car
Object 723	obj723_subway_seat
Object 724	obj724_Subway_car
Object 725	obj725_subway_seat
Object 726	obj726_Subway_car
Object 727	obj727_subway_seat
Object 728	obj728_subway_car
Object 729	obj729_metal_fence
Object 730	obj730_sinister_looking_thug
Object 731	obj731_annoying_yupple
Object 732	obj732_coin
Object 733	obj733_coin
Object 734	obj734_coin
Object 735	obj735_Sign
Object 736	obj736_subway_brochure
Object 737	obj737_newspaper
Object 738	obj738_Entrance_Foyer
Object 739	obj739_Parlor
Object 740	obj740_large_potted_plant
Object 741	obj741_Lounge
Object 742	obj742_Study
Object 743	obj743_large_bookshelf
Object 744	obj744_plain_journal
Object 745	obj745_twisted_parchment
Object 746	obj746_large_wood_desk
Object 747	obj747_Bedroom
Object 748	obj748_large_bed
Object 749	obj749_Wondrous_Stairway
Object 750	obj750_Fancy_Hall
Object 751	obj751_Magnificent_Foyer
Object 752	obj752_Fancy_Lounge
Object 753	obj753_short_journal
Object 754	obj754_Workroom
Object 755	obj755_precious_treasures
Object 756	obj756_pile_of_fettucini_carbonari
Object 757	obj757_coin
Object 758	obj758_priceless_painting
Object 759	obj759_Ethereal_Plane_of_Atrii
Object 760	obj760_Ethereal_Plane_of_Atrii
Object 761	obj761_rectangular_hole
Object 762	obj762_Ethereal_Plane_of_Atrii
Object 763	obj763_square_of_ice
Object 764	obj764_Ethereal_Plane_of_Atrii
Object 765	obj765_black_hole
Object 766	obj766_Dark_Tunnel
Object 767	obj767_tracks
Object 768	obj768_Ethereal_Plane_of_Atrii
Object 769	obj769_ripped_parchment
Object 770	obj770_Ethereal_Plane_of_Atrii
Object 771	obj771_Ethereal_Plane_of_Atrii
Object 772	obj772_depression
Object 773	obj773_Ethereal_Plane_of_Atrii
Object 774	obj774_Strange_Room
Object 775	obj775_set_of_curtains
Object 776	obj776_Strange_Kitchen
Object 777	obj777_curious_machine
Object 778	obj778_can_of_regular_coffee
Object 779	obj779_Strange_Bedroom
Object 780	obj780_desk
Object 781	obj781_strange_machine
Object 782	obj782_door
Object 783	obj783_Mystical_Cave
Object 784	obj784_purple_sphere
Object 785	obj785_skeleton
Object 786	obj786_blackened_parchment
Object 787	obj787_Giant_Cavern
Object 788	obj788_On_strange_boat
Object 789	obj789_sailors
Object 790	obj790_Nothingness
Object 791	obj791_void
Object 792	obj792_On_Giant_Cube
Object 793	obj793_Top_of_Pyramid
Object 794	obj794_Implementor
Object 795	obj795_White_Dragon
Object 796	obj796_sea_captain
Object 797	obj797_black_sphere
Object 798	obj798_smoke_colored_sphere
Object 799	obj799_gray_sphere
Object 800	obj800_white_sphere
Object 801	obj801_fancy_scroll
Object 802	obj802_turn_undead
Object 803	obj803_briefcase
Object 804	obj804_red_scroll
Object 805	obj805_send_object_to_lower_plane
Object 806	obj806_strange_contraption
Object 807	obj807_silver_rod_piece
Object 808	obj808_red_rod_piece
Object 809	obj809_green_rod_piece
Object 810	obj810_brown_rod_piece
Object 811	obj811_golden_rod
Object 812	obj812_Hades
Object 813	obj813_Hades
Object 814	obj814_Hades
Object 815	obj815_Hades
Object 816	obj816_Hades
Object 817	obj817_Ball_of_flame

Attribute 0	attrib0			! obj15_yourself obj36_Joseph obj144_ski_instructor obj145_receptionist obj146_governor obj161_line obj350_fire_spirit obj360_people obj368_Tough_looking_Palace_guard obj369_magistrate obj370_young_child obj405_barbarians obj420_Christmas_tree_monster obj424_burly_man obj425_tough_looking_coach obj426_referee obj427_dangerous_looking_wood_golem obj428_fierce_looking_stone_golem obj429_deadly_looking_iron_golem obj430_Morgan_the_Ranger obj431_Frobar obj432_thief obj434_Delbin obj497_farmer obj498_water_spirit obj499_mad_hermit obj522_group_of_soldiers obj532_bloody_battle obj600_librarian obj601_large_kobold obj602_air_spirit obj620_natives obj649_jungle_shaman obj651_earth_spirit obj662_angry_treant obj687_frightening_zombie obj730_sinister_looking_thug obj731_annoying_yupple obj794_Implementor obj795_White_Dragon obj796_sea_captain obj797_black_sphere obj798_smoke_colored_sphere obj799_gray_sphere obj800_white_sphere
Attribute 1	attrib1			! obj37_holy_amulet obj373_red_hat obj387_cap obj389_rubber_gloves obj401_pair_of_glasses obj406_headdress obj433_dark_cloak
