! Auto-generated by Reform.

MD5	aaf0b90fbb31717481c02832bf412070
Object 145	obj145_statue_of_gnome
Object 146	obj146_north_wall
Object 147	obj147_Table_Room
Object 148	obj148_table
Object 149	obj149_slot
Object 150	obj150_lever
Object 151	obj151_basket
Object 152	obj152_dent
Object 153	obj153_metal_box
Object 154	obj154_marks_on_wall
Object 155	obj155_cards
Object 156	obj156_chair
Object 157	obj157_Shelf_Room
Object 158	obj158_shelfs
Object 159	obj159_top_shelf
Object 160	obj160_chest
Object 161	obj161__chestPowder_
Object 162	obj162_keyhole
Object 163	obj163_pole
Object 164	obj164__onTopShelf_
Object 165	obj165_book
Object 166	obj166_Cave_With_Stream
Object 167	obj167_cave
Object 168	obj168_tunnel
Object 169	obj169_stream
Object 170	obj170__streamWater_
Object 171	obj171_mud
Object 172	obj172_bench
Object 173	obj173_other_side_of_stream
Object 174	obj174__key_
Object 175	obj175_wall
Object 176	obj176_pretty_picture
Object 177	obj177_Windy_Cave
Object 178	obj178_cave
Object 179	obj179_grue
Object 180	obj180_windy_tunnel
Object 181	obj181_secret_door
Object 182	obj182_pointy_rock
Object 183	obj183__maze_
Object 184	obj184__watcher_
Object 185	obj185_tunnel
Object 186	obj186_tunnel
Object 187	obj187_Probably_New_Tunnel
Object 188	obj188_hole
Object 189	obj189_Some_Other_Cave
Object 190	obj190_Forest
Object 191	obj191_gnome
Object 192	obj192_trunk
Object 193	obj193_Farm
Object 194	obj194__gnomeRoom_
Object 195	obj195_shadow
Object 196	obj196__gnomeHolder_
Object 197	obj197_bed
Object 198	obj198_desk
Object 199	obj199_stool
Object 200	obj200_shelf
Object 201	obj201_ball
Object 202	obj202_trunk
Object 203	obj203_help
Object 204	obj204_money
Object 205	obj205_paint_or_dye
Object 206	obj206_pipe
Object 207	obj207_little_bag
Object 208	obj208_smoke
Object 209	obj209_strange_helmet
Object 210	obj210_little_box
Object 211	obj211_tray_full_of_stuff
Object 212	obj212_pile_of_paper
Object 213	obj213_bottle
Object 214	obj214_pen
Object 215	obj215_gnome
Object 216	obj216_dress
Object 217	obj217_slipper
Object 218	obj218_hair
Object 219	obj219_ear
Object 220	obj220_nose
Object 221	obj221_book
Object 222	obj222__seekHome_
Object 223	obj223_farm
Object 224	obj224_outside
Object 225	obj225_hole
Object 226	obj226_fountain_room
Object 227	obj227_cave_with_stream
Object 228	obj228_statue_room
Object 229	obj229_table_room
Object 230	obj230_shelf_room
Object 231	obj231_gnome_room
Object 232	obj232_windy_cave
Object 233	obj233_twisty_cave
Object 234	obj234_pig
Object 235	obj235__specialTopics_
Object 236	obj236_Ghogg
Object 237	obj237_rar
Object 238	obj238_adventure
Object 239	obj239_genius
Object 240	obj240_spark
Object 241	obj241_time
Object 242	obj242_machine
Object 243	obj243_love
Object 244	obj244_mimesis
Object 245	obj245_singing
Object 246	obj246_Z_Machine
Object 247	obj247_flying
Object 248	obj248_reading
Object 249	obj249_threat
Object 250	obj250_grumbling
Object 251	obj251_Internet
Object 252	obj252_Gunther
Object 253	obj253_Bug
Object 254	obj254_Floyd
Object 255	obj255_golem
Object 256	obj256_paint_or_dye
Object 257	obj257_changing_color
Object 258	obj258_L__Ross_Raszewski
Object 259	obj259_ifMUD
Object 260	obj260_what_gnome_doing
Object 261	obj261_yay
Object 262	obj262_smile
Object 263	obj263_frown
Object 264	obj264_help
Object 265	obj265_color_red
Object 266	obj266_color_green
Object 267	obj267_color_blue
Object 268	obj268_color_orange
Object 269	obj269_color_yellow
Object 270	obj270_color_purple
Object 271	obj271_color_pink
Object 272	obj272_color_grey
Object 273	obj273_color_brown
Object 274	obj274_where
Object 275	obj275_maga
Object 276	obj276_philosopher_s_stone
Object 277	obj277_Fullmetal_Alchemist
Object 278	obj278__hermesT_
Object 279	obj279_myth
Object 280	obj280_Hugo
Object 281	obj281_Inform
Object 282	obj282_TADS
Object 283	obj283_bear
Object 284	obj284_Zork
Object 285	obj285_Zarf
Object 286	obj286_Graham_Nelson
Object 287	obj287_Emily
Object 288	obj288_Jacqueline
Object 289	obj289_inky
Object 290	obj290_thank
Object 291	obj291_grue
Object 292	obj292_urglyburgle
Object 293	obj293_what_gnome_looking_for
Object 294	obj294_God
Object 295	obj295_why
Object 296	obj296_any_thing
Object 297	obj297_error
Object 298	obj298_secret
Object 299	obj299_chemistry
Object 300	obj300_element
Object 301	obj301_____
Object 302	obj302_darn
Object 303	obj303_confusing_thing
Object 304	obj304_magic_word
Object 305	obj305_Sargent
Object 306	obj306_Prgukar_and_Kogluk_and_them
Object 307	obj307_story_contest
Object 308	obj308_Jota
Object 309	obj309_yes
Object 310	obj310_no
Object 311	obj311_sorry
Object 312	obj312_name
Object 313	obj313_Zzoborf
Object 314	obj314__unknownTopics_
Object 315	obj315_eldritch_horror
Object 316	obj316_bad_breath
Object 317	obj317_carrying_water
Object 318	obj318_dent
Object 319	obj319_independence
Object 320	obj320_opportunity
Object 321	obj321_irony
Object 322	obj322_mud
Object 323	obj323_trap
Object 324	obj324_component
Object 325	obj325_royalty
Object 326	obj326_pumpkin
Object 327	obj327_addictive
Object 328	obj328_mites_and_tights
Object 329	obj329_stuff_on_tray
Object 330	obj330_glowing_plant
Object 331	obj331_brown_water
Object 332	obj332_explosion
Object 333	obj333_opposite
Object 334	obj334_language
Object 335	obj335_money
Object 336	obj336_dross
Object 337	obj337_economy
Object 338	obj338_relax
Object 339	obj339_exhibit
Object 340	obj340_text
Object 341	obj341_treasure
Object 342	obj342_digestive_tract
Object 343	obj343_dress
Object 344	obj344_gnome_clothes
Object 345	obj345_hair
Object 346	obj346_ear_and_nose
Object 347	obj347_bed
Object 348	obj348_trunk
Object 349	obj349_desk
Object 350	obj350_stool
Object 351	obj351_snoring
Object 352	obj352_tourist
Object 353	obj353_pointy_rock
Object 354	obj354_windy_tunnel
Object 355	obj355_crossing_stream
Object 356	obj356_stream
Object 357	obj357_bench
Object 358	obj358_red_thing
Object 359	obj359_key
Object 360	obj360_key
Object 361	obj361_pretty_picture
Object 362	obj362_shelf_room
Object 363	obj363_chest
Object 364	obj364_answer
Object 365	obj365_hobby
Object 366	obj366_Zobleb
Object 367	obj367_death_ray
Object 368	obj368_eight
Object 369	obj369_counting
Object 370	obj370_math
Object 371	obj371_cat
Object 372	obj372_animal
Object 373	obj373_thinking
Object 374	obj374_project
Object 375	obj375_talking
Object 376	obj376_turning_off_orb
Object 377	obj377_Belkar
Object 378	obj378_monster
Object 379	obj379_beholder
Object 380	obj380_art
Object 381	obj381_people
Object 382	obj382_philosophy
Object 383	obj383_pyromania
Object 384	obj384_deja_vu
Object 385	obj385_tool
Object 386	obj386_strange_helmet
Object 387	obj387_book
Object 388	obj388_book
Object 389	obj389_recipe
Object 390	obj390_goo
Object 391	obj391_helmet
Object 392	obj392_smoking
Object 393	obj393_bottle_of_black_water
Object 394	obj394_drawing
Object 395	obj395_pure
Object 396	obj396_material
Object 397	obj397_transmutation
Object 398	obj398_lightning
Object 399	obj399_writing
Object 400	obj400_Mogglev
Object 401	obj401_killing
Object 402	obj402_ball
Object 403	obj403_light
Object 404	obj404_looter
Object 405	obj405_chair
Object 406	obj406_history
Object 407	obj407_mark_on_wall
Object 408	obj408_metal_box
Object 409	obj409_table_room
Object 410	obj410_world
Object 411	obj411_picture_near_statue
Object 412	obj412_pole
Object 413	obj413_pie
Object 414	obj414_mark_on_block
Object 415	obj415_hat
Object 416	obj416_equinox
Object 417	obj417_plumber
Object 418	obj418_coin
Object 419	obj419_fountain
Object 420	obj420_curtain
Object 421	obj421_glowing_wall
Object 422	obj422_heat
Object 423	obj423_hunger
Object 424	obj424_fundamental_quality
Object 425	obj425_mark_on_paper
Object 426	obj426_missing_page
Object 427	obj427_piece_of_paper
Object 428	obj428_classical_alchemy
Object 429	obj429_tube
Object 430	obj430_crack
Object 431	obj431_entrance
Object 432	obj432_black_powder
Object 433	obj433_brick
Object 434	obj434_hard_work
Object 435	obj435_age
Object 436	obj436_alchemical_reagent
Object 437	obj437_heroes_and_villains
Object 438	obj438_ztorf
Object 439	obj439_rhetorical
Object 440	obj440_rust_proof_paper
Object 441	obj441_daffodil
Object 442	obj442_principles
Object 443	obj443_idea
Object 444	obj444_statue
Object 445	obj445_science
Object 446	obj446_nature
Object 447	obj447_flint_and_steel
Object 448	obj448_army
Object 449	obj449_color_magnet
Object 450	obj450_dehydrated_fire
Object 451	obj451_autobaker
Object 452	obj452_mossfuressence
Object 453	obj453_proof_paper
Object 454	obj454_thermomechanics
Object 455	obj455_Zugilbor_Galrogginpots_sem_Endali_dec_Frebensalbibit
Object 456	obj456_alchemy
Object 457	obj457_job
Object 458	obj458_quest
Object 459	obj459_invention
Object 460	obj460_alchemist
Object 461	obj461_how_long_gnome_here_for
Object 462	obj462__knownTopics_
Object 463	obj463_ground
Object 464	obj464_noise
Object 465	obj465_gate
Object 466	obj466_soot
Object 467	obj467_orc
Object 468	obj468_black_and_white
Object 469	obj469_color
Object 470	obj470_exit
Object 471	obj471_sky
Object 472	obj472_cave
Object 473	obj473_dark
Object 474	obj474_life
Object 475	obj475_goodbye
Object 476	obj476_air
Object 477	obj477_wood
Object 478	obj478_forest
Object 479	obj479_water
Object 480	obj480_torch
Object 481	obj481_pants
Object 482	obj482_family
Object 483	obj483_making_fire
Object 484	obj484_food
Object 485	obj485_food
Object 486	obj486_rock
Object 487	obj487_metal
Object 488	obj488_magic
Object 489	obj489_night
Object 490	obj490_sun
Object 491	obj491_pig
Object 492	obj492_farm
Object 493	obj493_greeting
Object 494	obj494__gnomeTopics_
Object 495	obj495_Grunk
Object 496	obj496_gnome
Object 497	obj497_this_place
Object 498	obj498__pigTopics_
Object 499	obj499_oink
Object 500	HintTopic
Object 501	obj501_Lost_Pig
Object 502	obj502_About_this_game
Object 503	obj503_How_to_play_Interactive_Fiction
Object 504	obj504_Special_commands_for_this_game
Object 505	obj505_Credits
Object 506	obj506_About_the_author
Object 507	obj507_About_the_implementor
Object 508	obj508_Betatesters
Object 509	obj509_Acknowledgments
Object 510	obj510_Hints
Object 511	obj511_Are_you_sure_
Object 512	obj512_I_ve_changed_my_mind_
Object 513	obj513_I_really_want_hints_
Object 514	obj514_Hints
Object 515	obj515_AMUSING
Object 516	obj516_Higgledy_Piggledy
Object 517	obj517__whoamiH_
Object 518	obj518__wherepigH_
Object 519	obj519__whatnextH_
Object 520	obj520__gnomeH_
Object 521	obj521__keyH_
Object 522	obj522__keyforH_
Object 523	obj523__powderH_
Object 524	obj524__poleH_
Object 525	obj525__machineH_
Object 526	obj526__brickH_
Object 527	obj527__newbrickH_
Object 528	obj528__bookH_
Object 529	obj529__pageH_
Object 530	obj530__paperH_
Object 531	obj531__pigH_
Object 532	obj532__exitH_
Object 533	obj533__lightH_
Object 534	obj534__mazeH_
Object 535	obj535__llpH_

Attribute 0	burnable		! obj91_pants obj92_torch obj124_curtain obj156_chair obj197_bed obj198_desk obj199_stool obj212_pile_of_paper obj216_dress obj217_slipper
Attribute 1	burning			! obj92_torch
Attribute 2	burnt			! obj92_torch
Attribute 3	stone			! obj95_wall obj103_broken_stair obj105_tunnel obj106_curly_bit obj108_crack obj113_glowing_wall obj114_tunnel_to_west obj115_tunnel_to_east obj117_squirty_part obj118_little_bit obj119_fountain_drain obj120_fountain_bowl obj129_picture_on_west_wall obj130_black_powder_in_picture obj131_fire_in_picture obj132_water_in_picture obj133_picture_on_east_wall obj134_pole_in_picture obj135_yellow_thing_in_picture obj136_pie_in_picture obj137_north_wall obj138_south_wall obj139_statue_head obj140_hat obj141_statue_shoes obj142_statue_suit obj143_statue_hand obj144_block obj145_statue_of_gnome obj160_chest obj162_keyhole obj168_tunnel obj172_bench obj173_other_side_of_stream obj175_wall obj176_pretty_picture obj182_pointy_rock obj185_tunnel obj186_tunnel obj201_ball
Attribute 4	little			! obj104__whistle_ obj121_coin obj174__key_
Attribute 6	animate			! obj20__self_object_ NPC obj86_pig obj87_Grunk obj127_pig obj145_statue_of_gnome obj191_gnome obj195_shadow obj215_gnome
Attribute 8	clothing		! obj91_pants obj140_hat obj216_dress obj217_slipper
Attribute 9	concealed		! obj6_compass obj20__self_object_ Topic Fruit obj65_Fruit_1 obj66_Fruit_2 obj67_Fruit_3 obj68_Fruit_4 obj69_Fruit_5 obj70_Fruit_6 obj71_Fruit_7 obj72_Fruit_8 obj73_Fruit_9 obj74_Fruit_10 obj75_Fruit_11 obj76_Fruit_12 obj77_Fruit_13 obj78_Fruit_14 obj79_Fruit_15 obj80_Fruit_16 obj81_Fruit_17 obj88_part_of_Grunk_body obj89_stone obj90_dark obj101__missingOutside_ obj104__whistle_ obj121_coin obj125_picture_of_gnome obj126_picture_of_cave obj130_black_powder_in_picture obj131_fire_in_picture obj132_water_in_picture obj134_pole_in_picture obj135_yellow_thing_in_picture obj136_pie_in_picture obj140_hat obj155_cards obj184__watcher_ obj236_Ghogg obj237_rar obj238_adventure obj239_genius obj240_spark obj241_time obj242_machine obj243_love obj244_mimesis obj245_singing obj246_Z_Machine obj247_flying obj248_reading obj249_threat obj250_grumbling obj251_Internet obj252_Gunther obj253_Bug obj254_Floyd obj255_golem obj256_paint_or_dye obj257_changing_color obj258_L__Ross_Raszewski obj259_ifMUD obj260_what_gnome_doing obj261_yay obj262_smile obj263_frown obj264_help obj265_color_red obj266_color_green obj267_color_blue obj268_color_orange obj269_color_yellow obj270_color_purple obj271_color_pink obj272_color_grey obj273_color_brown obj274_where obj275_maga obj276_philosopher_s_stone obj277_Fullmetal_Alchemist obj278__hermesT_ obj279_myth obj280_Hugo obj281_Inform obj282_TADS obj283_bear obj284_Zork obj285_Zarf obj286_Graham_Nelson obj287_Emily obj288_Jacqueline obj289_inky obj290_thank obj291_grue obj292_urglyburgle obj293_what_gnome_looking_for obj294_God obj295_why obj296_any_thing obj297_error obj298_secret obj299_chemistry obj300_element obj301_____ obj302_darn obj303_confusing_thing obj304_magic_word obj305_Sargent obj306_Prgukar_and_Kogluk_and_them obj307_story_contest obj308_Jota obj309_yes obj310_no obj311_sorry obj312_name obj313_Zzoborf obj315_eldritch_horror obj316_bad_breath obj317_carrying_water obj318_dent obj319_independence obj320_opportunity obj321_irony obj322_mud obj323_trap obj324_component obj325_royalty obj326_pumpkin obj327_addictive obj328_mites_and_tights obj329_stuff_on_tray obj330_glowing_plant obj331_brown_water obj332_explosion obj333_opposite obj334_language obj335_money obj336_dross obj337_economy obj338_relax obj339_exhibit obj340_text obj341_treasure obj342_digestive_tract obj343_dress obj344_gnome_clothes obj345_hair obj346_ear_and_nose obj347_bed obj348_trunk obj349_desk obj350_stool obj351_snoring obj352_tourist obj353_pointy_rock obj354_windy_tunnel obj355_crossing_stream obj356_stream obj357_bench obj358_red_thing obj359_key obj360_key obj361_pretty_picture obj362_shelf_room obj363_chest obj364_answer obj365_hobby obj366_Zobleb obj367_death_ray obj368_eight obj369_counting obj370_math obj371_cat obj372_animal obj373_thinking obj374_project obj375_talking obj376_turning_off_orb obj377_Belkar obj378_monster obj379_beholder obj380_art obj381_people obj382_philosophy obj383_pyromania obj384_deja_vu obj385_tool obj386_strange_helmet obj387_book obj388_book obj389_recipe obj390_goo obj391_helmet obj392_smoking obj393_bottle_of_black_water obj394_drawing obj395_pure obj396_material obj397_transmutation obj398_lightning obj399_writing obj400_Mogglev obj401_killing obj402_ball obj403_light obj404_looter obj405_chair obj406_history obj407_mark_on_wall obj408_metal_box obj409_table_room obj410_world obj411_picture_near_statue obj412_pole obj413_pie obj414_mark_on_block obj415_hat obj416_equinox obj417_plumber obj418_coin obj419_fountain obj420_curtain obj421_glowing_wall obj422_heat obj423_hunger obj424_fundamental_quality obj425_mark_on_paper obj426_missing_page obj427_piece_of_paper obj428_classical_alchemy obj429_tube obj430_crack obj431_entrance obj432_black_powder obj433_brick obj434_hard_work obj435_age obj436_alchemical_reagent obj437_heroes_and_villains obj438_ztorf obj439_rhetorical obj440_rust_proof_paper obj441_daffodil obj442_principles obj443_idea obj444_statue obj445_science obj446_nature obj447_flint_and_steel obj448_army obj449_color_magnet obj450_dehydrated_fire obj451_autobaker obj452_mossfuressence obj453_proof_paper obj454_thermomechanics obj455_Zugilbor_Galrogginpots_sem_Endali_dec_Frebensalbibit obj456_alchemy obj457_job obj458_quest obj459_invention obj460_alchemist obj461_how_long_gnome_here_for obj463_ground obj464_noise obj465_gate obj466_soot obj467_orc obj468_black_and_white obj469_color obj470_exit obj471_sky obj472_cave obj473_dark obj474_life obj475_goodbye obj476_air obj477_wood obj478_forest obj479_water obj480_torch obj481_pants obj482_family obj483_making_fire obj484_food obj485_food obj486_rock obj487_metal obj488_magic obj489_night obj490_sun obj491_pig obj492_farm obj493_greeting obj495_Grunk obj496_gnome obj497_this_place obj499_oink
Attribute 10	container		! Fluid Powder obj34_Powder_1 obj35_Powder_2 obj36_Powder_3 obj37_Powder_4 Water obj39_Water_1 obj40_Water_2 obj41_Water_3 obj42_Water_4 obj108_crack obj116_fountain obj119_fountain_drain obj120_fountain_bowl obj140_hat obj143_statue_hand obj151_basket obj160_chest obj161__chestPowder_ obj162_keyhole obj169_stream obj170__streamWater_ obj192_trunk obj202_trunk
Attribute 11	door			! obj103_broken_stair obj105_tunnel obj114_tunnel_to_west obj115_tunnel_to_east obj138_south_wall obj146_north_wall obj168_tunnel obj180_windy_tunnel obj181_secret_door
Attribute 12	edible			! Brick obj47_Brick_1 obj48_Brick_2 obj49_Brick_3 obj50_Brick_4 obj51_Brick_5 obj52_Brick_6 obj53_Brick_7 obj54_Brick_8 obj55_Brick_9 obj56_Brick_10 obj57_Brick_11 obj58_Brick_12 obj59_Brick_13 obj60_Brick_14 obj61_Brick_15 obj62_Brick_16 obj63_Brick_17
Attribute 13	enterable		! obj95_wall obj148_table obj156_chair obj158_shelfs obj172_bench obj197_bed obj199_stool
Attribute 14	general			! obj199_stool
Attribute 15	light			! Room obj84_Nowhere obj85__placeholder_ obj92_torch obj93_Outside obj94_moon obj102_Hole obj109__insideCrack_ obj111_Fountain_Room obj113_glowing_wall obj128_Statue_Room obj147_Table_Room obj157_Shelf_Room obj164__onTopShelf_ obj166_Cave_With_Stream obj177_Windy_Cave obj183__maze_ obj187_Probably_New_Tunnel obj189_Some_Other_Cave obj190_Forest obj193_Farm obj194__gnomeRoom_ obj196__gnomeHolder_ obj222__seekHome_ obj235__specialTopics_ obj314__unknownTopics_ obj462__knownTopics_ obj494__gnomeTopics_ obj498__pigTopics_
Attribute 16	lockable		! obj160_chest obj202_trunk
Attribute 17	locked			! obj160_chest obj192_trunk obj202_trunk
Attribute 20	open			! obj103_broken_stair obj105_tunnel obj108_crack obj114_tunnel_to_west obj115_tunnel_to_east obj120_fountain_bowl obj138_south_wall obj140_hat obj143_statue_hand obj151_basket obj162_keyhole obj168_tunnel obj169_stream obj180_windy_tunnel obj181_secret_door
Attribute 21	openable		! obj146_north_wall obj160_chest obj181_secret_door obj192_trunk obj202_trunk
Attribute 22	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj23__Library_Extensions_
