! Auto-generated by Reform.

MD5	c632204be3849d6c5bb6f4eb5aca3cc0
Object 82	obj82_If_Cheryl_can_make_the_probe_work__you_certainly_can_
Object 83	obj83_Push_or_touch_the_top_sensor_
Object 84	obj84_You_probably_should_figure_out_what_the_bottom_sensor_does__while_you_re_at_it_
Object 85	obj85_Rather_than_trial_and_error__examine_the_sensors_
Object 86	obj86_You_can_probe_some_things_by_putting_the_probe_in_them__others_you_should_just_PROBE_
Object 87	obj87_Fixing_the_problem
Object 88	obj88_Have_you_found_the_problem_
Object 89	obj89_You_ve_probed_the_bay_and_worked_out_what_s_wrong_
Object 90	obj90_There_should_be_a_new_stud_to_try_out__Try_it_
Object 91	obj91_What_sort_of_stimulus_might_you_need_to_recalibrate_the_contact_point_
Object 92	obj92_It_resonates_when_probed_
Object 93	obj93_You_need_to_activate_the_probe_and_recalibrate_at_the_same_time_
Object 94	obj94_You_won_t_be_able_to_get_any_help_from_Cheryl_
Object 95	obj95_Did_you_figure_out_what_the_bottom_sensor_does_
Object 96	obj96_PUT_PROBE_IN_BAY__TOUCH_BOTTOM__WAIT__TOUCH_NINE_STUD
Object 97	obj97_The_power_s_on__now_what_
Object 98	obj98_Look_at_the_hint_topic__determining_the_sequence__
Object 99	obj99_Determining_the_sequence
Object 100	obj100_Have_you_got_the_power_on_
Object 101	obj101_Have_you_examined_the_sequence_stud_
Object 102	obj102_You_ll_need_to_push_the_sequence_stud_to_find_out_what_to_do_next_
Object 103	obj103_Cheryl_s_presence_makes_doing_so_problematic_
Object 104	obj104_You_can_t_get_rid_of_Cheryl_
Object 105	obj105_You_need_to_look_at_the_sequence_information_while_Cheryl_isn_t_looking_at_it_
Object 106	obj106_Can_you_get_Cheryl_to_look_somewhere_else_
Object 107	obj107_The_information_stud_might_distract_her__but_then_she_ll_halt_your_efforts__Is_there_anything_else_
Object 108	obj108_Forget_about_the_studs_
Object 109	obj109_Is_there_some_way_to_make_it_so_Cheryl_can_t_see_the_screen_
Object 110	obj110_She_s_curious_about_what_you_ve_been_doing_
Object 111	obj111_There_must_be_something_around_she_can_look_at_
Object 112	obj112_The_next_hint_will_tell_you_exactly_which_thing_
Object 113	obj113_Give_her_the_electromagnetic_goggles_
Object 114	obj114_That_helps__You_can_turn_off_the_display_by_activating_the_sequence_stud_again_
Object 115	obj115_But_you_don_t_have_enough_time_to_both_look_at_it_and_turn_it_off_
Object 116	obj116_Maybe_you_can_give_Cheryl_a_reason_to_leave_the_goggles_on_for_a_bit_longer_
Object 117	obj117_Perform_some_action_that_creates_noticeable_electromagnetic_emissions_
Object 118	obj118_You_must_have_something_that_can_create_emissions_
Object 119	obj119_The_probe__of_course_
Object 120	obj120_If_you_re_having_touble_with_the_timing__read_the_next_hint_
Object 121	obj121_GIVE_GOGGLES_TO_CHERYL__TOUCH_SEQ__TOUCH_TOP__X_SCREEN__TOUCH_SEQ_
Object 122	obj122_What_was_the_sequence_again_
Object 123	obj123_It_s_the_first_three_studs_listed_when_you_examine_the_grid__in_order_
Object 124	obj124_Transmit_go__control_rods__ignition_
Object 125	obj125_Advancing_the_sequence__3_hint_topics_
Object 126	obj126_Transmit_go
Object 127	obj127_Fixed_the_generator__and_turned_it_on__too__
Object 128	obj128_This_puzzle_is_pretty_hard_
Object 129	obj129_The_next_few_hints_tell_you_some_things_you_don_t_need_to_worry_about__so_you_can_narrow_down_the_problem_
Object 130	obj130_You_already_have_everything_you_need__it_should_all_be_mentioned_in_LOOK_and_INV_
Object 131	obj131_You_don_t_need_to_give_Cheryl_anything__ask_her_for_anything__or_give_her_any_commands_
Object 132	obj132_Still_stuck__On_to_some_comments_about_what_you_should_do_instead_of_what_you_shouldn_t___
Object 133	obj133_The_transmit_stud_generates_a_pretty_significant_electromagnetic_burst__It_s_visible_in_both_the_hologram_and_the_goggles_
Object 134	obj134_There_s_no_way_to_prevent_something_showing_up_that_she_will_see_
Object 135	obj135_She_will_see_it__You_need_to_make_her_not_care_about_it_
Object 136	obj136_Is_there_anything_else_electromagnetic_that_she_can_see_but_doesn_t_care_about_
Object 137	obj137_How_about_the_electropulse_probe_
Object 138	obj138_Can_you_find_a_way_to_make_the_probe_and_the_transmission__interact__
Object 139	obj139_Try_pushing_the_bottom_button_on_the_probe__then_touch_the_transmit_stud_the_same_turn_the_probe_goes_off_
Object 140	obj140_You_really_should_be_able_to_figure_it_out_from_the_above_hints__But_ok___
Object 141	obj141_The_probe_s_electromagnetic_burst_is_bigger_than_the_transmission_s_
Object 142	obj142_Maybe_you_could_move_the_probe_closer_to_the_transmission_
Object 143	obj143_The_transmission_is_emitted_from_within_the_slab_
Object 144	obj144_You_could_try_putting_the_probe_on_the_slab_first_
Object 145	obj145_That_s_closer__but_not_enough_
Object 146	obj146_Do_you_remember_where_the_probe_was_before_you_used_it_
Object 147	obj147_There_s_a_slot_in_the_slab_from_when_you_brought_the_probe_out_
Object 148	obj148_You_can_put_the_probe_back_inside_the_slab_
Object 149	obj149_PUT_PROBE_IN_SLOT__TOUCH_BOTTOM__TOUCH_TOOL__TOUCH_TRANSMIT_
Object 150	obj150_Control_rods
Object 151	obj151_Have_you_pushed_the_control_stud_
Object 152	obj152_Have_you_examined_the_control_rods_
Object 153	obj153_Have_you_tried_to_manipulate_them_
Object 154	obj154_It_s_quite_unlike_the_Yi__so_you_may_not_have_thought_of_this__but_have_you_tried_manipulating_them_physically_
Object 155	obj155_PULL_RODS
Object 156	obj156_Apparently_this_device_was_intended_to_have_one_being_hold_the_rods_together_while_the_other_activated_the_system_
Object 157	obj157_Cheryl_won_t_pull_the_rods_for_you_
Object 158	obj158_Do_you_have_any_tools_that_could_keep_the_rods_held_together_
Object 159	obj159_What_are_you_wearing_
Object 160	obj160_CHERYL__UNLOCK_CUFFS_
Object 161	obj161_Take_off_the_handcuffs__and_put_them_on_the_rods_
Object 162	obj162_LOCK_CUFFS__PUT_CUFFS_ON_RODS_
Object 163	obj163_Ignition
Object 164	obj164_The_jig_is_up__There_s_no_way_you_can_sneak_this_past_Cheryl_
Object 165	obj165_The_time_for_subtlety_is_past_
Object 166	obj166_Check_out_all_the_studs_you_ve_never_used_
Object 167	obj167_Now_that_the_handcuffs_are_off__getting_Cheryl_on_the_other_side_of_a_forcefield_would_be_a_great_idea_
Object 168	obj168_The_question_is_how_to_get_her_on_the_other_side_
Object 169	obj169_If_you_could_distract_her_for_a_moment_or_two___
Object 170	obj170_Are_you_sure_you_checked_out_all_of_the_studs_
Object 171	obj171_You_weren_t_allowed_to_try_one_of_them_before___
Object 172	obj172_TOUCH_INFO_STUD__TOUCH_FIELD_STUD__TOUCH_IGNITION_STUD_
Object 173	obj173_I_keep_running_out_of_time_
Object 174	obj174_Don_t_read_this_until_you_ve_dealt_with_the_control_rods_
Object 175	obj175_This_is_a_hint_if_you_re_having_problems_with_Cheryl_getting_itchy_for_information_
Object 176	obj176_There_s_a_stud_that_seems_rather_applicable___
Object 177	obj177_Read_the_hint_topic__Advancing_the_sequence___Ignition_
Object 178	obj178_Conclusion
Object 179	obj179_You_ve_successfully_pushed_the_ignition_stud_
Object 180	obj180_You_need_to_wait_a_while_for_the_installation_to_come_fully_online_
Object 181	obj181_You_could_pass_the_time_chatting_with_Cheryl_
Object 182	obj182_Once_the_indicator_icon_starts_flashing__it_s_time_
Object 183	obj183_But_it_s_not_clear_how_to_finish_the_sequence_
Object 184	obj184_Have_you_examined_the_viewscreen_lately_
Object 185	obj185_Unlike_many_of_the_studs__the_ignition_stud_isn_t_a_toggle_
Object 186	obj186_Push_the_ignition_stud_again_
Object 187	obj187_QuickHints__walkthrough_in_Q_A_form_
Object 188	obj188_Opening_game__3_topics_
Object 189	obj189_How_do_I_get_started___1_answer_
Object 190	obj190_After_examining_everything__TOUCH_NOTCH_
Object 191	obj191_What_should_I_do_with_the_controls_first___1_answer_
Object 192	obj192_Examine_everything__TOUCH_POWER_
Object 193	obj193_I_m_a_total_idiot__Now_what___1_answer_
Object 194	obj194_TOUCH_ACCESS_
Object 195	obj195_The_generator__6_topics_
Object 196	obj196_What_do_I_do_with_the_pillar___1_answer_
Object 197	obj197_TOUCH_PANEL__X_BAY_
Object 198	obj198_I_m_a_total_idiot__Now_what___1_answer_
Object 199	obj199_TOUCH_TOOL__WAIT__GET_PROBE_
Object 200	obj200_What_do_I_do_with_the_probe___1_answer_
Object 201	obj201_PUT_PROBE_IN_BAY__TOUCH_TOP_
Object 202	obj202_I_can_t_see_the_results_of_the_probe_well_enough___1_answer_
Object 203	obj203_ASK_CHERYL_FOR_HOLOGRAM__WEAR_GOGGLES_
Object 204	obj204_How_do_I_recalibrate_the_contact___1_answer_
Object 205	obj205_PUT_PROBE_IN_BAY__TOUCH_BOTTOM__WAIT__TOUCH_NINE_STUD_
Object 206	obj206_Ok__I_fixed_it__How_do_I_turn_it_on___1_answer_
Object 207	obj207_GET_PROBE__CLOSE_BAY__TOUCH_POWER_
Object 208	obj208_Determining_the_sequence__3_topics_
Object 209	obj209_I_m_not_sure_what_I_m_supposed_to_be_doing___1_answer_
Object 210	obj210_If_you_did_everything_else_in_the_last_section__it_s_time_to_view_the_sequence_of_necessary_activities_to_bring_Yi_Lono_Mordel_online_
Object 211	obj211_How_do_I_learn_what_steps_I_need_to_take___1_answer_
Object 212	obj212_By_touching_the_sequence_stud_
Object 213	obj213_How_do_I_push_the_sequence_stud_without_losing___1_answer_
Object 214	obj214_GIVE_GOGGLES_TO_CHERYL__TOUCH_SEQ__TOUCH_TOP__X_SCREEN__TOUCH_SEQ_
Object 215	obj215_Transmit__1_topic_
Object 216	obj216_How_do_I_push_the_transmit_stud_without_losing___1_answer_
Object 217	obj217_PUT_PROBE_IN_SLOT__TOUCH_BOTTOM__TOUCH_TOOL__TOUCH_TRANSMIT_
Object 218	obj218_Control_System__3_topics_
Object 219	obj219_How_do_I_push_the_control_stud_with_losing___1_answer_
Object 220	obj220_TOUCH_CONTROL_STUD_
Object 221	obj221_How_do_I_take_off_the_handcuffs___1_answer_
Object 222	obj222_PULL_RODS__ASK_CHERYL_FOR_KEY__GET_KEY__REMOVE_CUFFS_
Object 223	obj223_What_do_I_do_with_the_rods___1_answer_
Object 224	obj224_LOCK_CUFFS__PUT_CUFFS_ON_RODS_
Object 225	obj225_Ignition_System__3_topics_
Object 226	obj226_How_do_I_push_the_ignition_stud_without_losing___1_answer_
Object 227	obj227_TOUCH_INFO_STUD__TOUCH_FIELD_STUD__TOUCH_IGNITION_STUD_
Object 228	obj228_Now_what_do_I_do___1_answer_
Object 229	obj229_Wait_until_the_status_light_starts_flashing_
Object 230	obj230_What_do_I_do_now_that_the_status_is_flashing___1_answer_
Object 231	obj231_TOUCH_IGNITION_STUD
Object 232	obj232_Credits
Object 233	obj233__ConvHack_
Object 234	Conv
Object 235	Chat
Object 236	Ctalk
Object 237	Cansw
Object 238	Cwait
Object 239	obj239__cherylstart_
Object 240	obj240__240_
Object 241	obj241__241_
Object 242	obj242__242_
Object 243	obj243__243_
Object 244	obj244__244_
Object 245	obj245__cheryltopic_
Object 246	obj246__246_
Object 247	obj247__247_
Object 248	obj248__248_
Object 249	obj249__249_
Object 250	obj250__250_
Object 251	obj251__251_
Object 252	obj252__252_
Object 253	obj253__253_
Object 254	obj254__254_
Object 255	obj255__255_
Object 256	obj256__c_swore_
Object 257	obj257__c_anend_
Object 258	obj258__258_
Object 259	obj259__259_
Object 260	obj260__260_
Object 261	obj261__261_
Object 262	obj262__262_
Object 263	obj263__263_
Object 264	obj264__264_
Object 265	obj265__265_
Object 266	obj266__266_
Object 267	obj267__267_
Object 268	obj268__268_
Object 269	obj269__269_
Object 270	obj270__270_
Object 271	obj271__271_
Object 272	obj272__272_
Object 273	obj273__273_
Object 274	obj274__274_
Object 275	obj275__275_
Object 276	obj276__276_
Object 277	obj277__277_
Object 278	obj278__278_
Object 279	obj279__279_
Object 280	obj280__280_
Object 281	obj281__281_
Object 282	obj282__282_
Object 283	obj283__283_
Object 284	obj284__284_
Object 285	obj285__285_
Object 286	obj286__286_
Object 287	obj287__287_
Object 288	obj288__288_
Object 289	obj289__289_
Object 290	obj290__290_
Object 291	obj291__291_
Object 292	obj292__292_
Object 293	obj293__293_
Object 294	obj294__c_wave_
Object 295	obj295__295_
Object 296	obj296__296_
Object 297	obj297__297_
Object 298	obj298__c_jump_
Object 299	obj299__299_
Object 300	obj300__300_
Object 301	obj301__c_sing_
Object 302	obj302__302_
Object 303	obj303__303_
Object 304	obj304__c_smile_
Object 305	obj305__305_
Object 306	obj306__306_
Object 307	obj307__307_
Object 308	obj308__c_frown_
Object 309	obj309__309_
Object 310	obj310__310_
Object 311	obj311__c_nod_
Object 312	obj312__312_
Object 313	obj313__313_
Object 314	obj314__c_wink_
Object 315	obj315__315_
Object 316	obj316__316_
Object 317	obj317__317_
Object 318	obj318__c_laugh_
Object 319	obj319__319_
Object 320	obj320__320_
Object 321	obj321__321_
Object 322	obj322__c_pillar_
Object 323	obj323__323_
Object 324	obj324__324_
Object 325	obj325__325_
Object 326	obj326__326_
Object 327	obj327__327_
Object 328	obj328__c_bay_
Object 329	obj329__329_
Object 330	obj330__330_
Object 331	obj331__331_
Object 332	obj332__332_
Object 333	obj333__333_
Object 334	obj334__c_goggles_
Object 335	obj335__335_
Object 336	obj336__336_
Object 337	obj337__337_
Object 338	obj338__c_takeoff_
Object 339	obj339__339_
Object 340	obj340__c_fusion_
Object 341	obj341__341_
Object 342	obj342__342_
Object 343	obj343__343_
Object 344	obj344__c_progress_
Object 345	obj345__345_
Object 346	obj346__346_
Object 347	obj347__c_control_
Object 348	obj348__348_
Object 349	obj349__c_status_
Object 350	obj350__350_
Object 351	obj351__351_
Object 352	obj352__352_
Object 353	obj353__353_
Object 354	obj354__354_
Object 355	obj355__355_
Object 356	obj356__356_
Object 357	obj357__357_
Object 358	obj358__358_
Object 359	obj359__359_
Object 360	obj360__360_
Object 361	obj361__361_
Object 362	obj362__c_didnothing_
Object 363	obj363__363_
Object 364	obj364__364_
Object 365	obj365__365_
Object 366	obj366__366_
Object 367	obj367__367_
Object 368	obj368__368_
Object 369	obj369__c_rods_seen_
Object 370	obj370__370_
Object 371	obj371__371_
Object 372	obj372__372_
Object 373	obj373__373_
Object 374	obj374__374_
Object 375	obj375__375_
Object 376	obj376__c_rods_
Object 377	obj377__377_
Object 378	obj378__378_
Object 379	obj379__379_
Object 380	obj380__380_
Object 381	obj381__381_
Object 382	obj382__382_
Object 383	obj383__c_stall_
Object 384	Cwtalk
Object 385	Cwwait
Object 386	obj386__c_winner_
Object 387	obj387__387_
Object 388	obj388__388_
Object 389	obj389__389_
Object 390	obj390__390_
Object 391	obj391__c_badguy_
Object 392	obj392__392_
Object 393	obj393__393_
Object 394	obj394__394_
Object 395	obj395__395_
Object 396	obj396__396_
Object 397	obj397__397_
Object 398	obj398__398_
Object 399	obj399__399_
Object 400	obj400__c_lono_
Object 401	obj401__401_
Object 402	Loc
Object 403	Scene
Object 404	Stat
Object 405	obj405_Yi_Lono_Mordel_Control_Room
Object 406	obj406_doorway
Object 407	obj407_door
Object 408	obj408_elliptical_window
Object 409	obj409_star
Object 410	obj410_cluster_of_forms
Object 411	obj411_gleaming_curves
Object 412	obj412_slab
Object 413	obj413_notch
Object 414	obj414_floor
Object 415	obj415_room
Object 416	obj416_icons
Object 417	obj417_Yi_Lono_Mordel
Object 418	obj418_Cheryl
Object 419	obj419_monitor_hologram
Object 420	obj420_laser_pistol
Object 421	obj421_key
Object 422	obj422_installation_status_display
Object 423	obj423_information_display
Object 424	obj424_white_pillar
Object 425	obj425_access_panel
Object 426	obj426_fusion_generator_bay
Object 427	obj427_contact_points
Object 428	obj428_plasma_generator
Object 429	obj429_plasma_containment_system
Object 430	Stud
Object 431	obj431_control_surface
Object 432	obj432_viewscreen
Object 433	obj433_studs
Object 434	obj434_information_stud
Object 435	obj435_powerup_stud
Object 436	obj436_project_status_stud
Object 437	obj437_sequence_stud
Object 438	obj438_forcefield_stud
Object 439	obj439_transmit_stud
Object 440	obj440_generator_access_stud
Object 441	obj441_tool_stud
Object 442	obj442_calibration_stud
Object 443	obj443_control_stud
Object 444	obj444__endgame_obj_
Object 445	obj445_ignition_stud
Object 446	obj446_forcefield
Object 447	obj447_control_rods
Object 448	obj448_crack
Object 449	obj449_one_control_rod
Object 450	obj450_slot
Object 451	obj451_electropulse_probe
Object 452	obj452_top_sensor
Object 453	obj453_bottom_sensor
Object 454	obj454_electromagnetic_goggles
Object 455	obj455_handcuffs

Attribute 0	animate			! obj20__self_object_ obj418_Cheryl
Attribute 2	clothing		! obj454_electromagnetic_goggles obj455_handcuffs
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj448_crack obj449_one_control_rod
Attribute 4	container		! obj426_fusion_generator_bay obj450_slot
Attribute 5	door/nolook		! obj406_doorway obj407_door
Attribute 9	light			! Loc obj405_Yi_Lono_Mordel_Control_Room
Attribute 10	lockable		! obj455_handcuffs
Attribute 11	locked			! obj455_handcuffs
Attribute 14	open/conv_seen		! obj406_doorway obj407_door obj426_fusion_generator_bay obj450_slot
Attribute 15	openable		! obj455_handcuffs
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj418_Cheryl obj449_one_control_rod
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside Scene obj406_doorway obj407_door obj408_elliptical_window obj409_star obj410_cluster_of_forms obj411_gleaming_curves obj412_slab obj413_notch obj414_floor obj415_room obj416_icons obj417_Yi_Lono_Mordel obj425_access_panel obj426_fusion_generator_bay obj427_contact_points obj428_plasma_generator obj429_plasma_containment_system Stud obj432_viewscreen obj433_studs obj434_information_stud obj435_powerup_stud obj436_project_status_stud obj437_sequence_stud obj438_forcefield_stud obj439_transmit_stud obj440_generator_access_stud obj441_tool_stud obj442_calibration_stud obj443_control_stud obj444__endgame_obj_ obj445_ignition_stud obj448_crack obj452_top_sensor obj453_bottom_sensor
Attribute 19	static			! Stat obj422_installation_status_display obj423_information_display obj424_white_pillar obj431_control_surface obj446_forcefield obj447_control_rods obj449_one_control_rod obj450_slot
Attribute 20	supporter		! obj412_slab obj433_studs obj447_control_rods
Attribute 21	switchable/immediate	! Ctalk Cansw obj240__240_ obj242__242_ obj251__251_ obj253__253_ obj255__255_ obj258__258_ obj261__261_ obj263__263_ obj265__265_ obj268__268_ obj270__270_ obj283__283_ obj285__285_ obj288__288_ obj290__290_ obj292__292_ obj295__295_ obj299__299_ obj302__302_ obj305__305_ obj309__309_ obj312__312_ obj315__315_ obj319__319_ obj323__323_ obj325__325_ obj331__331_ obj336__336_ obj343__343_ obj344__c_progress_ obj348__348_ obj350__350_ obj352__352_ obj357__357_ obj359__359_ obj364__364_ obj367__367_ obj370__370_ obj372__372_ obj377__377_ obj379__379_ Cwtalk obj387__387_ obj388__388_ obj389__389_ obj390__390_ obj391__c_badguy_ obj392__392_ obj393__393_ obj394__394_ obj395__395_ obj396__396_ obj398__398_ obj399__399_ obj400__c_lono_
Attribute 23	transparent		! obj20__self_object_ obj418_Cheryl obj424_white_pillar obj431_control_surface obj433_studs obj451_electropulse_probe
Attribute 26	worn			! obj455_handcuffs
Attribute 28	female			! obj418_Cheryl
Attribute 30	pluralname		! obj433_studs obj447_control_rods obj454_electromagnetic_goggles obj455_handcuffs
Attribute 31	nonlocal		! obj407_door obj409_star
Attribute 32	insubstantial		! obj419_monitor_hologram obj422_installation_status_display obj423_information_display obj446_forcefield

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:string
Property 6	life:string
Property 8	s_to:?
Property 18	out_to:?
Property 19	door_to:?
Property 20	with_key:?
Property 21	door_dir:?
Property 26	react_before:string
Property 29	orders:thing
Property 30	initial:thing
Property 35	description:thing
Property 36	describe:string
Property 37	article:string
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:string
Property 44	each_turn:string
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:?
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	select:?
Property 77	tag:?
Property 78	current_menu:?
Property 79	emblazon:?
Property 80	titles:string
Property 81	execute:string
Property 82	label:?
Property 83	toggle:?
Property 84	menu_style:?
Property 85	banner_tags:?
Property 86	sup_bar:?
Property 87	title_bar:thing
Property 88	printsn:?
Property 89	GiveHint:?
Property 90	act_trigger:?
Property 91	obj_trigger:?
Property 92	num_trigger:?
Property 93	deadend:?
Property 94	obj_carried:?
Property 95	obj_present:?
Property 96	depends:thing
Property 97	cbranch:?
Property 98	cinclude:?
Property 99	cpop:?
Property 100	trigger:string
Property 101	acttrig:string
Property 102	objtrig:string
Property 103	numtrig:string
Property 104	doprint:string
Property 105	Conversation:?
Property 106	infotime:?
Property 107	update_conv:string
Property 108	talked:string
Property 109	try_actions:string
Property 110	answered:string
Property 111	talkedto:string
Property 112	converse:string
Property 113	react_before_foo:?
Property 114	reset:string
Property 115	putongoggles:string
Property 116	point_at:string
Property 117	shoot:string
Property 118	giveitaway:string
Property 119	been_on:?
Property 120	press:string

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
