! Auto-generated by Reform.

MD5	33dcc5085acb290d1817e07653c13480
Object 132	obj132_Staircase_Landing
Object 133	obj133_large_portrait
Object 134	obj134_painted_room
Object 135	obj135_painted_gentleman
Object 136	obj136_painted_fireplace
Object 137	obj137_painted_oaken_door
Object 138	obj138_ghostly_presence
Object 139	obj139_Help_Ghostly_Presence
Object 140	obj140_Score_Ghostly_Presence
Object 141	obj141_Eastern_Landing
Object 142	obj142_lobby
Object 143	obj143_Western_Landing
Object 144	obj144_Southern_Landing
Object 145	obj145_heavy_curtains
Object 146	obj146_patterned_circular_window
Object 147	obj147_faint_spotlight
Object 148	obj148_Help_Patterned_Window
Object 149	obj149_Eastern_Theatre_Aisle
Object 150	obj150_theatre_seats
Object 151	obj151_Western_Theatre_Aisle
Object 152	obj152_theatre_seats
Object 153	obj153_Stage
Object 154	obj154_stage_dust
Object 155	obj155_Orchestra_Pit
Object 156	obj156_walk_in_storage_cupboards
Object 157	obj157_Pit_Cupboards
Object 158	obj158_shadow_creature
Object 159	obj159_Score_Defeating_Shadow
Object 160	obj160_Help_Shadow_Creature
Object 161	obj161_Dark_Place
Object 162	obj162_Under_the_Stage
Object 163	obj163_dropped_items
Object 164	obj164_Eastern_Stairway
Object 165	obj165_finely_carpeted_stairway
Object 166	obj166_ghostly_conversation
Object 167	obj167_Eastern_Balcony
Object 168	obj168_theatre_seats
Object 169	obj169_Help_Other_Balcony
Object 170	obj170_large_chandelier
Object 171	obj171_Secret_Gallery
Object 172	obj172_gallery_pictures
Object 173	obj173_old_fashioned_camera
Object 174	obj174_flash_bulb
Object 175	obj175_Back_Stage
Object 176	obj176_removed_stairs
Object 177	obj177_stage_doors
Object 178	obj178_supports
Object 179	obj179_curtains
Object 180	obj180_ropes
Object 181	obj181_scenery
Object 182	obj182_Up_the_Ropes
Object 183	obj183_Dressing_Room
Object 184	obj184_scuff_marks
Object 185	obj185_old_locker
Object 186	obj186_broken_locker
Object 187	obj187_ancient_amulet
Object 188	obj188_old_newspaper_clipping
Object 189	obj189_coiled_serpent
Object 190	obj190_Help_Nasty_Snake
Object 191	obj191_Score_Killing_the_Snake
Object 192	obj192_Secret_Stairway
Object 193	obj193_roof_lights
Object 194	obj194_old_secret_stairway
Object 195	obj195_Underground_Passage
Object 196	obj196_brick_walls
Object 197	obj197_iron_door
Object 198	obj198_Help_Iron_Door
Object 199	obj199_Above_the_Pit
Object 200	obj200_nearby_pit
Object 201	obj201_Inside_Pit
Object 202	obj202_rough_walls
Object 203	obj203_invisible_monster
Object 204	obj204_Help_Pit_Monster
Object 205	obj205_Score_Pit_Monster
Object 206	obj206_Tunnel_Junction
Object 207	obj207_Western_End_of_Sewer
Object 208	obj208_sluice_gate
Object 209	obj209_large_drain
Object 210	obj210_drainage_trench
Object 211	obj211_In_Drain
Object 212	obj212_Centre_of_Sewer
Object 213	obj213_Metal_Platform
Object 214	obj214_rusty_lever
Object 215	obj215_Eastern_End_of_Sewer
Object 216	obj216_small_pipes
Object 217	obj217_Rat_Nest
Object 218	obj218_rat_dung_and_other_unmentionables
Object 219	obj219_unusual_archway
Object 220	obj220_swarm_of_rats
Object 221	obj221_Rats_Den
Object 222	obj222_Help_Passing_Rats
Object 223	obj223_Help_Passing_Archway
Object 224	obj224_Witch_s_Lair
Object 225	obj225_shelves_of_vials_and_other_knick_knacks
Object 226	obj226_archway
Object 227	obj227_iron_cauldron
Object 228	obj228_bronze_statue
Object 229	obj229_upper_left_arm
Object 230	obj230_lower_left_arm
Object 231	obj231_upper_right_arm
Object 232	obj232_lower_right_arm
Object 233	obj233_top_eye_socket
Object 234	obj234_right_eye_socket
Object 235	obj235_left_eye_socket
Object 236	obj236_bottom_eye_socket
Object 237	obj237_jewelled_dagger
Object 238	obj238_earth_crystal
Object 239	obj239_bubbling_liquid
Object 240	obj240_pool_of_vomit
Object 241	obj241_tarnished_ring
Object 242	obj242_eye_one
Object 243	obj243_eye_two
Object 244	obj244_eye_three
Object 245	obj245_eye_four
Object 246	obj246_Help_Bronze_Statue
Object 247	obj247_Score_Bronze_Statue
Object 248	obj248_Old_Hallway
Object 249	obj249_Help_Chanting_Sound
Object 250	obj250_Ceremony_Room
Object 251	obj251_Score_Ending_the_Ceremony
Object 252	obj252_Mine_Shaft
Object 253	obj253_Deep_in_the_Mines
Object 254	obj254_large_cage
Object 255	obj255_goblin_creature
Object 256	obj256_Help_Goblin
Object 257	obj257_Western_Balcony
Object 258	obj258_layer_of_dust
Object 259	obj259_bricked_up_wall
Object 260	obj260_Back_Wall
Object 261	obj261_Wall_with_Large_Hole
Object 262	obj262_large_hole
Object 263	obj263_Secret_Library
Object 264	obj264_hook
Object 265	obj265_large_hole
Object 266	obj266_bookcases
Object 267	obj267_hundreds_of_books
Object 268	obj268_metal_chain
Object 269	obj269_Reading_Recess
Object 270	obj270_reading_desk
Object 271	obj271_small_chair
Object 272	obj272_Southern_End_of_the_Library
Object 273	obj273_large_nest
Object 274	obj274_large_slug
Object 275	obj275_sticky_strands
Object 276	obj276_dead_slug
Object 277	obj277_Score_Slug
Object 278	obj278_Help_Slug
Object 279	obj279_Street_Balcony
Object 280	obj280_view_from_the_balcony
Object 281	obj281_outside_wall
Object 282	obj282_Tight_Stairway
Object 283	obj283_narrow_little_stairway
Object 284	obj284_Centre_of_Long_Corridor
Object 285	obj285_wood_panels
Object 286	obj286_North_End_of_Long_Corridor
Object 287	obj287_South_End_of_Long_Corridor
Object 288	obj288_Sick_Bay
Object 289	obj289_medical_posters
Object 290	obj290_medical_cabinet
Object 291	obj291_bed
Object 292	obj292_letter
Object 293	obj293_small_glass_vial
Object 294	obj294_clear_blue_liquid
Object 295	obj295_pain_killer_tablets
Object 296	obj296_stethoscope
Object 297	obj297_Prop_Room
Object 298	obj298_various_junk
Object 299	obj299_shelves
Object 300	obj300_trapdoor
Object 301	obj301_Help_Entering_Attic
Object 302	obj302_Southern_End_of_the_Attic
Object 303	obj303_dust_and_cobwebs
Object 304	obj304_studs_and_crossbeams
Object 305	obj305_Attic_above_the_Theatre
Object 306	obj306_cracks_in_the_plastered_floor
Object 307	obj307_large_winch
Object 308	obj308_thick_cable
Object 309	obj309_handle
Object 310	obj310_chandelier
Object 311	obj311_Help_Attic_Winch
Object 312	obj312_Costume_Room
Object 313	obj313_racks_of_old_costumes
Object 314	obj314_mannequin_dressed_in_a_pirate_costume
Object 315	obj315_mannequin_dressed_in_a_cowboy_costume
Object 316	obj316_mannequin_dressed_in_a_gladiator_costume
Object 317	obj317_costume_peripherals
Object 318	obj318_old_gas_mask
Object 319	obj319_Help_Mannequins
Object 320	obj320_Score_Getting_Gas_Mask
Object 321	obj321_Music_Room
Object 322	obj322_musical_junk
Object 323	obj323_piano
Object 324	obj324_sheet_of_music
Object 325	obj325_Guest_Star_Room
Object 326	obj326_expensive_furniture
Object 327	obj327_four_poster_bed
Object 328	obj328_fireplace
Object 329	obj329_Sealed_Off_Office
Object 330	obj330_fireplace
Object 331	obj331_coffin
Object 332	obj332_coffin_stand
Object 333	obj333_sealed_door
Object 334	obj334_velvet_lining
Object 335	obj335_shiny_key
Object 336	obj336_Help_Shiny_Key
Object 337	obj337_Score_Shiny_Key
Object 338	obj338_Boiler_Room
Object 339	obj339_pipes
Object 340	obj340_old_boiler
Object 341	obj341_dirty_wooden_chest
Object 342	obj342_coal_bin
Object 343	obj343_bottle_of_glue
Object 344	obj344_puddle_of_glue
Object 345	obj345_lump_of_coal
Object 346	obj346_Theatre_Roof
Object 347	obj347_chimney
Object 348	obj348_roof_tiles
Object 349	obj349_city
Object 350	obj350_battered_crow
Object 351	obj351_Help_The_Crow
Object 352	obj352_Attic_Observatory
Object 353	obj353_exposed_wooden_beams
Object 354	obj354_patterned_window
Object 355	obj355_strangely_shaped_telescope
Object 356	obj356_greenish_gas
Object 357	obj357_clear_lens
Object 358	obj358_Help_Telescope
Object 359	obj359_patterned_lens
Object 360	obj360_Score_Making_Lens
Object 361	obj361_Score_Seen_God
Object 362	obj362_star_crystal
Object 363	obj363_Outside_the_Burning_Mansion
Object 364	obj364_front_lawn
Object 365	obj365_driveway
Object 366	obj366_hedges
Object 367	obj367_burning_mansion
Object 368	obj368_Smoky_Hall
Object 369	obj369_stairs
Object 370	obj370_blood_trail
Object 371	obj371_Trent
Object 372	obj372_Score_Helping_Trent
Object 373	obj373_Wine_Cellar
Object 374	obj374_tables_filled_with_strange_paraphernalia
Object 375	obj375_younger_woman
Object 376	obj376_old_hag
Object 377	obj377_pistol
Object 378	obj378_Score_Defeating_Villainesses
Object 379	obj379_Theatre_Lobby
Object 380	obj380_posters
Object 381	obj381_grand_staircase
Object 382	obj382_Help_Ending_The_Game
Object 383	obj383_Cloakroom
Object 384	obj384_row_of_hooks
Object 385	obj385_Manager_s_Office
Object 386	obj386_office_papers
Object 387	obj387_manager_s_desk
Object 388	obj388_trapdoor
Object 389	obj389_Rienhart
Object 390	obj390_pager
Object 391	obj391_Basement
Object 392	obj392_Barrels
Object 393	obj393_Outside_The_Theatre
Object 394	obj394_mist_rolling_over_the_street
Object 395	obj395_street
Object 396	obj396_car

Attribute 0	attrib0			! obj19_Help_Credits obj20_Help_Version obj21_Help_Legal obj22_Help_Instructions obj23_Help_Commands obj24_Help_General_Hints obj25_Help_Generally_Struck obj27_Help_Lyric obj52_Help_Starting_Out
Attribute 2	attrib2			! obj15_yourself obj104_vicious_thug obj109_ragged_skeleton obj117_Rienhart_s_corpse obj127_Cindy_Crawford obj128_Kathy_Ireland obj129_Stephanie_Seymour obj130_Elle_MacPherson obj138_ghostly_presence obj158_shadow_creature obj189_coiled_serpent obj203_invisible_monster obj220_swarm_of_rats obj255_goblin_creature obj274_large_slug obj276_dead_slug obj314_mannequin_dressed_in_a_pirate_costume obj315_mannequin_dressed_in_a_cowboy_costume obj316_mannequin_dressed_in_a_gladiator_costume obj350_battered_crow obj371_Trent obj375_younger_woman obj376_old_hag
Attribute 3	attrib3			! obj187_ancient_amulet obj241_tarnished_ring obj296_stethoscope obj318_old_gas_mask
Attribute 4	attrib4			! obj1_compass obj15_yourself
Attribute 5	attrib5			! obj59_manager_s_desk obj72_barrels obj123_rubbish_bin obj126_large_comfortable_bed obj185_old_locker obj227_iron_cauldron obj233_top_eye_socket obj234_right_eye_socket obj235_left_eye_socket obj236_bottom_eye_socket obj237_jewelled_dagger obj254_large_cage obj273_large_nest obj290_medical_cabinet obj293_small_glass_vial obj328_fireplace obj330_fireplace obj331_coffin obj340_old_boiler obj341_dirty_wooden_chest obj342_coal_bin obj355_strangely_shaped_telescope
Attribute 6	attrib6			! obj26_standard_theatre_doors obj64_trapdoor obj197_iron_door obj300_trapdoor obj388_trapdoor
Attribute 7	attrib7			! obj74_old_stale_popcorn obj75_old_stale_popcorn obj76_old_stale_popcorn obj77_old_stale_popcorn obj78_old_stale_popcorn obj79_old_stale_popcorn obj80_old_stale_popcorn obj81_old_stale_popcorn obj82_old_stale_popcorn obj83_old_stale_popcorn obj84_old_stale_popcorn obj85_old_stale_popcorn obj86_old_stale_popcorn obj87_old_stale_popcorn obj88_old_stale_popcorn obj89_old_stale_popcorn obj90_old_stale_popcorn obj91_old_stale_popcorn obj92_old_stale_popcorn obj93_old_stale_popcorn obj94_old_stale_popcorn obj95_old_stale_popcorn obj96_old_stale_popcorn obj97_old_stale_popcorn obj98_old_stale_popcorn obj99_old_stale_popcorn obj100_last_of_the_popcorn obj294_clear_blue_liquid
Attribute 8	attrib8			! obj126_large_comfortable_bed obj271_small_chair obj291_bed obj323_piano obj327_four_poster_bed
Attribute 9	attrib9			! obj127_Cindy_Crawford obj128_Kathy_Ireland obj129_Stephanie_Seymour obj130_Elle_MacPherson obj375_younger_woman obj376_old_hag
Attribute 11	attrib11		! obj16_Brendon_s_Limbo obj17_Brendon_s_ScoreBoard obj18_Brendon_s_HelpMenu obj49_Theatre_Lobby obj53_Cloakroom obj57_Manager_s_Office obj68_Basement obj101_Outside_The_Theatre obj107_Sealed_Up_Ticket_Booth obj113_Cramped_Hallway obj115_Narrow_Hallway obj119_End_of_Hallway obj121_Alley_Courtyard obj125_Dirty_Dream obj132_Staircase_Landing obj141_Eastern_Landing obj143_Western_Landing obj144_Southern_Landing obj145_heavy_curtains obj149_Eastern_Theatre_Aisle obj151_Western_Theatre_Aisle obj153_Stage obj155_Orchestra_Pit obj157_Pit_Cupboards obj161_Dark_Place obj162_Under_the_Stage obj164_Eastern_Stairway obj167_Eastern_Balcony obj171_Secret_Gallery obj175_Back_Stage obj182_Up_the_Ropes obj183_Dressing_Room obj192_Secret_Stairway obj195_Underground_Passage obj199_Above_the_Pit obj201_Inside_Pit obj206_Tunnel_Junction obj207_Western_End_of_Sewer obj211_In_Drain obj212_Centre_of_Sewer obj213_Metal_Platform obj215_Eastern_End_of_Sewer obj217_Rat_Nest obj221_Rats_Den obj224_Witch_s_Lair obj248_Old_Hallway obj250_Ceremony_Room obj252_Mine_Shaft obj253_Deep_in_the_Mines obj257_Western_Balcony obj260_Back_Wall obj261_Wall_with_Large_Hole obj263_Secret_Library obj269_Reading_Recess obj272_Southern_End_of_the_Library obj279_Street_Balcony obj282_Tight_Stairway obj284_Centre_of_Long_Corridor obj286_North_End_of_Long_Corridor obj287_South_End_of_Long_Corridor obj288_Sick_Bay obj297_Prop_Room obj302_Southern_End_of_the_Attic obj305_Attic_above_the_Theatre obj312_Costume_Room obj321_Music_Room obj325_Guest_Star_Room obj329_Sealed_Off_Office obj338_Boiler_Room obj346_Theatre_Roof obj352_Attic_Observatory obj363_Outside_the_Burning_Mansion obj368_Smoky_Hall obj373_Wine_Cellar obj379_Theatre_Lobby obj383_Cloakroom obj385_Manager_s_Office obj391_Basement obj393_Outside_The_Theatre
Attribute 12	attrib12		! obj197_iron_door obj254_large_cage
Attribute 13	attrib13		! obj197_iron_door obj254_large_cage
Attribute 16	attrib16		! obj64_trapdoor obj72_barrels obj126_large_comfortable_bed obj227_iron_cauldron obj233_top_eye_socket obj234_right_eye_socket obj235_left_eye_socket obj236_bottom_eye_socket obj237_jewelled_dagger obj273_large_nest obj293_small_glass_vial obj328_fireplace obj330_fireplace obj340_old_boiler obj342_coal_bin obj355_strangely_shaped_telescope obj388_trapdoor
Attribute 17	attrib17		! obj59_manager_s_desk obj64_trapdoor obj123_rubbish_bin obj137_painted_oaken_door obj145_heavy_curtains obj185_old_locker obj197_iron_door obj254_large_cage obj290_medical_cabinet obj300_trapdoor obj331_coffin obj341_dirty_wooden_chest obj388_trapdoor
Attribute 18	attrib18		! obj15_yourself obj117_Rienhart_s_corpse obj127_Cindy_Crawford obj128_Kathy_Ireland obj129_Stephanie_Seymour obj130_Elle_MacPherson obj389_Rienhart
Attribute 19	attrib19		! obj2_north_wall obj3_south_wall obj4_east_wall obj5_west_wall obj6_northeast_wall obj7_southeast_wall obj8_northwest_wall obj9_southwest_wall obj10_ceiling obj11_floor obj12_outside obj13_inside obj26_standard_theatre_doors obj50_posters obj51_grand_staircase obj54_row_of_hooks obj55_cleaner_hook obj56_secret_passage__leading_down obj58_office_papers obj59_manager_s_desk obj65_plastered_over_southern_wall obj69_street_level_windows obj72_barrels obj73_switch obj102_mist_rolling_over_the_street obj103_street obj108_boarded_up_windows obj112_little_dial obj114_old_boxes_of_junk obj116_carpet_rolls obj120_sealed_door obj122_stage_doors obj134_painted_room obj135_painted_gentleman obj136_painted_fireplace obj137_painted_oaken_door obj138_ghostly_presence obj142_lobby obj146_patterned_circular_window obj150_theatre_seats obj152_theatre_seats obj154_stage_dust obj156_walk_in_storage_cupboards obj165_finely_carpeted_stairway obj166_ghostly_conversation obj168_theatre_seats obj170_large_chandelier obj172_gallery_pictures obj176_removed_stairs obj177_stage_doors obj178_supports obj179_curtains obj180_ropes obj181_scenery obj184_scuff_marks obj193_roof_lights obj194_old_secret_stairway obj196_brick_walls obj197_iron_door obj200_nearby_pit obj202_rough_walls obj208_sluice_gate obj209_large_drain obj210_drainage_trench obj216_small_pipes obj218_rat_dung_and_other_unmentionables obj219_unusual_archway obj225_shelves_of_vials_and_other_knick_knacks obj226_archway obj227_iron_cauldron obj258_layer_of_dust obj259_bricked_up_wall obj262_large_hole obj264_hook obj265_large_hole obj266_bookcases obj267_hundreds_of_books obj270_reading_desk obj271_small_chair obj275_sticky_strands obj280_view_from_the_balcony obj281_outside_wall obj283_narrow_little_stairway obj285_wood_panels obj289_medical_posters obj298_various_junk obj299_shelves obj303_dust_and_cobwebs obj304_studs_and_crossbeams obj306_cracks_in_the_plastered_floor obj308_thick_cable obj309_handle obj313_racks_of_old_costumes obj317_costume_peripherals obj322_musical_junk obj326_expensive_furniture obj327_four_poster_bed obj328_fireplace obj330_fireplace obj332_coffin_stand obj333_sealed_door obj334_velvet_lining obj339_pipes obj340_old_boiler obj347_chimney obj348_roof_tiles obj349_city obj353_exposed_wooden_beams obj354_patterned_window obj356_greenish_gas obj364_front_lawn obj365_driveway obj366_hedges obj367_burning_mansion obj369_stairs obj370_blood_trail obj374_tables_filled_with_strange_paraphernalia obj380_posters obj381_grand_staircase obj384_row_of_hooks obj386_office_papers obj387_manager_s_desk obj392_Barrels obj394_mist_rolling_over_the_street obj395_street
Attribute 20	attrib20		! obj107_Sealed_Up_Ticket_Booth obj171_Secret_Gallery obj183_Dressing_Room obj192_Secret_Stairway obj224_Witch_s_Lair obj257_Western_Balcony obj302_Southern_End_of_the_Attic
Attribute 21	attrib21		! obj60_closed_metal_safe obj64_trapdoor obj70_electrical_panel obj109_ragged_skeleton obj110_old_rags obj123_rubbish_bin obj126_large_comfortable_bed obj133_large_portrait obj145_heavy_curtains obj147_faint_spotlight obj163_dropped_items obj185_old_locker obj186_broken_locker obj214_rusty_lever obj220_swarm_of_rats obj228_bronze_statue obj229_upper_left_arm obj230_lower_left_arm obj231_upper_right_arm obj232_lower_right_arm obj233_top_eye_socket obj234_right_eye_socket obj235_left_eye_socket obj236_bottom_eye_socket obj239_bubbling_liquid obj240_pool_of_vomit obj254_large_cage obj273_large_nest obj290_medical_cabinet obj291_bed obj300_trapdoor obj307_large_winch obj310_chandelier obj323_piano obj331_coffin obj341_dirty_wooden_chest obj342_coal_bin obj344_puddle_of_glue obj355_strangely_shaped_telescope obj388_trapdoor obj396_car
Attribute 22	attrib22		! obj270_reading_desk obj271_small_chair obj291_bed obj323_piano obj327_four_poster_bed
Attribute 23	attrib23		! obj73_switch
Attribute 25	attrib25		! obj15_yourself obj60_closed_metal_safe obj70_electrical_panel obj104_vicious_thug obj109_ragged_skeleton obj111_old_pocket_watch obj117_Rienhart_s_corpse obj126_large_comfortable_bed obj133_large_portrait obj173_old_fashioned_camera obj228_bronze_statue obj237_jewelled_dagger obj254_large_cage obj266_bookcases obj293_small_glass_vial obj375_younger_woman

Property 1	prop1:dictwords
Property 2	prop2:thing
Property 3	prop3:thing
Property 4	prop4:?
Property 5	prop5:?
Property 6	prop6:string
Property 7	prop7:string
Property 8	prop8:thing
Property 9	prop9:?
Property 10	prop10:routines
Property 11	prop11:routine
Property 12	prop12:routine
Property 13	prop13:thing
Property 14	prop14:thing
Property 15	prop15:thing
Property 16	prop16:thing
Property 17	prop17:thing
Property 18	prop18:thing
Property 19	prop19:?
Property 20	prop20:?
Property 21	prop21:thing
Property 22	prop22:thing
Property 23	prop23:thing
Property 24	prop24:thing
Property 25	prop25:thing
Property 26	prop26:thing
Property 27	prop27:routine
Property 28	prop28:thing
Property 29	prop29:thing
Property 30	prop30:things
Property 32	prop32:?
Property 33	prop33:routine
Property 34	prop34:routine
Property 35	prop35:?
Property 36	prop36:thing
Property 37	prop37:thing
Property 38	prop38:string

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
