! Auto-generated by Reform.

MD5	6ae4fd54b7e55675ec7e54ec4dd26462
Object 111	obj111_fence
Object 112	obj112_Foyer
Object 113	obj113_Clearing
Object 114	obj114_Forecastle
Object 115	obj115_large_key
Object 116	obj116_unmentionables
Object 117	obj117_room
Object 118	obj118_debris
Object 119	obj119_food_and_ammunition_supplies
Object 120	obj120_St__Sinistra
Object 121	obj121_leather_bottle
Object 122	obj122_him
Object 123	obj123_Library
Object 124	obj124_your_eyes
Object 125	obj125_pile_of_clothes
Object 126	obj126_hedge
Object 127	obj127_Sleeping_Cupboard
Object 128	obj128_pair_of_manacles
Object 129	obj129_trapdoor
Object 130	obj130_shirt
Object 131	obj131_bed
Object 132	obj132_skiff
Object 133	obj133_hat
Object 134	obj134_Galley
Object 135	obj135_musicians
Object 136	obj136_man
Object 137	obj137_canvas_hatch
Object 138	obj138_stub_of_rope
Object 139	obj139_window
Object 140	obj140_rum
Object 141	obj141_green_goblet
Object 142	obj142_In_the_Hedge
Object 143	obj143_stone
Object 144	obj144_gunpowder
Object 145	obj145_your_mouth
Object 146	obj146_Bedroom
Object 147	obj147_sign
Object 148	obj148_Lagoon
Object 149	obj149_wooden_door
Object 150	obj150_mooring_winch
Object 151	obj151_Main_Deck
Object 152	obj152_long_table
Object 153	obj153_East_Hallway
Object 154	obj154_bed
Object 155	obj155_Guard_s_Bunkroom
Object 156	obj156_drapes
Object 157	obj157_stair
Object 158	obj158_flower
Object 159	obj159_Hall
Object 160	obj160_cannon
Object 161	obj161_pair_of_oars
Object 162	obj162_books
Object 163	obj163_Cookie
Object 164	obj164_mess
Object 165	obj165_Ballroom
Object 166	obj166_water
Object 167	obj167_keg
Object 168	obj168_ground
Object 169	obj169_Captain_s_Quarters
Object 170	obj170_it
Object 171	obj171_Veranda
Object 172	obj172_number
Object 173	obj173_Corner
Object 174	obj174_divan
Object 175	obj175_invitation
Object 176	obj176_Lafond_s_Bedroom
Object 177	obj177_Lucy
Object 178	obj178_On_the_Ladder
Object 179	obj179_Trade_Entrance
Object 180	obj180_Cell
Object 181	obj181_ceiling
Object 182	obj182_globe
Object 183	obj183_Stairwell
Object 184	obj184_bushes
Object 185	obj185_Poop
Object 186	obj186_banknote
Object 187	obj187_crocodile
Object 188	obj188_fuse
Object 189	obj189_Quarterdeck
Object 190	obj190_Captain_Jamison
Object 191	obj191_pirate
Object 192	obj192_it
Object 193	obj193_Crew_s_Quarters
Object 194	obj194_breeches
Object 195	obj195_Plundered_Hearts
Object 196	obj196_pyramid_of_casks
Object 197	obj197_crack
Object 198	obj198_silver_tray
Object 199	obj199_flagon
Object 200	obj200_beautiful_ball_gown
Object 201	obj201_bookcase
Object 202	obj202_rag
Object 203	obj203_bench
Object 204	obj204_book
Object 205	obj205_fire
Object 206	obj206_missive
Object 207	obj207_In_the_Rigging
Object 208	obj208_Upstairs_Hall
Object 209	obj209_gold_ring
Object 210	obj210_rum_barrel
Object 211	obj211_shutters
Object 212	obj212_Bottom_of_Stairwell
Object 213	obj213_bed
Object 214	obj214_bed
Object 215	obj215_Davis
Object 216	obj216_By_the_House
Object 217	obj217_door
Object 218	obj218_knob
Object 219	obj219_pseudo
Object 220	obj220_moonbeam
Object 221	obj221_ornate_door
Object 222	obj222_rigging
Object 223	obj223_your_reticule

Attribute 2	attrib2			! obj7_pair_of_duelling_pistols obj11_smelling_salts obj13_your_kid_slippers obj25_spices obj54_vine obj118_debris obj119_food_and_ammunition_supplies obj124_your_eyes obj128_pair_of_manacles obj156_drapes obj160_cannon obj161_pair_of_oars obj162_books obj184_bushes obj191_pirate obj194_breeches obj211_shutters
Attribute 3	attrib3			! obj5_your_hand obj15_yourself obj38_your_head obj124_your_eyes obj145_your_mouth
Attribute 4	attrib4			! obj1_Forest obj2_Dungeon obj5_your_hand obj8_Crulley obj13_your_kid_slippers obj15_yourself obj20_Front_Drive obj21_Kitchen obj24_Lawn obj26_Cell obj28_Stair_Landing obj30_Upstairs_Hall obj34_North_Passage obj38_your_head obj41_her obj44_sleep obj46_Aft_Hold obj48_Anteroom obj50_Bowsprit obj57_your_father obj62_South_Passage obj63_it obj65_Orchestra obj66_Lafond obj67_Folly obj68_Main_Entrance obj73_Beach obj77_Deck obj80_Cabin obj83_Supper_Room obj85_Crow_s_Nest obj89_By_the_Ship obj92_Landing obj94_Parlour obj99_Shallows obj101_Hold obj109_Gallery obj112_Foyer obj113_Clearing obj114_Forecastle obj116_unmentionables obj118_debris obj120_St__Sinistra obj122_him obj123_Library obj124_your_eyes obj134_Galley obj142_In_the_Hedge obj144_gunpowder obj145_your_mouth obj146_Bedroom obj148_Lagoon obj151_Main_Deck obj153_East_Hallway obj155_Guard_s_Bunkroom obj159_Hall obj163_Cookie obj165_Ballroom obj169_Captain_s_Quarters obj170_it obj171_Veranda obj173_Corner obj176_Lafond_s_Bedroom obj177_Lucy obj178_On_the_Ladder obj179_Trade_Entrance obj180_Cell obj183_Stairwell obj185_Poop obj189_Quarterdeck obj190_Captain_Jamison obj207_In_the_Rigging obj208_Upstairs_Hall obj212_Bottom_of_Stairwell obj215_Davis obj216_By_the_House obj223_your_reticule
Attribute 5	attrib5			! obj60_it obj218_knob
Attribute 6	attrib6			! obj17_linen_chemise obj56_rope obj60_it obj133_hat
Attribute 7	attrib7			! obj60_it obj177_Lucy
Attribute 8	attrib8			! obj45_large_cupboard obj52_skiff obj60_it obj88_garter obj93_cask
Attribute 9	attrib9			! obj4_well obj5_your_hand obj18_anchor obj19_veranda obj22_quantity_of_wine obj25_spices obj27_ledge obj32_pool obj39_gate obj40_chair obj43_gate obj45_large_cupboard obj51_shack obj53_french_door obj54_vine obj55_portrait obj57_your_father obj60_it obj64_wall obj69_coffer obj72_navigation_wheel obj74_line obj78_ladder obj81_desk obj87_new_ring obj93_cask obj95_water_barrel obj102_laudanum obj104_iron_door obj105_folly obj106_lever obj111_fence obj116_unmentionables obj119_food_and_ammunition_supplies obj128_pair_of_manacles obj129_trapdoor obj130_shirt obj131_bed obj132_skiff obj140_rum obj144_gunpowder obj147_sign obj149_wooden_door obj152_long_table obj154_bed obj156_drapes obj158_flower obj161_pair_of_oars obj162_books obj164_mess obj166_water obj167_keg obj174_divan obj181_ceiling obj182_globe obj184_bushes obj188_fuse obj191_pirate obj192_it obj194_breeches obj197_crack obj201_bookcase obj204_book obj209_gold_ring obj210_rum_barrel obj211_shutters obj213_bed obj214_bed obj217_door obj218_knob obj220_moonbeam obj221_ornate_door
Attribute 10	attrib10		! obj39_gate obj43_gate obj60_it obj69_coffer obj104_iron_door obj217_door obj221_ornate_door
Attribute 11	attrib11		! obj18_anchor obj60_it obj63_it obj175_invitation
Attribute 12	attrib12		! obj2_Dungeon obj21_Kitchen obj26_Cell obj28_Stair_Landing obj30_Upstairs_Hall obj34_North_Passage obj46_Aft_Hold obj48_Anteroom obj60_it obj62_South_Passage obj65_Orchestra obj67_Folly obj80_Cabin obj83_Supper_Room obj92_Landing obj94_Parlour obj101_Hold obj109_Gallery obj112_Foyer obj123_Library obj127_Sleeping_Cupboard obj146_Bedroom obj153_East_Hallway obj155_Guard_s_Bunkroom obj159_Hall obj165_Ballroom obj169_Captain_s_Quarters obj173_Corner obj176_Lafond_s_Bedroom obj180_Cell obj183_Stairwell obj193_Crew_s_Quarters obj208_Upstairs_Hall obj212_Bottom_of_Stairwell
Attribute 13	attrib13		! obj60_it
Attribute 14	attrib14		! obj8_Crulley obj27_ledge obj52_skiff obj60_it obj82_cot obj88_garter obj111_fence obj121_leather_bottle obj128_pair_of_manacles obj129_trapdoor obj163_Cookie obj198_silver_tray obj222_rigging
Attribute 15	attrib15		! obj4_well obj14_powder_horn obj27_ledge obj40_chair obj45_large_cupboard obj52_skiff obj60_it obj69_coffer obj75_table obj79_butler obj82_cot obj88_garter obj93_cask obj95_water_barrel obj111_fence obj121_leather_bottle obj128_pair_of_manacles obj129_trapdoor obj131_bed obj133_hat obj152_long_table obj154_bed obj163_Cookie obj174_divan obj187_crocodile obj190_Captain_Jamison obj198_silver_tray obj199_flagon obj201_bookcase obj203_bench obj210_rum_barrel obj213_bed obj214_bed obj218_knob obj222_rigging obj223_your_reticule
Attribute 16	attrib16		! obj4_well obj8_Crulley obj14_powder_horn obj27_ledge obj40_chair obj51_shack obj52_skiff obj57_your_father obj60_it obj66_Lafond obj75_table obj79_butler obj82_cot obj86_hole obj88_garter obj90_blue_goblet obj93_cask obj95_water_barrel obj128_pair_of_manacles obj131_bed obj141_green_goblet obj152_long_table obj154_bed obj163_Cookie obj177_Lucy obj187_crocodile obj190_Captain_Jamison obj198_silver_tray obj199_flagon obj201_bookcase obj203_bench obj210_rum_barrel obj211_shutters obj213_bed obj214_bed obj222_rigging obj223_your_reticule
Attribute 17	attrib17		! obj6_whip obj9_torch obj16_rapier obj22_quantity_of_wine obj54_vine obj56_rope obj60_it obj70_loose_slat obj76_cold_chicken obj78_ladder obj98_pinch_of_spices obj102_laudanum obj115_large_key obj118_debris obj125_pile_of_clothes obj138_stub_of_rope obj161_pair_of_oars obj162_books obj167_keg obj182_globe obj199_flagon obj204_book obj222_rigging
Attribute 18	attrib18		! obj40_chair obj60_it obj75_table obj81_desk obj82_cot obj131_bed obj152_long_table obj154_bed obj174_divan obj198_silver_tray obj203_bench obj213_bed obj214_bed obj218_knob
Attribute 19	attrib19		! obj5_your_hand obj15_yourself obj41_her obj60_it obj63_it obj64_wall obj122_him obj181_ceiling
Attribute 20	attrib20		! obj60_it obj86_hole obj88_garter obj188_fuse obj192_it
Attribute 21	attrib21		! obj13_your_kid_slippers obj17_linen_chemise obj60_it obj84_cotton_frock obj88_garter obj108_jewelled_brooch obj125_pile_of_clothes obj128_pair_of_manacles obj130_shirt obj133_hat obj194_breeches obj200_beautiful_ball_gown obj223_your_reticule
Attribute 22	attrib22		! obj13_your_kid_slippers obj17_linen_chemise obj60_it obj84_cotton_frock
Attribute 23	attrib23		! obj11_smelling_salts obj14_powder_horn obj16_rapier obj17_linen_chemise obj25_spices obj42_dagger obj84_cotton_frock obj88_garter obj90_blue_goblet obj91_pistol obj98_pinch_of_spices obj107_bit_of_mirror obj108_jewelled_brooch obj115_large_key obj121_leather_bottle obj125_pile_of_clothes obj130_shirt obj133_hat obj141_green_goblet obj143_stone obj175_invitation obj186_banknote obj194_breeches obj198_silver_tray obj199_flagon obj200_beautiful_ball_gown obj202_rag obj206_missive
Attribute 24	attrib24		! obj4_well obj8_Crulley obj14_powder_horn obj27_ledge obj40_chair obj45_large_cupboard obj51_shack obj52_skiff obj57_your_father obj60_it obj66_Lafond obj69_coffer obj75_table obj81_desk obj82_cot obj88_garter obj90_blue_goblet obj93_cask obj95_water_barrel obj111_fence obj121_leather_bottle obj128_pair_of_manacles obj129_trapdoor obj131_bed obj141_green_goblet obj152_long_table obj154_bed obj163_Cookie obj174_divan obj177_Lucy obj187_crocodile obj190_Captain_Jamison obj199_flagon obj201_bookcase obj203_bench obj210_rum_barrel obj213_bed obj214_bed obj218_knob obj222_rigging obj223_your_reticule
Attribute 25	attrib25		! obj9_torch obj59_chandelier obj60_it
Attribute 26	attrib26		! obj12_curtain obj39_gate obj43_gate obj45_large_cupboard obj53_french_door obj55_portrait obj60_it obj104_iron_door obj129_trapdoor obj137_canvas_hatch obj149_wooden_door obj156_drapes obj211_shutters obj217_door obj221_ornate_door
Attribute 27	attrib27		! obj56_rope obj156_drapes
Attribute 28	attrib28		! obj27_ledge obj40_chair obj52_skiff obj60_it obj82_cot obj93_cask obj129_trapdoor obj131_bed obj154_bed obj203_bench obj213_bed obj214_bed
Attribute 29	attrib29		! obj1_Forest obj2_Dungeon obj9_torch obj20_Front_Drive obj21_Kitchen obj24_Lawn obj26_Cell obj28_Stair_Landing obj30_Upstairs_Hall obj34_North_Passage obj46_Aft_Hold obj48_Anteroom obj50_Bowsprit obj59_chandelier obj60_it obj62_South_Passage obj65_Orchestra obj67_Folly obj68_Main_Entrance obj73_Beach obj77_Deck obj80_Cabin obj83_Supper_Room obj85_Crow_s_Nest obj89_By_the_Ship obj92_Landing obj94_Parlour obj99_Shallows obj101_Hold obj109_Gallery obj112_Foyer obj113_Clearing obj114_Forecastle obj123_Library obj127_Sleeping_Cupboard obj134_Galley obj142_In_the_Hedge obj146_Bedroom obj148_Lagoon obj151_Main_Deck obj153_East_Hallway obj155_Guard_s_Bunkroom obj159_Hall obj165_Ballroom obj169_Captain_s_Quarters obj171_Veranda obj173_Corner obj176_Lafond_s_Bedroom obj178_On_the_Ladder obj179_Trade_Entrance obj180_Cell obj183_Stairwell obj185_Poop obj188_fuse obj189_Quarterdeck obj193_Crew_s_Quarters obj205_fire obj207_In_the_Rigging obj208_Upstairs_Hall obj212_Bottom_of_Stairwell obj216_By_the_House
Attribute 30	attrib30		! obj1_Forest obj2_Dungeon obj20_Front_Drive obj21_Kitchen obj24_Lawn obj26_Cell obj28_Stair_Landing obj30_Upstairs_Hall obj34_North_Passage obj46_Aft_Hold obj48_Anteroom obj50_Bowsprit obj60_it obj62_South_Passage obj65_Orchestra obj67_Folly obj68_Main_Entrance obj73_Beach obj77_Deck obj80_Cabin obj83_Supper_Room obj85_Crow_s_Nest obj89_By_the_Ship obj92_Landing obj94_Parlour obj99_Shallows obj101_Hold obj109_Gallery obj112_Foyer obj113_Clearing obj114_Forecastle obj123_Library obj127_Sleeping_Cupboard obj134_Galley obj142_In_the_Hedge obj146_Bedroom obj148_Lagoon obj151_Main_Deck obj153_East_Hallway obj155_Guard_s_Bunkroom obj159_Hall obj165_Ballroom obj169_Captain_s_Quarters obj171_Veranda obj173_Corner obj176_Lafond_s_Bedroom obj179_Trade_Entrance obj180_Cell obj183_Stairwell obj185_Poop obj189_Quarterdeck obj193_Crew_s_Quarters obj207_In_the_Rigging obj208_Upstairs_Hall obj212_Bottom_of_Stairwell obj216_By_the_House
Attribute 31	attrib31		! obj8_Crulley obj35_patrol obj57_your_father obj60_it obj66_Lafond obj79_butler obj110_dancer obj135_musicians obj163_Cookie obj177_Lucy obj187_crocodile obj190_Captain_Jamison obj191_pirate obj192_it obj215_Davis

Property 9	prop9:string
Property 10	prop10:?
Property 11	prop11:?
Property 12	prop12:string
Property 13	prop13:?
Property 14	prop14:?
Property 15	prop15:?
Property 16	prop16:?
Property 17	prop17:?
Property 18	prop18:?
Property 19	out_to:exit
Property 20	in_to:exit
Property 21	d_to:exit
Property 22	u_to:exit
Property 23	p_to:exit
Property 24	aft_to:exit
Property 25	se_to:exit
Property 26	e_to:exit
Property 27	ne_to:exit
Property 28	f_to:exit
Property 29	prop29:dictwords
Property 30	southw_to:exit
Property 31	northw_to:exit

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'verbos'
Action 1	Action1		! 'brief'
Action 2	Action2		! 'super'/'superb'
Action 3	Action3		! 'i//'/'invent'
Action 4	Action4		! 'i//'/'invent' 'love' object
Action 5	Action5		! 'q//'/'quit'
Action 6	Action6		! 'restar'
Action 7	Action7		! 'restor'
Action 8	Action8		! 'rescue'/'save'
Action 9	Action9		! 'script'
Action 10	Action10	! 'unscri'
Action 11	Action11	! 'versio'
Action 12	Action12	! '#rand' object
Action 13	Action13	! '#comm'
Action 14	Action14	! '#reco'
Action 15	Action15	! '#unre'
Action 16	Action16	! '$ve' object
				! '$ve'
Action 17	Action17	! 'applau'/'clap' object
				! 'applau'/'clap'
Action 18	Action18	! 'duck'/'go'/'wade' 'toward'/'to' object
				! 'procee'/'run'/'sidle'/'step'/'walk' 'toward'/'to' object
				! 'approa' object
Action 19	Action19	! 'ask' attrib31 'about' object
Action 20	Action20	! 'ask' attrib31 'for' object
				! 'ask' attrib31 'toward'/'to' attrib30
Action 21	Action21	! 'ask' 'for' object
Action 22	Action22	! 'break'/'crush'/'damage'/'demoli'/'destro'/'smash'/'trampl'/'wreck' 'downst'/'down'/'d//' object
				! 'attack'/'bash'/'fight'/'hit'/'kill'/'murder'/'punch'/'slap'/'strike'/'whack' attrib31(in_room,on_ground) 'with'/'using' object(carried,have)
				! 'attack'/'bash'/'fight'/'hit'/'kill'/'murder'/'punch'/'slap'/'strike'/'whack' attrib31(in_room,on_ground)
				! 'knock'/'pound'/'rap' 'downst'/'down'/'d//' attrib31(in_room,on_ground)
Action 23	Action23	! 'bite' object
Action 24	Action24	! 'blow' object(held) 'onto'/'on' attrib31
				! 'blow' object(held) 'at' attrib31
				! 'blow' object
Action 25	Action25	! 'close'/'shut' 'off' attrib25(held,carried,in_room,on_ground,take)
				! 'flick'/'flip'/'rotate'/'set'/'spin'/'switch'/'turn' 'off' attrib25
				! 'deacti'/'douse'/'exting' attrib29
				! 'blow' 'outsid'/'out' attrib29
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' 'outsid'/'out' attrib29
Action 26	Action26	! 'climb'/'crawl'/'scale' 'into'/'inside'/'in' attrib28(in_room,on_ground)
				! 'doze'/'nap'/'sleep'/'snooze' 'onto'/'on' object(in_room,on_ground)
				! 'doze'/'nap'/'sleep'/'snooze' 'into'/'inside'/'in' object(in_room,on_ground)
				! 'board'/'mount'/'ride' attrib28(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'take' 'onto'/'on' attrib28(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'take' 'into'/'inside'/'in' attrib28(in_room,on_ground)
Action 27	Action27	! 'bribe' object 'with'/'using' object
				! 'bribe' object
Action 28	Action28	! 'burn'/'melt' attrib27 'into'/'inside'/'in' object
				! 'burn'/'melt' 'upstai'/'up'/'u//' attrib27
				! 'burn'/'melt' attrib27
Action 29	Action29	! 'duck'/'go'/'wade' 'around'/'along' attrib30
				! 'circle' object
				! 'move'/'pull' 'around'/'along' attrib30
				! 'procee'/'run'/'sidle'/'step'/'walk' 'around'/'along' attrib30
				! 'procee'/'run'/'sidle'/'step'/'walk'
Action 30	Action30	! 'climb'/'crawl'/'scale' 'upstai'/'up'/'u//' attrib30(in_room,on_ground)
				! 'climb'/'crawl'/'scale' object(in_room,on_ground)
				! 'duck'/'go'/'wade' 'upstai'/'up'/'u//' object(in_room,on_ground)
				! 'procee'/'run'/'sidle'/'step'/'walk' 'upstai'/'up'/'u//' object(in_room,on_ground)
Action 31	Action31	! 'climb'/'crawl'/'scale' 'onto'/'on' attrib28(in_room,on_ground)
				! 'sit' 'into'/'inside'/'in' object(in_room,on_ground)
				! 'sit' 'onto'/'on' object(in_room,on_ground)
Action 32	Action32	! 'climb'/'crawl'/'scale' 'downst'/'down'/'d//' attrib30(in_room,on_ground)
				! 'slide' 'downst'/'down'/'d//' attrib30(in_room,on_ground)
				! 'duck'/'go'/'wade' 'downst'/'down'/'d//' object(in_room,on_ground)
				! 'descen' object(in_room,on_ground)
				! 'procee'/'run'/'sidle'/'step'/'walk' 'downst'/'down'/'d//' object(in_room,on_ground)
Action 33	Action33	! 'climb'/'crawl'/'scale' 'off' attrib28(in_room,on_ground)
				! 'climb'/'crawl'/'scale' 'outsid'/'out' attrib28(in_room,on_ground)
				! 'debark'/'disemb' object(in_room,on_ground)
				! 'debark'/'disemb'
				! 'carry'/'get'/'grab'/'hold'/'take' 'downst'/'down'/'d//' attrib28(on_ground)
				! 'carry'/'get'/'grab'/'hold'/'take' 'outsid'/'out' attrib28(on_ground)
Action 34	Action34	! 'climb'/'crawl'/'scale' 'over' object(in_room,on_ground)
Action 35	Action35	! 'climb'/'crawl'/'scale' 'thru'/'throug' object
				! 'duck'/'go'/'wade' 'thru'/'throug' object
				! 'duck'/'go'/'wade' 'into'/'inside'/'in' object
				! 'enter' object
				! 'dive'/'jump'/'leap'/'vault' 'thru'/'throug' object
				! 'dive'/'jump'/'leap'/'vault' 'into'/'inside'/'in' object
				! 'procee'/'run'/'sidle'/'step'/'walk' 'thru'/'throug' object
				! 'procee'/'run'/'sidle'/'step'/'walk' 'over' object
				! 'procee'/'run'/'sidle'/'step'/'walk' 'across' object
