! Auto-generated by Reform.

MD5	9ba48c72d96ab3e7956a8570b12d34d6
Object 134	obj134_But_there_really_isn_t_anything_to_do_here_
Object 135	obj135_How_do_I_get_past_the_dog_
Object 136	obj136_You_could_try_leading_it_away_
Object 137	obj137_But_it_doesn_t_seem_to_want_to_follow_you_very_far_
Object 138	obj138_Maybe_if_you_gave_it_a_reason_to_follow_you_
Object 139	obj139_You_could_feed_it_something_
Object 140	obj140_If_you_had_any_food__that_is_
Object 141	obj141_Maybe_if_you_did_something_to_make_it_mad_
Object 142	obj142_Try_attacking_the_dog_
Object 143	obj143_OK__it_s_following_you___Now_what_
Object 144	obj144_It_s_dragging_that_chain___Maybe_you_can_tangle_it_up_somewhere_
Object 145	obj145_With_the_dog_following_you__walk_completely_around_the_church_
Object 146	obj146_How_do_I_get_into_the_hearse_
Object 147	obj147_You_ll_need_the_keys_
Object 148	obj148_And_a_ward_to_get_past_the_spirit_
Object 149	obj149_Can_t_find_a_ward___Some_garlic_might_work_
Object 150	obj150_Oh_yes__you_will_need_a_game_that_actually_has_a_hearse_in_it_
Object 151	obj151_Is_there_anything_special_about_the_oak_trees_
Object 152	obj152_Yes_
Object 153	obj153_Try_climbing_them_
Object 154	obj154_Too_slippery___Maybe_you_need_something_like_a_ladder_
Object 155	obj155_Can_t_find_a_ladder___Is_there_something_that_looks_like_a_ladder_that_might_work_instead_
Object 156	obj156_Look_around_on_the_Porch_
Object 157	obj157_Examine_the_porch_railing_
Object 158	obj158_GET_THE_RAILING_then_PUT_RAILING_AGAINST_TREE_then_CLIMB_RAILING_
Object 159	obj159_Inside_the_Church
Object 160	obj160_How_do_I_get_into_the_trap_door_
Object 161	obj161_Well__you_can_t_fly_up_there_
Object 162	obj162_So_you_will_have_to_climb_
Object 163	obj163_There_is_nothing_here_to_climb__so_you_need_to_find_a_ladder_
Object 164	obj164_No_ladder___Is_there_something_that_looks_like_a_ladder_that_might_work_instead_
Object 165	obj165_Look_around_on_the_Porch_
Object 166	obj166_Examine_the_porch_railing_
Object 167	obj167_GET_THE_RAILING_then_PUT_RAILING_UNDER_TRAP_DOOR_then_CLIMB_RAILING_
Object 168	obj168_How_do_I_get_past_the_locked_door_
Object 169	obj169_Well__it_would_be_polite_to_knock_first_
Object 170	obj170_Well__that_doesn_t_help___Look_for_a_key_maybe__
Object 171	obj171_OK__so_no_key___How_about_breaking_it_down_
Object 172	obj172_Tough_door___I_guess_we_need_something_heavy_
Object 173	obj173_Have_you_been_to_the_belfry_yet_
Object 174	obj174_That_bell_sure_looks_heavy___I_bet_it_could_damage_the_door_
Object 175	obj175_Or__better_yet__it_could_be_used_to_pull_the_door_from_it_s_frame_
Object 176	obj176_Go_to_the_Steeple_Chamber_and_TIE_THE_ROPE_TO_THE_DOOR___Then__go_to_the_Belfry_and_PUSH_BELL_
Object 177	obj177_Oh_yeah__make_sure_you_have_another_way_to_climb_down_from_the_Belfry_before_you_do___
Object 178	obj178_What_s_with_the_eyes_of_this_painting_
Object 179	obj179_The_painting_is_too_far_away_to_get_a_good_look_at_
Object 180	obj180_So_you_need_to_get_closer_
Object 181	obj181_Have_you_found_your__ladder__yet_
Object 182	obj182_PUT_RAILING_UNDER_PAINTING_then_CLIMB_RAILING___Now__take_a_better_look_at_the_painting_
Object 183	obj183_What_s_that_thing_in_the_belfry_
Object 184	obj184_Uhh___A_bell_

Attribute 0	animate			! obj20__self_object_ obj53_guard_dog obj110__Old_Man_
Attribute 2	clothing		! obj97_embroidered_robe
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj40_broken_limb obj85_large_black_book obj96_heavy_stopper obj107_blue_bottle obj108_green_bottle
Attribute 4	container		! obj90_bookshelf
Attribute 5	door			! obj71_top_of_railing obj100__Steeple_Door_ obj101_curtain obj113_heavy_rope
Attribute 7	enterable		! obj77_pews obj109_old_sofa
Attribute 9	light			! Bottle obj33_In_the_Mud Outside obj37_Graveyard obj43_West_Side_of_the_Church obj45_North_Side_of_the_Church obj47_East_Side_of_the_Church obj51_Front_of_the_Church obj55_Top_of_Oak_Tree obj68_Church_Porch Inside obj73_Vestibule obj75_Sanctuary obj78_Near_Painting obj81_green_bottle obj82_blue_bottle obj83_Pulpit obj88_Small_Office obj98_Steeple_Chamber obj99_Inner_Chamber obj105_oil_lantern obj107_blue_bottle obj108_green_bottle obj111_Belfry
Attribute 11	locked			! obj100__Steeple_Door_
Attribute 14	open			! obj70_broken_length_of_railing obj71_top_of_railing obj77_pews obj101_curtain obj113_heavy_rope
Attribute 15	openable		! obj100__Steeple_Door_
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj34_muddy_water obj35_mud obj38_stone_markers obj41_disturbed_grave obj42_moss_and_mold obj44_muddy_trail obj46_faint_path obj48_graveled_clearing obj50_debris obj52_oak_trees obj56_tree_branch obj57_sidewalk obj58_driveway obj59_ivy obj60_oak_trees obj61_storm obj62_rain obj63_mud obj64_grasses_and_weeds obj66_steeple obj67_windows obj69_white_picket_railing obj74_trap_door obj76_pulpit obj77_pews obj79_eyes_of_painting obj80__Distant_Bottles_ obj81_green_bottle obj82_blue_bottle obj84_podium obj86_painting obj87_eyes_in_painting obj89_desk obj90_bookshelf obj93_pile_of_ash obj95_broken_shards_of_glass obj102_mirror obj103_holes_in_the_wall obj109_old_sofa obj114_beams obj115_town obj116_debris obj117_broken_windows
Attribute 19	static			! Fake_Object obj38_stone_markers obj39_oak_branch obj52_oak_trees obj54_chain obj65_church obj69_white_picket_railing obj76_pulpit obj77_pews obj80__Distant_Bottles_ obj84_podium obj89_desk obj90_bookshelf obj100__Steeple_Door_ obj101_curtain obj102_mirror obj104_heavy_wooden_table obj106_pair_of_glass_bottles obj109_old_sofa obj112_bell obj114_beams
Attribute 20	supporter		! obj84_podium obj89_desk obj104_heavy_wooden_table obj109_old_sofa
Attribute 23	transparent		! obj20__self_object_ obj77_pews obj89_desk obj90_bookshelf
Attribute 27	male			! obj53_guard_dog obj110__Old_Man_
Attribute 30	pluralname		! obj38_stone_markers obj50_debris obj52_oak_trees obj60_oak_trees obj67_windows obj77_pews obj79_eyes_of_painting obj95_broken_shards_of_glass obj103_holes_in_the_wall obj114_beams obj117_broken_windows

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:string
Property 6	life:string
Property 7	n_to:thing
Property 8	s_to:thing
Property 9	e_to:thing
Property 10	w_to:thing
Property 11	ne_to:?
Property 12	se_to:?
Property 13	nw_to:?
Property 14	sw_to:?
Property 15	u_to:string
Property 16	d_to:?
Property 19	door_to:string
Property 21	door_dir:?
Property 26	react_before:string
Property 27	react_after:string
Property 29	orders:thing
Property 30	initial:thing
Property 31	when_open:string
Property 32	when_closed:string
Property 35	description:?
Property 36	describe:?
Property 37	article:string
Property 38	cant_go:string
Property 39	found_in:?
Property 41	number:?
Property 42	time_out:dictword
Property 43	daemon:string
Property 44	each_turn:string
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:?
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	select:string
Property 77	sup_bar:dictword
Property 78	title_bar:string
Property 79	label:dictword
Property 80	toggle:dictword
Property 81	emblazon:string
Property 82	titles:string
Property 83	execute:string
Property 84	selection_name:string
Property 85	doname:string
Property 86	printsn:?
Property 87	GiveHint:?
Property 88	color:string
Property 89	is_mad:?
Property 90	is_following:?
Property 91	temper:?
Property 92	chain_length:?
Property 93	is_under:?
Property 94	is_over:?
Property 95	open_bottle:string
Property 96	is_tied_to:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine58368
				! 'go'/'run'/'walk' noun=routine58368
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
Action 32	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun 'with' held
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 39	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 'y//'/'yes'
Action 45	No		! 'no'
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'pet'/'touch' noun
Action 56	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 66	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kick'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
				! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun 'with' noun
				! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun 'on' noun
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull' noun
Action 76	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 93	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 94	HintOff		! 'clue'/'clues'/'hint'/'hints' 'off'
Action 95	Hint		! 'clue'/'clues'/'hint'/'hints'
Action 96	Read		! 'read' noun
Action 97	PutUnder	! 'put' noun 'under'/'below'/'beneath'/'against' noun
Action 98	Ring		! 'ring' noun
Action 99	UnTie		! 'detach'/'untie' noun
				! 'detach'/'untie' noun 'from' noun
Action 100	Version		! 'version'
Action 101	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 102	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 103	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 104	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 105	Xyzzy		! 'xyzzy'
Action 106	Help		! 'about'/'help'

Word	bookshelf	bookshelf
Word	curtained	curtained
Word	embroider	embroider
Word	everythin	everythin
Word	flagstone	flagstone
Word	flickerin	flickerin
Word	fullscore	fullscore
Word	furniture	furniture
Word	graveyard	graveyard
Word	inventory	inventory
Word	lightning	lightning
Word	northeast	northeast
Word	northwest	northwest
Word	seventeen	seventeen
Word	shattered	shattered
Word	southeast	southeast
Word	southwest	southwest
Word	spellbook	spellbook
Word	splintere	splintere
Word	stoppered	stoppered
Word	superbrie	superbrie
Word	transcrip	transcrip
Word	villagers	villagers

Routine 0x4da8	routine19880:?
Routine 0x4db0	routine19888:?
Routine 0x4dbc	routine19900:?
Routine 0x4dc0	routine19904:?
Routine 0x4de4	routine19940:?
Routine 0x4e84	routine20100:?
Routine 0x505c	routine20572:?
Routine 0x5094	routine20628:?
Routine 0x50d0	routine20688:?
Routine 0x5100	routine20736:?
Routine 0x5130	routine20784:?
Routine 0x5144	routine20804:?
Routine 0x5178	routine20856:?
Routine 0x51b4	routine20916:?
Routine 0x6ed0	routine28368:?
! References: obj20__self_object_.short_name
Routine 0x6edc	routine28380:?
Routine 0x6ee8	routine28392:?
Routine 0x6ef4	routine28404:?
Routine 0x6f14	routine28436:?
Routine 0x6fa0	routine28576:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x6fb4	routine28596:?
Routine 0x6fbc	routine28604:?
Routine 0x71a0	routine29088:?
Routine 0x78f0	routine30960:?
Routine 0x791c	routine31004:?
Routine 0x7938	routine31032:?
Routine 0x7a7c	routine31356:?
Routine 0x7a94	routine31380:?
Routine 0x7ae4	routine31460:?
Routine 0x7f20	routine32544:?
Routine 0x83e4	routine33764:?
Routine 0x867c	routine34428:?
Routine 0x874c	routine34636:?
Routine 0x88a8	routine34984:?
Routine 0x88f0	routine35056:?
Routine 0x89d0	routine35280:?
Routine 0x8a48	routine35400:?
Routine 0x8a98	routine35480:?
Routine 0x8acc	routine35532:?
Routine 0x8b1c	routine35612:?
Routine 0x8b44	routine35652:?
Routine 0x8b60	routine35680:?
Routine 0x8b90	routine35728:?
Routine 0x8c2c	routine35884:?
Routine 0x8c40	routine35904:?
Routine 0x8c5c	routine35932:?
Routine 0x8cd4	routine36052:?
Routine 0x8d04	routine36100:?
Routine 0x8de8	routine36328:?
Routine 0x8e0c	routine36364:?
Routine 0x8e58	routine36440:?
Routine 0x8f78	routine36728:?
Routine 0x8fd0	routine36816:?
Routine 0x8ffc	routine36860:?
Routine 0x902c	routine36908:?
Routine 0x9074	routine36980:?
Routine 0x90c0	routine37056:?
Routine 0x90d8	routine37080:?
