! Auto-generated by Reform.

MD5	31a0c1e360dce94aa5bece5240691d17
Object 135	obj135_crack_under_the_door
Object 136	obj136_Hilltop
Object 137	obj137_rickety_wooden_fence_seen_from_a_distance
Object 138	obj138_forest
Object 139	obj139_schoolhouse
Object 140	obj140_well
Object 141	obj141_shadow
Object 142	obj142_butterflies
Object 143	obj143_clock_tower
Object 144	obj144_cottage
Object 145	obj145_flowers
Object 146	obj146_underbrush
Object 147	obj147_new_mown_grass
Object 148	obj148_grassy_path
Object 149	obj149_gravel
Object 150	obj150_hillside
Object 151	obj151_ladybug
Object 152	obj152_meadow
Object 153	obj153_muddy_trail
Object 154	obj154_tiny_garden_sign
Object 155	obj155_sunlight
Object 156	obj156_filtered_sunlight
Object 157	obj157_tree
Object 158	obj158_village
Object 159	obj159_prickly_weeds
Object 160	obj160_egg
Object 161	obj161_egg_s_necktie
Object 162	obj162_egg_s_hand
Object 163	obj163_egg_s_features
Object 164	obj164_egg_s_necktie
Object 165	obj165_egg_s_clothing
Object 166	obj166_kitten
Object 167	obj167_eyes
Object 168	obj168_kitten_s_tail
Object 169	obj169_Bernice
Object 170	obj170_Mary
Object 171	obj171_tooth
Object 172	obj172_Mary_s_hair
Object 173	obj173_Mary_s_clothing
Object 174	obj174_Mother_Loose
Object 175	obj175_field_mouse
Object 176	obj176_wolf
Object 177	obj177_toothpick
Object 178	obj178_NRU

Attribute 0	animate			! obj20__self_object_ obj34__self_object_ obj141_shadow obj160_egg obj166_kitten obj169_Bernice obj170_Mary obj174_Mother_Loose obj175_field_mouse obj176_wolf
Attribute 2	clothing		! obj48_golden_hairpin
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj34__self_object_ obj46_pot obj48_golden_hairpin obj77_compartment obj78_battery obj79_panel obj80_toggle_switch obj141_shadow obj154_tiny_garden_sign obj174_Mother_Loose obj175_field_mouse obj176_wolf
Attribute 4	container		! Bags_of_Wool Drawers Locks obj42_picnic_basket obj45_pot obj60_top_right_drawer obj61_top_left_drawer obj62_middle_drawer obj63_file_drawer obj77_compartment obj82_big__giant_bag obj84_medium_sized_bag obj86_wee__little_bag obj92_brass_doorknob obj106_bungalow_doorknob obj115_top_right_drawer obj116_top_left_drawer obj117_middle_drawer obj118_file_drawer obj123_door_handle obj134_clock_tower_lock obj140_well
Attribute 5	door			! Doors obj91_cottage_door obj105_bungalow_door obj122_schoolhouse_door obj124_schoolhouse_window obj132_clock_tower_door
Attribute 6	edible			! obj47_pease_porridge
Attribute 7	enterable		! obj140_well
Attribute 9	light			! Places obj36_Rickety_Fence obj39_Forest obj41_Deep_Forest obj50_Country_Lane obj51_Outside_the_Cottage obj55_Meadow_Behind_the_Cottage obj56_Inside_the_Cottage obj94_Outside_the_Bungalow obj100_Meadow_Behind_the_Bungalow obj102_Inside_the_Bungalow obj110_Schoolyard obj111_Inside_the_School obj125_Clock_Tower_Stairs obj128_Inside_the_Clock_Tower obj136_Hilltop
Attribute 10	lockable		! Doors Locks obj91_cottage_door obj92_brass_doorknob obj105_bungalow_door obj106_bungalow_doorknob obj122_schoolhouse_door obj123_door_handle obj132_clock_tower_door obj134_clock_tower_lock
Attribute 11	locked			! Doors Locks obj91_cottage_door obj92_brass_doorknob obj105_bungalow_door obj106_bungalow_doorknob obj123_door_handle obj132_clock_tower_door obj134_clock_tower_lock
Attribute 13	on			! obj75_spinning_wheel obj80_toggle_switch
Attribute 14	open			! Bags_of_Wool obj42_picnic_basket obj82_big__giant_bag obj84_medium_sized_bag obj86_wee__little_bag obj122_schoolhouse_door obj140_well
Attribute 15	openable		! Bags_of_Wool Curtains Doors Drawers Locks Windows obj42_picnic_basket obj45_pot obj60_top_right_drawer obj61_top_left_drawer obj62_middle_drawer obj63_file_drawer obj77_compartment obj79_panel obj82_big__giant_bag obj84_medium_sized_bag obj86_wee__little_bag obj90_white_ruffled_curtains obj91_cottage_door obj92_brass_doorknob obj93_cottage_window obj104_gingham_curtains obj105_bungalow_door obj106_bungalow_doorknob obj107_bungalow_window obj115_top_right_drawer obj116_top_left_drawer obj117_middle_drawer obj118_file_drawer obj122_schoolhouse_door obj123_door_handle obj124_schoolhouse_window obj132_clock_tower_door obj134_clock_tower_lock
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj34__self_object_ obj99_knock obj119_one_of_the_student_desks obj168_kitten_s_tail obj169_Bernice obj170_Mary obj172_Mary_s_hair obj173_Mary_s_clothing obj174_Mother_Loose
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside Curtains Doors Drawers Locks Places Windows obj35_hand obj36_Rickety_Fence obj37_rickety_wooden_fence obj38_graffiti obj39_Forest obj41_Deep_Forest obj44_lid obj50_Country_Lane obj51_Outside_the_Cottage obj52_cottage_garden obj53_machinery obj54_vines obj55_Meadow_Behind_the_Cottage obj56_Inside_the_Cottage obj57_armchair obj58_desk obj59_desk_drawers obj60_top_right_drawer obj61_top_left_drawer obj62_middle_drawer obj63_file_drawer obj64_floorboards obj65_furniture obj66_hearth obj67_lamp obj73_sofa obj74_table obj76_bobbin obj77_compartment obj79_panel obj80_toggle_switch obj81_treadle obj88_yarn obj89_stone_cottage obj90_white_ruffled_curtains obj91_cottage_door obj92_brass_doorknob obj93_cottage_window obj94_Outside_the_Bungalow obj95_picket_fence obj96_bungalow_garden obj97_gap obj98_gingerbread_trim obj99_knock obj100_Meadow_Behind_the_Bungalow obj102_Inside_the_Bungalow obj103_pink_bungalow obj104_gingham_curtains obj105_bungalow_door obj106_bungalow_doorknob obj107_bungalow_window obj108_placard obj109_thumbtack obj110_Schoolyard obj111_Inside_the_School obj112_chair obj113_teacher_s_desk obj114_desk_drawers obj115_top_right_drawer obj116_top_left_drawer obj117_middle_drawer obj118_file_drawer obj119_one_of_the_student_desks obj120_chalk_marks obj121_schoolhouse obj122_schoolhouse_door obj123_door_handle obj124_schoolhouse_window obj125_Clock_Tower_Stairs obj126_corner obj127_stairs obj128_Inside_the_Clock_Tower obj129_clockworks obj130_cables_and_pulleys obj131_gears obj132_clock_tower_door obj133_brass_key obj134_clock_tower_lock obj135_crack_under_the_door obj136_Hilltop obj137_rickety_wooden_fence_seen_from_a_distance obj138_forest obj139_schoolhouse obj140_well obj141_shadow obj142_butterflies obj143_clock_tower obj144_cottage obj145_flowers obj146_underbrush obj147_new_mown_grass obj148_grassy_path obj149_gravel obj150_hillside obj151_ladybug obj152_meadow obj153_muddy_trail obj154_tiny_garden_sign obj155_sunlight obj156_filtered_sunlight obj157_tree obj158_village obj159_prickly_weeds obj161_egg_s_necktie obj162_egg_s_hand obj163_egg_s_features obj164_egg_s_necktie obj165_egg_s_clothing obj166_kitten obj167_eyes obj168_kitten_s_tail obj171_tooth obj172_Mary_s_hair obj173_Mary_s_clothing
Attribute 19	static			! obj140_well
Attribute 20	supporter		! obj37_rickety_wooden_fence obj40_fallen_branch obj58_desk obj74_table obj75_spinning_wheel obj76_bobbin obj88_yarn obj89_stone_cottage obj103_pink_bungalow obj113_teacher_s_desk obj119_one_of_the_student_desks obj121_schoolhouse obj157_tree
Attribute 21	switchable		! obj67_lamp obj75_spinning_wheel obj80_toggle_switch
Attribute 23	transparent		! obj20__self_object_ Windows obj34__self_object_ obj40_fallen_branch obj57_armchair obj58_desk obj73_sofa obj74_table obj75_spinning_wheel obj76_bobbin obj88_yarn obj93_cottage_window obj95_picket_fence obj105_bungalow_door obj107_bungalow_window obj113_teacher_s_desk obj119_one_of_the_student_desks obj124_schoolhouse_window obj135_crack_under_the_door obj140_well obj157_tree obj160_egg obj166_kitten obj170_Mary obj176_wolf
Attribute 28	female			! obj169_Bernice obj170_Mary obj174_Mother_Loose
Attribute 29	neuter			! obj166_kitten obj175_field_mouse
Attribute 30	pluralname		! Curtains obj54_vines obj59_desk_drawers obj69_assorted_litter obj70_useless_debris obj71_odds_and_ends obj90_white_ruffled_curtains obj104_gingham_curtains obj112_chair obj130_cables_and_pulleys obj131_gears obj159_prickly_weeds obj167_eyes
Attribute 31	queryable		! obj34__self_object_ obj47_pease_porridge obj76_bobbin obj81_treadle obj178_NRU
Attribute 32	bodypart		! obj162_egg_s_hand
Attribute 33	inside			! obj56_Inside_the_Cottage obj102_Inside_the_Bungalow obj111_Inside_the_School obj128_Inside_the_Clock_Tower
Attribute 34	underneath		! obj132_clock_tower_door obj135_crack_under_the_door

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:?
Property 6	life:string
Property 7	n_to:thing
Property 8	s_to:thing
Property 9	e_to:?
Property 10	w_to:?
Property 11	ne_to:?
Property 12	se_to:?
Property 13	nw_to:?
Property 14	sw_to:?
Property 15	u_to:thing
Property 16	d_to:?
Property 17	in_to:string
Property 18	out_to:?
Property 19	door_to:string
Property 20	with_key:?
Property 21	door_dir:?
Property 22	invent:string
Property 23	plural:dictword
Property 24	add_to_scope:string
Property 26	react_before:?
Property 29	orders:thing
Property 30	initial:thing
Property 35	description:?
Property 36	describe:dictword
Property 37	article:string
Property 38	cant_go:?
Property 39	found_in:things
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:string
Property 43	daemon:string
Property 44	each_turn:?
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:?
Property 49	articles:strings
Property 51	whoisit:string
Property 52	whatisit:string
Property 53	adjective:dictwords
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	size:?
Property 77	quantity:?
Property 78	permission:?
Property 79	counter:?
Property 80	already_met:?
Property 81	angry:?
Property 82	askclock:?
Property 83	askjob:?
Property 84	asklunch:?
Property 85	askmouse:?
Property 86	counter1:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'catch'/'grab'/'hold'/'lift'/'snatch'/'steal'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove'/'untie'/'unwind' multi
				! 'remove'/'untie'/'unwind' multi
				! 'pick' noun
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'catch'/'grab'/'hold'/'lift'/'snatch'/'steal'/'take' multi
Action 16	Drop		! 'throw' multiheld
				! 'discard'/'drop'/'toss' multiheld
				! 'lean'/'put'/'stick'/'wind' 'down' multiheld
				! 'lean'/'put'/'stick'/'wind' multiheld 'down'
Action 17	Remove		! 'remove'/'untie'/'unwind' noun 'from' noun
				! 'remove'/'untie'/'unwind' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'catch'/'grab'/'hold'/'lift'/'snatch'/'steal'/'take' multiinside 'from' noun
				! 'carry'/'catch'/'grab'/'hold'/'lift'/'snatch'/'steal'/'take' multiinside 'off' noun
				! 'carry'/'catch'/'grab'/'hold'/'lift'/'snatch'/'steal'/'take' noun 'from' container
Action 18	PutOn		! 'use' noun 'on'/'with' noun
				! 'throw' multiexcept 'on'/'onto' noun
				! 'discard'/'drop'/'toss' multiexcept 'on'/'onto' noun
				! 'lean'/'put'/'stick'/'wind' multiexcept 'back' 'on'/'onto' noun
				! 'lean'/'put'/'stick'/'wind' noun 'against'/'around' noun
				! 'lean'/'put'/'stick'/'wind' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'use' noun 'in' noun
				! 'throw' multiexcept 'in'/'into'/'down' noun
				! 'stuff' noun 'in'/'into'/'inside' container
				! 'discard'/'drop'/'toss' multiexcept 'in'/'into'/'down' noun
				! 'insert'/'lower' multiexcept 'in'/'into' noun
				! 'lean'/'put'/'stick'/'wind' multiexcept 'back' 'in'/'inside'/'into' noun
				! 'lean'/'put'/'stick'/'wind' multiexcept 'in'/'inside'/'into' noun
Action 21	Give		! 'feed' held 'to' creature
				! 'feed' creature held
				! 'feed' 'over' held 'to' creature
				! 'give'/'offer'/'pay' held 'to' creature
				! 'give'/'offer'/'pay' creature held
				! 'give'/'offer'/'pay' 'over' held 'to' creature
				! 'give'/'offer'/'pay' noun 'back'
				! 'give'/'offer'/'pay' 'back' noun
				! 'give'/'offer'/'pay' noun 'back' 'to' creature
				! 'give'/'offer'/'pay' 'back' noun 'to' creature
Action 22	Show		! 'point' 'out' noun 'to' creature
				! 'display'/'present'/'show' noun creature
				! 'display'/'present'/'show' noun 'to' creature
				! 'display'/'present'/'show' creature noun
Action 23	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'lie'/'sit' 'down' 'on'/'in' noun
				! 'lie'/'sit' 'at' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'hop'/'jump'/'skip' 'down'/'off'
				! 'hop'/'jump'/'skip' 'from'/'off' noun
				! 'hop'/'jump'/'skip' 'down'/'off' 'from'/'of'/'off' noun
				! 'climb'/'scale' 'down'/'off'
				! 'climb'/'scale' 'down' noun
				! 'climb'/'scale' 'down'/'off' 'from'/'off' noun
				! 'get' 'down'/'off'/'up'
				! 'get' 'down'/'off'/'up' 'from'/'of'/'off' noun
				! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine59228
				! 'go'/'run'/'walk' noun=routine59228
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
				! 'l//'/'look'
Action 32	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'over'/'around'/'underneat' noun
				! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'out' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
				! 'lean'/'put'/'stick'/'wind' 'head' 'in'/'into' container
Action 35	Unlock		! 'use' noun=routine95556 'in'/'with' locked
				! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
				! 'insert'/'lower' held 'in'/'into'/'inside' locked
				! 'lean'/'put'/'stick'/'wind' noun=routine95556 'in'/'inside'/'into' locked
				! 'pick' locked 'with' noun=routine95556
				! 'pick' locked 'with' noun
Action 36	Lock		! 'use' noun=routine95556 'in'/'with' lockable
				! 'lock' noun 'with' held
Action 37	SwitchOn	! 'activate' noun
				! 'flick'/'flip'/'switch' noun 'on'/'up'
				! 'flick'/'flip'/'switch' 'on'/'up' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'stop' noun
				! 'deactivat' noun
				! 'flick'/'flip'/'switch' noun 'off'/'down'
				! 'flick'/'flip'/'switch' 'off'/'down' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut'/'slam' 'off' noun
Action 39	Open		! 'draw' noun 'open'
				! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'draw' noun 'closed'
				! 'close'/'cover'/'shut'/'slam' noun
				! 'close'/'cover'/'shut'/'slam' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove'/'untie'/'unwind' held
				! 'carry'/'catch'/'grab'/'hold'/'lift'/'snatch'/'steal'/'take' 'off' worn
Action 42	Wear		! 'use' clothing
				! 'lean'/'put'/'stick'/'wind' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'boil'/'cook'/'eat'/'fry'/'poach'/'scramble' multi
				! 'boil'/'cook'/'eat'/'fry'/'poach'/'scramble' multi 'with' noun
				! 'boil'/'cook'/'eat'/'fry'/'poach'/'scramble' held
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
				! 'hear'/'listen' 'at' noun
Action 54	Taste		! 'lick'/'taste' noun
				! 'boil'/'cook'/'eat'/'fry'/'poach'/'scramble' creature
Action 55	Touch		! 'feel'/'fondle'/'grope'/'pat'/'pet'/'shake'/'stroke'/'touch' noun
				! 'feel'/'fondle'/'grope'/'pat'/'pet'/'shake'/'stroke'/'touch' bodypart 'with' animate
Action 56	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
				! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'on'/'onto'/'with' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'apologise'/'apologize'/'sorry'
				! 'apologise'/'apologize'/'sorry' 'to' creature
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
