! Auto-generated by Reform.

MD5	87ed53d854f7e57c36106fca3b9cf5a6
Object 174	obj174_pair_of_3D_glasses
Object 175	obj175_seat
Object 176	obj176_aisle
Object 177	obj177_Inside_Theater
Object 178	obj178_schedule
Object 179	obj179_carton
Object 180	obj180_movie_screen
Object 181	obj181_corridor
Object 182	obj182_Theater_Lobby
Object 183	obj183_ticket
Object 184	obj184_marquee
Object 185	obj185_lobby
Object 186	obj186_entrance
Object 187	obj187_movie_theater
Object 188	obj188_Rotary_East
Object 189	obj189_books_and_photographs
Object 190	obj190_scrawled_message
Object 191	obj191_steel_key
Object 192	obj192_bookcase
Object 193	obj193_Cottage
Object 194	obj194_open_grave
Object 195	obj195_old_bone
Object 196	obj196_Alexis
Object 197	obj197_hellhound
Object 198	obj198_poodle
Object 199	obj199_cottage_door
Object 200	obj200_cottage
Object 201	obj201_Outside_Cottage
Object 202	obj202_cemetery
Object 203	obj203_iron_gate
Object 204	obj204_Outside_Cemetery
Object 205	obj205_wanted_poster
Object 206	obj206_service_counter
Object 207	obj207_window
Object 208	obj208_drawbridge
Object 209	obj209_tower
Object 210	obj210_hill
Object 211	obj211_Post_Office_door
Object 212	obj212_Post_Office
Object 213	obj213_old_woman
Object 214	obj214_Lighthouse
Object 215	obj215_pelican
Object 216	obj216_dead_seahorse
Object 217	obj217_Wharf_s_End
Object 218	obj218_seahorse
Object 219	obj219_Miss_Voss_s_things
Object 220	obj220_Rotary_South
Object 221	obj221_Miss_Voss
Object 222	obj222_Police_Station
Object 223	obj223_Sgt__MacGuffin
Object 224	obj224_Spooky_Copse
Object 225	obj225_gravedigger
Object 226	obj226_Post_Office
Object 227	obj227_Mr__Crisp
Object 228	obj228_direction
Object 229	obj229_them
Object 230	obj230_him
Object 231	obj231_her
Object 232	obj232_sound
Object 233	obj233_corner
Object 234	obj234_sign
Object 235	obj235_room
Object 236	obj236_yourself
Object 237	obj237_Hilltop
Object 238	obj238_yourself
Object 239	obj239_your_hand
Object 240	obj240_ceiling
Object 241	obj241_wall
Object 242	obj242_road
Object 243	obj243_ground
Object 244	obj244_dust
Object 245	obj245_it
Object 246	obj246_pseudo
Object 247	obj247_number
Object 248	obj248
Object 249	obj249
Object 250	obj250
Object 251	obj251
Object 252	obj252_that
Object 253	obj253

Attribute 1	attrib1			! obj84_dead_branch
Attribute 2	attrib2			! obj34_chain obj41_hatch obj72_glass_case obj77_Magick_Shoppe_door obj86_toll_gate obj97_front_door obj118_stump obj128_iron_gate obj142_church_door obj152_circulation_desk obj156_library_door obj161_cell_door obj163_police_station_door obj186_entrance obj199_cottage_door obj203_iron_gate obj208_drawbridge obj211_Post_Office_door
Attribute 4	attrib4			! obj11_big_mailbox obj31_torture_machine obj33_white_lab_coat obj44_moat obj48_bottle obj49_refrigerator obj55_umbrella obj57_open_grave obj66_squashed_can obj67_metal_can obj69_mysterious_envelope obj70_mysterious_envelope obj72_glass_case obj75_grandfather_clock obj95_little_mailbox obj101_conch_shell obj106_slot obj109_game_machine obj115_bay obj122_river obj126_pit obj129_lake obj134_thick_blanket obj146_sculpture obj147_display_case obj148_fossil_exhibit obj171_fountain obj179_carton obj194_open_grave
Attribute 6	attrib6			! obj16_wizard_s_hat obj22_first_switch obj23_second_switch obj35_medical_instrument obj48_bottle obj49_refrigerator obj61_tombstone obj66_squashed_can obj67_metal_can obj68_letter obj69_mysterious_envelope obj70_mysterious_envelope obj73_naughty_jokes obj75_grandfather_clock obj90_sign obj96_leaflet obj103_brass_token obj106_slot obj107_blinking_star obj108_video_screen obj109_game_machine obj127_sand obj151_clutter_of_books obj155_violet_note obj163_police_station_door obj178_schedule obj179_carton obj184_marquee obj189_books_and_photographs obj190_scrawled_message obj191_steel_key obj205_wanted_poster obj219_Miss_Voss_s_things obj234_sign
Attribute 7	attrib7			! obj250
Attribute 8	attrib8			! obj19_Misty_Island obj37_Vestibule obj85_Cliff_Bottom obj89_North_of_Bridge obj91_Bridge obj93_South_of_Bridge obj94_Rocky_Path obj102_Tidal_Pool obj116_Pleasure_Wharf obj123_River_Outlet obj130_Lake_Edge obj173_Park obj214_Lighthouse obj217_Wharf_s_End obj250
Attribute 9	attrib9			! obj250
Attribute 10	attrib10		! obj250
Attribute 11	attrib11		! obj139_candle obj250
Attribute 12	attrib12		! obj17_Throne_Room obj28_Laboratory obj36_Torture_Chamber obj37_Vestibule obj42_Round_Chamber obj51_Grue_s_Nest obj52_Underground obj53_Underground obj54_Underground obj76_Magick_Shoppe obj91_Bridge obj111_Video_Arcade obj132_Underground obj137_Jail_Cell obj141_Church obj150_Museum obj154_Circulation_Desk obj177_Inside_Theater obj182_Theater_Lobby obj193_Cottage obj222_Police_Station obj226_Post_Office obj250
Attribute 13	attrib13		! obj2_darkness obj3_Advice obj4_Luck obj5_Foresight obj6_rain obj7_Freedom obj8_Flight obj250
Attribute 14	attrib14		! obj34_chain obj72_glass_case obj75_grandfather_clock obj128_iron_gate obj147_display_case obj152_circulation_desk obj156_library_door obj161_cell_door obj186_entrance obj250
Attribute 15	attrib15		! obj9_small_stone obj32_rusty_key obj87_troll obj143_church obj239_your_hand obj250
Attribute 16	attrib16		! obj1_moon obj10_boots obj12_that obj13_crowd obj14_King_Anatinus obj15_Princess_Tasmania obj18_castle obj22_first_switch obj23_second_switch obj24_control_panel obj25_chemicals obj27_antique_telescope obj30_lever obj31_torture_machine obj32_rusty_key obj33_white_lab_coat obj34_chain obj35_medical_instrument obj38_metal_crank obj39_series_of_paintings obj40_ladder obj41_hatch obj43_stairway obj44_moat obj45_debris obj47_grue_milk obj49_refrigerator obj50_little_beast obj56_willow_tree obj57_open_grave obj60_eldritch_vapor obj64_Chaos obj65_false_bottom obj71_curtain obj72_glass_case obj73_naughty_jokes obj74_magic_tricks obj75_grandfather_clock obj77_Magick_Shoppe_door obj82_vulture obj86_toll_gate obj87_troll obj88_cliff obj90_sign obj92_covered_bridge obj95_little_mailbox obj97_front_door obj98_house obj100_lighthouse obj103_brass_token obj104_big_red_button obj105_joystick obj106_slot obj107_blinking_star obj108_video_screen obj109_game_machine obj110_stunted_humanoids obj112_sharks obj113_sand obj115_bay obj118_stump obj121_trail obj122_river obj124_platypus obj125_pile_of_leaves obj126_pit obj127_sand obj128_iron_gate obj129_lake obj131_island obj133_bunk obj135_bunk obj136_hole obj138_debris obj140_speaker obj142_church_door obj143_church obj145_old_woman obj146_sculpture obj147_display_case obj148_fossil_exhibit obj149_exhibits obj151_clutter_of_books obj152_circulation_desk obj153_museum obj156_library_door obj157_library obj158_piece_of_chocolate obj159_police_radio obj160_desk obj161_cell_door obj162_cell obj163_police_station_door obj164_police_station obj166_village obj167_statue obj168_piranha obj169_goldfish obj170_gold_coin obj171_fountain obj172_tree obj175_seat obj176_aisle obj178_schedule obj179_carton obj180_movie_screen obj181_corridor obj183_ticket obj184_marquee obj185_lobby obj186_entrance obj187_movie_theater obj189_books_and_photographs obj190_scrawled_message obj194_open_grave obj196_Alexis obj199_cottage_door obj200_cottage obj202_cemetery obj203_iron_gate obj205_wanted_poster obj206_service_counter obj207_window obj208_drawbridge obj209_tower obj210_hill obj211_Post_Office_door obj212_Post_Office obj213_old_woman obj215_pelican obj219_Miss_Voss_s_things obj221_Miss_Voss obj223_Sgt__MacGuffin obj225_gravedigger obj227_Mr__Crisp obj232_sound obj233_corner obj234_sign obj238_yourself obj239_your_hand obj240_ceiling obj241_wall obj243_ground obj245_it obj250
Attribute 17	attrib17		! obj9_small_stone obj16_wizard_s_hat obj20_silver_whistle obj21_broom obj26_black_cat obj32_rusty_key obj33_white_lab_coat obj46_earthworm obj47_grue_milk obj48_bottle obj55_umbrella obj64_Chaos obj66_squashed_can obj67_metal_can obj68_letter obj69_mysterious_envelope obj70_mysterious_envelope obj84_dead_branch obj96_leaflet obj101_conch_shell obj103_brass_token obj117_horseshoe obj125_pile_of_leaves obj134_thick_blanket obj139_candle obj146_sculpture obj155_violet_note obj158_piece_of_chocolate obj170_gold_coin obj174_pair_of_3D_glasses obj183_ticket obj191_steel_key obj195_old_bone obj216_dead_seahorse obj218_seahorse obj250
Attribute 18	attrib18		! obj10_boots obj13_crowd obj14_King_Anatinus obj15_Princess_Tasmania obj26_black_cat obj50_little_beast obj64_Chaos obj82_vulture obj87_troll obj110_stunted_humanoids obj124_platypus obj145_old_woman obj168_piranha obj169_goldfish obj196_Alexis obj197_hellhound obj198_poodle obj213_old_woman obj215_pelican obj221_Miss_Voss obj223_Sgt__MacGuffin obj225_gravedigger obj227_Mr__Crisp obj236_yourself obj250
Attribute 19	attrib19		! obj17_Throne_Room obj19_Misty_Island obj28_Laboratory obj29_Fuzziness obj36_Torture_Chamber obj37_Vestibule obj42_Round_Chamber obj51_Grue_s_Nest obj52_Underground obj53_Underground obj54_Underground obj58_Open_Grave obj59_Twilight_Glen obj62_Creepy_Corner obj63_End_of_Story obj76_Magick_Shoppe obj79_Cliff_Edge obj80_Steep_Trail obj81_Fog obj85_Cliff_Bottom obj89_North_of_Bridge obj91_Bridge obj93_South_of_Bridge obj94_Rocky_Path obj99_West_of_House obj102_Tidal_Pool obj111_Video_Arcade obj116_Pleasure_Wharf obj120_Lookout_Hill obj123_River_Outlet obj130_Lake_Edge obj132_Underground obj137_Jail_Cell obj141_Church obj144_Rotary_North obj150_Museum obj154_Circulation_Desk obj165_Rotary_West obj173_Park obj177_Inside_Theater obj182_Theater_Lobby obj188_Rotary_East obj193_Cottage obj201_Outside_Cottage obj204_Outside_Cemetery obj214_Lighthouse obj217_Wharf_s_End obj220_Rotary_South obj222_Police_Station obj224_Spooky_Copse obj226_Post_Office obj237_Hilltop obj250
Attribute 20	attrib20		! obj17_Throne_Room obj19_Misty_Island obj28_Laboratory obj29_Fuzziness obj36_Torture_Chamber obj37_Vestibule obj42_Round_Chamber obj58_Open_Grave obj59_Twilight_Glen obj62_Creepy_Corner obj63_End_of_Story obj76_Magick_Shoppe obj79_Cliff_Edge obj80_Steep_Trail obj81_Fog obj85_Cliff_Bottom obj89_North_of_Bridge obj91_Bridge obj93_South_of_Bridge obj94_Rocky_Path obj99_West_of_House obj102_Tidal_Pool obj111_Video_Arcade obj116_Pleasure_Wharf obj120_Lookout_Hill obj123_River_Outlet obj130_Lake_Edge obj137_Jail_Cell obj139_candle obj141_Church obj144_Rotary_North obj154_Circulation_Desk obj165_Rotary_West obj173_Park obj177_Inside_Theater obj182_Theater_Lobby obj188_Rotary_East obj193_Cottage obj201_Outside_Cottage obj204_Outside_Cemetery obj214_Lighthouse obj217_Wharf_s_End obj220_Rotary_South obj222_Police_Station obj224_Spooky_Copse obj226_Post_Office obj237_Hilltop obj250
Attribute 21	attrib21		! obj27_antique_telescope obj46_earthworm obj55_umbrella obj57_open_grave obj60_eldritch_vapor obj128_iron_gate obj145_old_woman obj194_open_grave obj195_old_bone obj203_iron_gate obj213_old_woman obj245_it obj250
Attribute 22	attrib22		! obj16_wizard_s_hat obj33_white_lab_coat obj117_horseshoe obj134_thick_blanket obj174_pair_of_3D_glasses obj250
Attribute 23	attrib23		! obj44_moat obj48_bottle obj57_open_grave obj72_glass_case obj75_grandfather_clock obj134_thick_blanket obj147_display_case obj148_fossil_exhibit obj194_open_grave obj250
Attribute 24	attrib24		! obj250
Attribute 25	attrib25		! obj31_torture_machine obj33_white_lab_coat obj41_hatch obj44_moat obj57_open_grave obj66_squashed_can obj69_mysterious_envelope obj101_conch_shell obj106_slot obj109_game_machine obj115_bay obj122_river obj128_iron_gate obj129_lake obj134_thick_blanket obj142_church_door obj146_sculpture obj148_fossil_exhibit obj163_police_station_door obj171_fountain obj179_carton obj194_open_grave obj203_iron_gate obj211_Post_Office_door obj250
Attribute 26	attrib26		! obj15_Princess_Tasmania obj22_first_switch obj23_second_switch obj24_control_panel obj25_chemicals obj27_antique_telescope obj30_lever obj31_torture_machine obj34_chain obj35_medical_instrument obj38_metal_crank obj39_series_of_paintings obj49_refrigerator obj65_false_bottom obj75_grandfather_clock obj82_vulture obj113_sand obj115_bay obj118_stump obj122_river obj124_platypus obj127_sand obj129_lake obj135_bunk obj147_display_case obj148_fossil_exhibit obj151_clutter_of_books obj167_statue obj168_piranha obj169_goldfish obj179_carton obj189_books_and_photographs obj197_hellhound obj198_poodle obj215_pelican obj219_Miss_Voss_s_things obj234_sign obj250
Attribute 27	attrib27		! obj43_stairway obj50_little_beast obj83_gnarled_tree_trunk obj100_lighthouse obj134_thick_blanket obj135_bunk obj146_sculpture obj152_circulation_desk obj160_desk obj175_seat obj192_bookcase obj206_service_counter obj243_ground obj250
Attribute 28	attrib28		! obj66_squashed_can obj143_church obj185_lobby obj236_yourself obj239_your_hand obj240_ceiling obj241_wall obj245_it obj250
Attribute 29	attrib29		! obj238_yourself obj250
Attribute 30	attrib30		! obj9_small_stone obj16_wizard_s_hat obj23_second_switch obj26_black_cat obj38_metal_crank obj75_grandfather_clock obj79_Cliff_Edge obj80_Steep_Trail obj87_troll obj101_conch_shell obj118_stump obj125_pile_of_leaves obj128_iron_gate obj143_church obj155_violet_note obj156_library_door obj168_piranha obj174_pair_of_3D_glasses obj183_ticket obj195_old_bone obj198_poodle obj215_pelican obj250
Attribute 31	attrib31		! obj2_darkness obj3_Advice obj4_Luck obj5_Foresight obj6_rain obj7_Freedom obj8_Flight obj10_boots obj12_that obj14_King_Anatinus obj15_Princess_Tasmania obj17_Throne_Room obj19_Misty_Island obj42_Round_Chamber obj47_grue_milk obj60_eldritch_vapor obj64_Chaos obj73_naughty_jokes obj74_magic_tricks obj110_stunted_humanoids obj196_Alexis obj219_Miss_Voss_s_things obj221_Miss_Voss obj223_Sgt__MacGuffin obj227_Mr__Crisp obj229_them obj230_him obj231_her obj232_sound obj236_yourself obj238_yourself obj239_your_hand obj245_it obj250 obj252_that

Property 7	prop7:?
Property 8	prop8:?
Property 9	prop9:?
Property 10	prop10:?
Property 11	prop11:?
Property 12	prop12:?
Property 13	prop13:string
Property 14	prop14:thing
Property 15	prop15:?
Property 16	prop16:?
Property 17	prop17:?
Property 18	prop18:dictwords
Property 19	out_to:exit
Property 20	betwee_to:exit
Property 21	d_to:exit
Property 22	u_to:exit
Property 24	left_to:exit
Property 26	s_to:exit
Property 28	e_to:exit
Property 30	n_to:exit
Property 31	prop31:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'ne'/'northe'/'northw'/'nw'/'se'/'southe'/'southw'/'sw'
Action 1	Action1		! 'verbos'
Action 2	Action2		! 'brief'
Action 3	Action3		! 'super'/'superb'
Action 4	Action4		! 'i//'/'invent'
Action 5	Action5		! 'q//'/'quit'
Action 6	Action6		! 'restar'
Action 7	Action7		! 'restor'
Action 8	Action8		! 'save'
Action 9	Action9		! 'save' object
				! 'aid'/'help' object
				! 'preser'/'rescue' attrib18
Action 10	Action10	! 'score'
Action 11	Action11	! 'script'
Action 12	Action12	! 't//'/'time'
Action 13	Action13	! 'unscri'
Action 14	Action14	! 'versio'
Action 15	Action15	! '$ve' object
				! '$ve'
Action 16	Action16	! 'again'/'g//'
Action 17	Action17	! 'answer'/'reply'/'respon' 'toward'/'to' attrib18
				! 'answer'/'reply'/'respon' attrib18
Action 18	Action18	! 'ask'/'interr'/'query'/'questi'/'quiz' attrib18
Action 19	Action19	! 'ask'/'interr'/'query'/'questi'/'quiz' attrib18 'about' object
Action 20	Action20	! 'ask'/'interr'/'query'/'questi'/'quiz' attrib18 'for' object
Action 21	Action21	! 'assaul'/'attack'/'fight'/'hurt'/'injure' attrib18(in_room,on_ground) 'with'/'using' attrib5(held,carried,have)
				! 'assaul'/'attack'/'fight'/'hurt'/'injure' attrib18(in_room,on_ground)
				! 'hit'/'kill'/'murder'/'punch'/'slap'/'slay'/'stab'/'strike'/'whack'/'wound' attrib18(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'hit'/'kill'/'murder'/'punch'/'slap'/'slay'/'stab'/'strike'/'whack'/'wound' attrib18(in_room,on_ground)
				! 'knock'/'pound'/'rap' 'down'/'d//' attrib18(in_room,on_ground)
Action 22	Action22	! 'back'
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'behind' object
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'around'/'along' attrib19
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk'
Action 23	Action23	! 'bite' object
Action 24	Action24	! 'blow' 'thru'/'throug' object
				! 'blow' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'blow' object
Action 25	Action25	! 'blow' 'up'/'u//' object
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' 'thru'/'throug' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' 'thru'/'throug' object(in_room,on_ground)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck'  object(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck'  object(in_room,on_ground)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' object(in_room,on_ground) 'off' object(in_room,on_ground)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' object(in_room,on_ground)
