! Auto-generated by Reform.

MD5	ee2242e155fd8910921b0f8e04019a3a
Object 126	obj126__Alike_Maze_9_
Object 127	obj127__Dead_End_4_
Object 128	obj128__Alike_Maze_10_
Object 129	obj129__Dead_End_5_
Object 130	obj130_At_Brink_of_Pit
Object 131	obj131_massive_orange_column
Object 132	obj132_pit
Object 133	obj133__Dead_End_6_
Object 134	obj134_At_Complex_Junction
Object 135	obj135_Bedquilt
Object 136	obj136_In_Swiss_Cheese_Room
Object 137	obj137_bedrock_block
Object 138	obj138_At_West_End_of_Twopit_Room
Object 139	obj139_beanstalk
Object 140	obj140_hole_above_pit
Object 141	obj141_In_West_Pit
Object 142	obj142_plant
Object 143	obj143_At_East_End_of_Twopit_Room
Object 144	obj144_thin_rock_slabs
Object 145	obj145_In_East_Pit
Object 146	obj146_pool_of_oil
Object 147	obj147_hole_above_pit
Object 148	obj148_Slab_Room
Object 149	obj149_slab
Object 150	obj150_boulders
Object 151	obj151_Secret_N_S_Canyon
Object 152	obj152_Secret_N_S_Canyon
Object 153	obj153_Junction_of_Three_Secret_Canyons
Object 154	obj154_Large_Low_Room
Object 155	obj155_Dead_End_Crawl
Object 156	obj156_Secret_E_W_Canyon_Above_Tight_Canyon
Object 157	obj157_N_S_Canyon
Object 158	obj158_Canyon_Dead_End
Object 159	obj159_In_Tall_E_W_Canyon
Object 160	obj160_Atop_Stalactite
Object 161	obj161_stalactite
Object 162	obj162_Secret_Canyon
Object 163	obj163_dragon
Object 164	obj164_Persian_rug
Object 165	obj165_dragon_s_body
Object 166	obj166__Dead_End_8_
Object 167	obj167__Alike_Maze_11_
Object 168	obj168__Dead_End_9_
Object 169	obj169__Dead_End_10_
Object 170	obj170__Alike_Maze_12_
Object 171	obj171__Alike_Maze_13_
Object 172	obj172__Dead_End_11_
Object 173	obj173__Dead_End_12_
Object 174	obj174__Alike_Maze_14_
Object 175	obj175__Dead_End_13_
Object 176	obj176_treasure_chest
Object 177	obj177_In_Narrow_Corridor
Object 178	obj178_leaves
Object 179	obj179_Steep_Incline_Above_Large_Room
Object 180	obj180_Giant_Room
Object 181	obj181_scrawled_inscription
Object 182	obj182_nest_of_golden_eggs
Object 183	obj183_Recent_Cave_in
Object 184	obj184_Immense_N_S_Passage
Object 185	obj185_rusty_door
Object 186	obj186_In_Cavern_With_Waterfall
Object 187	obj187_waterfall
Object 188	obj188_jeweled_trident
Object 189	obj189_In_Soft_Room
Object 190	obj190_carpet
Object 191	obj191_curtains
Object 192	obj192_moss
Object 193	obj193_velvet_pillow
Object 194	obj194_Oriental_Room
Object 195	obj195_ancient_oriental_drawings
Object 196	obj196_ming_vase
Object 197	obj197_some_worthless_shards_of_pottery
Object 198	obj198_Misty_Cavern
Object 199	obj199_fissure
Object 200	obj200_Alcove
Object 201	obj201_Plover_Room
Object 202	obj202_emerald_the_size_of_a_plover_s_egg
Object 203	obj203_The_Dark_Room
Object 204	obj204_stone_tablet
Object 205	obj205_platinum_pyramid
Object 206	obj206_Arched_Hall
Object 207	obj207_Shell_Room
Object 208	obj208_giant_clam
Object 209	obj209_glistening_pearl
Object 210	obj210_Ragged_Corridor
Object 211	obj211_Cul_de_Sac
Object 212	obj212_In_Anteroom
Object 213	obj213_sign
Object 214	obj214_recent_issues_of__Spelunker_Today_
Object 215	obj215_At_Witt_s_End
Object 216	obj216_In_Mirror_Canyon
Object 217	obj217_suspended_mirror
Object 218	obj218_At_Window_on_Pit
Object 219	obj219_At_Reservoir
Object 220	obj220_Sloping_Corridor
Object 221	obj221_On_SW_Side_of_Chasm
Object 222	obj222_rickety_bridge
Object 223	obj223_burly_troll
Object 224	obj224_wreckage_of_bridge
Object 225	obj225_On_NE_Side_of_Chasm
Object 226	obj226_In_Corridor
Object 227	obj227_At_Fork_in_Path
Object 228	obj228_At_Junction_With_Warm_Walls
Object 229	obj229_At_Breath_Taking_View
Object 230	obj230_active_volcano
Object 231	obj231_sparks_of_ash
Object 232	obj232_jagged_roof
Object 233	obj233_deep_gorge
Object 234	obj234_river_of_fire
Object 235	obj235_immense_geyser
Object 236	obj236_In_Chamber_of_Boulders
Object 237	obj237_boulders
Object 238	obj238_rare_spices
Object 239	obj239_In_Limestone_Passage
Object 240	obj240_limestone_formations
Object 241	obj241_In_Front_of_Barren_Room
Object 242	obj242_caution_sign
Object 243	obj243_In_Barren_Room
Object 244	obj244_dust
Object 245	obj245_large_cave_bear
Object 246	obj246_golden_chain
Object 247	DiffmazeRoom
Object 248	obj248__Different_Maze_1_
Object 249	obj249__Different_Maze_2_
Object 250	obj250__Different_Maze_3_
Object 251	obj251__Different_Maze_4_
Object 252	obj252__Different_Maze_5_
Object 253	obj253__Different_Maze_6_
Object 254	obj254__Different_Maze_7_
Object 255	obj255__Different_Maze_8_
Object 256	obj256__Different_Maze_9_
Object 257	obj257__Different_Maze_10_
Object 258	obj258__Different_Maze_11_
Object 259	obj259__Dead_End_14_
Object 260	obj260_message_in_the_dust
Object 261	obj261_vending_machine
Object 262	obj262_fresh_batteries
Object 263	obj263_worn_out_batteries
Object 264	obj264_threatening_little_dwarf
Object 265	obj265_dwarvish_axe
Object 266	obj266__Pirate_
Object 267	obj267__cave_closer_
Object 268	obj268__endgame_timer_
Object 269	obj269_NE_End_of_Repository
Object 270	obj270_enormous_mirror
Object 271	obj271_collection_of_adventure_game_materials
Object 272	obj272_sleeping_dwarves
Object 273	obj273_SW_End_of_Repository
Object 274	obj274_steel_grate
Object 275	obj275_collection_of_adventure_game_materials
Object 276	obj276_black_rod_with_a_rusty_mark_on_the_end

Attribute 0	animate			! obj20__self_object_ obj65_little_bird obj91_snake obj163_dragon obj223_burly_troll obj245_large_cave_bear obj264_threatening_little_dwarf obj272_sleeping_dwarves
Attribute 1	absent			! obj81_crystal_bridge obj139_beanstalk obj224_wreckage_of_bridge
Attribute 3	concealed		! obj6_compass obj20__self_object_
Attribute 4	container		! obj43_small_bottle obj58_wicker_cage
Attribute 5	door			! obj54_steel_grate obj81_crystal_bridge obj185_rusty_door obj222_rickety_bridge obj274_steel_grate
Attribute 6	edible			! obj41_tasty_food obj192_moss
Attribute 9	light			! Aboveground obj29_At_End_Of_Road obj34_At_Hill_In_Road obj37_Inside_Building obj46_In_Forest obj47_In_Forest obj48_In_A_Valley obj50_At_Slit_In_Streambed obj52_Outside_Grate obj55_Below_the_Grate obj57_In_Cobble_Crawl obj201_Plover_Room obj229_At_Breath_Taking_View obj269_NE_End_of_Repository obj273_SW_End_of_Repository
Attribute 10	lockable		! obj54_steel_grate obj246_golden_chain
Attribute 11	locked			! obj54_steel_grate obj185_rusty_door obj246_golden_chain obj274_steel_grate
Attribute 14	open			! obj43_small_bottle obj58_wicker_cage obj81_crystal_bridge obj222_rickety_bridge
Attribute 15	openable		! obj54_steel_grate obj58_wicker_cage obj103_window obj274_steel_grate
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj23__Library_Extensions_
Attribute 17	scenery			! CompassDirection obj7_north obj8_south obj9_east obj10_west obj11_northeast obj12_northwest obj13_southeast obj14_southwest obj15_up_above obj16_ground obj17_inside obj18_outside Scenic obj30_well_house obj31_stream obj32_road obj33_forest obj35_hill obj36_other_side_of_hill obj38_spring obj39_pair_of_1_foot_diameter_sewer_pipes obj49_streambed obj51_2_inch_slit obj53_20_foot_depression obj56_cobbles obj60_debris obj61_note obj67_small_pit obj68_crack obj69_mist obj71_wide_stone_staircase obj72_rough_stone_steps obj73_dome obj75_note obj82_fissure obj87_crossover obj99__Y2__rock PitScenic obj103_window obj104_huge_pit obj105_marks_in_the_dust obj106_shadowy_figure obj109_small_pit obj111_tiny_slits obj113_dusty_rocks obj131_massive_orange_column obj132_pit obj137_bedrock_block obj140_hole_above_pit obj144_thin_rock_slabs obj146_pool_of_oil obj147_hole_above_pit obj149_slab obj150_boulders obj161_stalactite obj178_leaves obj181_scrawled_inscription obj187_waterfall obj190_carpet obj191_curtains obj192_moss obj195_ancient_oriental_drawings obj199_fissure obj230_active_volcano obj231_sparks_of_ash obj232_jagged_roof obj233_deep_gorge obj234_river_of_fire obj235_immense_geyser obj237_boulders obj240_limestone_formations obj242_caution_sign obj244_dust obj260_message_in_the_dust obj261_vending_machine obj271_collection_of_adventure_game_materials obj272_sleeping_dwarves obj275_collection_of_adventure_game_materials
Attribute 19	static			! obj54_steel_grate obj81_crystal_bridge obj139_beanstalk obj165_dragon_s_body obj185_rusty_door obj204_stone_tablet obj213_sign obj217_suspended_mirror obj222_rickety_bridge obj224_wreckage_of_bridge obj270_enormous_mirror obj274_steel_grate
Attribute 20	supporter		! obj99__Y2__rock
Attribute 21	switchable		! obj42_brass_lantern
Attribute 23	transparent		! obj20__self_object_ obj58_wicker_cage
Attribute 31	nodwarf			! Aboveground obj29_At_End_Of_Road obj34_At_Hill_In_Road obj37_Inside_Building obj46_In_Forest obj47_In_Forest obj48_In_A_Valley obj50_At_Slit_In_Streambed obj52_Outside_Grate obj59_In_Debris_Room obj63_Sloping_E_W_Canyon obj64_Orange_River_Chamber obj66_At_Top_of_Small_Pit obj110_In_Pit obj141_In_West_Pit obj145_In_East_Pit obj175__Dead_End_13_ obj203_The_Dark_Room obj225_On_NE_Side_of_Chasm obj226_In_Corridor obj227_At_Fork_in_Path obj228_At_Junction_With_Warm_Walls obj236_In_Chamber_of_Boulders obj239_In_Limestone_Passage obj241_In_Front_of_Barren_Room obj243_In_Barren_Room obj259__Dead_End_14_
Attribute 33	multitude		! obj33_forest obj56_cobbles obj72_rough_stone_steps obj80_diamonds obj97_rare_coins obj105_marks_in_the_dust obj111_tiny_slits obj113_dusty_rocks obj144_thin_rock_slabs obj150_boulders obj182_nest_of_golden_eggs obj195_ancient_oriental_drawings obj197_some_worthless_shards_of_pottery obj214_recent_issues_of__Spelunker_Today_ obj231_sparks_of_ash obj237_boulders obj238_rare_spices obj240_limestone_formations obj272_sleeping_dwarves

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:?
Property 6	life:?
Property 7	n_to:thing
Property 8	s_to:thing
Property 9	e_to:thing
Property 10	w_to:thing
Property 11	ne_to:thing
Property 12	nw_to:?
Property 13	se_to:?
Property 14	sw_to:thing
Property 15	u_to:thing
Property 16	d_to:thing
Property 17	in_to:thing
Property 18	out_to:thing
Property 19	door_to:?
Property 20	with_key:?
Property 21	door_dir:?
Property 24	add_to_scope:?
Property 29	orders:?
Property 30	initial:thing
Property 31	when_open:string
Property 32	when_closed:string
Property 33	when_on:string
Property 34	when_off:string
Property 35	description:thing
Property 36	describe:?
Property 37	article:string
Property 38	cant_go:string
Property 39	found_in:?
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:string
Property 43	daemon:string
Property 44	each_turn:dictword
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:?
Property 72	compass_look:?
Property 73	before_implicit:dictword
Property 74	parse_input:routine
Property 75	play:routine
Property 76	end_turn_sequence:routine
Property 77	begin_action:routine
Property 78	RunAll:routine
Property 79	RunUntil:routine
Property 80	RunWhile:routine
Property 81	ext_initialise:?
Property 82	ext_messages:?
Property 83	depositpoints:?
Property 84	replace_batteries:?
Property 85	power_remaining:?
Property 86	height:?
Property 87	is_being_attacked:?
Property 88	has_been_opened:?
Property 89	has_caught_treasure:?
Property 90	is_following_you:?
Property 91	is_friendly:?
Property 92	have_been_used:?
Property 93	has_thrown_axe:?
Property 94	is_near_bear:?
Property 95	has_stolen_something:?
Property 96	has_been_spotted:?
Property 97	wake_up:string

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Look		! 'l//'/'look'
Action 1	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 2	Ask		! 'ask' creature 'about' topic
Action 3	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 4	Blow		! 'blow' held
Action 5	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 6	Buy		! 'buy'/'purchase' noun
Action 7	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 8	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 9	CommandsOff	! 'recording' 'off'
Action 10	CommandsOn	! 'recording'
				! 'recording' 'on'
Action 11	CommandsRead	! 'replay'
Action 12	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'l//'/'look' 'up' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
Action 13	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 14	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 15	Disrobe		! 'carry'/'hold'/'take' 'off' worn
				! 'disrobe'/'doff'/'shed' held
				! 'remove' held
Action 16	Drink		! 'drink'/'sip'/'swallow' noun
Action 17	Drop		! 'put' 'down' multiheld
				! 'put' multiheld 'down'
				! 'discard'/'drop'/'throw' multiheld
Action 18	Eat		! 'eat' held
Action 19	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 20	Enter		! 'stand' 'on' noun
				! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
				! 'cross'/'enter' noun
Action 21	Examine		! 'read' noun
				! 'l//'/'look' 'at' noun
				! 'l//'/'look' noun=routine89860
				! 'l//'/'look' 'to' noun=routine89860
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
Action 22	Exit		! 'stand'
				! 'stand' 'up'
				! 'leave' noun
				! 'get' 'out'/'off'/'up'
				! 'exit'/'out'/'outside'
				! 'exit'/'out'/'outside' noun
Action 23	Fill		! 'fill' noun
Action 24	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 25	GetOff		! 'get' 'off' noun
Action 26	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 27	Go		! 'leave' noun=routine89860
				! 'go'/'run'/'walk' noun=routine89860
Action 28	Insert		! 'put' multiexcept 'in'/'inside'/'into' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
Action 29	Inv		! 'carry'/'hold'/'take' 'inventory'
				! 'i//'/'inv'/'inventory'
Action 30	Jump		! 'hop'/'jump'/'skip'
Action 31	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 32	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 33	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 34	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 35	LMode1		! 'brief'/'normal'
Action 36	LMode2		! 'long'/'verbose'
Action 37	LMode3		! 'short'/'superbrie'
Action 38	Lock		! 'lock' noun 'with' held
Action 39	LookUnder	! 'l//'/'look' 'under' noun
Action 40	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 41	No		! 'no'
Action 42	Yes		! 'y//'/'yes'
Action 43	NotifyOff	! 'notify' 'off'
Action 44	NotifyOn	! 'notify'
				! 'notify' 'on'
Action 45	Objects		! 'objects'
Action 46	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 47	Places		! 'places'
Action 48	Pray		! 'pray'
Action 49	Pronouns	! 'nouns'/'pronouns'
Action 50	Pull		! 'drag'/'pull' noun
Action 51	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 52	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 53	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 54	PutOn		! 'put' multiexcept 'on'/'onto' noun
				! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
Action 55	Quit		! 'die'/'q//'/'quit'
Action 56	Remove		! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
				! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
Action 57	Restart		! 'restart'
Action 58	Restore		! 'restore'
Action 59	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 60	Save		! 'save'
Action 61	Score		! 'score'
Action 62	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 63	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 64	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through'/'on' noun
Action 65	Set		! 'adjust'/'set' noun
Action 66	SetTo		! 'adjust'/'set' noun 'to' special
Action 67	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 68	Sing		! 'sing'
Action 69	Sleep		! 'nap'/'sleep'
Action 70	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 71	Sorry		! 'sorry'
Action 72	Squeeze		! 'squash'/'squeeze' noun
Action 73	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 74	Swim		! 'dive'/'swim'
Action 75	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 76	SwitchOff	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 77	SwitchOn	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
				! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
Action 78	Take		! 'carry'/'hold'/'take' multi
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'peel' noun
				! 'peel' 'off' noun
				! 'get' multi
Action 79	Taste		! 'taste' noun
Action 80	Tell		! 'tell' creature 'about' topic
Action 81	Think		! 'think'
Action 82	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 83	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 84	Unlock		! 'unlock' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' 'apart'/'open' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' noun 'apart'/'open' 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
