! Auto-generated by Reform.

MD5	5e56a6e5cdeecded434a8fd8012fc2c6
Object 145	obj145_gate
Object 146	obj146_Extreme_South_Main_Street
Object 147	obj147_City_Generator
Object 148	obj148_generator_furnace
Object 149	obj149_generator
Object 150	obj150_lever
Object 151	obj151_Mining_Center
Object 152	obj152_Coal_Mines
Object 153	obj153_rock
Object 154	obj154_piece_of_coal
Object 155	obj155_Ore_Mines
Object 156	obj156_signs
Object 157	obj157_pickaxe
Object 158	obj158_Water_Works
Object 159	obj159_sign
Object 160	obj160_pipes
Object 161	obj161_wheel
Object 162	obj162_East_Royal_Road
Object 163	obj163_Lesser_Noble_s_Palace
Object 164	obj164_mosaics
Object 165	obj165_columns
Object 166	obj166_tapestries
Object 167	obj167_West_Royal_Road
Object 168	obj168_moss
Object 169	obj169_green_moss
Object 170	obj170_Greater_Noble_s_Palace
Object 171	obj171_gold_and_silver
Object 172	obj172_baths
Object 173	obj173_tapestries
Object 174	obj174_murals
Object 175	obj175_Outer_Court
Object 176	obj176_Throne_Room
Object 177	obj177_Luminous_Spirit
Object 178	obj178_tapestry
Object 179	obj179_throne
Object 180	obj180_arm_rests
Object 181	obj181_Railway_Station
Object 182	obj182_Smithy_Court
Object 183	obj183_Blacksmith
Object 184	obj184_bellows
Object 185	obj185_tear
Object 186	obj186_sharp_pick
Object 187	obj187_small_barrel
Object 188	obj188_oil_barrel
Object 189	obj189_anvil
Object 190	obj190_forge
Object 191	obj191_coal
Object 192	obj192_metal_scraps
Object 193	obj193_gear
Object 194	obj194_Silversmith
Object 195	obj195_silver_furnace
Object 196	obj196_anvil
Object 197	obj197_Carpenter_s_Shop
Object 198	obj198_furnishings
Object 199	obj199_Common_Forge
Object 200	obj200_forge
Object 201	obj201_Slag_Pit
Object 202	obj202_deep_pit
Object 203	obj203_Goldsmith
Object 204	obj204_mirror
Object 205	obj205_etching
Object 206	obj206_Railway_Station
Object 207	obj207_Soldiers__Barracks
Object 208	obj208_mounds
Object 209	obj209_Mess_Hall
Object 210	obj210_kitchen
Object 211	obj211_tables
Object 212	obj212_Training_Grounds
Object 213	obj213_mounds
Object 214	obj214_archery_range
Object 215	obj215_Armory
Object 216	obj216_suits_of_armor
Object 217	obj217_weapons
Object 218	obj218_Waterfall
Object 219	obj219_river
Object 220	obj220_intake_pipe
Object 221	obj221_metal_rod
Object 222	obj222_big_nest
Object 223	obj223_Terrock
Object 224	obj224_Railway_Station
Object 225	obj225_Treasury_Antechamber
Object 226	obj226_portraits
Object 227	obj227_vault_door
Object 228	obj228_The_Treasury
Object 229	obj229_wealth
Object 230	obj230_Shadow_Spirit
Object 231	obj231_Gold_Coin
Object 232	obj232_The_Common_Bank
Object 233	obj233_deposit_box
Object 234	obj234_large_key
Object 235	obj235_sign
Object 236	obj236_pamphlets
Object 237	obj237_pamphlet
Object 238	obj238_table
Object 239	obj239_booths
Object 240	obj240_chains
Object 241	obj241_Common_Vault
Object 242	obj242_memo
Object 243	obj243_Deephome_Entrance
Object 244	obj244_signpost
Object 245	obj245_Southern_Road
Object 246	obj246_Wooded_Path
Object 247	obj247_shallow_hole
Object 248	obj248_shallow_hole
Object 249	obj249_acorns
Object 250	obj250_squirrel
Object 251	obj251_large_tree
Object 252	obj252_Town_of_Ember
Object 253	obj253_Shops
Object 254	obj254_Ember_s_Town_Square
Object 255	obj255_Small_Shack
Object 256	obj256_bed
Object 257	obj257_chest
Object 258	obj258_net
Object 259	obj259_Ember_Tool_Shop
Object 260	obj260_Young_Man
Object 261	obj261_Theology_Book
Object 262	obj262_hammer
Object 263	obj263_tools
Object 264	obj264_Western_Road
Object 265	obj265_Great_Woods_Limits
Object 266	obj266_sign
Object 267	obj267_Forest
Object 268	obj268_Forest
Object 269	obj269_Forest
Object 270	obj270_Forest
Object 271	obj271_Forest
Object 272	obj272_Forest
Object 273	obj273_Forest
Object 274	obj274_Forest
Object 275	obj275_Forest
Object 276	obj276_Forest
Object 277	obj277_Forest
Object 278	obj278_Forest
Object 279	obj279_Forest_Clearing
Object 280	obj280_tree
Object 281	obj281_brook
Object 282	obj282_sign
Object 283	obj283_patch_of_clover
Object 284	obj284_four_leaf_clover
Object 285	obj285_Pond
Object 286	obj286_pond
Object 287	obj287_animals
Object 288	obj288_rushes
Object 289	obj289_water
Object 290	obj290_trees
Object 291	obj291_stream
Object 292	obj292_Eranti

Attribute 0	unlock			! obj186_sharp_pick
Attribute 3	happy			! obj87_Railway_Station obj94_N__Main_Street obj97_Clothier obj103_Bakery obj111_Scrivener_s obj117_S__Main_Street obj120_Dwarven_Library obj126_Great_Temple_of_Kraxis obj132_Intersection obj134_Eastern_Guard_Post obj137_City_Gates obj146_Extreme_South_Main_Street obj147_City_Generator obj151_Mining_Center obj152_Coal_Mines obj155_Ore_Mines obj158_Water_Works obj162_East_Royal_Road obj163_Lesser_Noble_s_Palace obj167_West_Royal_Road obj170_Greater_Noble_s_Palace obj175_Outer_Court obj176_Throne_Room obj181_Railway_Station obj182_Smithy_Court obj183_Blacksmith obj194_Silversmith obj197_Carpenter_s_Shop obj199_Common_Forge obj201_Slag_Pit obj203_Goldsmith obj206_Railway_Station obj207_Soldiers__Barracks obj209_Mess_Hall obj212_Training_Grounds obj215_Armory obj218_Waterfall obj224_Railway_Station obj225_Treasury_Antechamber obj228_The_Treasury obj232_The_Common_Bank obj243_Deephome_Entrance
Attribute 4	animate			! obj20__self_object_ obj60_Kraxis obj80_Dark_Spirit obj177_Luminous_Spirit obj223_Terrock obj230_Shadow_Spirit obj250_squirrel obj260_Young_Man obj292_Eranti
Attribute 5	absent			! obj110_water
Attribute 6	clothing		! obj73_shield
Attribute 7	concealed		! obj6_compass obj20__self_object_ obj59_ground obj60_Kraxis obj66_tree obj67_house obj68_mountain obj69_symbols obj74_fireplace obj75_table obj78_staircase obj82_magical_torches obj83_elevators obj85_stairways obj86_doors obj88_cables obj95_booths obj96_shops obj98_mannequins obj99_table obj100_chalk_lines obj101_tools obj102_slots obj104_ovens obj105_rotted_bags obj106_pipe obj107_cistern obj110_water obj112_desks obj116_chair obj118_library obj119_temple obj121_mural obj122_books obj123_stairs obj127_pig_headed_statue obj128_altar obj129_tiles obj130_murals obj131_dung obj133_sign_post obj135_heavy_doors obj136_weapons_racks obj138_chain obj139_control_panel obj140_hatch obj142_portcullis obj143_red_button obj144_lever obj148_generator_furnace obj149_generator obj150_lever obj153_rock obj154_piece_of_coal obj156_signs obj159_sign obj160_pipes obj161_wheel obj164_mosaics obj165_columns obj166_tapestries obj168_moss obj171_gold_and_silver obj172_baths obj173_tapestries obj174_murals obj178_tapestry obj179_throne obj180_arm_rests obj184_bellows obj185_tear obj187_small_barrel obj188_oil_barrel obj189_anvil obj190_forge obj192_metal_scraps obj195_silver_furnace obj196_anvil obj198_furnishings obj200_forge obj202_deep_pit obj204_mirror obj205_etching obj208_mounds obj210_kitchen obj211_tables obj213_mounds obj214_archery_range obj216_suits_of_armor obj217_weapons obj219_river obj220_intake_pipe obj221_metal_rod obj222_big_nest obj226_portraits obj229_wealth obj231_Gold_Coin obj234_large_key obj235_sign obj236_pamphlets obj237_pamphlet obj238_table obj239_booths obj240_chains obj244_signpost obj249_acorns obj251_large_tree obj256_bed obj257_chest obj261_Theology_Book obj263_tools obj280_tree obj281_brook obj282_sign obj283_patch_of_clover obj284_four_leaf_clover obj286_pond obj287_animals obj288_rushes obj289_water obj290_trees obj291_stream
Attribute 8	container		! obj71_cabinet obj89_rail_car obj109_bottle obj112_desks obj148_generator_furnace obj172_baths obj187_small_barrel obj188_oil_barrel obj190_forge obj195_silver_furnace obj222_big_nest obj233_deposit_box obj248_shallow_hole obj257_chest obj258_net
Attribute 9	door			! obj65_wooden_door obj145_gate obj227_vault_door
Attribute 11	enterable		! obj89_rail_car obj116_chair obj172_baths obj179_throne obj211_tables obj251_large_tree
Attribute 12	general			! obj292_Eranti
Attribute 13	light			! ORoom obj62_lantern obj81_magical_torch obj82_magical_torches obj168_moss obj169_green_moss obj243_Deephome_Entrance obj245_Southern_Road obj246_Wooded_Path obj252_Town_of_Ember obj253_Shops obj254_Ember_s_Town_Square obj255_Small_Shack obj259_Ember_Tool_Shop obj264_Western_Road obj265_Great_Woods_Limits obj267_Forest obj268_Forest obj269_Forest obj270_Forest obj271_Forest obj272_Forest obj273_Forest obj274_Forest obj275_Forest obj276_Forest obj277_Forest obj278_Forest obj279_Forest_Clearing obj285_Pond
Attribute 14	lockable		! obj227_vault_door
Attribute 15	locked			! obj65_wooden_door obj86_doors obj145_gate obj227_vault_door obj233_deposit_box obj257_chest
Attribute 18	open			! obj89_rail_car obj109_bottle obj142_portcullis obj172_baths obj187_small_barrel obj188_oil_barrel obj195_silver_furnace obj222_big_nest obj248_shallow_hole obj258_net
Attribute 19	openable		! obj65_wooden_door obj71_cabinet obj86_doors obj112_desks obj140_hatch obj145_gate obj148_generator_furnace obj190_forge obj227_vault_door obj233_deposit_box obj257_chest obj258_net
Attribute 20	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ TopicClass obj30_Elevator obj31_Name obj32_Spirit obj33_Deephome obj34_Eldantar obj35_Prophecy obj36_Kraxis obj37_Telleen obj38_Tiras obj39_Few obj40_Dwarves obj41_Elves obj42_Humans obj43_Indanaz obj44_Cholok obj45_Kebarn obj46_Hashar obj47_Ternalim obj48_Yetzuiz obj49_Partaim obj50_Manaz obj51_Squirrel obj52_Eranti obj53_Hammer obj54_Terrock obj60_Kraxis obj63_King_s_Order obj108_bottle_water obj124_Fresto_s_Excorcisms_and_Tasty_Hors_Devours obj125_Leshosh_s_Encyclopedia
Attribute 21	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj59_ground obj60_Kraxis obj66_tree obj67_house obj68_mountain obj69_symbols obj74_fireplace obj75_table obj78_staircase obj82_magical_torches obj83_elevators obj85_stairways obj86_doors obj88_cables obj90_buttons obj91_yellow_button obj92_green_button obj93_red_button obj95_booths obj96_shops obj98_mannequins obj99_table obj100_chalk_lines obj101_tools obj102_slots obj104_ovens obj105_rotted_bags obj106_pipe obj107_cistern obj108_bottle_water obj110_water obj112_desks obj116_chair obj118_library obj119_temple obj121_mural obj122_books obj123_stairs obj127_pig_headed_statue obj128_altar obj129_tiles obj130_murals obj131_dung obj133_sign_post obj135_heavy_doors obj136_weapons_racks obj138_chain obj139_control_panel obj140_hatch obj141_peg obj143_red_button obj144_lever obj148_generator_furnace obj149_generator obj150_lever obj153_rock obj156_signs obj159_sign obj160_pipes obj161_wheel obj164_mosaics obj165_columns obj166_tapestries obj168_moss obj171_gold_and_silver obj172_baths obj173_tapestries obj174_murals obj178_tapestry obj179_throne obj180_arm_rests obj184_bellows obj185_tear obj187_small_barrel obj188_oil_barrel obj189_anvil obj190_forge obj195_silver_furnace obj196_anvil obj198_furnishings obj200_forge obj202_deep_pit obj204_mirror obj205_etching obj208_mounds obj210_kitchen obj211_tables obj213_mounds obj214_archery_range obj216_suits_of_armor obj217_weapons obj219_river obj220_intake_pipe obj221_metal_rod obj222_big_nest obj226_portraits obj229_wealth obj235_sign obj236_pamphlets obj238_table obj239_booths obj240_chains obj244_signpost obj256_bed obj263_tools obj280_tree obj281_brook obj282_sign obj283_patch_of_clover obj286_pond obj287_animals obj288_rushes obj289_water obj290_trees obj291_stream
Attribute 22	scored			! Room obj64_Secret_Entrance obj70_Northern_Guard_Post obj77_Main_Hall obj84_Dwarven_Village obj87_Railway_Station obj94_N__Main_Street obj97_Clothier obj103_Bakery obj111_Scrivener_s obj117_S__Main_Street obj120_Dwarven_Library obj126_Great_Temple_of_Kraxis obj132_Intersection obj134_Eastern_Guard_Post obj137_City_Gates obj146_Extreme_South_Main_Street obj147_City_Generator obj151_Mining_Center obj152_Coal_Mines obj154_piece_of_coal obj155_Ore_Mines obj158_Water_Works obj162_East_Royal_Road obj163_Lesser_Noble_s_Palace obj167_West_Royal_Road obj170_Greater_Noble_s_Palace obj175_Outer_Court obj176_Throne_Room obj181_Railway_Station obj182_Smithy_Court obj183_Blacksmith obj194_Silversmith obj197_Carpenter_s_Shop obj199_Common_Forge obj201_Slag_Pit obj203_Goldsmith obj206_Railway_Station obj207_Soldiers__Barracks obj209_Mess_Hall obj212_Training_Grounds obj215_Armory obj218_Waterfall obj224_Railway_Station obj225_Treasury_Antechamber obj228_The_Treasury obj231_Gold_Coin obj232_The_Common_Bank obj241_Common_Vault
Attribute 23	static			! obj65_wooden_door obj71_cabinet obj80_Dark_Spirit obj89_rail_car obj113_pile_of_papers obj125_Leshosh_s_Encyclopedia obj142_portcullis obj145_gate obj177_Luminous_Spirit obj191_coal obj223_Terrock obj227_vault_door obj230_Shadow_Spirit obj233_deposit_box obj247_shallow_hole obj248_shallow_hole obj250_squirrel obj257_chest obj260_Young_Man obj266_sign
Attribute 24	supporter		! obj75_table obj141_peg obj179_throne obj189_anvil obj211_tables obj231_Gold_Coin obj247_shallow_hole
Attribute 25	switchable		! obj150_lever
Attribute 27	transparent		! obj20__self_object_ obj107_cistern obj139_control_panel obj141_peg obj233_deposit_box obj251_large_tree obj258_net obj260_Young_Man
Attribute 34	pluralname		! obj82_magical_torches obj85_stairways obj86_doors obj88_cables obj90_buttons obj95_booths obj96_shops obj98_mannequins obj100_chalk_lines obj101_tools obj102_slots obj104_ovens obj105_rotted_bags obj112_desks obj115_ashes obj116_chair obj122_books obj123_stairs obj129_tiles obj130_murals obj135_heavy_doors obj136_weapons_racks obj156_signs obj160_pipes obj164_mosaics obj165_columns obj166_tapestries obj172_baths obj173_tapestries obj174_murals obj191_coal obj192_metal_scraps obj198_furnishings obj205_etching obj208_mounds obj211_tables obj213_mounds obj216_suits_of_armor obj217_weapons obj226_portraits obj236_pamphlets obj239_booths obj240_chains obj249_acorns obj263_tools obj287_animals obj288_rushes obj290_trees obj291_stream

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:?
Property 6	life:string
Property 7	n_to:?
Property 8	s_to:?
Property 9	e_to:?
Property 10	w_to:?
Property 11	ne_to:?
Property 12	se_to:?
Property 13	nw_to:?
Property 14	sw_to:?
Property 15	u_to:?
Property 16	d_to:?
Property 19	door_to:string
Property 20	with_key:?
Property 21	door_dir:thing
Property 22	invent:string
Property 29	orders:?
Property 30	initial:thing
Property 31	when_open:string
Property 32	when_closed:string
Property 33	when_on:string
Property 34	when_off:string
Property 35	description:?
Property 36	describe:dictword
Property 37	article:string
Property 39	found_in:things
Property 41	number:?
Property 42	time_out:dictword
Property 43	daemon:?
Property 44	each_turn:string
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:?
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	damage:?
Property 77	counter:?
Property 78	Order:?
Property 79	order2:?
Property 80	Prayer1:?
Property 81	defense:?
Property 82	Hallturns:?
Property 83	shortname:string
Property 84	TurnsLeft:?
Property 85	position:?
Property 86	off:?
Property 87	IndanCounter:?
Property 88	scrapheat:?
Property 89	jumpcount:?
Property 90	intsertstuff:?
Property 91	attackcounter:?
Property 92	value:?
Property 93	health:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' noun 'over' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'lie'/'sit' 'at' noun
				! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'climb'/'scale' 'down'
				! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out' 'of' noun
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine63540
				! 'go'/'run'/'walk' noun=routine63540
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
				! 'l//'/'look'
Action 32	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun 'with' held
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
