! Auto-generated by Reform.

MD5	c043df8624e0e1e9fda92f1a74b6e402
Object 140	obj140_railroad_tracks
Object 141	obj141_train
Object 142	obj142_Shanty_Town
Object 143	obj143_row_of_dilapidated_shacks
Object 144	Shack
Object 145	obj145__1_Mill_Town_Road
Object 146	obj146__2_Mill_Town_Road
Object 147	obj147__3_Mill_Town_Road
Object 148	obj148__4_Mill_Town_Road
Object 149	obj149__5_Mill_Town_Road
Object 150	obj150__6_Mill_Town_Road
Object 151	obj151__7_Mill_Town_Road
Object 152	obj152__8_Mill_Town_Road
Object 153	obj153__9_Mill_Town_Road
Object 154	obj154__10_Mill_Town_Road
Object 155	obj155__11_Mill_Town_Road
Object 156	obj156__12_Mill_Town_Road
Object 157	obj157__11_Mill_Town_Road
Object 158	obj158_pale__frightened_woman
Object 159	obj159_shawl
Object 160	obj160_stove
Object 161	obj161_threadbare_cot
Object 162	obj162_overalls
Object 163	obj163_long_steel_key
Object 164	obj164_University_Court
Object 165	obj165_library
Object 166	obj166_Twisting_Lane
Object 167	obj167_brick_wall
Object 168	obj168_graffiti
Object 169	obj169_Whateley_Bridge
Object 170	obj170_parapets
Object 171	obj171_monster
Object 172	obj172_Town_Square
Object 173	obj173_grass
Object 174	obj174_stone_obelisk
Object 175	obj175_iron_ring
Object 176	obj176_hieroglyphs
Object 177	obj177_courthouse
Object 178	obj178__crowd_
Object 179	obj179_torches
Object 180	obj180_newspaper
Object 181	obj181_Courthouse
Object 182	obj182_office_door
Object 183	obj183_Courthouse_Basement
Object 184	obj184_Birth_Records
Object 185	obj185_Death_Records
Object 186	obj186_archives
Object 187	obj187_Side_Alley
Object 188	obj188_Riverwalk
Object 189	obj189_low_brick_wall
Object 190	obj190_rusty_gate
Object 191	obj191_Under_the_Bridge
Object 192	obj192_underside_of_the_bridge
Object 193	obj193_Miskaton_River
Object 194	obj194_small_metal_door
Object 195	obj195_Vacant_Lot
Object 196	obj196_filthy_mattress
Object 197	obj197_chain_link_fence
Object 198	obj198_bum
Object 199	obj199_small_copper_key
Object 200	obj200_Wharf
Object 201	obj201_fishing_boats
Object 202	obj202_old_tin
Object 203	obj203_fish_oil
Object 204	obj204_Dark_Corner
Object 205	obj205_Asylum_Courtyard
Object 206	obj206_asylum
Object 207	obj207_motto
Object 208	obj208_Chilly_Avenue
Object 209	obj209_clammy_mist
Object 210	obj210__gang_
Object 211	obj211_weapons
Object 212	obj212_Deserted_Lane
Object 213	obj213_whippoorwill
Object 214	obj214_Down_the_Road
Object 215	obj215_stump
Object 216	obj216_sapling
Object 217	obj217_Trampled_Path
Object 218	obj218_Abandoned_Slaughterhouse
Object 219	obj219_slaughterhouse
Object 220	obj220_Crumbled_Ruin
Object 221	obj221_footprints
Object 222	obj222_meat_hook
Object 223	obj223_tattered_drawing
Object 224	obj224_Old_Stone_Well
Object 225	obj225_old_stone_well
Object 226	obj226_wooden_cover
Object 227	obj227_In_the_Well
Object 228	obj228_children_s_bones
Object 229	obj229_teddy_bear
Object 230	obj230_Scenic_View
Object 231	obj231_Home
Object 232	obj232_Your_Bathroom
Object 233	obj233_counter
Object 234	obj234_home_pregnancy_test
Object 235	obj235_little_window
Object 236	obj236_Churchyard
Object 237	obj237_abandoned_church
Object 238	obj238_front_door
Object 239	obj239_boards
Object 240	obj240_Behind_the_Church
Object 241	obj241__padlock_
Object 242	obj242_trap_door
Object 243	obj243_shiny_new_padlock
Object 244	obj244_Church_Cellar
Object 245	obj245_decapitated_corpse
Object 246	obj246_small_steel_key
Object 247	obj247_wood_burning_furnace
Object 248	obj248_real_estate_agent_s_severed_head
Object 249	obj249_hatch
Object 250	obj250_Empty_Stairwell
Object 251	obj251__church_stairs_
Object 252	obj252_Broken_Stairs
Object 253	obj253_railing
Object 254	obj254_Vestibule
Object 255	obj255_hooded_robe
Object 256	obj256_Chapel
Object 257	obj257_pews
Object 258	obj258_broken_cross
Object 259	obj259_stained_glass_windows
Object 260	obj260_pulpit
Object 261	obj261_huge__black_tome
Object 262	obj262_illustrations
Object 263	obj263_Behind_the_Chapel
Object 264	obj264_Steeple
Object 265	obj265_square_hole
Object 266	obj266_narrow_window
Object 267	obj267_length_of_rope
Object 268	obj268_Hanging_From_the_Rope
Object 269	obj269_Verlac_mansion
Object 270	obj270_Outside_the_House
Object 271	obj271_driveway
Object 272	obj272_typewritten_notice
Object 273	obj273_brass_knocker
Object 274	obj274_front_door
Object 275	House
Object 276	obj276_Foyer
Object 277	obj277_luggage
Object 278	obj278_Upstairs_Landing
Object 279	obj279_Master_Bedroom
Object 280	obj280_sketches
Object 281	obj281_radiator
Object 282	obj282_four_poster_bed
Object 283	obj283_dressing_mirror
Object 284	obj284_Michael_s_pants
Object 285	obj285_wallet
Object 286	obj286_faculty_card
Object 287	obj287_Michael
Object 288	obj288_dried_mud
Object 289	obj289_Bathroom
Object 290	obj290_bathtub
Object 291	obj291_shower_attachment
Object 292	obj292_towel
Object 293	obj293_Upstairs_Hall
Object 294	obj294_trap_door
Object 295	obj295_cord
Object 296	obj296_rickety_wooden_ladder
Object 297	obj297_Children_s_Bedroom
Object 298	obj298_vanity_table
Object 299	obj299_jewelry_box
Object 300	obj300_silver_locket
Object 301	obj301_boy_s_picture
Object 302	obj302_bed
Object 303	obj303_crib
Object 304	obj304_ragged_hole
Object 305	obj305_bundle_of_soggy_pages
Object 306	obj306_scratches
Object 307	obj307_Library
Object 308	obj308_armchair
Object 309	obj309_bookshelves
Object 310	obj310__Poe_
Object 311	obj311_pipe_stand
Object 312	obj312__wards_
Object 313	obj313_safe
Object 314	obj314_puzzle_box
Object 315	obj315_strange_black_disk
Object 316	obj316_strange_metal_flute
Object 317	Flute_Hole
Object 318	obj318_first_flute_hole
Object 319	obj319_second_flute_hole
Object 320	obj320_third_flute_hole
Object 321	obj321_fourth_flute_hole
Object 322	obj322_fifth_flute_hole
Object 323	obj323_sixth_flute_hole
Object 324	obj324_seventh_flute_hole
Object 325	obj325_dial
Object 326	obj326_sliding_doors
Object 327	obj327_Study
Object 328	obj328_wooden_chair
Object 329	obj329_desk
Object 330	obj330_laptop
Object 331	obj331_screen
Object 332	obj332_letter_opener
Object 333	obj333_mantelpiece
Object 334	obj334_brass_sphere
Object 335	obj335_smudges
Object 336	obj336_drawer
Object 337	obj337__harmonies_
Object 338	obj338_walls
Object 339	Maze
Object 340	obj340__maze1_
Object 341	obj341__maze2_
Object 342	obj342__maze3_
Object 343	obj343__maze4_
Object 344	obj344__maze5_
Object 345	obj345_small_hole
Object 346	obj346_Observatory
Object 347	obj347_astronomical_charts
Object 348	obj348_telescope
Object 349	obj349_rectangular_slot
Object 350	obj350_Attic
Object 351	obj351_contraption
Object 352	obj352_door
Object 353	obj353_keyplate
Object 354	obj354_old_fashioned_brass_key
Object 355	obj355_Attic_Cell
Object 356	obj356_pile_of_straw
Object 357	obj357_gold_locket
Object 358	obj358_woman_s_picture
Object 359	obj359_pencil_marks
Object 360	obj360_Crawlspace
Object 361	obj361_oddly_angled_corridor
Object 362	obj362_Dining_Room
Object 363	obj363_dining_table
Object 364	obj364_china_cupboard
Object 365	obj365_velvet_lining
Object 366	obj366_torn_journal
Object 367	obj367_C_shaped_scratch
Object 368	obj368_Kitchen
Object 369	obj369_kitchen_counter
Object 370	obj370_flashlight
Object 371	obj371_cabinet
Object 372	obj372_book_of_matches
Object 373	obj373_back_door
Object 374	obj374_Back_Hall
Object 375	obj375_Gallery
Object 376	obj376_lamps
Object 377	obj377_paintings
Object 378	obj378_elements_of_the_paintings
Object 379	obj379_scene
Object 380	obj380_Sitting_Room
Object 381	obj381_portrait
Object 382	obj382_eyes
Object 383	obj383_sofa
Object 384	obj384_family_album
Object 385	obj385_hand_woven_rug
Object 386	obj386_Pantry
Object 387	obj387_shelves
Object 388	obj388_broom
Object 389	obj389_cellar_door
Object 390	obj390_Cellar
Object 391	obj391_exposed_wires
Object 392	obj392_sagging_timbers
Object 393	obj393_fuse_cabinet
Object 394	obj394_fuse_plugs
Object 395	obj395_Wine_Cellar
Object 396	obj396_wine_racks
Object 397	obj397_wine_bottles
Object 398	Bottle
Object 399	obj399_robust_Pinot_Noir
Object 400	obj400_light_Cheval_Blanc
Object 401	obj401_vintage_Cabernet_Sauvignon
Object 402	obj402_bottle_with_the_torn_label
Object 403	obj403_bottle_with_the_faded_label
Object 404	obj404_Storage
Object 405	obj405_crates_and_boxes
Object 406	obj406_cardboard_box
Object 407	obj407_newspaper_clippings
Object 408	obj408_a_sample_of_the_newspaper_clippings
Object 409	obj409__Arkham_Herald__August_12__1956_
Object 410	obj410__printed_notice_
Object 411	obj411__London_Times__March_3__1918_
Object 412	obj412__crumpled_flyer_
Object 413	obj413__obituary_
Object 414	obj414__Arkham_Herald__June_22__1973_
Object 415	obj415__Arkham_Herald__September_19__1958_
Object 416	obj416__photostatic_copy_
Object 417	obj417__Arkham_Herald__April_9__1935_
Object 418	obj418__Arkham_Herald__July_7__1988_
Object 419	obj419__announcement_
Object 420	obj420_nasty_looking_spider_web
Object 421	obj421_old_fashioned_iron_key
Object 422	obj422_Path_Behind_the_House
Object 423	obj423_Family_Plot
Object 424	obj424_tombstones
Object 425	obj425_iron_door
Object 426	obj426_In_the_Crypt
Object 427	obj427_coffins
Object 428	Coffin
Object 429	obj429_Edward_s_coffin
Object 430	obj430_Anna_s_coffin
Object 431	obj431_William_s_coffin
Object 432	obj432_animal_s_skeleton
Object 433	obj433_animal_s_skull
Object 434	obj434_Julia_s_coffin
Object 435	obj435_Gertrude_s_coffin
Object 436	obj436_Sonia_s_coffin
Object 437	obj437_nameplates
Object 438	obj438_roots
Object 439	obj439_Windy_Passage
Object 440	obj440_Edge_of_the_Pit
Object 441	obj441_rope_bridge
Object 442	obj442_Other_Side
Object 443	obj443_Great_Stairs
Object 444	obj444_Bottom_of_Stairs
Object 445	obj445_huge_metal_door
Object 446	obj446_symbol
Object 447	obj447_Burial_Mound
Object 448	obj448_face_carvings
Object 449	obj449_green_light
Object 450	obj450_base_of_the_obelisk
Object 451	Pictogram
Object 452	obj452_first_pictogram
Object 453	obj453_second_pictogram
Object 454	obj454_third_pictogram
Object 455	obj455_fourth_pictogram
Object 456	obj456_mummified_corpses
Object 457	obj457_altar
Object 458	Column
Object 459	obj459_left_hand_column
Object 460	obj460_right_hand_column
Object 461	obj461_Michael
Object 462	obj462_ghost_of_Croseus_Verlac
Object 463	obj463_The_Womb_of_Nehilim
Object 464	Maintenance
Object 465	obj465__M_South_
Object 466	obj466_valve_wheel
Object 467	obj467_pressure_gauge
Object 468	obj468_pipes
Object 469	obj469__M_Middle_
Object 470	obj470__M_North_
Object 471	obj471_hatch
Object 472	obj472_metal_handle
Object 473	obj473_Mill_Floor
Object 474	obj474_control_bank
Object 475	obj475_lever
Object 476	obj476_large_red_button
Object 477	obj477_chain
Object 478	obj478_pulley_system
Object 479	Mill_maze
Object 480	obj480_light
Object 481	obj481__m_maze1_
Object 482	obj482__m_maze2_
Object 483	obj483__m_maze3_
Object 484	obj484__m_maze4_
Object 485	obj485__m_maze5_
Object 486	obj486__m_maze6_
Object 487	obj487_mill_machinery
Object 488	obj488_Catwalk
Object 489	obj489_balcony
Object 490	obj490_block_of_heavy_equipment
Object 491	obj491_Workshop
Object 492	obj492_table
Object 493	obj493_calipers
Object 494	obj494_workbenches
Object 495	obj495_notes
Object 496	obj496_printed_memo
Object 497	obj497_arcane_electronic_equipment
Object 498	obj498_rack
Object 499	Mirror
Object 500	obj500_mirror_labeled__1
Object 501	obj501_mirror_labeled__2
Object 502	obj502_mirror_labeled__3
Object 503	obj503_mirror_labeled__4
Object 504	obj504_blueprint
Object 505	obj505_At_the_Foot_of_the_Lighthouse
Object 506	obj506_massive_bronze_door
Object 507	obj507_lighthouse
Object 508	obj508_Bottom_of_the_Lighthouse
Object 509	obj509_Top_of_the_Lighthouse
Object 510	obj510_swivel_mount
Object 511	obj511_strange_device
Object 512	obj512__mir5_
Object 513	obj513_Rocky_Spur
Object 514	obj514_patch_of_turbulent_water
Object 515	obj515_island_of_flesh
Object 516	obj516_Island_of_Flesh
Object 517	obj517_heavy_stone
Object 518	obj518_handcuffs
Object 519	obj519_wooden_stake
Object 520	obj520_boy
Object 521	obj521_pulse
Object 522	obj522_island
Object 523	obj523_robed_guards
Object 524	obj524_Michael
Object 525	obj525_burning_torch
Object 526	obj526_guard_s_corpse
Object 527	obj527_Access_Shaft
Object 528	obj528_Sewer_Tunnel
Object 529	obj529_pipelines
Object 530	obj530_sewer_water
Object 531	obj531_Vaulted_Tunnel
Object 532	obj532_pool
Object 533	obj533_Dripping_Tunnel
Object 534	obj534_Broken_Tunnel
Object 535	obj535_rusty_hatch
Object 536	obj536_Outflow_Tunnel
Object 537	obj537_grating
Object 538	obj538_Hidden_Court
Object 539	obj539_shop
Object 540	obj540_hanging_sign
Object 541	obj541_The_Cauldron
Object 542	obj542_new_age_curiosities
Object 543	obj543_display_case
Object 544	obj544_violin
Object 545	obj545_display_case
Object 546	obj546_deck_of_tarot_cards
Object 547	obj547_geode
Object 548	obj548_amulet
Object 549	obj549_proprietor
Object 550	obj550_light_music
Object 551	obj551__orderly_
Object 552	obj552_pimple
Object 553	obj553_name_tag
Object 554	obj554_Waiting_Room
Object 555	obj555_sofa
Object 556	obj556_potted_palm
Object 557	obj557_porno_magazine
Object 558	obj558_cell_key
Object 559	obj559_barred_gate
Object 560	obj560_strait_jacket
Object 561	Cell
Object 562	obj562__cell1_
Object 563	obj563_padding
Object 564	Cell_Door
Object 565	Cell_Window
Object 566	obj566_cell_door
Object 567	obj567__window1_
Object 568	Hallway
Object 569	obj569_tiles
Object 570	obj570__hall1_
Object 571	obj571_crack
Object 572	obj572_shard_of_glass
Object 573	obj573_closet
Object 574	obj574__hall2_
Object 575	obj575__door2_
Object 576	obj576__window2_
Object 577	obj577__cell2_
Object 578	obj578__madman_
Object 579	obj579__door3_
Object 580	obj580__window3_
Object 581	obj581__cell3_
Object 582	obj582__hall3_
Object 583	obj583__door4_
Object 584	obj584__window4_
Object 585	obj585__cell4_
Object 586	obj586__door5_
Object 587	obj587__window5_
Object 588	obj588_bloodstain
Object 589	obj589__cell5_
Object 590	obj590_ragged_tear
Object 591	obj591_torn_square_of_canvas
Object 592	obj592_crusty_needle
Object 593	obj593_Top_of_Stairs
Object 594	obj594_Bottom_of_Stairs
Object 595	obj595_fluorescent_light
Object 596	obj596__hall4_
Object 597	obj597__hall5_
Object 598	obj598_Library
Object 599	obj599_alcove
Object 600	obj600_reading_lamp
Object 601	obj601_reading_desk
Object 602	obj602_Michael
Object 603	obj603_glasses
Object 604	obj604__frazer_
Object 605	obj605_slip_of_paper
Object 606	obj606_library_books
Object 607	obj607_Circulation_Desk
Object 608	obj608_counter
Object 609	obj609_dog_eared_register
Object 610	obj610_bell
Object 611	obj611_creepy_librarian
Object 612	obj612__greene_
Object 613	obj613__horne_
Object 614	obj614__wheldrake_
Object 615	obj615_from_the_Table_of_Contents_of__A_Historical_Overview_
Object 616	obj616_Introduction
Object 617	obj617_The_Legend_of_Croseus_Verlac
Object 618	obj618_Rituals_of_the_Misquat_Indians
Object 619	obj619_The_Dark_Man_and_Other_Aspects
Object 620	obj620_The__Strangling_Mist__Legend
Object 621	obj621_The__Ghost_Train__Legend
Object 622	obj622_File_Room
Object 623	obj623_filing_cabinets
Object 624	obj624_keyring
Object 625	obj625_key_to_the_house
Object 626	obj626_key_to_the_cellar
Object 627	obj627_Office
Object 628	obj628_latch
Object 629	obj629_blinds
Object 630	obj630_desk
Object 631	obj631_papers
Object 632	obj632_telephone
Object 633	obj633_answering_machine
Object 634	obj634_display
Object 635	obj635_button_labeled__PLAY_
Object 636	obj636_button_labeled__DELETE_
Object 637	obj637_styrofoam_cup
Object 638	obj638_cold__murky_coffee
Object 639	obj639_drawer
Object 640	obj640_hastily_written_letter
Object 641	obj641_tarnished_bronze_key
Object 642	obj642_buzzing_sound
Object 643	obj643__con_topics_
Object 644	obj644_Anchorhead
Object 645	obj645__t_verlac_
Object 646	obj646_Danvers_Asylum
Object 647	obj647_himself
Object 648	obj648_Miskaton_University
Object 649	obj649_Michael
Object 650	obj650_lighthouse
Object 651	obj651_disaster
Object 652	obj652_paper_mill
Object 653	obj653__t_house_
Object 654	obj654_yourself
Object 655	obj655_real_estate_agent
Object 656	obj656_keys
Object 657	obj657_university_library
Object 658	obj658_your_purse
Object 659	obj659_your_wedding_ring
Object 660	obj660_Michael_s_job
Object 661	obj661_your_anniversary
Object 662	obj662_The_God_Whose_Name_May_Not_Be_Spoken
Object 663	obj663_inmates
Object 664	obj664_Dr__Timothy_Rebis
Object 665	obj665_whiskey
Object 666	obj666_red_rimmed_eyes
Object 667	obj667_maggots
Object 668	obj668_bum
Object 669	obj669_hidey_hole
Object 670	obj670_small_copper_key
Object 671	obj671_Edward_Verlac
Object 672	obj672_Mordecai_Verlac
Object 673	obj673_Anna_Verlac
Object 674	obj674_William_Verlac
Object 675	obj675_crypt
Object 676	obj676_dog_s_skeleton
Object 677	obj677_amulet
Object 678	obj678_Jeffrey_Greer
Object 679	obj679_orderly
Object 680	obj680_Charles
Object 681	obj681_name_tag
Object 682	obj682_professor
Object 683	obj683_barred_gate
Object 684	obj684_visiting_hours
Object 685	obj685_Chuck_s_boss
Object 686	obj686_porno_magazine
Object 687	obj687_light_music
Object 688	obj688_pimple
Object 689	obj689_severed_foot
Object 690	obj690_black_tome
Object 691	obj691_large_cell_key
Object 692	obj692_treats
Object 693	obj693_Croseus_Verlac
Object 694	obj694_puzzle_box
Object 695	obj695_violin
Object 696	obj696_proprietor_s_friend
Object 697	obj697_violin_music
Object 698	obj698_Heinrich_Verlac
Object 699	obj699_Elijah_Verlac
Object 700	obj700_Wilhelm_Verlac
Object 701	obj701_Eustacia_Verlac
Object 702	obj702_trinket
Object 703	obj703_geode
Object 704	obj704_tarot_cards
Object 705	obj705_Tower
Object 706	obj706_curiosities
Object 707	obj707_book
Object 708	obj708__t_frazer_
Object 709	obj709__t_horne_
Object 710	obj710__t_greene_
Object 711	obj711__t_wheldrake_
Object 712	obj712_creepy_librarian
Object 713	obj713_car
Object 714	obj714_clammy_mist
Object 715	obj715_faculty_card
Object 716	obj716_Michael_s_laptop
Object 717	obj717_secret_passage
Object 718	obj718_dreams
Object 719	obj719_mud
Object 720	obj720_Michael_s_headache
Object 721	obj721_wine_racks
Object 722	obj722_portrait
Object 723	obj723_gold_locket
Object 724	obj724_silver_locket
Object 725	obj725_proprietor
Object 726	obj726_teddy_bear
Object 727	obj727_Max
Object 728	obj728_steel_key
Object 729	obj729_safe
Object 730	obj730_newspaper_clippings
Object 731	obj731_journal
Object 732	obj732_well
Object 733	obj733_woman
Object 734	obj734_Julia_Ward_Verlac
Object 735	obj735_Sonia_Verlac
Object 736	obj736_Gertrude_Verlac
Object 737	obj737_monster
Object 738	obj738_window
Object 739	obj739_Edward_s_family
Object 740	obj740_accident
Object 741	obj741_Things_you_might_like_to_know
Object 742	obj742_About_This_Game
Object 743	obj743_About_the_Author
Object 744	obj744_Credits_and_Thank_yous
Object 745	obj745_How_to_Play_Interactive_Fiction
Object 746	obj746_Introduction
Object 747	obj747_Moving_Around
Object 748	obj748_Looking_at_Things
Object 749	obj749_Manipulating_Objects
Object 750	obj750_Communicating_With_Others
Object 751	obj751_Reading_Material
Object 752	obj752_Saving_and_Restoring
Object 753	obj753_Special_Commands
Object 754	obj754_Abbreviations
Object 755	obj755_A_Short_Tutorial
Object 756	obj756_The_Trophy_Room
Object 757	obj757_Amusing_Trivia
Object 758	obj758_Neat_Ways_to_Die
Object 759	obj759_Some_Interesting_Easter_Eggs
Object 760	obj760_Alternative_Solutions
Object 761	obj761_Significant_Dates
Object 762	obj762_Most_Bizarre_Bug_Report_Contest_
Object 763	obj763_Some_Things_Never_Change
Object 764	obj764__stub_switch_

Attribute 0	animate			! obj20__self_object_ obj44_group_of_townsfolk Michael obj121_locals obj129_cultists obj158_pale__frightened_woman obj171_monster obj178__crowd_ obj198_bum obj210__gang_ obj287_Michael obj461_Michael obj462_ghost_of_Croseus_Verlac obj520_boy obj523_robed_guards obj524_Michael obj549_proprietor obj551__orderly_ obj578__madman_ obj602_Michael obj611_creepy_librarian
Attribute 2	clothing		! obj102_trenchcoat obj103_clothes obj104_wedding_ring obj255_hooded_robe obj284_Michael_s_pants obj300_silver_locket obj357_gold_locket obj518_handcuffs obj548_amulet obj560_strait_jacket
Attribute 3	concealed		! obj6_compass obj20__self_object_ Flute_Hole obj318_first_flute_hole obj319_second_flute_hole obj320_third_flute_hole obj321_fourth_flute_hole obj322_fifth_flute_hole obj323_sixth_flute_hole obj324_seventh_flute_hole obj334_brass_sphere obj433_animal_s_skull
Attribute 4	container		! obj95__pit_ obj102_trenchcoat obj109_piles_of_cardboard_boxes obj115_outflow_pipe obj125_flask obj162_overalls obj202_old_tin obj225_old_stone_well obj228_children_s_bones obj247_wood_burning_furnace obj284_Michael_s_pants obj285_wallet obj290_bathtub obj299_jewelry_box obj300_silver_locket obj303_crib obj304_ragged_hole obj308_armchair obj313_safe obj314_puzzle_box obj336_drawer obj349_rectangular_slot obj357_gold_locket obj364_china_cupboard obj371_cabinet obj393_fuse_cabinet obj406_cardboard_box obj431_William_s_coffin obj498_rack obj511_strange_device obj545_display_case obj571_crack obj573_closet obj590_ragged_tear obj623_filing_cabinets obj637_styrofoam_cup obj639_drawer
Attribute 5	door			! obj106_real_estate_office_door obj112_transom_window obj133_gate obj138_metal_hatch obj182_office_door obj190_rusty_gate obj194_small_metal_door obj225_old_stone_well obj238_front_door obj242_trap_door obj274_front_door obj326_sliding_doors obj352_door obj361_oddly_angled_corridor obj373_back_door obj389_cellar_door obj425_iron_door obj441_rope_bridge obj445_huge_metal_door obj471_hatch obj506_massive_bronze_door obj535_rusty_hatch obj559_barred_gate Cell_Door obj566_cell_door obj575__door2_ obj579__door3_ obj583__door4_ obj586__door5_
Attribute 6	edible			! Liquid Rainwater obj55_Rainwater_1 obj56_Rainwater_2 obj57_Rainwater_3 obj58_Rainwater_4 obj59_Rainwater_5 obj60_Rainwater_6 Seawater obj62_Seawater_1 obj63_Seawater_2 obj64_Seawater_3 obj65_Seawater_4 obj66_Seawater_5 obj67_Seawater_6 Riverwater obj69_Riverwater_1 obj70_Riverwater_2 obj71_Riverwater_3 obj72_Riverwater_4 obj73_Riverwater_5 obj74_Riverwater_6 Sewerwater obj76_Sewerwater_1 obj77_Sewerwater_2 obj78_Sewerwater_3 obj79_Sewerwater_4 obj80_Sewerwater_5 obj81_Sewerwater_6 obj82_rain obj86_sea obj116_sewer_water obj126_cheap_whiskey obj193_Miskaton_River obj203_fish_oil obj514_patch_of_turbulent_water obj530_sewer_water obj638_cold__murky_coffee
Attribute 7	enterable		! obj110_garbage_can obj140_railroad_tracks obj161_threadbare_cot obj196_filthy_mattress obj215_stump obj228_children_s_bones obj282_four_poster_bed obj290_bathtub obj302_bed obj303_crib obj308_armchair obj328_wooden_chair obj457_altar obj490_block_of_heavy_equipment obj555_sofa obj601_reading_desk
Attribute 8	general			! obj633_answering_machine
