! Auto-generated by Reform.

MD5	064272be87de7106192b6fb743c4dfc4
Object 210	obj210
Object 211	obj211
Object 212	obj212
Object 213	obj213
Object 214	obj214
Object 215	obj215
Object 216	obj216
Object 217	obj217
Object 218	obj218
Object 219	obj219
Object 220	obj220
Object 221	obj221
Object 222	obj222
Object 223	obj223
Object 224	obj224
Object 225	obj225
Object 226	obj226
Object 227	obj227
Object 228	obj228
Object 229	obj229
Object 230	obj230
Object 231	obj231
Object 232	obj232
Object 233	obj233
Object 234	obj234
Object 235	obj235
Object 236	obj236
Object 237	obj237

Attribute 0	absent			! obj61
Attribute 1	animate			! K8_person K23_man K24_woman K25_animal obj57 obj107 obj138 obj164 obj221
Attribute 2	clothing		! K140_attire obj59 obj60 obj180 obj222
Attribute 3	concealed		! obj6_compass obj57 obj149 obj154
Attribute 4	container		! K5_container K27_vehicle K28_player_s_holdall K152_gutter obj67 obj70 obj71 obj75 obj76 obj79 obj115 obj120 obj124 obj125 obj136 obj141 obj142 obj151 obj172 obj174 obj179 obj183 obj191 obj199 obj203 obj220 obj225 obj228
Attribute 5	door			! K4_door obj80 obj117 obj201 obj211 obj213
Attribute 6	edible			! obj121 obj175
Attribute 7	enterable		! K27_vehicle obj70 obj71 obj85 obj106 obj115 obj220
Attribute 8	light			! K1_room obj66 obj74 obj78 obj81 obj99 obj111 obj119 obj134 obj148 obj189 obj195 obj202
Attribute 9	lockable		! obj80 obj117 obj201 obj211
Attribute 10	locked			! obj80 obj117 obj201 obj211
Attribute 12	on			! obj134
Attribute 13	open			! K5_container K27_vehicle K28_player_s_holdall K152_gutter obj67 obj70 obj71 obj75 obj76 obj79 obj115 obj125 obj136 obj141 obj142 obj151 obj172 obj174 obj183 obj199 obj228
Attribute 14	openable		! K4_door K28_player_s_holdall obj80 obj117 obj120 obj124 obj179 obj191 obj201 obj203 obj211 obj213 obj220 obj225
Attribute 15	scenery			! CompassDirection K3_direction K7_backdrop K125_window K152_gutter K317_vermin obj45 obj46 obj47 obj48 obj49 obj50 obj51 obj52 obj53 obj54 obj55 obj56 obj61 obj67 obj69 obj70 obj71 obj72 obj75 obj76 obj79 obj82 obj83 obj84 obj85 obj86 obj87 obj88 obj89 obj90 obj91 obj93 obj96 obj100 obj101 obj102 obj103 obj106 obj108 obj116 obj120 obj122 obj123 obj124 obj127 obj128 obj130 obj131 obj134 obj135 obj139 obj149 obj150 obj151 obj154 obj158 obj159 obj178 obj190 obj194 obj196 obj198 obj208 obj209 obj210 obj211 obj212 obj215 obj216 obj217 obj218 obj219 obj232 obj233 obj234 obj235 obj236 obj237
Attribute 16	static			! K4_door K6_supporter K7_backdrop K27_vehicle K125_window K317_vermin obj61 obj67 obj68 obj69 obj70 obj71 obj72 obj75 obj76 obj79 obj80 obj82 obj83 obj84 obj85 obj86 obj87 obj88 obj89 obj90 obj91 obj93 obj96 obj100 obj101 obj102 obj103 obj104 obj106 obj107 obj108 obj112 obj116 obj117 obj120 obj122 obj123 obj124 obj127 obj128 obj130 obj131 obj134 obj135 obj139 obj149 obj150 obj151 obj154 obj158 obj159 obj162 obj163 obj170 obj178 obj181 obj190 obj193 obj194 obj196 obj197 obj198 obj201 obj203 obj208 obj209 obj210 obj211 obj212 obj213 obj215 obj216 obj217 obj218 obj219 obj220 obj230 obj232 obj233 obj234 obj235 obj236 obj237
Attribute 17	supporter		! K6_supporter K106_keychain obj84 obj85 obj103 obj106 obj112 obj122 obj130 obj170 obj193 obj198
Attribute 18	switchable		! K26_device K123_bdevice obj105 obj134 obj149 obj150 obj154 obj167 obj176 obj181 obj197
Attribute 20	transparent		! K6_supporter K8_person K23_man K24_woman K25_animal K106_keychain obj57 obj84 obj85 obj103 obj106 obj107 obj112 obj122 obj130 obj138 obj164 obj170 obj193 obj198 obj221
Attribute 22	worn			! obj59 obj60 obj222
Attribute 24	female			! K24_woman obj107 obj164 obj221
Attribute 26	pluralname		! obj77 obj86 obj87 obj88 obj153 obj165 obj173 obj175 obj188 obj200 obj208 obj215 obj216 obj217 obj218 obj219 obj223
Attribute 27	proper			! obj9__Inform_Parser_ obj10__Inform_Library_ obj57 obj66 obj67 obj69 obj71 obj74 obj75 obj78 obj79 obj86 obj107 obj111 obj117 obj118 obj119 obj128 obj129 obj130 obj131 obj135 obj138 obj139 obj144 obj147 obj148 obj155 obj158 obj164 obj165 obj177 obj184 obj190 obj195 obj196 obj217 obj228 obj229 obj230 obj231
Attribute 30	mentioned		! K2_thing K4_door K5_container K6_supporter K7_backdrop K8_person K23_man K24_woman K25_animal K26_device K27_vehicle K28_player_s_holdall K105_passkey K106_keychain K123_bdevice K124_on_off_button K125_window K128_scratch_marks K129_finger_prints K130_limb K131_leg K132_arm K133_appendage K134_handkind K135_footkind K140_attire K152_gutter K317_vermin obj57 obj58 obj59 obj60 obj61 obj62 obj63 obj64 obj67 obj68 obj69 obj70 obj71 obj72 obj73 obj75 obj76 obj77 obj79 obj80 obj82 obj83 obj84 obj85 obj86 obj87 obj88 obj89 obj90 obj91 obj92 obj93 obj94 obj95 obj96 obj97 obj98 obj100 obj101 obj102 obj103 obj104 obj105 obj106 obj107 obj108 obj109 obj110 obj112 obj113 obj114 obj115 obj116 obj117 obj118 obj120 obj121 obj122 obj123 obj124 obj125 obj126 obj127 obj128 obj130 obj131 obj132 obj133 obj134 obj135 obj136 obj137 obj138 obj139 obj140 obj141 obj142 obj143 obj144 obj145 obj146 obj147 obj149 obj150 obj151 obj152 obj153 obj154 obj155 obj156 obj157 obj158 obj159 obj160 obj161 obj162 obj163 obj164 obj165 obj166 obj167 obj168 obj169 obj170 obj171 obj172 obj173 obj174 obj175 obj176 obj178 obj179 obj180 obj181 obj182 obj183 obj184 obj185 obj186 obj187 obj188 obj190 obj191 obj192 obj193 obj194 obj196 obj197 obj198 obj199 obj200 obj201 obj203 obj204 obj205 obj206 obj207 obj208 obj209 obj210 obj211 obj212 obj213 obj215 obj216 obj217 obj218 obj219 obj220 obj221 obj222 obj223 obj224 obj225 obj226 obj227 obj228 obj229 obj230 obj232 obj233 obj234 obj235 obj236 obj237
Attribute 32	mark_as_room		! obj66 obj74 obj78 obj81 obj99 obj111 obj119 obj129 obj148 obj177 obj189 obj195 obj202 obj214
Attribute 33	mark_as_thing		! K4_door K5_container K6_supporter K7_backdrop K8_person K23_man K24_woman K25_animal K26_device K27_vehicle K28_player_s_holdall K105_passkey K106_keychain K123_bdevice K124_on_off_button K125_window K128_scratch_marks K129_finger_prints K130_limb K131_leg K132_arm K133_appendage K134_handkind K135_footkind K140_attire K152_gutter K317_vermin obj57 obj58 obj59 obj60 obj61 obj62 obj63 obj64 obj67 obj68 obj69 obj70 obj71 obj72 obj73 obj75 obj76 obj77 obj79 obj80 obj82 obj83 obj84 obj85 obj86 obj87 obj88 obj89 obj90 obj91 obj92 obj93 obj94 obj95 obj96 obj97 obj98 obj100 obj101 obj102 obj103 obj104 obj105 obj106 obj107 obj108 obj109 obj110 obj112 obj113 obj114 obj115 obj116 obj117 obj118 obj120 obj121 obj122 obj123 obj124 obj125 obj126 obj127 obj128 obj130 obj131 obj132 obj133 obj134 obj135 obj136 obj137 obj138 obj139 obj140 obj141 obj142 obj143 obj144 obj145 obj146 obj147 obj149 obj150 obj151 obj152 obj153 obj154 obj155 obj156 obj157 obj158 obj159 obj160 obj161 obj162 obj163 obj164 obj165 obj166 obj167 obj168 obj169 obj170 obj171 obj172 obj173 obj174 obj175 obj176 obj178 obj179 obj180 obj181 obj182 obj183 obj184 obj185 obj186 obj187 obj188 obj190 obj191 obj192 obj193 obj194 obj196 obj197 obj198 obj199 obj200 obj201 obj203 obj204 obj205 obj206 obj207 obj208 obj209 obj210 obj211 obj212 obj213 obj215 obj216 obj217 obj218 obj219 obj220 obj221 obj222 obj223 obj224 obj225 obj226 obj227 obj228 obj229 obj230 obj232 obj233 obj234 obj235 obj236 obj237
Attribute 36	p60_auto_searched	! K5_container K27_vehicle K28_player_s_holdall K152_gutter obj67 obj70 obj71 obj75 obj79 obj115 obj120 obj124 obj130 obj136 obj141 obj142 obj170 obj174 obj179 obj183 obj191 obj199 obj203 obj220 obj225 obj228
Attribute 37	p62_asleep		! obj107
Attribute 38	p64_afflicted		! K8_person K23_man K24_woman K25_animal obj107 obj138 obj164 obj221
Attribute 40	p68_severed		! K130_limb K131_leg K132_arm K133_appendage K134_handkind K135_footkind obj62 obj64 obj192 obj204 obj205 obj206 obj207
Attribute 41	p70_handed		! obj57

Property 1	name:dictwords
Property 2	prop2:?
Property 4	n_to:?
Property 5	s_to:?
Property 6	e_to:?
Property 7	w_to:?
Property 8	ne_to:?
Property 9	nw_to:?
Property 10	se_to:?
Property 11	sw_to:?
Property 12	u_to:?
Property 13	d_to:?
Property 14	in_to:?
Property 15	out_to:?
Property 17	article:string
Property 18	capacity:?
Property 19	component_child:?
Property 20	component_parent:?
Property 21	component_sibling:?
Property 22	description:?
Property 23	door_dir:thing
Property 24	door_to:?
Property 25	found_in:?
Property 26	initial:string
Property 27	i7_kind:?
Property 28	list_together:?
Property 29	map_region:?
Property 30	parse_name:?
Property 31	plural:string
Property 32	regional_found_in:?
Property 33	room_index:dictword
Property 34	short_name:?
Property 35	vector:?
Property 36	with_key:?
Property 72	p14_scent:string
Property 73	p59_unbolting_relates:?
Property 74	p11_notescript:string
Property 75	p13_printing:string
Property 76	action_bitmap:?
Property 77	p6_opposite:?
Property 78	p7_i6_library_direction_prop:string
Property 79	before:dictword
Property 80	p15_side1:?
Property 81	p16_side2:?
Property 82	saved_short_name:string
Property 83	p12_noted_things:?
Property 84	cap_short_name:string

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Quit		! 'q//'
				! 'quit'
Action 1	Restart		! 'restart'
Action 2	Restore		! 'restore'
Action 3	Save		! 'save'
Action 4	Verify		! 'verify'
Action 5	ScriptOn	! 'transcrip'
				! 'transcrip' 'on'
				! 'script'
				! 'script' 'on'
Action 6	ScriptOff	! 'transcrip' 'off'
				! 'script' 'off'
Action 7	Look		! 'l//'/'look'
Action 8	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 9	Ask		! 'ask' creature 'about' topic
Action 10	Attack		! 'slap' noun
				! 'kick' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 11	Burn		! 'burn'/'light' noun
Action 12	Buy		! 'buy'/'purchase' noun
Action 13	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 14	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 15	Consult		! 'consult' noun 'on'/'about' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 16	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 17	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' noun
Action 18	Drink		! 'drink'/'sip'/'swallow' noun
Action 19	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' multiheld 'down'
				! 'put' 'down' multiheld
Action 20	Eat		! 'eat' held
Action 21	Enter		! 'sit' 'on'/'in'/'inside' noun
				! 'sit' 'on' 'top' 'of' noun
				! 'cross'/'enter' noun
				! 'go'/'leave'/'run'/'walk' noun
				! 'go'/'leave'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 22	Examine		! 'inspect' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 23	Exit		! 'exit'/'out'
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 24	GetOff		! 'get' 'off' noun
Action 25	Give		! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' held 'to' creature
Action 26	Go		! 'go'/'leave'/'run'/'walk'
				! 'go'/'leave'/'run'/'walk' noun=routine176504
Action 27	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 28	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 29	Jump		! 'hop'/'jump'/'skip'
Action 30	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 31	Listen		! 'hear' noun
				! 'listen'
				! 'listen' 'to' noun
Action 32	LMode1		! 'normal'
				! 'brief'
Action 33	LMode2		! 'long'
				! 'verbose'
Action 34	LMode3		! 'short'
				! 'superbrie'
Action 35	Lock		! 'lock' noun=routine176576 'with' noun
				! 'lock' noun=routine176624 'with' noun
				! 'lock' noun 'with' noun
Action 36	LookUnder	! 'l//'/'look' 'under' noun
Action 37	Mild		! 'bother'/'curses'/'darn'/'drat'
Action 38	No		! 'no'
Action 39	Yes		! 'y//'/'yes'
Action 40	NotifyOff	! 'notify' 'off'
Action 41	NotifyOn	! 'notify'
				! 'notify' 'on'
Action 42	Open		! 'uncover' noun
				! 'open' noun
				! 'unwrap' noun
Action 43	Pronouns	! 'pronouns'
				! 'nouns'
Action 44	Pull		! 'drag'/'pull' noun
Action 45	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 46	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 47	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun=routine176528
				! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun=routine176552
Action 48	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' noun=routine176456 'on' noun=routine176480
				! 'put' multiexcept 'on'/'onto' noun
Action 49	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
Action 50	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 51	Score		! 'score'
Action 52	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 53	SetTo		! 'adjust'/'set' noun 'to' topic
Action 54	Show		! 'ask' creature 'about' noun=routine176928
				! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 55	Sing		! 'sing'
Action 56	Sleep		! 'nap'/'sleep'
Action 57	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 58	Sorry		! 'sorry'
Action 59	Squeeze		! 'squash'/'squeeze' noun
Action 60	Strong		! 'curse'
				! 'damn'/'fuck'/'shit'
Action 61	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 62	SwitchOff	! 'switch' 'off' noun
				! 'switch' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'close'/'cover'/'shut' 'off' noun
Action 63	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
Action 64	Take		! 'pick' multi 'up'
				! 'pick' 'up' multi
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 65	Taste		! 'lick' noun
				! 'taste' noun
Action 66	Tell		! 'tell' creature 'about' topic
Action 67	Think		! 'think'
Action 68	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 69	Tie		! 'fasten'/'fix'/'tie' noun 'to' noun
Action 70	Touch		! 'stroke' noun
				! 'feel'/'touch' noun
Action 71	Unlock		! 'open' noun=routine177016 'with' noun
				! 'open' noun=routine177064 'with' noun
				! 'open' noun 'with' noun
				! 'unlock' noun=routine176752 'with' noun
				! 'unlock' noun=routine176800 'with' noun
				! 'unlock' noun 'with' noun
Action 72	Wait		! 'wait'/'z//'
Action 73	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 74	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' 'up' creature
				! 'awake'/'awaken'/'wake' creature 'up'
Action 75	Wave		! 'wave' noun
Action 76	WaveHands	! 'wave'
Action 77	Wear		! 'wrap' noun=routine177104
				! 'wrap' noun=routine177128 'around' 'arm'/'hand'
				! 'apply' noun
				! 'fasten'/'fix'/'tie' noun=routine176992
				! 'fasten'/'fix'/'tie' noun=routine176968 'to' 'arm'/'hand'
				! 'put' 'on' held
				! 'put' 'on' noun
				! 'put' noun 'on'
				! 'don'/'wear' held
Action 78	AskFor		! 'ask' creature 'for' noun
Action 80	Version		! 'version'
Action 81	A80_unlocking_keylessly ! 'unlock' noun=routine176840
				! 'unlock' noun=routine176888
				! 'unlock' noun
Action 82	A81_locking_keylessly ! 'lock' noun=routine176664
				! 'lock' noun=routine176712
				! 'lock' noun
Action 83	A82_asking_for_help ! 'info'
				! 'about'
				! 'help'
Action 84	A83_asking_for_hints ! 'hints'
				! 'hint'
Action 85	A84_disabling_hints ! 'hints' 'off'
				! 'hint' 'off'
Action 86	A85_asking_for_walkthru ! 'solution'
				! 'walkthru'
				! 'walkthrou'
				! 'go'/'leave'/'run'/'walk' 'through'
Action 87	A86_notetaking	! 'document' noun
				! 'note' noun
Action 89	A88_reading	! 'read' noun
Action 90	A89_taking_it_with ! 'get' noun 'with' noun
				! 'carry'/'hold'/'take' noun 'with' noun
Action 91	A90_knocking	! 'tap' noun
				! 'tap' 'on' noun
				! 'knock' noun
				! 'knock' 'on' noun
Action 92	A91_xyzzying	! 'plugh'
				! 'xyzzy'
Action 93	A92_accusing	! 'accuse' creature
Action 95	A94_cursing	! 'damn'/'fuck'/'shit' noun
				! 'damn'/'fuck'/'shit' noun
Action 96	A95_shitting	! 'use' 'toilet'
				! 'urinate'
				! 'pee'
				! 'go'/'leave'/'run'/'walk' 'to' 'bathroom'
Action 97	A96_playing	! 'play' noun
Action 98	A97_dancing	! 'disco'
				! 'dance'
Action 99	A98_flushing	! 'flush' noun
Action 100	A99_reaching_in	! 'reach' 'inside' noun
				! 'reach' 'into' noun
				! 'reach' 'in' noun
Action 101	A100_attaching_it_to ! 'attach' noun 'to' noun
Action 102	A101_talking_to	! 'talk' 'to' creature
Action 103	A102_killing_it_with ! 'stab' noun 'with' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun 'with' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun 'with' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun 'with' noun

Word	afflictio	afflictio
