! Auto-generated by Reform.

MD5	22a0ddac6be15540616c10f1007197f3
Object 142	obj142__SacrificeScene_
Object 143	obj143_Glen
Object 144	obj144__SacrificeRoomObjects_
Object 145	obj145_all_the_puzzles
Object 146	obj146__DreamPuzzle_
Object 147	obj147__TowerPuzzle_
Object 148	obj148__VialPuzzle_
Object 149	obj149__AlhazredPuzzle_
Object 150	obj150__CatAPuzzle_
Object 151	obj151__CatBPuzzle_
Object 152	obj152__CharlesPuzzle_
Object 153	obj153__DestroyedChamberPuzzle_
Object 154	obj154__ChamberPuzzle_
Object 155	obj155__TrapdoorPuzzle_
Object 156	obj156__MachinePuzzle_
Object 157	obj157__TemplePuzzle_
Object 158	obj158__WhatNextPuzzle_
Object 159	obj159_test

Attribute 0	ward_area		! obj29_Roof obj32_Study obj41_Storage obj49_Hall obj54_Before_A_Dark_Tower obj56_Public_Square obj60_Road obj61_Road obj63_Crossroads obj64_Road obj65_Dead_End obj70_A_Dark_Hallway obj71_Library obj101_Stairs obj135_Deserted_Hall
Attribute 1	animate			! obj20_yourself obj58_cat obj68_cat obj77_victim obj83_audience obj84_priest obj89_yourself obj90_unconscious_human_body obj91_confused_young_man obj92_Charles_Bristow obj93_Charles_Bristow obj95_Abtin_Mukhtar obj97_yourself obj98_old_man obj141__FianceScene_ obj142__SacrificeScene_ obj144__SacrificeRoomObjects_
Attribute 2	clothing		! obj72_torn_clothes obj94_Charles__clothes
Attribute 3	concealed		! obj6_compass obj20_yourself obj30_iron_railing obj34_bound_volumes obj36_writing obj51_object obj59_secret_door obj62_crack obj66_stone_slab obj74_note obj77_victim obj79_huge_statue obj80_stage obj81_stone_table obj82_blood obj83_audience obj84_priest obj88_ropes obj89_yourself obj93_Charles_Bristow obj97_yourself obj104_debris obj105_carvings obj107_square_opening obj110_destroyed_trapdoor obj111_huge_heap_of_boulders obj112_heavy_stone obj113_narrow_tunnel obj117_debris obj119_monster obj127_rack obj136_machine obj140_glowing_cloud obj144__SacrificeRoomObjects_
Attribute 4	container		! obj110_destroyed_trapdoor obj113_narrow_tunnel obj122_kettle obj124_wooden_chest obj130_glass_bottle
Attribute 5	door			! obj52_oak_door obj59_secret_door obj62_crack obj100_entrance
Attribute 7	enterable		! obj113_narrow_tunnel obj123_chair obj140_glowing_cloud
Attribute 9	general			! obj44_mysterious_vial obj45_mysterious_vial obj46_mysterious_vial obj47_mysterious_vial
Attribute 10	light			! obj22_Void obj23_Void obj29_Roof obj32_Study obj41_Storage obj49_Hall obj54_Before_A_Dark_Tower obj56_Public_Square obj60_Road obj61_Road obj63_Crossroads obj64_Road obj65_Dead_End obj70_A_Dark_Hallway obj71_Library obj86_Temple obj87_Stage obj96_Dark_Chamber obj99_Temple obj101_Stairs obj102_Corridor obj106_Corridor obj109_Chamber obj114_Chamber obj116_Corridor obj120_Rock_Chamber obj135_Deserted_Hall obj143_Glen obj159_test
Attribute 11	lockable		! obj52_oak_door obj124_wooden_chest
Attribute 12	locked			! obj52_oak_door obj115_trapdoor obj124_wooden_chest
Attribute 15	open			! obj62_crack obj110_destroyed_trapdoor obj113_narrow_tunnel obj122_kettle
Attribute 16	openable		! obj52_oak_door obj59_secret_door obj115_trapdoor obj124_wooden_chest obj130_glass_bottle
Attribute 17	proper			! obj20_yourself obj89_yourself obj92_Charles_Bristow obj93_Charles_Bristow obj94_Charles__clothes obj95_Abtin_Mukhtar obj97_yourself
Attribute 18	scenery			! obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_southeast_wall obj13_northwest_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj24_firework obj25_shadows obj26_dark_tower obj27_city obj28_sky obj33_bookshelves obj35_black_stone_table obj37_ink obj38_dust obj39_desk obj50_staircase obj55_elliptcal_building obj57_sandstone_wall obj67_overhead_bridge obj69_mural_carvings obj76_temple obj78_larger_than_life_murals obj141__FianceScene_ obj142__SacrificeScene_
Attribute 20	static			! obj30_iron_railing obj34_bound_volumes obj36_writing obj43_shelves obj51_object obj52_oak_door obj59_secret_door obj62_crack obj66_stone_slab obj73_skeleton obj79_huge_statue obj80_stage obj81_stone_table obj82_blood obj88_ropes obj100_entrance obj103_luminous_blur obj104_debris obj105_carvings obj107_square_opening obj110_destroyed_trapdoor obj111_huge_heap_of_boulders obj112_heavy_stone obj113_narrow_tunnel obj115_trapdoor obj117_debris obj118_wind obj119_monster obj121_gas_stove obj124_wooden_chest obj127_rack obj132_switch obj136_machine obj137_metal_column obj138_glass_bulbs obj139_lever obj140_glowing_cloud
Attribute 21	supporter		! obj33_bookshelves obj35_black_stone_table obj37_ink obj38_dust obj39_desk obj43_shelves obj67_overhead_bridge obj73_skeleton obj121_gas_stove obj123_chair obj127_rack obj136_machine
Attribute 22	switchable		! obj121_gas_stove
Attribute 24	transparent		! obj20_yourself obj89_yourself obj97_yourself obj130_glass_bottle

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:?
Property 6	life:string
Property 7	n_to/door_to/puzzle_width:?
Property 8	s_to/when_closed/when_off/puzzle_hints:things
Property 9	e_to/with_key/puzzle_done:things
Property 10	w_to/door_dir/puzzle_state:?
Property 11	ne_to/react_before:?
Property 12	se_to/add_to_scope/multi_hints:?
Property 13	nw_to/react_after:string
Property 14	sw_to/list_together:string
Property 15	u_to/invent/puzzle_name:thing
Property 16	d_to/plural/puzzle_array:?
Property 18	out_to/orders:?
Property 19	initial/when_open/when_on:thing
Property 20	description:?
Property 21	describe:?
Property 22	article:string
Property 23	cant_go:string
Property 24	found_in:?
Property 26	number:?
Property 27	time_out/daemon:string
Property 28	each_turn:string
Property 29	capacity:?
Property 30	short_name:thing
Property 31	parse_name:?
Property 72	keystate:?
Property 73	idle_cnt:?
Property 74	idle_msg:?
Property 75	paralyzed:?
Property 76	voidshape:?
Property 77	protected:?
Property 78	wakeup:string
Property 79	msg_cnt:?
Property 80	carry_me:string
Property 81	intial:string
Property 82	init_machine:string
Property 83	DoneHint:string
Property 84	PuzzleSeen:?
Property 85	PuzzleSolved:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Go		! 'go'/'leave'/'run'/'walk' noun=routine43552
Action 1	Take		! 'lift' noun
				! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'carry'/'get'/'hold'/'take' multi
Action 2	Answer		! 'scream'/'yell' routine43560 'to' creature
				! 'shout' routine43560 'to' creature
				! 'answer'/'say'/'speak' routine43560 'to' creature
Action 3	Ask		! 'ask' creature 'about' routine43560
				!  creature 'about' routine43560
Action 4	AskFor		! 'ask' creature 'for' noun
				!  creature 'for' noun
Action 5	Tell		! 'tell' creature 'about' routine43560
Action 6	Remove		! 'remove' multiinside 'from' noun
				! 'carry'/'get'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'get'/'hold'/'take' multiinside 'off' noun
Action 7	Look		! 'l//'/'look'
Action 8	GiveR		! 'feed'/'give'/'offer'/'pay' creature held
Action 9	ShowR		! 'display'/'present'/'show' creature held
Action 10	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 11	Show		! 'display'/'present'/'show' held 'to' creature
Action 12	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 13	Quit		! 'die'/'q//'/'quit'
Action 14	Restart		! 'restart'
Action 15	Restore		! 'restore'
Action 16	Save		! 'save'
Action 17	Verify		! 'verify'
Action 18	ScriptOn	! 'script'
				! 'script' 'on'
Action 19	ScriptOff	! 'noscript'/'unscript'
				! 'script' 'off'
Action 20	NotifyOn	! 'notify' 'on'
Action 21	NotifyOff	! 'notify' 'off'
Action 22	Places		! 'places'
Action 23	Objects		! 'objects'
Action 24	Score		! 'score'
Action 25	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 26	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'get'/'hold'/'take' 'inventory'
Action 27	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 28	Insert		! 'discard'/'drop'/'throw' multiexcept 'in' noun
				! 'discard'/'drop'/'throw' multiexcept 'into' noun
				! 'discard'/'drop'/'throw' multiexcept 'down' noun
				! 'insert' multiexcept 'in' noun
				! 'insert' multiexcept 'into' noun
				! 'put' multiexcept 'in' noun
				! 'put' multiexcept 'inside' noun
				! 'put' multiexcept 'into' noun
Action 29	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 30	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'get'/'hold'/'take' 'off' worn
Action 31	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on' noun
				! 'discard'/'drop'/'throw' multiexcept 'onto' noun
				! 'put' multiexcept 'on' noun
				! 'put' multiexcept 'onto' noun
Action 32	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 33	EmptyT		! 'empty' noun 'to' noun
				! 'empty' noun 'into' noun
				! 'empty' noun 'on' noun
				! 'empty' noun 'onto' noun
Action 34	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 35	Enter		! 'lie'/'sit' 'on' noun
				! 'lie'/'sit' 'in' noun
				! 'lie'/'sit' 'inside' noun
				! 'cross'/'enter' noun
				! 'go'/'leave'/'run'/'walk' noun
				! 'go'/'leave'/'run'/'walk' 'into' noun
				! 'go'/'leave'/'run'/'walk' 'in' noun
				! 'go'/'leave'/'run'/'walk' 'inside' noun
				! 'go'/'leave'/'run'/'walk' 'through' noun
				! 'stand' 'on' noun
				! 'carry'/'get'/'hold'/'take' 'in' noun
				! 'carry'/'get'/'hold'/'take' 'into' noun
				! 'carry'/'get'/'hold'/'take' 'on' noun
Action 36	Exit		! 'exit'/'out'/'outside'
				! 'stand'
				! 'stand' 'up'
				! 'carry'/'get'/'hold'/'take' 'out'
				! 'carry'/'get'/'hold'/'take' 'off'
				! 'carry'/'get'/'hold'/'take' 'up'
Action 37	GetOff		! 'carry'/'get'/'hold'/'take' 'off' noun
Action 38	VagueGo		! 'go'/'leave'/'run'/'walk'
Action 39	LMode1		! 'brief'/'normal'
Action 40	LMode2		! 'long'/'verbose'
Action 41	LMode3		! 'short'/'superbrie'
Action 42	Search		! 'search' noun
				! 'l//'/'look' 'inside' noun
				! 'l//'/'look' 'in' noun
				! 'l//'/'look' 'into' noun
				! 'l//'/'look' 'through' noun
Action 43	LookUnder	! 'l//'/'look' 'under' noun
Action 44	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 45	Lock		! 'lock' noun 'with' held
Action 46	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 47	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 48	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 49	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up'
Action 50	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 51	Eat		! 'eat' held
Action 52	Yes		! 'y//'/'yes'
Action 53	No		! 'no'
Action 54	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 55	Pray		! 'pray'
Action 56	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 57	Think		! 'think'
				! 
Action 58	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 59	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 60	Taste		! 'taste' noun
Action 61	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 62	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 63	Jump		! 'hop'/'jump'/'skip'
Action 64	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 65	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 66	Drink		! 'drink'/'sip'/'swallow' noun
Action 67	Fill		! 'fill' noun
Action 68	Sorry		! 'sorry'
Action 69	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' special
Action 70	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' special
Action 71	Swim		! 'dive'/'swim'
Action 72	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 73	Blow		! 'blow' held
Action 74	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 75	Set		! 'adjust'/'set' noun
Action 76	SetTo		! 'adjust'/'set' noun 'to' special
Action 77	WaveHands	! 'wave'
Action 78	Buy		! 'buy'/'purchase' noun
Action 79	Sing		! 'chant'/'recite'
				! 'sing'
Action 80	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up' noun
				! 'climb'/'scale' 'over' noun
Action 81	Sleep		! 'nap'/'sleep'
Action 82	Consult		! 'read' 'about' routine43636 'in' noun
				! 'read' routine43636 'in' noun
				! 'consult' noun 'about' routine43560
				! 'consult' noun 'on' routine43560
				! 'l//'/'look' 'up' routine43636 'in' noun
Action 83	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 84	Wave		! 'wave' noun
Action 85	Pull		! 'drag'/'pull' noun
Action 86	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 87	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 88	Wait		! 'wait'/'z//'
Action 89	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 90	Squeeze		! 'squash'/'squeeze' noun
Action 91	ThrowAt		! 'discard'/'drop'/'throw' held 'at' noun
				! 'discard'/'drop'/'throw' held 'against' noun
Action 92	Attack		! 'bang'/'knock' noun 'over'
				! 'bang'/'knock' 'over' noun
				! 'bang'/'knock' 'down' noun
				! 'bang'/'knock' noun 'down'
				! 'bang'/'knock' 'out' noun
				! 'bang'/'knock' noun 'out'
				! 'kick' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 93	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 94	Pronouns	! 'nouns'/'pronouns'
Action 95	Version		! 'version'
Action 96	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 97	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 98	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 99	ChantPrayer	! 'chant'/'recite' noun
				! 'sing' noun
Action 100	Scream		! 'scream'/'yell'
				! 'shout'
Action 101	KnockOn		! 'bang'/'knock' noun
				! 'bang'/'knock' 'at' noun
				! 'bang'/'knock' 'on' noun
Action 102	PaintSymbol	! 'draw'/'paint'/'sketch' 'sign'
				! 'draw'/'paint'/'sketch' 'sign' 'on' noun
				! 'draw'/'paint'/'sketch' 'symbol'
				! 'draw'/'paint'/'sketch' 'symbol' 'on' noun
				! 'draw'/'paint'/'sketch' 'epsilon'
				! 'draw'/'paint'/'sketch' 'epsilon' 'on' noun
Action 103	Lift		! 'lift' creature
Action 104	Follow		! 'follow' creature
Action 105	ThinkAbout	! 'think' 'about' noun
Action 106	Help		! 'about'/'clue'/'help'/'hint'
Action 107	WalkThrough	! 'walkthrou'/'walkthru'
Action 108	AskForHelp	! 'ask' animate 'for' 'help'
Action 109	Paint		! 'draw'/'paint'/'sketch' noun
				! 'draw'/'paint'/'sketch' noun 'on' noun
Action 110	Magic		! 'frotz'/'gnusto'/'plugh'/'rezrov'/'xyzzy'
				! 'frotz'/'gnusto'/'plugh'/'rezrov'/'xyzzy' routine43560

Word	afternoon	afternoon
Word	archaeolo	archaeolo
Word	archeolog	archeolog
Word	berntsson	berntsson
Word	bookshelf	bookshelf
Word	bookshelv	bookshelv
Word	buildings	buildings
Word	caelestae	caelestae
Word	caved-in	caved-in
Word	charles'	charles'
Word	cobblesto	cobblesto
Word	creatures	creatures
Word	crossroad	crossroad
Word	destroyed	destroyed
Word	elliptica	elliptica
Word	everythin	everythin
Word	explosion	explosion
Word	fireplace	fireplace
Word	fragments	fragments
Word	fullscore	fullscore
Word	horriblis	horriblis
Word	human-lo	human-lo
Word	inventory	inventory
Word	leather-	leather-
Word	lizard-l	lizard-l
Word	lovecraft	lovecraft
Word	mukhtar'	mukhtar'
Word	mysteriou	mysteriou
Word	nasty-lo	nasty-lo
Word	nightmare	nightmare
Word	northeast	northeast
Word	northwest	northwest
Word	paintings	paintings
Word	passersby	passersby
Word	photograp	photograp
Word	sacrifice	sacrifice
Word	sandstone	sandstone
Word	scratches	scratches
Word	seventeen	seventeen
Word	silhouett	silhouett
Word	something	something
Word	southeast	southeast
Word	southwest	southwest
Word	spectator	spectator
Word	spiderweb	spiderweb
Word	staircase	staircase
Word	star-fil	star-fil
Word	structure	structure
Word	superbrie	superbrie
Word	temple-l	temple-l
Word	toolchest	toolchest
Word	unconscio	unconscio
Word	walkthrou	walkthrou

Routine 0x45f8	routine17912:?
Routine 0x4600	routine17920:?
Routine 0x46a8	routine18088:?
Routine 0x46b4	routine18100:?
Routine 0x46bc	routine18108:?
Routine 0x4780	routine18304:?
Routine 0x48d0	routine18640:?
Routine 0x51d8	routine20952:?
Routine 0x527c	routine21116:?
Routine 0x539c	routine21404:?
Routine 0x53b4	routine21428:?
Routine 0x566c	routine22124:?
Routine 0x597c	routine22908:?
Routine 0x5c00	routine23552:?
Routine 0x5ccc	routine23756:?
Routine 0x5df8	routine24056:?
Routine 0x5e48	routine24136:?
Routine 0x5f28	routine24360:?
Routine 0x5fd8	routine24536:?
Routine 0x6014	routine24596:?
Routine 0x6048	routine24648:?
Routine 0x6098	routine24728:?
Routine 0x60c0	routine24768:?
Routine 0x60e0	routine24800:?
Routine 0x6110	routine24848:?
Routine 0x615c	routine24924:?
Routine 0x6170	routine24944:?
Routine 0x618c	routine24972:?
Routine 0x6204	routine25092:?
Routine 0x623c	routine25148:?
Routine 0x6314	routine25364:?
Routine 0x6338	routine25400:?
Routine 0x6384	routine25476:?
Routine 0x646c	routine25708:?
Routine 0x64a0	routine25760:?
Routine 0x64dc	routine25820:?
Routine 0x64f4	routine25844:?
Routine 0x6510	routine25872:?
