! Auto-generated by Reform.

MD5	570179d4f21b2f600862dbffbb5afc3e
Attribute 0	LIGHT	! obj24__KEEPER_ obj53__START_ obj55__PATH1_ obj56__PATH2_ obj57__PATH3_ obj58__PATH4_ obj59__PATH5_ obj60__GRAVE_ obj61__LAKE_ obj62__WALL1_ obj63__WALL2_ obj64__WALL3_ obj65__SANDPIT_ obj88__BEACH1_ obj89__BEACH2_ obj90__BEACH3_ obj98__BEACH0_ obj107__HILL1_ obj108__HILL2_ obj109__ERBROOM_ obj110__CAUSEWAY_ obj119__ISLE1_ obj120__ISLE2_ obj121__ISLE3_ obj122__ISLE4_ obj123__ISLE5_ obj124__ISLE6_ obj125__ISLE7_ obj126__LAKE2_
Attribute 1	INVIS ! obj71__BLACK2_ obj72__BLACK3_ obj73__BLACK4_ obj74__BLACK5_ obj75__BLACK6_ obj76__BLACK7_ obj77__BLACK8_ obj78__BLACK9_ obj79__BLACK10_ obj99__KEEP_
Attribute 2	HIDING ! obj70__BLACK1_ obj71__BLACK2_ obj72__BLACK3_ obj73__BLACK4_ obj74__BLACK5_ obj75__BLACK6_ obj76__BLACK7_ obj77__BLACK8_ obj78__BLACK9_ obj79__BLACK10_ obj81__ALTUNIV_ obj113__HOUSE1_ obj117__POLTROOM_ obj118__PLATFORM_
Attribute 3	NOTAKE ! obj10__OGRE_ obj15__MONSTER_ obj18__CENTAUR_ obj19__PIGEON_ obj21__TOAD_ obj22__MANTICORE_ obj24__KEEPER_ obj33__WIZARD_ obj35__LION_ obj36__BED_ obj39__DAUGHTER_ obj41__TROLL_ obj44__POLTERGEIST_ obj46__GOBLIN_ obj47__PIN_ obj49__CAULDRON_ obj50__CANNIBAL_ obj51__MISSIONARY_ obj61__LAKE_ obj88__BEACH1_ obj89__BEACH2_ obj90__BEACH3_ obj94__POOLRM_ obj98__BEACH0_ obj105__GEYSER_ obj110__CAUSEWAY_ obj119__ISLE1_ obj120__ISLE2_ obj121__ISLE3_ obj122__ISLE4_ obj123__ISLE5_ obj124__ISLE6_ obj126__LAKE2_
Attribute 5	ANIMATE	! obj10__OGRE_ obj15__MONSTER_ obj18__CENTAUR_ obj19__PIGEON_ obj21__TOAD_ obj22__MANTICORE_ obj24__KEEPER_ obj33__WIZARD_ obj35__LION_ obj39__DAUGHTER_ obj41__TROLL_ obj46__GOBLIN_ obj50__CANNIBAL_ obj51__MISSIONARY_

Property 2	prop2:?
Property 4	state:?
Property 5	message__1:?
Property 6	message__2:?
Property 7	message__3:?
Property 9	D_to:?
Property 10	E_to:?
Property 11	N_to:?
Property 12	NE_to:?
Property 13	NW_to:?
Property 14	S_to:?
Property 15	SE_to:?
Property 16	SW_to:?
Property 17	U_to:?
Property 18	W_to:?
Property 19	IN_to:?
Property 20	OUT_to:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Word	frankenst	frankenst
Word	greydeath	greydeath
Word	gutenburg	gutenburg
Word	inventory	inventory
Word	manticore	manticore
Word	missionar	missionar
Word	oozelumny	oozelumny
Word	poltergei	poltergei
Word	toadstone	toadstone

Routine 0x3b0c	routine15116:?
Routine 0x3b14	routine15124:?
Routine 0x3b1c	routine15132:?
Routine 0x3b24	routine15140:?
Routine 0x3b30	routine15152:?
Routine 0x3bc0	routine15296:?
