! Auto-generated by Reform.

MD5	1eef9c0fa009ca4adf4872cfc5249d45
Object 128	obj128_gypsum_flowers
Object 129	obj129_Gypsum_Flower_Gardens
Object 130	obj130_gypsum_flowers
Object 131	obj131_Gypsum_Flower_Gardens
Object 132	obj132_gypsum_flowers
Object 133	obj133_Gypsum_Flower_Gardens
Object 134	obj134_gypsum_flowers
Object 135	obj135_Gypsum_Flower_Gardens
Object 136	obj136_gypsum_flowers
Object 137	obj137_Gypsum_Flower_Gardens
Object 138	obj138_gypsum_flowers
Object 139	obj139_Gypsum_Flower_Gardens
Object 140	obj140_gypsum_flowers
Object 141	obj141_Obsidian_Door
Object 142	obj142_obsidian_door
Object 143	obj143_Black_Dragon_s_Lair
Object 144	obj144_torches
Object 145	obj145_ramp
Object 146	obj146_Black_Dragon
Object 147	obj147_ring
Object 148	obj148_At_the_Top_of_the_Ramp
Object 149	obj149_Black_Dragon
Object 150	obj150_boulders
Object 151	obj151_Black_Dragon
Object 152	obj152_ring_of_heat_resistance
Object 153	obj153_Black_Dragon_s_Antechamber
Object 154	obj154_platinum_bar
Object 155	obj155_map_of_Paris
Object 156	obj156_featureless_white_cube
Object 157	obj157_copper_fish_statue
Object 158	obj158_treasure
Object 159	obj159_Well_Lit_Passage
Object 160	obj160_mosses
Object 161	obj161_Sinkhole
Object 162	obj162_Steep_Cliff_Face
Object 163	obj163_cliff
Object 164	obj164_Red_Dragon_Gate
Object 165	obj165_cliff
Object 166	obj166_Red_Dragon_Gate
Object 167	obj167_Red_Dragon_s_Lair
Object 168	obj168_Red_Dragon
Object 169	obj169_Black_Dragon
Object 170	obj170_On_The_Divide
Object 171	obj171_Black_Dragon
Object 172	obj172_Red_Dragon
Object 173	obj173_coat_of_many_colors
Object 174	obj174_Red_Dragon_s_Plateau
Object 175	obj175_Red_Dragon
Object 176	obj176_wooden_chandelier
Object 177	obj177_burning_embers
Object 178	obj178_cave_structures
Object 179	obj179_River_of_Water
Object 180	obj180_In_the_River
Object 181	obj181_water
Object 182	obj182_Underground_River
Object 183	obj183_Pebble_Beach
Object 184	obj184_river
Object 185	obj185_pebbles
Object 186	obj186_Hall_of_the_Ancients
Object 187	obj187_mural
Object 188	obj188_intricate_tiles
Object 189	obj189_marble_columns
Object 190	obj190_lattices
Object 191	obj191_light
Object 192	obj192_Hall_of_the_Ancients
Object 193	obj193_mural
Object 194	obj194_Hall_of_the_Ancients
Object 195	obj195_mural
Object 196	obj196_Jewel_Room
Object 197	obj197_mirror
Object 198	obj198_pedestal
Object 199	obj199_radiant_blue_jewel
Object 200	obj200_Crags
Object 201	obj201_breeze
Object 202	obj202_remaining_patch_of_moss
Object 203	obj203_chandelier
Object 204	obj204_Fifth_Layer_of_the_Earth_s_Crust
Object 205	obj205_pits_and_shafts
Object 206	obj206_Jacob
Object 207	obj207_Jacob_s_equipment
Object 208	obj208_rucksack
Object 209	obj209_firebug
Object 210	obj210_gleaming_silver_sword
Object 211	obj211__self_object_

Attribute 0	animate			! obj20__self_object_ obj52_Amylyan_High_Priest obj146_Black_Dragon obj149_Black_Dragon obj151_Black_Dragon obj168_Red_Dragon obj169_Black_Dragon obj171_Black_Dragon obj172_Red_Dragon obj175_Red_Dragon obj206_Jacob obj211__self_object_
Attribute 2	clothing		! obj30_travelling_sack obj98_crampons obj107_coat_of_many_colors obj152_ring_of_heat_resistance obj173_coat_of_many_colors
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj27_lava_rocks obj28_ceiling_hole obj30_travelling_sack obj34_cave obj36_minerals obj37_onyx obj38_garnet obj39_quartz obj40_opal obj41_fault_line obj46_gaping_hole obj47_Sixth_Layer obj48_steep_outcrops obj49_firebug obj53_ebony_key obj55_narrow_crack obj57_vapor obj59_porous_wall obj63_ledge obj64_arm obj65_mineral_veins obj68_clothing obj69_crossbow obj71_scarlet_sash obj72_leather_boots obj73_bulge obj75_passage obj77_refuse obj78_pickaxe obj81_stalactites obj82_carved_steps obj84_spongy_moss obj85_dirty_floor obj86_trapdoor obj90_fungus obj91_red_and_white_mushroom obj92_round_object obj94_droplets_of_water obj97_label obj100_rocks obj104_ice_and_snow obj106_claws obj108_tail obj109_eyes obj110_fang obj111_mouth obj113_treasure obj116_lava_river_et_al_ obj118_lava_river_et_al_ obj120_cave obj121_river_of_lava obj123_lava obj126_strange_fossilized_outcroppings obj128_gypsum_flowers obj130_gypsum_flowers obj132_gypsum_flowers obj134_gypsum_flowers obj136_gypsum_flowers obj138_gypsum_flowers obj140_gypsum_flowers obj144_torches obj145_ramp obj147_ring obj149_Black_Dragon obj150_boulders obj152_ring_of_heat_resistance obj160_mosses obj163_cliff obj165_cliff obj171_Black_Dragon obj172_Red_Dragon obj181_water obj184_river obj185_pebbles obj187_mural obj188_intricate_tiles obj189_marble_columns obj190_lattices obj191_light obj193_mural obj195_mural obj200_Crags obj201_breeze obj202_remaining_patch_of_moss obj203_chandelier obj205_pits_and_shafts obj207_Jacob_s_equipment obj211__self_object_
Attribute 4	container		! obj30_travelling_sack obj46_gaping_hole obj55_narrow_crack obj58_geyser obj69_crossbow obj72_leather_boots obj106_claws obj107_coat_of_many_colors obj109_eyes obj111_mouth obj121_river_of_lava obj173_coat_of_many_colors obj179_River_of_Water obj208_rucksack
Attribute 5	door			! obj41_fault_line obj43_narrow_hole obj75_passage obj86_trapdoor obj101_ice_block obj142_obsidian_door obj166_Red_Dragon_Gate
Attribute 6	edible			! obj31_moon_salt obj88_lye
Attribute 9	light			! obj24_fine_pair_of_glowing_hands obj26_Rocky_Plateau__Sixth_Layer obj160_mosses obj211__self_object_
Attribute 11	locked			! obj142_obsidian_door obj166_Red_Dragon_Gate
Attribute 14	open			! obj43_narrow_hole obj46_gaping_hole obj55_narrow_crack obj58_geyser obj69_crossbow obj72_leather_boots
Attribute 15	openable		! obj30_travelling_sack obj96_air_bladder obj106_claws obj109_eyes obj111_mouth obj142_obsidian_door obj166_Red_Dragon_Gate
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj206_Jacob obj207_Jacob_s_equipment obj211__self_object_
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj27_lava_rocks obj28_ceiling_hole obj34_cave obj36_minerals obj37_onyx obj38_garnet obj39_quartz obj40_opal obj41_fault_line obj43_narrow_hole obj46_gaping_hole obj47_Sixth_Layer obj51_hazy_mist obj55_narrow_crack obj57_vapor obj58_geyser obj65_mineral_veins obj68_clothing obj75_passage obj77_refuse obj81_stalactites obj82_carved_steps obj85_dirty_floor obj86_trapdoor obj90_fungus obj91_red_and_white_mushroom obj94_droplets_of_water obj100_rocks obj101_ice_block obj104_ice_and_snow obj108_tail obj113_treasure obj116_lava_river_et_al_ obj118_lava_river_et_al_ obj120_cave obj121_river_of_lava obj123_lava obj126_strange_fossilized_outcroppings obj142_obsidian_door obj144_torches obj147_ring obj158_treasure obj160_mosses obj163_cliff obj165_cliff obj166_Red_Dragon_Gate obj176_wooden_chandelier obj178_cave_structures obj179_River_of_Water obj181_water obj184_river obj185_pebbles obj187_mural obj188_intricate_tiles obj189_marble_columns obj190_lattices obj191_light obj193_mural obj195_mural obj200_Crags obj201_breeze obj202_remaining_patch_of_moss obj203_chandelier obj205_pits_and_shafts obj207_Jacob_s_equipment
Attribute 18	scored			! obj44_Fifth_Layer_Dropoff obj60_Shaft_Base obj74_lockpick obj107_coat_of_many_colors obj141_Obsidian_Door obj148_At_the_Top_of_the_Ramp obj152_ring_of_heat_resistance obj167_Red_Dragon_s_Lair obj182_Underground_River
Attribute 19	static			! obj24_fine_pair_of_glowing_hands obj29_body obj48_steep_outcrops obj49_firebug obj59_porous_wall obj63_ledge obj64_arm obj67_body obj71_scarlet_sash obj72_leather_boots obj73_bulge obj92_round_object obj95_skeleton obj97_label obj105_White_Dragon obj106_claws obj109_eyes obj110_fang obj111_mouth obj128_gypsum_flowers obj130_gypsum_flowers obj132_gypsum_flowers obj134_gypsum_flowers obj136_gypsum_flowers obj138_gypsum_flowers obj140_gypsum_flowers obj145_ramp obj150_boulders obj197_mirror obj198_pedestal
Attribute 20	supporter		! obj29_body obj48_steep_outcrops obj96_air_bladder obj105_White_Dragon obj151_Black_Dragon obj198_pedestal
Attribute 23	transparent		! obj20__self_object_ obj211__self_object_
Attribute 27	male			! obj29_body obj105_White_Dragon obj146_Black_Dragon obj149_Black_Dragon obj151_Black_Dragon obj171_Black_Dragon obj172_Red_Dragon obj206_Jacob
Attribute 28	female			! obj52_Amylyan_High_Priest obj67_body obj168_Red_Dragon obj175_Red_Dragon
Attribute 30	pluralname		! obj27_lava_rocks obj36_minerals obj48_steep_outcrops obj65_mineral_veins obj72_leather_boots obj81_stalactites obj82_carved_steps obj94_droplets_of_water obj98_crampons obj100_rocks obj106_claws obj110_fang obj126_strange_fossilized_outcroppings obj144_torches obj150_boulders obj160_mosses obj185_pebbles obj188_intricate_tiles obj189_marble_columns obj190_lattices obj205_pits_and_shafts

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:string
Property 6	life:string
Property 7	n_to:?
Property 8	s_to:?
Property 9	e_to:thing
Property 10	w_to:?
Property 11	ne_to:?
Property 12	se_to:thing
Property 13	nw_to:thing
Property 14	sw_to:?
Property 15	u_to:thing
Property 16	d_to:thing
Property 19	door_to:string
Property 21	door_dir:?
Property 24	add_to_scope:?
Property 26	react_before:?
Property 29	orders:thing
Property 30	initial:thing
Property 31	when_open:string
Property 32	when_closed:string
Property 35	description:thing
Property 36	describe:dictword
Property 37	article:string
Property 38	cant_go:string
Property 39	found_in:?
Property 41	number:?
Property 42	time_out:dictword
Property 43	daemon:string
Property 44	each_turn:?
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:?
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	last_object:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'pour'/'put' 'down' multiheld
				! 'pour'/'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'pour'/'put' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert'/'load' multiexcept 'in'/'into' noun
				! 'pour'/'put' multiexcept 'in'/'inside'/'into' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine70040
				! 'go'/'run'/'walk' noun=routine70040
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
Action 32	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun 'with' held
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 39	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'pour'/'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 'y//'/'yes'
Action 45	No		! 'no'
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
				! 'awake'/'awaken'/'wake' noun
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
				! 'embrace'/'hug'/'kiss' noun
Action 51	Think		! 'think'
Action 52	Smell		! 'inhale'/'smell'/'smoke'/'sniff'
				! 'inhale'/'smell'/'smoke'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 56	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
				! 'chop'/'cut'/'prune'/'slice' noun 'with' held
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
				! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 66	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kick'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kick'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun 'with' held
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
				! 'blow' 'up' noun
				! 'blow' noun
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
				! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun 'with' held
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull' noun
Action 76	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
				! 'climb'/'scale' 'on' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 93	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 94	Shoot		! 'shoot' noun 'with' held
				! 'shoot' held 'at' noun
Action 95	Version		! 'version'
Action 96	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 97	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 98	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 99	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 100	knock		! 'knock' 'on' noun
Action 101	xyzzy		! 'xyzzy'
Action 102	info		! 'about'/'help'/'info'
Action 103	bypass		! 'bypass'

Word	airbladde	airbladde
Word	antechamb	antechamb
Word	black7	black7
Word	blue7a	blue7a
Word	campaigne	campaigne
