! Auto-generated by Reform.

MD5	d8e1578470cbc676e013e03d72c93141
Object 141	obj141_hot_air_balloon
Object 142	obj142_flathead
Object 143	obj143_raft
Object 144	obj144_Display_Unit
Object 145	obj145_yellow_button
Object 146	obj146_cover
Object 147	obj147_sealed_door
Object 148	obj148_sign
Object 149	obj149_quint_Zorkmid_coin__tied_to_tinsel
Object 150	obj150_Cage
Object 151	obj151_sign
Object 152	obj152_bars
Object 153	obj153_Maze
Object 154	obj154_rat_ants
Object 155	obj155_Museum_of_Illusion
Object 156	obj156_busts
Object 157	obj157_bust_of_Marc_Blank
Object 158	obj158_bust_of_Mike_Berlyn
Object 159	obj159_slot
Object 160	obj160_broken_sword
Object 161	Ribs
Object 162	obj162_Museum_of_Adventure
Object 163	obj163_door
Object 164	obj164_sign
Object 165	obj165_plaque
Object 166	obj166_pile_of_bones
Object 167	obj167_skeleton
Object 168	obj168_ribs
Object 169	obj169_first_rib
Object 170	obj170_second_rib
Object 171	obj171_third_rib
Object 172	obj172_fourth_rib
Object 173	obj173_fifth_rib
Object 174	obj174_sixth_rib
Object 175	obj175_spine
Object 176	obj176_leg_bones
Object 177	obj177_skull
Object 178	obj178_Janitor_s_Closet
Object 179	obj179_shelves
Object 180	obj180_aerosol_can

Attribute 0	animate			! obj20_yourself obj54_salesman obj154_rat_ants obj157_bust_of_Marc_Blank obj158_bust_of_Mike_Berlyn
Attribute 1	clothing		! obj50_glasses Gloves Masks Bodies obj69_hairy_gloves obj70_spiked_gloves obj71_bloody_gloves obj72_stumpy_gloves obj73_blistered_gloves obj74_scaly_gloves obj75_razor_like_gloves obj76_suction_cupped_gloves obj77_slimy_mask obj78_pock_marked_mask obj79_four_eyed_mask obj80_decomposing_mask obj81_fish_mouthed_mask obj82_lizard_like_mask obj83_fungus_like_mask obj84_humanoid_mask obj85_gelatinous_body_suit obj86_feathered_body_suit obj87_glowing_fur_covered_body_suit obj88_rainbow_striped_body_suit obj89_armor_plated_body_suit obj90_sponge_like_body_suit obj91_blood_oozing_body_suit obj92_semi_transparent_body_suit
Attribute 2	concealed		! obj6_compass obj20_yourself obj104_red_lens obj105_blue_lens obj106_green_lens obj107_yellow_lens obj108_black_lens Shapes obj131_circle obj132_square obj133_triangle obj134_pentagon obj136_tinsel obj137_glass_ball
Attribute 3	container		! obj45_trash_chute obj103_footlights obj117_steamer_trunk Shapes obj131_circle obj132_square obj133_triangle obj134_pentagon obj135_tree obj159_slot
Attribute 4	door			! obj27_tunnel obj35_tunnel obj39_door obj45_trash_chute obj101_curtain obj114_curtain
Attribute 9	light			! obj26_New_Excavation obj28_brass_lantern obj42_Convention_Hall obj103_footlights obj178_Janitor_s_Closet
Attribute 10	lockable		! obj163_door
Attribute 11	locked			! obj163_door
Attribute 14	open			! obj27_tunnel obj35_tunnel obj39_door obj45_trash_chute obj50_glasses obj103_footlights Shapes obj131_circle obj132_square obj133_triangle obj134_pentagon obj135_tree obj159_slot
Attribute 15	openable		! obj39_door obj117_steamer_trunk
Attribute 16	proper			! obj20_yourself
Attribute 17	scenery			! obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_southeast_wall obj13_northwest_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj27_tunnel obj30_hole obj32_tunnel obj33_boulders obj35_tunnel obj36_decoration obj37_sign obj39_door obj40_sign obj41_floor obj44_reader_board obj45_trash_chute obj55_mask obj56_counter obj64_notice obj93_mirror obj94__blanknote_ obj96_seats obj98_seats obj100_stairs obj101_curtain obj102_bow obj103_footlights obj109_switch obj110_candle obj111_rubble obj112_roses obj114_curtain obj115_sandbags obj116_ropes obj119_travel_stickers obj120_scrims obj121_scenery obj122_costumes obj124_reader_boards obj125_letters obj129_picture obj130_symbols obj139_mailbox obj140_cardboard obj144_Display_Unit obj147_sealed_door obj148_sign obj151_sign obj152_bars obj156_busts obj157_bust_of_Marc_Blank obj158_bust_of_Mike_Berlyn obj159_slot Ribs obj163_door obj164_sign obj165_plaque obj166_pile_of_bones obj167_skeleton obj168_ribs obj169_first_rib obj170_second_rib obj171_third_rib obj172_fourth_rib obj173_fifth_rib obj174_sixth_rib obj175_spine obj176_leg_bones obj177_skull obj179_shelves
Attribute 18	scored			! obj118_quint_Zorkmid_coin obj180_aerosol_can
Attribute 19	static			! obj39_door obj117_steamer_trunk Shapes obj131_circle obj132_square obj133_triangle obj134_pentagon
Attribute 20	supporter		! obj56_counter obj179_shelves
Attribute 23	transparent		! obj20_yourself obj50_glasses obj144_Display_Unit

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:string
Property 6	life:?
Property 7	n_to/door_to:?
Property 8	s_to/when_closed/when_off:?
Property 9	e_to/with_key:?
Property 10	w_to/door_dir:?
Property 11	ne_to/react_before:thing
Property 12	se_to/add_to_scope:?
Property 13	nw_to/react_after:?
Property 14	sw_to/list_together:thing
Property 15	u_to/invent:thing
Property 16	d_to/plural:?
Property 17	in_to/grammar:thing
Property 18	out_to/orders:thing
Property 19	initial/when_open/when_on:thing
Property 20	description:?
Property 21	describe:dictword
Property 22	article:string
Property 23	cant_go:string
Property 26	number:?
Property 27	time_out/daemon:?
Property 28	each_turn:dictword
Property 29	capacity:?
Property 30	short_name:thing
Property 31	parse_name:?
Property 72	grue:?
Property 73	oracle:?
Property 74	conv:?
Property 75	parserc:?
Property 76	oraccostume:?
Property 77	oracglasses:?
Property 78	oraclamp:?
Property 79	oracsword:?
Property 80	closetd:string
Property 81	conventd:?
Property 82	oracled:string
Property 83	grued:?
Property 84	lanternd:string
Property 85	shirk:?
Property 86	ending:string
Property 87	cglove:string
Property 88	cmask:string
Property 89	cbod:string
Property 90	checklens:string
Property 91	lean:string
Property 92	counter:?
Property 93	adjective:string
Property 94	wander:dictword
Property 95	list_lights:?
Property 96	color:string
Property 97	shape:string
Property 98	floordesc:string
Property 99	checkact:?
Property 100	handfull:string
Property 101	state:?
Property 102	fed:?
Property 103	die:string
Property 104	moveants:string
Property 105	fans:string
Property 106	eatbar:string
Property 107	check:?
Property 108	startants:string
Property 109	dead:?
Property 110	rib:?
Property 111	oracle1:string
Property 112	oracle2:?
Property 113	mkormc:string
Property 114	try_in:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Go		! 'go'/'leave'/'run'/'walk' noun=routine86108
Action 1	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'carry'/'get'/'take' multi
Action 2	Answer		! 'speak' routine86116 'to' creature
				! 'answer'/'say'/'shout' routine86116 'to' creature
Action 3	Ask		! 'ask' creature 'about' routine86116
Action 4	AskFor		! 'ask' creature 'for' noun
Action 5	Tell		! 'tell' creature 'about' routine86116
Action 6	Remove		! 'remove' multiinside 'from' noun
				! 'carry'/'get'/'take' multiinside 'from' noun
				! 'carry'/'get'/'take' multiinside 'off' noun
Action 7	Look		! 'l//'/'look'
Action 8	GiveR		! 'feed'/'give'/'offer'/'pay' creature held
Action 9	ShowR		! 'display'/'present'/'show' creature held
Action 10	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 11	Show		! 'display'/'present'/'show' held 'to' creature
Action 12	Quit		! 'die'/'q//'/'quit'
Action 13	Restart		! 'restart'
Action 14	Restore		! 'restore'
Action 15	Save		! 'save'
Action 16	Verify		! 'verify'
Action 17	ScriptOn	! 'script'
				! 'script' 'on'
Action 18	ScriptOff	! 'noscript'/'unscript'
				! 'script' 'off'
Action 19	NotifyOn	! 'notify' 'on'
Action 20	NotifyOff	! 'notify' 'off'
Action 21	Places		! 'places'
Action 22	Objects		! 'objects'
Action 23	Score		! 'score'
Action 24	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 25	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'get'/'take' 'inventory'
Action 26	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 27	Insert		! 'discard'/'drop' multiexcept 'in' noun
				! 'discard'/'drop' multiexcept 'into' noun
				! 'discard'/'drop' multiexcept 'down' noun
				! 'insert' multiexcept 'in' noun
				! 'insert' multiexcept 'into' noun
				! 'put' multiexcept 'in' noun
				! 'put' multiexcept 'inside' noun
				! 'put' multiexcept 'into' noun
Action 28	Drop		! 'lower' held
				! 'discard'/'drop' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 29	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'get'/'take' 'off' worn
Action 30	PutOn		! 'discard'/'drop' multiexcept 'on' noun
				! 'discard'/'drop' multiexcept 'onto' noun
				! 'put' multiexcept 'on' noun
				! 'put' multiexcept 'onto' noun
Action 31	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 32	EmptyT		! 'empty' noun 'to' noun
				! 'empty' noun 'into' noun
				! 'empty' noun 'on' noun
				! 'empty' noun 'onto' noun
Action 33	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 34	Enter		! 'climb'/'scale' 'in' noun
				! 'climb'/'scale' 'up' noun
				! 'climb'/'scale' 'on' noun
				! 'climb'/'scale' 'into' noun
				! 'lie'/'sit' 'on' noun
				! 'lie'/'sit' 'in' noun
				! 'lie'/'sit' 'inside' noun
				! 'cross'/'enter' noun
				! 'go'/'leave'/'run'/'walk' noun
				! 'go'/'leave'/'run'/'walk' 'into' noun
				! 'go'/'leave'/'run'/'walk' 'in' noun
				! 'go'/'leave'/'run'/'walk' 'inside' noun
				! 'go'/'leave'/'run'/'walk' 'through' noun
				! 'go'/'leave'/'run'/'walk' 'down' noun
				! 'stand' 'on' noun
				! 'carry'/'get'/'take' 'in' noun
				! 'carry'/'get'/'take' 'into' noun
				! 'carry'/'get'/'take' 'on' noun
Action 35	Exit		! 'exit'/'out'/'outside'
				! 'exit'/'out'/'outside' noun
				! 'stand'
				! 'stand' 'up'
				! 'carry'/'get'/'take' 'out'
				! 'carry'/'get'/'take' 'off'
				! 'carry'/'get'/'take' 'up'
Action 36	GetOff		! 'carry'/'get'/'take' 'off' noun
Action 37	VagueGo		! 'go'/'leave'/'run'/'walk'
Action 38	LMode1		! 'brief'/'normal'
Action 39	LMode2		! 'long'/'verbose'
Action 40	LMode3		! 'short'/'superbrie'
Action 41	Search		! 'search' noun
				! 'l//'/'look' 'inside' noun
				! 'l//'/'look' 'in' noun
				! 'l//'/'look' 'into' noun
				! 'l//'/'look' 'through' noun
Action 42	LookUnder	! 'l//'/'look' 'under' noun
Action 43	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 44	Lock		! 'lock' noun 'with' held
Action 45	SwitchOn	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
				! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				!  noun 'on'
				!  'on' noun
Action 46	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				!  noun 'off'
				!  'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 47	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 48	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up'
Action 49	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 50	Eat		! 'eat' noun
				!  held
Action 51	Yes		! 'y//'/'yes'
Action 52	No		! 'no'
Action 53	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 54	Pray		! 'pray'
Action 55	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 56	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 57	Think		! 'think'
Action 58	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 59	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 60	Taste		! 'lick'/'taste' noun
Action 61	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 62	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 63	Jump		! 'hop'/'jump'/'skip'
Action 64	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 65	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 66	Drink		! 'drink'/'sip'/'swallow' noun
Action 67	Fill		! 'fill' noun
Action 68	Sorry		! 'sorry'
Action 69	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' special
Action 70	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' special
Action 71	Swim		! 'dive'/'swim'
Action 72	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 73	Blow		!  held
Action 74	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 75	Set		! 'adjust'/'set' noun
Action 76	SetTo		! 'adjust'/'set' noun 'to' special
Action 77	WaveHands	! 'wave'
Action 78	Buy		! 'buy'/'purchase' noun
Action 79	Sing		! 'hum'/'sing'
Action 80	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up' noun
				! 'climb'/'scale' 'over' noun
				!  noun
				!  'up' noun
				!  'over' noun
Action 81	Sleep		! 'nap'/'sleep'
Action 82	Consult		! 'read' 'about' routine86192 'in' noun
				! 'read' routine86192 'in' noun
				! 'consult' noun 'about' routine86116
				! 'consult' noun 'on' routine86116
				! 'l//'/'look' 'up' routine86192 'in' noun
Action 83	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 84	Wave		! 'wave' noun
Action 85	Pull		! 'yank@:y' noun
				! 'drag'/'pull' noun
Action 86	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 87	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
				!  noun
Action 88	Wait		! 'wait'/'z//'
Action 89	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 90	Squeeze		! 'squash'/'squeeze' noun
Action 91	ThrowAt		! 'throw' held 'at' noun
				! 'throw' held 'against' noun
				! 'throw' held 'on' noun
				! 'throw' held 'onto' noun
				! 'discard'/'drop' held 'at' noun
				! 'discard'/'drop' held 'against' noun
Action 92	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun 'with' noun
				! 'kick'/'shake'/'stab' noun
Action 93	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 94	Throw		! 'throw' held
Action 95	Douse		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'blow' 'out' noun
				! 'douse'/'extinguis' noun
Action 96	Talk		! 'speak' 'to' creature
				! 'talk' 'to' creature
				! 'consult' 'with' noun
				! 'consult' noun
Action 97	Hello		! 'hello'/'hi'
Action 98	Find		! 'find'/'locate' noun
Action 99	Vandal		! 'arrange'/'rearrange'/'sort'/'vandalize' noun
Action 100	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 101	Lift		! 'lift'/'raise' noun
Action 102	Hold		! 'hold' noun
Action 103	Release		! 'let' 'go' 'of' noun
				! 'let' 'go' noun
				! 'let' noun 'go'
				! 'release' noun
Action 104	Untie		! 'detach'/'untie' noun
				! 'detach'/'untie' noun 'from' noun
Action 105	Bend		! 'bend' noun
Action 106	Pry		! 'pry' noun 'with' held
Action 107	Spray		! 'spray' noun
Action 108	Sprayat		! 'spray' held 'at' noun
Action 109	Sprayon		! 'spray' held 'on' noun
Action 110	Pronouns	! 'nouns'/'pronouns'
Action 111	Version		! 'version'
Action 112	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 113	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 114	Query		! 'what'/'who' 'is' scope=routine86308
				! 'what'/'who' 'are' scope=routine86308
				! 'what'/'who' 'was' scope=routine86308
				! 'what'/'who' 'were' scope=routine86308
Action 115	Xyzzy		! 'xyzzy'
Action 116	Zork		! 'zork'
Action 117	Help		! 'help'
Action 118	Sailor		! 'hello'/'hi' 'sailor'
Action 119	Diagnose	! 'diagnose'
Action 120	Time		! 'time'
Action 121	Use		! 'use' noun

Word	adventure	adventure
Word	armor-pl	armor-pl
Word	blistered	blistered
Word	blood-oo	blood-oo
Word	cardboard	cardboard
Word	cheaply-	cheaply-
Word	chewed-u	chewed-u
Word	christmas	christmas
Word	coin-siz	coin-siz
Word	crystalli	crystalli
Word	decomposi	decomposi
Word	evergreen	evergreen
Word	everythin	everythin
Word	extinguis	extinguis
Word	feathered	feathered
Word	fish-mou	fish-mou
Word	flatheads	flatheads
Word	footlight	footlight
Word	four-eye	four-eye
Word	fullscore	fullscore
Word	fungus-l	fungus-l
Word	fur-cove	fur-cove
Word	gargoyles	gargoyles
Word	gelatinou	gelatinou
Word	glowing/	glowing/
Word	implement	implement
Word	inscripti	inscripti
Word	inventory	inventory
Word	lizard-l	lizard-l
Word	multi-im	multi-im
Word	northeast	northeast
Word	northwest	northwest
Word	pock-mar	pock-mar
Word	porcelain	porcelain
Word	postcards	postcards
Word	quint-zo	quint-zo
Word	rainbow-	rainbow-
Word	rat-ants	rat-ants
Word	razor-li	razor-li
Word	rearrange	rearrange
Word	repellent	repellent
Word	semi-tra	semi-tra
Word	seventeen	seventeen
Word	southeast	southeast
Word	southwest	southwest
Word	sponge-l	sponge-l
Word	subterran	subterran
Word	suction-	suction-
Word	superbrie	superbrie
Word	transpare	transpare
Word	vandalize	vandalize
Word	vegitatus	vegitatus

Routine 0x4898	routine18584:?
Routine 0x48a0	routine18592:?
Routine 0x48a8	routine18600:?
Routine 0x496c	routine18796:?
Routine 0x4abc	routine19132:?
Routine 0x55a4	routine21924:?
Routine 0x5648	routine22088:?
Routine 0x5768	routine22376:?
Routine 0x5780	routine22400:?
Routine 0x5a38	routine23096:?
Routine 0x5d74	routine23924:?
Routine 0x5ff8	routine24568:?
Routine 0x60c4	routine24772:?
Routine 0x61f0	routine25072:?
Routine 0x6240	routine25152:?
Routine 0x6320	routine25376:?
Routine 0x63d0	routine25552:?
Routine 0x640c	routine25612:?
Routine 0x6440	routine25664:?
Routine 0x6490	routine25744:?
Routine 0x64b8	routine25784:?
Routine 0x64d8	routine25816:?
Routine 0x6508	routine25864:?
