! Auto-generated by Reform.

MD5	425fa66869309d7ed7f8ef04a492fbb7
Object 73	obj73_Near_the_Nile
Object 74	obj74_quantity_of_water
Object 75	obj75_pyramid
Object 76	obj76_tent
Object 77	obj77_blackened_rock
Object 78	obj78_Fire_Pit
Object 79	obj79_pit
Object 80	obj80_thicket
Object 81	obj81_Nile
Object 82	obj82_River_Bank
Object 83	obj83_crocodile
Object 84	obj84_second_brick
Object 85	obj85_third_brick
Object 86	obj86_fourth_brick
Object 87	obj87_fifth_brick
Object 88	obj88_sixth_brick
Object 89	obj89_seventh_brick
Object 90	obj90_eighth_brick
Object 91	obj91_ninth_brick
Object 92	obj92_first_brick
Object 93	obj93_recessed_panel
Object 94	obj94_Turning_Passage
Object 95	obj95_Cube
Object 96	obj96_Cube
Object 97	obj97_Cube
Object 98	obj98_Cube
Object 99	obj99_Cube
Object 100	obj100_Cube
Object 101	obj101_Cube
Object 102	obj102_Cube
Object 103	obj103_papyrus_scroll
Object 104	obj104_wooden_beam
Object 105	obj105_shim
Object 106	obj106_slot
Object 107	obj107_knothole
Object 108	obj108_mast_hole
Object 109	obj109_plank
Object 110	obj110_West_End_of_Hold
Object 111	obj111_Below_Deck
Object 112	obj112_Aft_Cabin
Object 113	obj113_Fore_Cabin
Object 114	obj114_Center_of_Barge
Object 115	obj115_Barge_Chamber
Object 116	obj116_Barge_Chamber
Object 117	obj117_Barge_Chamber
Object 118	obj118_Barge_Chamber
Object 119	obj119_Barge_Chamber
Object 120	obj120_Barge_Chamber
Object 121	obj121_Narrow_Hallway
Object 122	obj122_Narrow_Hallway
Object 123	obj123_South_Landing
Object 124	obj124_stone_door
Object 125	obj125_Southeast_Hallway
Object 126	obj126_stone_door
Object 127	obj127_Southwest_Hallway
Object 128	obj128_stone_door
Object 129	obj129_Northeast_Hallway
Object 130	obj130_stone_door
Object 131	obj131_Northwest_Hallway
Object 132	obj132_broken_head
Object 133	obj133_large_statue
Object 134	obj134_quartz
Object 135	obj135_Room_of_Neith
Object 136	obj136_opal_cluster
Object 137	obj137_Room_of_Isis
Object 138	obj138_emerald_cluster
Object 139	obj139_Room_of_Selkis
Object 140	obj140_ruby_cluster
Object 141	obj141_Circular_Room
Object 142	obj142_golden_cluster
Object 143	obj143_diamond_cluster
Object 144	obj144_tile
Object 145	obj145_Room_of_Nephthys
Object 146	obj146_small_spatula
Object 147	obj147_ancient_book
Object 148	obj148_page
Object 149	obj149_ancient_book
Object 150	obj150_scarab
Object 151	obj151_larger_recess
Object 152	obj152_smaller_recess
Object 153	obj153_quartz_cover
Object 154	obj154_sarcophagus
Object 155	obj155_arms
Object 156	obj156_Selkis_statue
Object 157	obj157_Neith_statue
Object 158	obj158_Nephthys_statue
Object 159	obj159_Isis_statue
Object 160	obj160_seal
Object 161	obj161_plaster
Object 162	obj162_inner_door
Object 163	obj163_plaster
Object 164	obj164_small_niche
Object 165	obj165_Narrow_Passageway
Object 166	obj166_Narrow_Passageway
Object 167	obj167_Bottom_of_Stairs
Object 168	obj168_Top_of_Stairway
Object 169	obj169_middle_disc
Object 170	obj170_right_disc
Object 171	obj171_left_disc
Object 172	obj172_granite_table
Object 173	obj173_Treasury
Object 174	obj174_Burial_Chamber
Object 175	obj175_first_hole
Object 176	obj176_second_hole
Object 177	obj177_third_hole
Object 178	obj178_fourth_hole
Object 179	obj179_thin_seam
Object 180	obj180_slab
Object 181	obj181_Annex
Object 182	obj182_plaster_dust
Object 183	obj183_plaster_dust
Object 184	obj184_rocks
Object 185	obj185_annex_door
Object 186	obj186_Antechamber
Object 187	obj187_Narrow_Passageway
Object 188	obj188_timber_frame
Object 189	obj189_tiles
Object 190	obj190_gem
Object 191	obj191_deep_pit
Object 192	obj192_Antechamber
Object 193	obj193_timber_lintel
Object 194	obj194_burial_door
Object 195	obj195_Antechamber
Object 196	obj196_liquid
Object 197	obj197_pink_jar
Object 198	obj198_bronze_torch
Object 199	obj199_stone_altar
Object 200	obj200_On_the_Steep_Stairs
Object 201	obj201_few_steps
Object 202	obj202_narrow_staircase
Object 203	obj203_winding_staircase
Object 204	obj204_wide_staircase
Object 205	obj205_steep_staircase
Object 206	obj206_Chamber_of_Ra
Object 207	obj207_such_thing
Object 208	obj208_thicket
Object 209	obj209_flap
Object 210	obj210_deck
Object 211	obj211_barge
Object 212	obj212_pillars
Object 213	obj213_decorations
Object 214	obj214_hieroglyphs
Object 215	obj215_sip_of_water
Object 216	obj216_airplane
Object 217	obj217_parachute
Object 218	obj218_stairs
Object 219	obj219_panel
Object 220	obj220_doorway
Object 221	obj221_you
Object 222	obj222
Object 223	obj223_cretin
Object 224	obj224_empty_hands
Object 225	obj225_ceiling
Object 226	obj226_wall
Object 227	obj227_bulkhead
Object 228	obj228
Object 229	obj229_key
Object 230	obj230_stones
Object 231	obj231_writing_implement
Object 232	obj232_hole
Object 233	obj233_sand
Object 234	obj234_crack
Object 235	obj235_floor
Object 236	obj236_air
Object 237	obj237_random_object
Object 238	obj238_pseudo
Object 239	obj239_direction
Object 240	obj240_number
Object 241	obj241_blessings
Object 242	obj242_finger
Object 243	obj243_Dracula
Object 244	obj244_such_thing
Object 245	obj245_gasoline
Object 246	obj246_Basie
Object 247	obj247
Object 248	obj248
Object 249	obj249

Attribute 1	attrib1			! obj156_Selkis_statue obj157_Neith_statue obj158_Nephthys_statue obj159_Isis_statue
Attribute 2	attrib2			! obj1_tiny_needle obj2_jeweled_ring obj6_granite_table obj9_granite_table obj14_glittering_leaf obj43_manual obj52_opening obj67_blackened_rocks obj76_tent obj79_pit obj80_thicket obj81_Nile obj83_crocodile obj93_recessed_panel obj105_shim obj106_slot obj107_knothole obj108_mast_hole obj109_plank obj134_quartz obj148_page obj151_larger_recess obj152_smaller_recess obj153_quartz_cover obj154_sarcophagus obj155_arms obj161_plaster obj162_inner_door obj163_plaster obj164_small_niche obj169_middle_disc obj170_right_disc obj171_left_disc obj172_granite_table obj175_first_hole obj176_second_hole obj177_third_hole obj178_fourth_hole obj179_thin_seam obj180_slab obj182_plaster_dust obj183_plaster_dust obj184_rocks obj188_timber_frame obj189_tiles obj193_timber_lintel obj196_liquid obj199_stone_altar
Attribute 3	attrib3			! obj10_Silver_Alcove obj11_Silver_Room obj13_Golden_Alcove obj15_Golden_Room obj16_Inner_Chamber obj17_Temple_Chamber obj18_Steep_Passageway obj19_Steep_Passageway obj20_Steep_Passageway obj26_Desert obj53_Desert obj54_Desert obj55_Desert obj56_Desert obj57_Desert obj58_Desert obj59_Desert obj60_Desert obj61_Desert obj62_Work_Tent obj63_Southern_Path obj64_Outside_Work_Tent obj65_Southern_Path obj66_Middle_Path obj68_Outside_Supply_Tent obj69_Supply_Tent obj70_Northern_Path obj71_Your_Tent obj72_Outside_Your_Tent obj73_Near_the_Nile obj78_Fire_Pit obj82_River_Bank obj94_Turning_Passage obj95_Cube obj96_Cube obj97_Cube obj98_Cube obj99_Cube obj100_Cube obj101_Cube obj102_Cube obj110_West_End_of_Hold obj111_Below_Deck obj112_Aft_Cabin obj113_Fore_Cabin obj114_Center_of_Barge obj115_Barge_Chamber obj116_Barge_Chamber obj117_Barge_Chamber obj118_Barge_Chamber obj119_Barge_Chamber obj120_Barge_Chamber obj121_Narrow_Hallway obj122_Narrow_Hallway obj123_South_Landing obj125_Southeast_Hallway obj127_Southwest_Hallway obj129_Northeast_Hallway obj131_Northwest_Hallway obj135_Room_of_Neith obj137_Room_of_Isis obj139_Room_of_Selkis obj141_Circular_Room obj145_Room_of_Nephthys obj165_Narrow_Passageway obj166_Narrow_Passageway obj167_Bottom_of_Stairs obj168_Top_of_Stairway obj173_Treasury obj174_Burial_Chamber obj181_Annex obj186_Antechamber obj187_Narrow_Passageway obj192_Antechamber obj195_Antechamber obj200_On_the_Steep_Stairs obj206_Chamber_of_Ra
Attribute 4	attrib4			! obj148_page obj156_Selkis_statue obj157_Neith_statue obj158_Nephthys_statue obj159_Isis_statue
Attribute 5	attrib5			! obj23_packing_crate obj27_inspection_sticker obj30_farewell_note obj36_stone_cube obj41_cigarette_pack obj42_burned_wrapper obj43_manual obj44_matchbook obj49_matchbook obj103_papyrus_scroll obj147_ancient_book obj148_page obj149_ancient_book obj150_scarab
Attribute 7	attrib7			! obj34_piece_of_dried_beef
Attribute 8	attrib8			! obj29_quantity_of_water obj74_quantity_of_water
Attribute 9	attrib9			! obj124_stone_door obj126_stone_door obj128_stone_door obj130_stone_door obj162_inner_door obj185_annex_door obj194_burial_door
Attribute 11	attrib11		! obj23_packing_crate obj27_inspection_sticker obj30_farewell_note obj32_rope obj35_ancient_map obj41_cigarette_pack obj44_matchbook obj46_match obj47_single_match obj48_few_matches obj49_matchbook obj103_papyrus_scroll obj104_wooden_beam obj105_shim obj147_ancient_book obj148_page obj197_pink_jar obj198_bronze_torch
Attribute 14	attrib14		! obj51_army_cot obj104_wooden_beam obj108_mast_hole obj199_stone_altar obj211_barge
Attribute 15	attrib15		! obj2_jeweled_ring obj4_skeleton obj7_silver_chalice obj8_golden_chalice obj22_navigation_box obj23_packing_crate obj27_inspection_sticker obj28_canteen obj30_farewell_note obj31_knapsack obj32_rope obj33_shovel obj34_piece_of_dried_beef obj35_ancient_map obj36_stone_cube obj37_pick_axe obj40_broken_lock obj41_cigarette_pack obj42_burned_wrapper obj44_matchbook obj45_burned_matchbook obj47_single_match obj48_few_matches obj49_matchbook obj50_folded_cot obj51_army_cot obj77_blackened_rock obj84_second_brick obj85_third_brick obj86_fourth_brick obj87_fifth_brick obj88_sixth_brick obj89_seventh_brick obj90_eighth_brick obj91_ninth_brick obj92_first_brick obj103_papyrus_scroll obj104_wooden_beam obj105_shim obj132_broken_head obj133_large_statue obj136_opal_cluster obj138_emerald_cluster obj140_ruby_cluster obj142_golden_cluster obj143_diamond_cluster obj146_small_spatula obj147_ancient_book obj149_ancient_book obj150_scarab obj161_plaster obj163_plaster obj182_plaster_dust obj183_plaster_dust obj197_pink_jar obj198_bronze_torch obj215_sip_of_water
Attribute 16	attrib16		! obj32_rope obj109_plank obj201_few_steps obj202_narrow_staircase obj203_winding_staircase obj204_wide_staircase obj205_steep_staircase obj218_stairs
Attribute 17	attrib17		! obj221_you obj223_cretin
Attribute 18	attrib18		! obj1_tiny_needle obj2_jeweled_ring obj3_calcified_hand obj5_line obj6_granite_table obj9_granite_table obj14_glittering_leaf obj21_button obj24_quantity_of_sand obj25_mirage obj38_padlock obj40_broken_lock obj42_burned_wrapper obj52_opening obj67_blackened_rocks obj74_quantity_of_water obj75_pyramid obj76_tent obj77_blackened_rock obj79_pit obj80_thicket obj81_Nile obj83_crocodile obj84_second_brick obj85_third_brick obj86_fourth_brick obj87_fifth_brick obj88_sixth_brick obj89_seventh_brick obj90_eighth_brick obj91_ninth_brick obj92_first_brick obj93_recessed_panel obj105_shim obj106_slot obj107_knothole obj108_mast_hole obj109_plank obj124_stone_door obj126_stone_door obj128_stone_door obj130_stone_door obj134_quartz obj144_tile obj148_page obj151_larger_recess obj152_smaller_recess obj153_quartz_cover obj154_sarcophagus obj155_arms obj156_Selkis_statue obj157_Neith_statue obj158_Nephthys_statue obj159_Isis_statue obj160_seal obj161_plaster obj162_inner_door obj163_plaster obj164_small_niche obj169_middle_disc obj170_right_disc obj171_left_disc obj175_first_hole obj176_second_hole obj177_third_hole obj178_fourth_hole obj179_thin_seam obj182_plaster_dust obj183_plaster_dust obj184_rocks obj185_annex_door obj188_timber_frame obj189_tiles obj190_gem obj191_deep_pit obj193_timber_lintel obj194_burial_door obj199_stone_altar obj201_few_steps obj202_narrow_staircase obj203_winding_staircase obj204_wide_staircase obj205_steep_staircase obj212_pillars obj213_decorations obj214_hieroglyphs obj218_stairs obj219_panel obj220_doorway obj223_cretin obj224_empty_hands obj225_ceiling obj226_wall obj227_bulkhead obj229_key obj232_hole obj233_sand obj234_crack obj237_random_object
Attribute 19	attrib19		! obj33_shovel obj37_pick_axe obj146_small_spatula obj224_empty_hands obj239_direction
Attribute 20	attrib20		! obj2_jeweled_ring obj3_calcified_hand obj4_skeleton obj6_granite_table obj7_silver_chalice obj8_golden_chalice obj9_granite_table obj22_navigation_box obj23_packing_crate obj28_canteen obj31_knapsack obj35_ancient_map obj38_padlock obj39_trunk obj41_cigarette_pack obj44_matchbook obj45_burned_matchbook obj49_matchbook obj51_army_cot obj52_opening obj79_pit obj81_Nile obj93_recessed_panel obj104_wooden_beam obj106_slot obj107_knothole obj108_mast_hole obj147_ancient_book obj149_ancient_book obj151_larger_recess obj152_smaller_recess obj153_quartz_cover obj154_sarcophagus obj164_small_niche obj169_middle_disc obj170_right_disc obj171_left_disc obj172_granite_table obj175_first_hole obj176_second_hole obj177_third_hole obj178_fourth_hole obj179_thin_seam obj180_slab obj184_rocks obj188_timber_frame obj197_pink_jar obj199_stone_altar obj220_doorway obj234_crack obj236_air obj242_finger
Attribute 21	attrib21		! obj26_Desert obj53_Desert obj54_Desert obj55_Desert obj56_Desert obj57_Desert obj58_Desert obj59_Desert obj60_Desert obj61_Desert obj62_Work_Tent obj63_Southern_Path obj64_Outside_Work_Tent obj65_Southern_Path obj66_Middle_Path obj68_Outside_Supply_Tent obj69_Supply_Tent obj70_Northern_Path obj71_Your_Tent obj72_Outside_Your_Tent obj73_Near_the_Nile obj78_Fire_Pit obj82_River_Bank obj200_On_the_Steep_Stairs obj206_Chamber_of_Ra obj249
Attribute 22	attrib22		! obj249
Attribute 23	attrib23		! obj6_granite_table obj9_granite_table obj23_packing_crate obj39_trunk obj51_army_cot obj79_pit obj107_knothole obj108_mast_hole obj169_middle_disc obj170_right_disc obj171_left_disc obj199_stone_altar obj249
Attribute 24	attrib24		! obj2_jeweled_ring obj3_calcified_hand obj4_skeleton obj7_silver_chalice obj8_golden_chalice obj23_packing_crate obj31_knapsack obj249
Attribute 25	attrib25		! obj2_jeweled_ring obj3_calcified_hand obj4_skeleton obj6_granite_table obj7_silver_chalice obj8_golden_chalice obj9_granite_table obj22_navigation_box obj23_packing_crate obj39_trunk obj41_cigarette_pack obj44_matchbook obj51_army_cot obj52_opening obj79_pit obj81_Nile obj93_recessed_panel obj104_wooden_beam obj106_slot obj107_knothole obj108_mast_hole obj147_ancient_book obj151_larger_recess obj152_smaller_recess obj153_quartz_cover obj164_small_niche obj169_middle_disc obj170_right_disc obj171_left_disc obj172_granite_table obj175_first_hole obj176_second_hole obj177_third_hole obj178_fourth_hole obj180_slab obj184_rocks obj188_timber_frame obj199_stone_altar obj220_doorway obj234_crack obj236_air obj242_finger obj249
Attribute 26	attrib26		! obj27_inspection_sticker obj35_ancient_map obj51_army_cot obj52_opening obj90_eighth_brick obj136_opal_cluster obj138_emerald_cluster obj147_ancient_book obj149_ancient_book obj162_inner_door obj185_annex_door obj224_empty_hands obj236_air obj249
Attribute 27	attrib27		! obj1_tiny_needle obj4_skeleton obj22_navigation_box obj31_knapsack obj34_piece_of_dried_beef obj40_broken_lock obj47_single_match obj48_few_matches obj51_army_cot obj67_blackened_rocks obj84_second_brick obj85_third_brick obj86_fourth_brick obj87_fifth_brick obj88_sixth_brick obj89_seventh_brick obj90_eighth_brick obj91_ninth_brick obj92_first_brick obj104_wooden_beam obj105_shim obj106_slot obj107_knothole obj108_mast_hole obj109_plank obj133_large_statue obj148_page obj150_scarab obj161_plaster obj163_plaster obj189_tiles obj199_stone_altar obj249
Attribute 28	attrib28		! obj6_granite_table obj9_granite_table obj22_navigation_box obj23_packing_crate obj39_trunk obj51_army_cot obj104_wooden_beam obj151_larger_recess obj152_smaller_recess obj153_quartz_cover obj169_middle_disc obj170_right_disc obj171_left_disc obj180_slab obj184_rocks obj199_stone_altar obj242_finger obj249
Attribute 29	attrib29		! obj5_line obj14_glittering_leaf obj28_canteen obj32_rope obj34_piece_of_dried_beef obj75_pyramid obj76_tent obj79_pit obj81_Nile obj83_crocodile obj84_second_brick obj85_third_brick obj86_fourth_brick obj87_fifth_brick obj88_sixth_brick obj89_seventh_brick obj90_eighth_brick obj91_ninth_brick obj92_first_brick obj146_small_spatula obj182_plaster_dust obj183_plaster_dust obj218_stairs obj224_empty_hands obj225_ceiling obj226_wall obj227_bulkhead obj237_random_object obj242_finger obj249
Attribute 30	attrib30		! obj1_tiny_needle obj40_broken_lock obj42_burned_wrapper obj52_opening obj132_broken_head obj147_ancient_book obj191_deep_pit obj223_cretin obj249
Attribute 31	attrib31		! obj249

Property 2	prop2:string
Property 3	prop3:?
Property 4	prop4:?
Property 5	prop5:?
Property 6	prop6:?
Property 7	prop7:string
Property 8	prop8:string
Property 9	prop9:?
Property 10	prop10:?
Property 11	prop11:?
Property 12	prop12:?
Property 13	prop13:?
Property 14	prop14:?
Property 15	prop15:?
Property 16	prop16:dictwords
Property 17	prop17:?
Property 18	prop18:thing
Property 19	prop19:dictwords
Property 20	northw_to:exit
Property 21	ne_to:exit
Property 22	southw_to:exit
Property 23	se_to:exit
Property 24	out_to:exit
Property 25	in_to:exit
Property 26	d_to:exit
Property 27	u_to:exit
Property 28	s_to:exit
Property 29	w_to:exit
Property 30	e_to:exit
Property 31	n_to:exit

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'brief'
Action 1	Action1		! 'super'/'superb'
Action 2	Action2		! 'i//'/'invent'
Action 3	Action3		! 'q//'/'quit'
Action 4	Action4		! 'restar'
Action 5	Action5		! 'restor'
Action 6	Action6		! 'save'
Action 7	Action7		! 'score'
Action 8	Action8		! '$ve'
Action 9	Action9		! 'versio'
Action 10	Action10	! 'verbos'
Action 11	Action11	! 'again'/'g//'
Action 12	Action12	! 'answer'/'reply'
Action 13	Action13	! 'answer'/'reply' object
Action 14	Action14	! 'apply' object 'to' object
				! 'drop'/'releas' object(held,many,have) 'onto'/'on' object
				! 'drop'/'releas' object(held,many,have) 'into'/'inside'/'in' object
				! 'drop'/'releas' object(held,many,have) 'down'/'d//' object
				! 'lower' object 'down'/'d//' object
				! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,on_ground,many,have) 'into'/'inside'/'in' object
				! 'squeez' object 'onto'/'on' object
Action 15	Action15	! 'attack'/'fight'/'hurt'/'injure' attrib13(in_room,on_ground) 'with' attrib12(held,carried,have)
				! 'knock'/'rap' 'down'/'d//' attrib6(in_room,on_ground)
				! 'strike' attrib6(in_room,on_ground)
				! 'strike' attrib6(in_room,on_ground) 'with' attrib12(held,carried,in_room,on_ground,have)
Action 16	Action16	! 'back'
Action 17	Action17	! 'blast'
				! 'blow' 'up'/'u//' object
Action 18	Action18	! 'board' attrib14(in_room,on_ground)
				! 'climb' 'into'/'inside'/'in' attrib14(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'into'/'inside'/'in' attrib14(in_room,on_ground)
Action 19	Action19	! 'bug'
Action 20	Action20	! 'burn'/'ignite'/'incine' 'down'/'d//' attrib11(held,carried,in_room,on_ground) 'with' attrib10(held,carried,in_room,on_ground,have)
				! 'burn'/'ignite'/'incine' attrib11(held,carried,in_room,on_ground) 'with' attrib10(held,carried,in_room,on_ground,have)
				! 'light' attrib11(held,carried,in_room,on_ground) 'with' attrib10(held,carried,in_room,on_ground)
Action 21	Action21	! 'barf'/'chomp'/'lose'
Action 22	Action22	! 'clean'/'polish'/'scrub' object
Action 23	Action23	! 'clear' object 'from' object
Action 24	Action24	! 'climb' 'down'/'d//' attrib16(in_room,on_ground)
				! 'go'/'procee'/'run'/'step'/'walk' 'down'/'d//' attrib16(in_room,on_ground)
Action 25	Action25	! 'climb' 'up'/'u//' attrib16(in_room,on_ground)
				! 'go'/'procee'/'run'/'step'/'walk' 'up'/'u//' attrib16(in_room,on_ground)
Action 26	Action26	! 'climb' attrib16(in_room,on_ground)
Action 27	Action27	! 'climb' 'onto'/'on' attrib14(in_room,on_ground)
				! 'stand' 'onto'/'on' attrib14
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'onto'/'on' attrib14(in_room,on_ground)
Action 28	Action28	! 'sit' 'onto'/'on' object(in_room,on_ground)
Action 29	Action29	! 'close' attrib9(held,carried,in_room,on_ground)
Action 30	Action30	! 'compar' object 'with' object
				! 'compar' object 'to' object
Action 31	Action31	! 'compar' object(held,carried,many)
Action 32	Action32	! 'count' object
Action 33	Action33	! 'cross'/'ford' object
Action 34	Action34	! 'cut'/'pierce'/'slice' object 'with' attrib12(held,carried)
Action 35	Action35	! 'curse'/'damn'/'fuck'/'hell'/'shit' attrib13
				! 'curse'/'damn'/'fuck'/'hell'/'shit'
Action 36	Action36	! 'deflat' object
Action 37	Action37	! 'dig' 'into'/'inside'/'in' object(in_room,on_ground) 'with' attrib19(held,carried,have)
				! 'dig' object(in_room,on_ground) 'with' attrib19(held,carried,have)
				! 'dig' 'into'/'inside'/'in' object
Action 38	Action38	! 'dig' object 'into'/'inside'/'in' object
