! Auto-generated by Reform.

MD5	5f42ff092a2f30471ae98150ef4da2e1
Attribute 8	attrib8			! obj2_keyring obj62_chair obj75_greasy_chain obj77_manhole_cover obj80_greasy_chain obj82 obj119_hatch obj143_tangle_of_machinery obj154_platform obj160_kitchen_counter obj188_greasy_chain obj191_pc obj194_slab_of_granite obj197_forklift obj212_lab_bench obj235_floor_waxer obj251_floor_waxer
Attribute 9	attrib9			! obj82
Attribute 10	attrib10		! obj5_elevator_shaft obj7_smooth_stone obj8_plastic_container obj10_cylindrical_hole obj19_brick_wall obj23_vat obj31_manhole obj52_elevator_shaft obj53_metal_flask obj58_cardboard_carton obj62_chair obj67_elevator_shaft obj75_greasy_chain obj77_manhole_cover obj80_greasy_chain obj82 obj86_microwave_oven obj88_emergency_cabinet obj89_elevator_doors obj92_tub_of_dirt obj96_dead_rat obj100_urchin obj101_hole obj105_refrigerator obj115_elevator_doors obj118_elevator_doors obj119_hatch obj120_access_panel obj122_elevator_doors obj129_hacker obj143_tangle_of_machinery obj153_tangle_of_machinery obj160_kitchen_counter obj178_elevator_shaft obj188_greasy_chain obj189_human_hand obj191_pc obj192_metal_box obj194_slab_of_granite obj197_forklift obj212_lab_bench obj215_socket obj219_pentagram obj229_carvings obj235_floor_waxer obj250_professor obj251_floor_waxer
Attribute 11	attrib11		! obj31_manhole obj82
Attribute 12	attrib12		! obj82 obj235_floor_waxer
Attribute 13	attrib13		! obj2_keyring obj5_elevator_shaft obj7_smooth_stone obj10_cylindrical_hole obj19_brick_wall obj23_vat obj31_manhole obj52_elevator_shaft obj62_chair obj67_elevator_shaft obj77_manhole_cover obj80_greasy_chain obj82 obj92_tub_of_dirt obj96_dead_rat obj100_urchin obj101_hole obj129_hacker obj143_tangle_of_machinery obj153_tangle_of_machinery obj160_kitchen_counter obj178_elevator_shaft obj189_human_hand obj191_pc obj194_slab_of_granite obj197_forklift obj212_lab_bench obj215_socket obj219_pentagram obj229_carvings obj233_slot obj235_floor_waxer obj250_professor obj251_floor_waxer
Attribute 14	attrib14		! obj16_Small_Courtyard obj82 obj98_Smith_Street obj121_Roof_of_Great_Dome obj127_Roof obj145_On_the_Great_Dome obj180_Great_Court obj185_Smith_Street obj190_Mass__Ave_ obj222_Skyscraper_Roof
Attribute 15	attrib15		! obj9_Tomb obj16_Small_Courtyard obj21_At_Platform obj27_Basement obj33_Kitchen obj35_Stairway obj38_Engineering_Building obj65_Computer_Center obj69_Inner_Lair obj82 obj98_Smith_Street obj109_Inside_Dome obj110_Third_Floor obj121_Roof_of_Great_Dome obj124_Elevator obj127_Roof obj134_Basalt_Bowl obj136_Aero_Lobby obj137_Second_Floor obj142_Subbasement obj145_On_the_Great_Dome obj150_Fruits_and_Nuts obj152_Place obj158_Aero_Basement obj174_Department_of_Alchemy obj176_Terminal_Room obj179_Cluttered_Passage obj180_Great_Court obj181_Wet_Tunnel obj185_Smith_Street obj190_Mass__Ave_ obj195_Top_Floor obj200_Brown_Basement obj202_Temporary_Basement obj206_Infinite_Corridor obj208_Infinite_Corridor obj210_Infinite_Corridor obj213_Top_of_Dome obj214_Infinite_Corridor obj218_Infinite_Corridor obj222_Skyscraper_Roof obj240_Brown_Building obj248_Chemistry_Building obj249_Great_Dome obj251_floor_waxer
Attribute 16	attrib16		! obj6_your_hand obj24_your_feet obj29_yourself obj60_your_head obj71_sleep obj82 obj83_it obj148_him obj151_your_eyes obj196_it
Attribute 17	attrib17		! obj4_air obj6_your_hand obj24_your_feet obj29_yourself obj60_your_head obj71_sleep obj73_microwave_controls obj79_junk obj82 obj83_it obj90_Chinese_food obj148_him obj151_your_eyes obj170_urchins obj196_it obj223_sewer_rats obj237_dirt obj243_floor_wax
Attribute 18	attrib18		! obj1_catwalk obj2_keyring obj5_elevator_shaft obj6_your_hand obj13_program obj22_slime_curtain obj24_your_feet obj26_iron_plate obj30_branded_symbol obj32_hook obj36_tattoo obj40_new_brick obj43_outlet obj50_pool obj52_elevator_shaft obj54_power_cord obj55_carved_symbol obj56_it obj57_alarm_button obj63_YAK_editor obj67_elevator_shaft obj68_coaxial_cable obj72_missing_students obj73_microwave_controls obj76_elevator_doors obj79_junk obj80_greasy_chain obj81_sign obj82 obj83_it obj84_door obj86_microwave_oven obj91_metal_plate obj92_tub_of_dirt obj93_cablelike_appendage obj94_dark_shape obj101_hole obj102_office obj103_ladder obj105_refrigerator obj107_HELP_key obj108_Alchemy_Department_door obj111_ancient_door obj112_hole obj113_pressure_valve obj114_thing obj119_hatch obj120_access_panel obj123 obj125_incised_symbol obj128_B_button obj130_peach_tree obj135_padlock obj141_wire obj143_tangle_of_machinery obj144_steam_pipes obj146_menu_box obj147_dome obj148_him obj153_tangle_of_machinery obj154_platform obj155_coaxial_cable obj159_clothes obj160_kitchen_counter obj162_thing obj163_roof_door obj166_broken_brick obj168_archway obj169_up_arrow obj172_classics_paper obj177_whitish_mass obj178_elevator_shaft obj188_greasy_chain obj194_slab_of_granite obj199_mouse obj204_ceiling obj209_down_arrow obj211_close_button obj215_socket obj216_more_box obj219_pentagram obj220_stop_switch obj224_display obj225_elevator_doors obj228_open_button obj229_carvings obj230_missing_urchins obj233_slot obj236_ropy_strand obj239_frosted_glass_window obj241_floor_button obj245_outside_door obj251_floor_waxer
Attribute 19	attrib19		! obj82 obj108_Alchemy_Department_door obj111_ancient_door obj119_hatch obj135_padlock obj163_roof_door obj245_outside_door
Attribute 20	attrib20		! obj45_bolt_cutter obj56_it obj80_greasy_chain obj82 obj111_ancient_door obj170_urchins obj231_reinforcing_rod
Attribute 21	attrib21		! obj4_air obj5_elevator_shaft obj26_iron_plate obj43_outlet obj52_elevator_shaft obj57_alarm_button obj67_elevator_shaft obj74_elevator obj82 obj83_it obj88_emergency_cabinet obj89_elevator_doors obj97_assignment obj100_urchin obj111_ancient_door obj115_elevator_doors obj118_elevator_doors obj120_access_panel obj122_elevator_doors obj165_east_wall obj169_up_arrow obj178_elevator_shaft obj207_Alchemy_Department_computer obj225_elevator_doors obj228_open_button
Attribute 22	attrib22		! obj132_flashlight
Attribute 23	attrib23		! obj8_plastic_container obj18_package_of_Funny_Bones obj23_vat obj58_cardboard_carton obj63_YAK_editor obj81_sign obj82 obj88_emergency_cabinet obj97_assignment obj105_refrigerator obj107_HELP_key obj108_Alchemy_Department_door obj146_menu_box obj167_piece_of_paper obj172_classics_paper obj183_sign_up_sheet obj207_Alchemy_Department_computer obj216_more_box obj229_carvings obj239_frosted_glass_window
Attribute 24	attrib24		! obj2_keyring obj3_red_aluminum_Yale_key obj7_smooth_stone obj8_plastic_container obj12_wooden_ladder obj14_metal_cover obj18_package_of_Funny_Bones obj23_vat obj40_new_brick obj41_fire_axe obj45_bolt_cutter obj48_cold_liquid obj53_metal_flask obj58_cardboard_carton obj61_two_liter_bottle_of_Classic_Coke obj62_chair obj75_greasy_chain obj77_manhole_cover obj80_greasy_chain obj82 obj90_Chinese_food obj95_master_key obj96_dead_rat obj97_assignment obj104_pair_of_rubber_boots obj132_flashlight obj133_brass_hyrax obj135_padlock obj156_crowbar obj159_clothes obj166_broken_brick obj167_piece_of_paper obj175_knife obj183_sign_up_sheet obj186_power_line obj188_greasy_chain obj189_human_hand obj191_pc obj203_pair_of_electrician_s_gloves obj217_tarry_liquid obj242_bronze_plug obj243_floor_wax obj244_green_aluminum_Medeco_key obj246_green_brass_Yale_key obj252_green_aluminum_Yale_key
Attribute 25	attrib25		! obj31_manhole obj82 obj84_door obj89_elevator_doors obj91_metal_plate obj102_office obj108_Alchemy_Department_door obj111_ancient_door obj115_elevator_doors obj118_elevator_doors obj119_hatch obj122_elevator_doors obj163_roof_door obj225_elevator_doors obj245_outside_door
Attribute 26	attrib26		! obj6_your_hand obj24_your_feet obj45_bolt_cutter obj82 obj175_knife
Attribute 27	attrib27		! obj2_keyring obj5_elevator_shaft obj7_smooth_stone obj8_plastic_container obj10_cylindrical_hole obj19_brick_wall obj23_vat obj26_iron_plate obj31_manhole obj52_elevator_shaft obj53_metal_flask obj56_it obj58_cardboard_carton obj62_chair obj67_elevator_shaft obj75_greasy_chain obj77_manhole_cover obj80_greasy_chain obj82 obj86_microwave_oven obj88_emergency_cabinet obj89_elevator_doors obj92_tub_of_dirt obj96_dead_rat obj100_urchin obj101_hole obj105_refrigerator obj115_elevator_doors obj118_elevator_doors obj119_hatch obj120_access_panel obj122_elevator_doors obj129_hacker obj143_tangle_of_machinery obj153_tangle_of_machinery obj160_kitchen_counter obj178_elevator_shaft obj188_greasy_chain obj189_human_hand obj191_pc obj192_metal_box obj194_slab_of_granite obj197_forklift obj212_lab_bench obj215_socket obj219_pentagram obj229_carvings obj233_slot obj235_floor_waxer obj250_professor obj251_floor_waxer
Attribute 28	attrib28		! obj33_Kitchen obj82
Attribute 29	attrib29		! obj5_elevator_shaft obj50_pool obj52_elevator_shaft obj62_chair obj67_elevator_shaft obj68_coaxial_cable obj74_elevator obj82 obj154_platform obj178_elevator_shaft obj194_slab_of_granite obj197_forklift obj219_pentagram obj233_slot obj235_floor_waxer obj251_floor_waxer
Attribute 30	attrib30		! obj7_smooth_stone obj40_new_brick obj41_fire_axe obj45_bolt_cutter obj48_cold_liquid obj82 obj156_crowbar obj166_broken_brick obj175_knife obj186_power_line obj242_bronze_plug
Attribute 31	attrib31		! obj20_maintenance_man obj29_yourself obj56_it obj72_missing_students obj82 obj100_urchin obj114_thing obj126_maintenance_man obj129_hacker obj162_thing obj170_urchins obj177_whitish_mass obj230_missing_urchins obj250_professor

Property 2	prop2:string
Property 3	prop3:?
Property 4	prop4:?
Property 5	prop5:?
Property 6	prop6:?
Property 7	prop7:?
Property 8	prop8:?
Property 9	prop9:?
Property 10	prop10:string
Property 11	prop11:?
Property 12	prop12:?
Property 13	prop13:?
Property 14	prop14:string
Property 15	prop15:string
Property 16	prop16:?
Property 17	prop17:?
Property 18	prop18:?
Property 19	prop19:dictwords
Property 20	out_to:exit
Property 21	ahead_to:exit
Property 22	d_to:exit
Property 23	u_to:exit
Property 24	northw_to:exit
Property 25	w_to:exit
Property 27	s_to:exit
Property 28	se_to:exit
Property 29	e_to:exit
Property 31	n_to:exit

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'verbos'
Action 1	Action1		! 'brief'
Action 2	Action2		! 'super'/'superb'
Action 3	Action3		! 'diagno'
Action 4	Action4		! 'i//'/'invent'
Action 5	Action5		! 'q//'/'quit'
Action 6	Action6		! 'restar'
Action 7	Action7		! 'restor'
Action 8	Action8		! 'save'
Action 9	Action9		! 'score'
Action 10	Action10	! 'script'
Action 11	Action11	! 'unscri'
Action 12	Action12	! 'versio'
Action 13	Action13	! '$ve' object
				! '$ve'
Action 14	Action14	! 'answer'/'reply'/'respon'
Action 15	Action15	! 'answer'/'reply'/'respon' object
				! 'tell' object object
Action 16	Action16	! 'drop'/'dump' object(held,many,have) 'onto'/'on' object
				! 'drop'/'dump' object(held,many,have) 'into'/'inside'/'in'/'ahead' object
				! 'drop'/'dump' object(held,many,have) 'down'/'d//' object
				! 'apply' object(held,many,have) 'to' object
				! 'empty'/'pour'/'spill' object(held,carried) 'into'/'inside'/'in'/'ahead' object
				! 'insert'/'lay'/'place'/'put' object(held,many,have) 'down'/'d//' object
				! 'insert'/'lay'/'place'/'put' object(held,many,have) 'into'/'inside'/'in'/'ahead' object
Action 17	Action17	! 'ask'/'quiz' attrib31 'for' object
				! 'ask'/'quiz' 'for' object
Action 18	Action18	! 'ask'/'quiz' attrib31 'about' object
				! 'ask'/'quiz' 'about' object
Action 19	Action19	! 'attack'/'fight'/'hit'/'strike' attrib31(in_room,on_ground) 'with'/'using' attrib30(held,carried,have)
				! 'attack'/'fight'/'hit'/'strike' attrib31(in_room,on_ground)
				! 'knock'/'rap' 'down'/'d//' attrib31(in_room,on_ground)
Action 20	Action20	! 'bite' object
Action 21	Action21	! 'flip'/'power'/'set'/'turn' 'off' object(held,carried,in_room,on_ground,take)
				! 'exting' object(held,carried,in_room,on_ground,take,many,have)
				! 'blow' 'out' object
Action 22	Action22	! 'climb'/'scale' 'into'/'inside'/'in'/'ahead' attrib29(in_room,on_ground)
				! 'slide' 'onto'/'on' object
				! 'nap'/'sleep' 'onto'/'on' object(in_room,on_ground)
				! 'nap'/'sleep' 'into'/'inside'/'in'/'ahead' object(in_room,on_ground)
				! 'rest'/'sit' 'into'/'inside'/'in'/'ahead' attrib29(in_room,on_ground)
				! 'hang' 'from' object
				! 'concea'/'hide' 'into'/'inside'/'in'/'ahead' object
				! 'rise'/'stand' 'into'/'inside'/'in'/'ahead' object
				! 'board'/'ride' attrib29(in_room,on_ground)
				! 'lie' 'onto'/'on' attrib29
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' 'into'/'inside'/'in'/'ahead' attrib29(in_room,on_ground)
Action 23	Action23	! 'burn'/'ignite' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
				! 'burn'/'ignite' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
Action 24	Action24	! 'climb'/'scale' object(in_room,on_ground)
Action 25	Action25	! 'climb'/'scale' 'onto'/'on' attrib29(in_room,on_ground)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' 'onto'/'on' attrib29(in_room,on_ground)
				! 'dive'/'jump'/'leap' 'to' object
				! 'dive'/'jump'/'leap' 'onto'/'on' object
Action 26	Action26	! 'climb'/'scale' 'up'/'u//' attrib28(in_room,on_ground)
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'up'/'u//' object(in_room,on_ground)
Action 27	Action27	! 'climb'/'scale' 'down'/'d//' attrib28(in_room,on_ground)
				! 'descen' object(in_room,on_ground)
