! Auto-generated by Reform.

MD5	f275ddf32ce8a9e744d53c3b99c5a658
Object 134	obj134_In_the_cellar
Object 135	obj135_wardrobe
Object 136	obj136_set_of_dumbells
Object 137	obj137_fusebox
Object 138	obj138_switch_A
Object 139	obj139_switch_B
Object 140	obj140_switches
Object 141	obj141_volt_meter
Object 142	obj142_washing_machine
Object 143	obj143_sludge
Object 144	obj144_tiny_metal_key
Object 145	obj145_archway
Object 146	obj146_In_a_dark_passage
Object 147	obj147_In_a_dungeon
Object 148	obj148_manacles
Object 149	obj149_bolts
Object 150	obj150_rotting_skeleton
Object 151	obj151_red_riding_hood
Object 152	obj152_walls
Object 153	obj153_archway
Object 154	obj154_torches
Object 155	obj155_sign
Object 156	obj156_In_the_bedroom
Object 157	obj157_tiny_little_bed
Object 158	obj158_window
Object 159	obj159_huge_bed
Object 160	obj160_rather_thin_blanket
Object 161	obj161_one_of_the_pockets
Object 162	obj162_cue_ball
Object 163	obj163_medium_sized_bed
Object 164	obj164_quilts
Object 165	obj165_catch
Object 166	obj166_Sleeping_Beauty
Object 167	obj167_At_the_top_of_the_beanstalk
Object 168	obj168_At_a_fork_in_the_path
Object 169	obj169_In_the_potting_shed
Object 170	obj170_pair_of_secateurs
Object 171	obj171_old_metal_trunk
Object 172	obj172_some_sticks_of_dynamite
Object 173	obj173_ratty_old_paintbrush
Object 174	obj174_plant_pots
Object 175	obj175_broken_pots
Object 176	obj176_trowel
Object 177	obj177_pair_of_gardening_gloves
Object 178	obj178_cobwebs
Object 179	obj179_In_Papa_Bear_s_workshop
Object 180	obj180_bench
Object 181	obj181_wrench
Object 182	obj182_tin_of_gold_paint
Object 183	obj183_huge_wooden_crate
Object 184	obj184_battered_old_filing_cabinet
Object 185	obj185_warranty
Object 186	obj186_set_of_instructions
Object 187	obj187_blueprints
Object 188	obj188_action_plan
Object 189	obj189_On_a_path_in_the_forest
Object 190	obj190_In_a_small_meadow
Object 191	obj191_wind_turbine
Object 192	obj192_rickety_fence
Object 193	obj193_overgrown_pergola
Object 194	obj194_platform
Object 195	obj195_oil_can
Object 196	obj196_Daisy_the_cow
Object 197	obj197_Daisy_s_knees
Object 198	obj198_hay
Object 199	obj199_Daisy_s_face
Object 200	RG_LOST_FOREST
Object 201	obj201_Lost_in_the_forest
Object 202	obj202_trees
Object 203	obj203_Lost_in_the_forest
Object 204	obj204_trees
Object 205	obj205_Lost_in_the_forest
Object 206	obj206_trees
Object 207	obj207_package
Object 208	obj208_electric_toaster
Object 209	obj209__toaster_lever_
Object 210	obj210__toaster_slots_
Object 211	obj211_leaflet
Object 212	obj212_fine_print
Object 213	obj213_pile_of_firewood
Object 214	obj214_magic_bean
Object 215	obj215_Three_Bears__cottage
Object 216	obj216_turnip
Object 217	obj217_bottle_of_water
Object 218	obj218_packet_of_medium_rare_pork_chops
Object 219	obj219_old_brass_key
Object 220	obj220_beanstalk
Object 221	obj221_chimney
Object 222	obj222_broken_bottle
Object 223	obj223_empty_beer_can
Object 224	obj224_golden_ball
Object 225	obj225_slimy_green_frog
Object 226	obj226_crown
Object 227	obj227_magic_porridge_pot
Object 228	obj228_blackened_metal_poker
Object 229	obj229_wind
Object 230	obj230_windows
Object 231	obj231_roof
Object 232	obj232_porch
Object 233	obj233_tv_aerial
Object 234	obj234_electrodes
Object 235	obj235_trees
Object 236	obj236_dead_horse
Object 237	obj237_my_underwear
Object 238	obj238_staircase
Object 239	obj239_potting_shed
Object 240	obj240_ground
Object 241	obj241_ground
Object 242	obj242_ground
Object 243	obj243_ground
Object 244	obj244_sky
Object 245	obj245_forest
Object 246	obj246_cracks
Object 247	obj247_extremely_hot_porridge
Object 248	obj248_path
Object 249	obj249_Prince_Charming
Object 250	obj250_prince_s_knees
Object 251	obj251_crown
Object 252	obj252_Big_Bad_Wolf
Object 253	obj253_bonnet
Object 254	obj254_Big_Bad_Wolf_s_knees
Object 255	obj255_Fairy_Godmother
Object 256	obj256_magic_wand
Object 257	obj257_my_Fairy_Godmother_s_knees
Object 258	obj258_Package_arrives
Object 259	obj259_Wolf_at_the_door
Object 260	obj260_increment_time
Object 261	obj261_Cave_system_fills_with_porridge
Object 262	obj262_Wolf_s_eyes_in_forest
Object 263	obj263_Gloves_drop_off
Object 264	obj264_Goldilocks_gassed
Object 265	obj265_Goldie_the_sideshow_freak
Object 266	obj266_Fairy_Godmother_returns
Object 267	obj267__HintMenu_
Object 268	obj268__Globals_

Attribute 0	animate			! obj20__self_object_ Character obj31__suppressor_ obj80_pedlar obj85_Goldilocks obj166_Sleeping_Beauty obj196_Daisy_the_cow obj249_Prince_Charming obj252_Big_Bad_Wolf obj255_Fairy_Godmother
Attribute 1	absent			! obj220_beanstalk
Attribute 2	clothing		! obj55_bearskin_rug obj66_pendant obj86_wristwatch obj87__distressed__Laura_Ashley_dress obj107_pair_of_very_thick_spectacles obj160_rather_thin_blanket obj177_pair_of_gardening_gloves obj237_my_underwear obj251_crown
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj85_Goldilocks obj94_antimacassar obj131_some_leaves obj159_huge_bed obj214_magic_bean
Attribute 4	container		! obj42_large_bowl obj44_medium_sized_bowl obj46_tiny_little_bowl obj48_fireplace obj50_kitchen_dresser obj51_gigantic_bowl obj61_freezer obj65_carton_of_porridge_oats obj67_matchbox obj69_mousetrap obj82_battered_suitcase obj83_small_packet obj104_small_hinged_panel obj109__empty_milkbottle_ obj112_battered_old_dustbin obj116_refridgerator obj135_wardrobe obj142_washing_machine obj161_one_of_the_pockets obj171_old_metal_trunk obj183_huge_wooden_crate obj184_battered_old_filing_cabinet obj207_package obj208_electric_toaster
Attribute 6	edible			! Porridge obj43__large_porridge_ obj45__medium_porridge_ obj47__tiny_porridge_ obj52__gigantic_porridge_ obj84_magic_bean
Attribute 7	enterable		! obj55_bearskin_rug obj78_log obj93_large_chair obj95_medium_sized_chair obj96_tiny_little_chair obj157_tiny_little_bed obj159_huge_bed obj163_medium_sized_bed
Attribute 9	light			! Room MappableRoom obj31__suppressor_ RG_IN_COTTAGE RG_CAVE_SYSTEM RG_CELLAR_DUNGEON RG_OUTDOORS obj39_In_the_kitchen obj54_In_the_hall obj60_In_the_pantry obj74_In_a_clearing_in_the_forest obj77_In_the_enchanted_forest obj92_In_the_sitting_room obj106_Inside_the_medium_sized_chair obj108_On_the_porch obj127_On_the_roof obj128_In_the_garden obj156_In_the_bedroom obj167_At_the_top_of_the_beanstalk obj168_At_a_fork_in_the_path obj169_In_the_potting_shed obj189_On_a_path_in_the_forest obj190_In_a_small_meadow RG_LOST_FOREST obj201_Lost_in_the_forest obj203_Lost_in_the_forest obj205_Lost_in_the_forest
Attribute 10	lockable		! obj135_wardrobe obj184_battered_old_filing_cabinet
Attribute 11	locked			! obj82_battered_suitcase obj135_wardrobe obj184_battered_old_filing_cabinet
Attribute 13	on			! obj138_switch_A obj139_switch_B
Attribute 14	open			! obj42_large_bowl obj44_medium_sized_bowl obj46_tiny_little_bowl obj48_fireplace obj51_gigantic_bowl obj67_matchbox obj69_mousetrap obj109__empty_milkbottle_ obj112_battered_old_dustbin obj161_one_of_the_pockets obj208_electric_toaster
Attribute 15	openable		! obj50_kitchen_dresser obj56_trapdoor obj61_freezer obj65_carton_of_porridge_oats obj69_mousetrap obj82_battered_suitcase obj83_small_packet obj104_small_hinged_panel obj116_refridgerator obj135_wardrobe obj171_old_metal_trunk obj184_battered_old_filing_cabinet obj207_package
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj23__Library_Extensions_ obj85_Goldilocks obj88_my_tights obj89_my_boots obj90_my_dreadlocks obj91_my_hangover obj131_some_leaves obj138_switch_A obj139_switch_B obj161_one_of_the_pockets obj172_some_sticks_of_dynamite obj196_Daisy_the_cow obj197_Daisy_s_knees obj199_Daisy_s_face obj237_my_underwear obj249_Prince_Charming obj257_my_Fairy_Godmother_s_knees
Attribute 17	scenery			! CompassDirection obj7_north obj8_south obj9_east obj10_west obj11_northeast obj12_northwest obj13_southeast obj14_southwest obj15_up_above obj16_ground obj17_inside obj18_outside obj40_dining_table obj48_fireplace obj49_ash obj50_kitchen_dresser obj53_ground obj56_trapdoor obj57_portraits obj58_hunting_trophies obj59_front_door obj61_freezer obj63_shelf obj64_cartons_of_porridge_oats obj72_mouse_droppings obj73_ground obj75_sign obj76_path obj78_log obj79_wooden_sign obj81_pedlar_s_bunions obj93_large_chair obj95_medium_sized_chair obj96_tiny_little_chair obj97_chair_s_button obj98_button obj99_small_coffee_table obj101_carpet obj102_knick_knacks obj103_glass_animals obj104_small_hinged_panel obj111_notice obj113_doorbell obj115_wall_socket obj116_refridgerator obj121_television obj122_solid_metal_door obj123_pin_ups obj124_cave obj125_electric_socket obj126_mechanism obj132_ornamental_pond obj133_overgrown_pergola obj135_wardrobe obj137_fusebox obj138_switch_A obj139_switch_B obj140_switches obj141_volt_meter obj142_washing_machine obj145_archway obj148_manacles obj149_bolts obj150_rotting_skeleton obj151_red_riding_hood obj152_walls obj153_archway obj154_torches obj155_sign obj157_tiny_little_bed obj159_huge_bed obj161_one_of_the_pockets obj163_medium_sized_bed obj164_quilts obj165_catch obj174_plant_pots obj175_broken_pots obj178_cobwebs obj180_bench obj184_battered_old_filing_cabinet obj187_blueprints obj188_action_plan obj191_wind_turbine obj192_rickety_fence obj193_overgrown_pergola obj194_platform obj202_trees obj204_trees obj206_trees obj214_magic_bean obj215_Three_Bears__cottage obj220_beanstalk obj221_chimney obj229_wind obj230_windows obj231_roof obj232_porch obj233_tv_aerial obj234_electrodes obj235_trees obj238_staircase obj239_potting_shed obj240_ground obj241_ground obj242_ground obj243_ground obj244_sky obj245_forest obj246_cracks obj247_extremely_hot_porridge obj248_path
Attribute 19	static			! obj40_dining_table obj48_fireplace obj49_ash obj50_kitchen_dresser obj53_ground obj56_trapdoor obj57_portraits obj58_hunting_trophies obj59_front_door obj61_freezer obj63_shelf obj64_cartons_of_porridge_oats obj72_mouse_droppings obj73_ground obj75_sign obj76_path obj78_log obj79_wooden_sign obj81_pedlar_s_bunions obj88_my_tights obj89_my_boots obj90_my_dreadlocks obj91_my_hangover obj93_large_chair obj95_medium_sized_chair obj96_tiny_little_chair obj97_chair_s_button obj98_button obj99_small_coffee_table obj101_carpet obj102_knick_knacks obj103_glass_animals obj104_small_hinged_panel obj105_small_red_handle obj111_notice obj112_battered_old_dustbin obj113_doorbell obj116_refridgerator obj121_television obj122_solid_metal_door obj123_pin_ups obj124_cave obj125_electric_socket obj126_mechanism obj129_vegetable_plot obj131_some_leaves obj132_ornamental_pond obj133_overgrown_pergola obj135_wardrobe obj137_fusebox obj138_switch_A obj139_switch_B obj140_switches obj141_volt_meter obj142_washing_machine obj143_sludge obj145_archway obj148_manacles obj149_bolts obj150_rotting_skeleton obj151_red_riding_hood obj152_walls obj153_archway obj154_torches obj155_sign obj157_tiny_little_bed obj158_window obj159_huge_bed obj161_one_of_the_pockets obj163_medium_sized_bed obj164_quilts obj165_catch obj171_old_metal_trunk obj174_plant_pots obj175_broken_pots obj178_cobwebs obj180_bench obj183_huge_wooden_crate obj184_battered_old_filing_cabinet obj187_blueprints obj188_action_plan obj191_wind_turbine obj192_rickety_fence obj193_overgrown_pergola obj194_platform obj197_Daisy_s_knees obj198_hay obj199_Daisy_s_face obj202_trees obj204_trees obj206_trees obj214_magic_bean obj215_Three_Bears__cottage obj220_beanstalk obj221_chimney obj229_wind obj230_windows obj231_roof obj232_porch obj233_tv_aerial obj234_electrodes obj235_trees obj238_staircase obj239_potting_shed obj240_ground obj241_ground obj242_ground obj243_ground obj244_sky obj245_forest obj246_cracks obj247_extremely_hot_porridge obj248_path obj250_prince_s_knees obj253_bonnet obj254_Big_Bad_Wolf_s_knees obj257_my_Fairy_Godmother_s_knees
Attribute 20	supporter		! obj40_dining_table obj48_fireplace obj63_shelf obj78_log obj93_large_chair obj99_small_coffee_table obj129_vegetable_plot obj157_tiny_little_bed obj159_huge_bed obj163_medium_sized_bed obj180_bench
Attribute 21	switchable		! obj138_switch_A obj139_switch_B
Attribute 22	talkable		! obj70_dead_mouse obj225_slimy_green_frog obj236_dead_horse
Attribute 23	transparent		! obj20__self_object_ Character obj31__suppressor_ obj55_bearskin_rug obj78_log obj80_pedlar obj85_Goldilocks obj93_large_chair obj95_medium_sized_chair obj118_TV_remote_control obj159_huge_bed obj163_medium_sized_bed obj166_Sleeping_Beauty obj194_platform obj196_Daisy_the_cow obj225_slimy_green_frog obj249_Prince_Charming obj252_Big_Bad_Wolf obj255_Fairy_Godmother
Attribute 26	worn			! obj86_wristwatch obj87__distressed__Laura_Ashley_dress
Attribute 28	female			! obj85_Goldilocks obj166_Sleeping_Beauty obj255_Fairy_Godmother
Attribute 30	pluralname		! obj68_matches obj71_wedge_of_cheese obj107_pair_of_very_thick_spectacles obj136_set_of_dumbells obj170_pair_of_secateurs obj172_some_sticks_of_dynamite obj174_plant_pots obj175_broken_pots obj177_pair_of_gardening_gloves
Attribute 32	npcworn			! obj251_crown
Attribute 34	sittable		! obj31__suppressor_ obj78_log obj93_large_chair obj95_medium_sized_chair
Attribute 35	lieable			! obj31__suppressor_ obj55_bearskin_rug obj159_huge_bed obj163_medium_sized_bed

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:?
Property 6	life:string
Property 7	n_to:thing
Property 8	s_to:?
Property 9	e_to:thing
Property 10	w_to:thing
Property 15	u_to:thing
Property 16	d_to:thing
Property 17	in_to:thing
Property 18	out_to:thing
Property 19	door_to:string
Property 20	with_key:?
Property 21	door_dir:?
Property 22	invent:string
Property 24	add_to_scope:?
Property 26	react_before:string
Property 29	orders:?
Property 30	initial:thing
Property 35	description:?
Property 36	describe:?
Property 37	article:string
Property 38	cant_go:string
Property 39	found_in:things
Property 40	time_left:dictword
Property 41	number:?
Property 42	time_out:string
Property 43	daemon:string
Property 44	each_turn:string
Property 45	capacity:?
Property 46	short_name:?
Property 48	parse_name:thing
Property 49	articles:strings
Property 51	pname:dictwords
Property 72	compass_look:?
Property 73	before_implicit:string
Property 74	parse_input:routine
Property 75	play:routine
Property 76	end_turn_sequence:routine
Property 77	begin_action:routine
Property 78	RunAll:routine
Property 79	RunUntil:routine
Property 80	RunWhile:routine
Property 81	ext_initialise:?
Property 82	ext_messages:?
Property 83	maxhint:?
Property 84	select:routine
Property 85	itemdesc:thing
Property 86	size:?
Property 87	weight:?
Property 88	map_x:?
Property 89	map_y:?
Property 90	region_owner:?
Property 91	region_next:?
Property 92	max_x:?
Property 93	max_y:?
Property 94	dist:?
Property 95	curwalk:?
Property 96	walktime:?
Property 97	isAlone:?
Property 98	Order:string
Property 99	startwalk:string
Property 100	stopwalk:string
Property 101	first_turn:?
Property 102	canSee:string
Property 103	showmove:?
Property 104	entertext:string
Property 105	exittext:string
Property 106	moveto:string
Property 107	state:?
Property 108	on_start:?
Property 109	on_finish:?
Property 110	start:?
Property 111	pause:string
Property 112	resume:string
Property 113	stop:string
Property 114	finish:string
Property 115	readtext:string
Property 116	npcdesc:string
Property 117	states:things
Property 118	size_wds:dictwords
Property 119	size_str:string
Property 120	match_word:string
Property 121	name_porridge:?
Property 122	temp:?
Property 123	qty:?
Property 124	last_parent:?
Property 125	qty_word:?
Property 126	temp_word:?
Property 127	tried_eat:?
Property 128	try_eat:?
Property 129	eaten:?
Property 130	wedged:?
Property 131	Show:string
Property 132	wedge:?
Property 133	openup:string
Property 134	wolf_enters:string
Property 135	wolf_text:?
Property 136	max_size:string
Property 137	max_wt:string
Property 138	screwed_up:string
Property 139	stopped_time:dictword
Property 140	wolf_leaves:string
Property 141	movedown:dictword
Property 142	moveup:string
Property 143	was_sat_in:?
Property 144	mentioned_flooding:?
Property 145	up_to:?
Property 146	plugged:?
Property 147	examined:?
Property 148	list_contents:string
Property 149	adjust_power:dictword
Property 150	alt_name:dictwords
Property 151	waved_at:?
Property 152	kissed:?
Property 153	wolf_jumped:?
Property 154	prince_jumped:?
Property 155	oiled_window:?
Property 156	ridden:?
Property 157	first_walk:?
Property 158	walk7:string
Property 159	flooding:dictword
Property 160	used_workshop:?
Property 161	failed_stop:?
Property 162	is_talking:?
Property 163	end_stop_talk:string
Property 164	undiecount:?
Property 165	nakedcount:?
Property 166	comment:string
Property 167	walk1:string
Property 168	jumped_roof:?
Property 169	walk2:string
Property 170	walk3:dictword
Property 171	prefix:string
Property 172	asked_turbine:?
Property 173	start_turbine:string
Property 174	fucked:?
Property 175	walk4:string
Property 176	walk5:string
Property 177	walk8:string
Property 178	gameover:string
Property 179	where:dictword
Property 180	on_look:string
Property 181	quip:string
Property 182	task33:?
Property 183	task45:?
Property 184	task81:?
Property 185	task103:?
Property 186	task107:?
Property 187	task109:?
Property 188	task116:?
Property 189	task123:?
Property 190	task125:?
Property 191	task158:?
Property 192	task159:?
Property 193	task173:?
Property 194	task174:?
Property 195	task216:?
Property 196	fire:?
Property 197	lever_state:?
Property 198	matches:?
Property 199	warnings:?
Property 200	Alakazoo:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Look		! 'l//'/'look'
Action 1	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 2	Ask		! 'ask' creature 'about' topic
Action 3	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 4	Blow		! 'blow' noun
				! 'blow' held
Action 5	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 6	Buy		! 'buy'/'purchase' noun
Action 7	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 8	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 9	CommandsOff	! 'recording' 'off'
Action 10	CommandsOn	! 'recording'
				! 'recording' 'on'
Action 11	CommandsRead	! 'replay'
Action 12	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'l//'/'look' 'up' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
Action 13	Cut		! 'chop'/'cut'/'prune'/'slice' noun 'with' noun
Action 14	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 15	Disrobe		! 'carry'/'hold'/'take' 'off' worn
				! 'disrobe'/'doff'/'shed' held
				! 'remove' held
Action 16	Drink		! 'drink'/'sip'/'swallow' noun
Action 17	Drop		! 'put' 'down' multiheld
				! 'put' multiheld 'down'
				! 'discard'/'drop'/'throw' multiheld
Action 18	Eat		! 'eat' noun
Action 19	EmptyT		! 'empty'/'pour' noun 'to'/'into'/'on'/'onto' noun
				! 'empty'/'pour' noun 'in' noun
Action 20	Enter		! 'stand' 'on' noun
				! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
